-- Logs begin at Fri 2020-03-27 04:40:36 UTC, end at Fri 2020-03-27 06:12:52 UTC. --
Mar 27 05:25:56 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 27 05:26:00 ubuntu dstat.sh[2298]: [286B blob data]
Mar 27 05:26:00 ubuntu dstat.sh[2298]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 27 05:26:00 ubuntu dstat.sh[2298]: 27-03 05:26:00| 16   5  55  22   2| 420M  463M  111M 2717M|   0     0 | 217k 3269k|11.9  35.4 | 765  1301 |1.59 1.39 1.21|2.0 2.0  25|   0     0 |systemd              1    0.4%   0    0 |bash                 3595 2490k2319k0.2%|mysqld       173M|   0     0 |  14    3    0    6    0
Mar 27 05:26:04 ubuntu dstat.sh[2298]: 27-03 05:26:01|  7   7  30  56   1| 421M  462M  111M 2717M|4310B 1944B|   0  8236k|   0  53.0 | 449   819 |1.59 1.39 1.21|  0 4.0  73|   0     0 |bash                 3595 1.0% 521k3772B|bash                 3595  521k3772B1.0%|mysqld       173M|   0     0 |  14    3    0    6    0
Mar 27 05:26:04 ubuntu dstat.sh[2298]: 27-03 05:26:02|  3   5   0  92   0| 421M  461M  111M 2717M|5317B 1944B|   0  1188k|   0  82.0 | 523   631 |1.59 1.39 1.21|1.0 3.0  42|   0     0 |python2              1672 0.5% 685B1062B|bash                 3595  321k2895B0.5%|mysqld       173M|   0     0 |  14    3    0    6    0
Mar 27 05:26:04 ubuntu dstat.sh[2298]: 27-03 05:26:03|  4   5  42  48   0| 421M  462M  111M 2717M|3888B 1986B|   0    15M|   0  36.0 | 413   606 |1.70 1.42 1.22|  0 2.0  47|   0     0 |bash                 3595 1.0% 418k3209B|bash                 3595  418k3209B1.0%|mysqld       173M|   0     0 |  14    3    0    6    0
Mar 27 05:26:04 ubuntu dstat.sh[2298]: 27-03 05:26:04|  3   2  47  48   0| 421M  461M  111M 2717M|4692B 1944B|   0    18M|   0  22.0 | 389   727 |1.70 1.42 1.22|2.0 1.0 6.0|   0     0 |systemd              1    0.5%   0    0 |bash                 3595   99k 854B  0%|mysqld       173M|   0     0 |  14    3    0    6    0
Mar 27 05:26:05 ubuntu dstat.sh[2298]: 27-03 05:26:05| 28  34  36   1   1| 422M  460M  111M 2717M|4602B 1944B|   0    92k|   0  7.00 |1825  4847 |1.70 1.42 1.22|1.0   0 235|   0     0 |systemd              1     15%   0    0 |bash                 3595 1418k  13k2.5%|mysqld       173M|   0     0 |  14    3    0    6    0
Mar 27 05:26:06 ubuntu dstat.sh[2298]: 27-03 05:26:06| 24  26  49   0   1| 546M  336M  111M 2839M|5217B 1944B|   0     0 |   0     0 |1938  7059 |1.70 1.42 1.22|1.0   0 195|   0     0 |systemd              1     13%   0    0 |bash                 3595  528k8343B3.0%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 27 05:26:07 ubuntu dstat.sh[2298]: 27-03 05:26:07| 36  18  46   0   1| 561M  321M  111M 2840M|3616B 1728B|   0     0 |   0     0 | 949  1990 |1.70 1.42 1.22|1.0   0 152|   0     0 |keystone-manage      3701  31%3505k  81k|keystone-manage      3701 3505k  81k 31%|mysqld       173M|   0     0 |  16    5    0    8    0
Mar 27 05:26:08 ubuntu dstat.sh[2298]: 27-03 05:26:08| 13   2  48  37   0| 568M  314M  111M 2840M|4294B 1944B| 576k  192k|35.0  2.00 | 572   763 |1.64 1.41 1.22|  0 1.0   0|   0     0 |keystone-manage      3701  12%1859k   0 |keystone-manage      3701 1859k   0  12%|mysqld       173M|   0     0 |  16    5    0    8    0
Mar 27 05:26:09 ubuntu dstat.sh[2298]: 27-03 05:26:09| 11   1  48  39   0| 572M  309M  111M 2840M|4277B 2160B| 300k    0 |39.0     0 | 594   803 |1.64 1.41 1.22|  0 1.0   0|   0     0 |keystone-manage      3701  10% 875k   0 |keystone-manage      3701  875k   0  10%|mysqld       173M|   0     0 |  16    5    0    8    0
Mar 27 05:26:10 ubuntu dstat.sh[2298]: 27-03 05:26:10| 23   3  28  46   1| 586M  294M  111M 2841M|4442B 1728B| 312k  336k|49.0  2.00 | 571   812 |1.64 1.41 1.22|1.0   0   0|   0     0 |keystone-manage      3701  24%3599k  46k|keystone-manage      3701 3599k  46k 24%|mysqld       173M|   0     0 |  16    5    0    8    0
Mar 27 05:26:11 ubuntu dstat.sh[2298]: 27-03 05:26:11| 17   2  47  34   1| 589M  291M  111M 2841M|3759B 1944B| 524k    0 |37.0     0 | 622   809 |1.64 1.41 1.22|  0 1.0   0|   0     0 |keystone-manage      3701  15% 703k   0 |keystone-manage      3701  703k   0  15%|mysqld       173M|   0     0 |  16    5    0    8    0
Mar 27 05:26:12 ubuntu dstat.sh[2298]: 27-03 05:26:12| 24   4  32  38   3| 606M  273M  111M 2842M|3085B 1944B| 108k 3560k|9.00  8.00 | 468   883 |1.64 1.41 1.22|1.0 1.0 2.0|   0     0 |keystone-manage      3701  26%4197k 174k|keystone-manage      3701 4197k 174k 26%|mysqld       173M|   0     0 |  16    5    0    8    0
Mar 27 05:26:13 ubuntu dstat.sh[2298]: 27-03 05:26:13| 27   7  43  23   2| 619M  259M  111M 2842M|6093B 1944B| 136k 6932k|12.0  52.0 | 729  1147 |1.59 1.40 1.22|2.0   0   0|   0     0 |keystone-manage      3701  26%2513k 400k|keystone-manage      3701 2513k 400k 26%|mysqld       177M|   0     0 |  16    7    0    8    0
Mar 27 05:26:14 ubuntu dstat.sh[2298]: 27-03 05:26:14| 16   6  35  42   0| 627M  251M  111M 2843M|3702B 1944B|   0  1248k|   0  30.0 | 716  1502 |1.59 1.40 1.22|2.0   0   0|   0     0 |python2              1672  10%  76k  82k|python3.6            7530   55k 115k1.0%|mysqld       184M|   0     0 |  16    7    0    8    0
Mar 27 05:26:15 ubuntu dstat.sh[2298]: 27-03 05:26:15|  5   2  47  46   1| 629M  249M  111M 2843M|3508B 1566B|   0   788k|   0  51.0 | 491   850 |1.59 1.40 1.22|  0 1.0   0|   0     0 |keystone-manage      3701 1.5%   0    0 |python2              2854   14k 461B0.5%|mysqld       186M|   0     0 |  16    7    0    8    0
Mar 27 05:26:16 ubuntu dstat.sh[2298]: 27-03 05:26:16|  4   1  48  47   0| 629M  248M  112M 2843M|4507B 2106B|   0  1332k|   0  90.0 | 702  1126 |1.59 1.40 1.22|  0 1.0   0|   0     0 |kworker/1:1H         303  0.5%   0    0 |python2              2854   14k 468B  0%|mysqld       186M|   0     0 |  16    7    0    8    0
Mar 27 05:26:17 ubuntu dstat.sh[2298]: 27-03 05:26:17|  3   2  49  46   1| 630M  247M  112M 2843M|4040B 1566B|   0  1892k|   0   135 | 898  1398 |1.59 1.40 1.22|  0 1.0   0|   0     0 |mysqld               1575 1.5%   0    0 |python2              2854   14k 460B  0%|mysqld       187M|   0     0 |  16    7    0    8    0
Mar 27 05:26:18 ubuntu dstat.sh[2298]: 27-03 05:26:18|  2   2  47  48   1| 630M  247M  112M 2844M|3100B 2106B|   0   736k|   0  53.0 | 505   861 |1.63 1.41 1.22|  0 1.0   0|   0     0 |mysqld               1575 0.5%   0    0 |python2              2854   14k 471B0.5%|mysqld       187M|   0     0 |  16    7    0    8    0
Mar 27 05:26:19 ubuntu dstat.sh[2298]: 27-03 05:26:19|  1   1  47  51   1| 630M  246M  112M 2844M|3902B 1944B|   0   656k|   0  47.0 | 500   883 |1.63 1.41 1.22|1.0 2.0   0|   0     0 |mysqld               1575 0.5%   0    0 |python2              2854   14k 450B  0%|mysqld       187M|   0     0 |  16    7    0    8    0
Mar 27 05:26:20 ubuntu dstat.sh[2298]: 27-03 05:26:20|  5   4  46  44   1| 630M  246M  112M 2844M|8981B 1566B|   0   480k|   0  40.0 | 535   856 |1.63 1.41 1.22|  0 1.0   0|   0     0 |mysqld               1575 6.5%   0    0 |python2              2854   14k 468B  0%|mysqld       187M|   0     0 |  16    7    0    8    0
Mar 27 05:26:21 ubuntu dstat.sh[2298]: 27-03 05:26:21|  8   9  42  41   0| 630M  245M  112M 2844M|4459B 2200B|   0   480k|   0  44.0 | 586  1047 |1.63 1.41 1.22|  0 1.0   0|   0     0 |mysqld               1575  15%   0    0 |python2              2854   14k 468B0.5%|mysqld       188M|   0     0 |  16    7    0    8    0
Mar 27 05:26:22 ubuntu dstat.sh[2298]: 27-03 05:26:22|  9   8  43  40   1| 631M  245M  112M 2844M|2844B 1944B|   0   432k|   0  42.0 | 584  1106 |1.63 1.41 1.22|  0 1.0 2.0|   0     0 |mysqld               1575  14%   0    0 |python2              2854   14k 459B  0%|mysqld       188M|   0     0 |  16    7    0    8    0
Mar 27 05:26:23 ubuntu dstat.sh[2298]: 27-03 05:26:23|  8   9  33  50   0| 631M  245M  112M 2844M|3688B 1728B|   0  8324k|   0  50.0 | 465   846 |1.58 1.41 1.22|1.0 1.0   0|   0     0 |mysqld               1575  15%   0    0 |python2              2854   14k 475B  0%|mysqld       188M|   0     0 |  16    7    0    8    0
Mar 27 05:26:24 ubuntu dstat.sh[2298]: 27-03 05:26:24| 10   7  39  44   1| 631M  244M  113M 2844M|3172B 1944B|   0   432k|   0  43.0 | 506  1058 |1.58 1.41 1.22|  0 1.0   0|   0     0 |mysqld               1575  13%   0    0 |python2              2854   14k 460B0.5%|mysqld       188M|   0     0 |  16    7    0    8    0
Mar 27 05:26:25 ubuntu dstat.sh[2298]: 27-03 05:26:25| 10   6  46  37   0| 631M  244M  113M 2844M|3414B 1944B|   0   592k|   0  56.0 | 452   914 |1.58 1.41 1.22|2.0 1.0   0|   0     0 |mysqld               1575  13%   0    0 |python2              2854   14k 465B0.5%|mysqld       188M|   0     0 |  16    7    0    8    0
Mar 27 05:26:26 ubuntu dstat.sh[2298]: 27-03 05:26:26|  9  10  35  47   1| 632M  243M  113M 2844M|5492B 1728B|   0   668k|   0  50.0 | 553   953 |1.58 1.41 1.22|  0 1.0 1.0|   0     0 |mysqld               1575  15%   0    0 |python2              2854   14k 462B  0%|mysqld       189M|   0     0 |  16    7    0    8    0
Mar 27 05:26:27 ubuntu dstat.sh[2298]: 27-03 05:26:27| 16  12  26  47   0| 632M  243M  113M 2844M|3506B 1944B|   0   628k|   0  54.0 | 593  1076 |1.58 1.41 1.22|  0 1.0   0|   0     0 |mysqld               1575  26%   0    0 |python2              2854   14k 462B  0%|mysqld       189M|   0     0 |  16    7    0    7    0
Mar 27 05:26:28 ubuntu dstat.sh[2298]: 27-03 05:26:28| 15  13  25  47   1| 632M  243M  113M 2844M|4377B 1944B|   0  1128k|   0  54.0 | 549  1056 |1.61 1.42 1.22|2.0   0   0|   0     0 |mysqld               1575  26%   0    0 |python2              2854   14k 453B  0%|mysqld       189M|   0     0 |  16    7    0    7    0
Mar 27 05:26:29 ubuntu dstat.sh[2298]: 27-03 05:26:29|  4   5  42  49   0| 632M  242M  113M 2844M|6459B 1944B|   0   520k|   0  38.0 | 479   866 |1.61 1.42 1.22|  0 1.0   0|   0     0 |mysqld               1575 6.0%   0    0 |python2              2854   14k 460B0.5%|mysqld       189M|   0     0 |  16    7    0    7    0
Mar 27 05:26:30 ubuntu dstat.sh[2298]: 27-03 05:26:30| 16  12  26  47   0| 632M  242M  113M 2844M|4507B 1728B|   0   552k|   0  47.0 | 542  1066 |1.61 1.42 1.22|1.0 1.0   0|   0     0 |mysqld               1575  24%   0    0 |python2              2854   14k 458B  0%|mysqld       189M|   0     0 |  16    7    0    7    0
Mar 27 05:26:31 ubuntu dstat.sh[2298]: 27-03 05:26:31|  7   6  38  50   1| 633M  242M  113M 2844M|  18k 1944B|   0   408k|   0  38.0 | 512   863 |1.61 1.42 1.22|  0 1.0   0|   0     0 |mysqld               1575  10%   0    0 |python2              2854   14k 461B  0%|mysqld       189M|   0     0 |  16    7    0    7    0
Mar 27 05:26:32 ubuntu dstat.sh[2298]: 27-03 05:26:32|  3   2  46  50   0| 633M  241M  113M 2844M|  11k 1944B|   0   260k|   0  27.0 | 434   830 |1.61 1.42 1.22|  0 1.0 2.0|   0     0 |beam.smp             3153 1.0%   0    0 |python2              2854   14k 459B0.5%|mysqld       189M|   0     0 |  16    7    0    8    0
