"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","31 Mar 2020 22:23:46 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
31-03 22:23:46,14.597,4.164,53.008,26.991,1.240,441782272,788664320,91930624,2600398848,0,0,164461.729,2841562.958,9.048,32.520,726.701,1296.987,1.320,1.360,1.290,2,0,23.197,0,0,14,3,0,6,0
31-03 22:23:47,19.403,32.836,36.318,4.478,6.965,442617856,787247104,91942912,2600726528,4522,2160,188416,122880,3,9,1393,3663,1.320,1.360,1.290,2,0,418,0,0,14,3,0,6,0
31-03 22:23:48,23.529,27.941,36.765,0,11.765,441229312,788389888,91942912,2600976384,4607,2160,94208,16384,1,4,1436,3422,1.320,1.360,1.290,1,0,218,0,0,14,3,0,6,0
31-03 22:23:49,30,25,36.500,0,8.500,442212352,787357696,91942912,2601123840,3402,1890,0,16384,0,4,1614,6744,1.370,1.370,1.300,2,0,200,0,0,14,3,0,6,0
31-03 22:23:50,12.255,25.490,50.980,0,11.275,573157376,655990784,91942912,2729050112,4505,2214,0,0,0,0,1721,3605,1.370,1.370,1.300,3,0,223,0,0,16,5,0,6,0
31-03 22:23:51,38,11.500,46.500,2,2,595644416,633241600,91971584,2729283584,4343,1944,184320,0,12,0,880,1642,1.370,1.370,1.300,0,1,92,0,0,16,5,0,9,0
31-03 22:23:52,25.743,2.970,45.050,24.752,1.485,609353728,617848832,92516352,2730418176,7105,2160,1581056,307200,222,2,687,1263,1.370,1.370,1.300,1,1,0,0,0,16,5,0,9,0
31-03 22:23:53,42.289,3.980,47.761,4.478,1.493,628080640,598265856,92524544,2731229184,4191,1890,630784,0,47,0,607,749,1.370,1.370,1.300,1,0,0,0,0,16,5,0,9,0
31-03 22:23:54,38.308,9.453,34.826,13.930,3.483,646578176,578453504,92643328,2732347392,5557,2214,196608,528384,16,2,789,1350,1.340,1.360,1.300,0,1,0,0,0,16,7,0,9,0
31-03 22:23:55,8.458,3.980,43.284,40.299,3.980,656519168,567980032,92860416,2732654592,3240,1944,0,1888256,0,86,729,1301,1.340,1.360,1.300,0,1,0,0,0,16,7,0,9,0
31-03 22:23:56,3.980,1.990,48.756,43.781,1.493,656850944,566878208,93192192,2733060096,4859,1944,0,1875968,0,130,768,1240,1.340,1.360,1.300,0,1,0,0,0,16,7,0,9,0
31-03 22:23:57,2.488,2.488,47.761,42.786,4.478,657432576,565993472,93347840,2733191168,4081,2160,0,3596288,0,111,612,1013,1.340,1.360,1.300,0,1,2,0,0,16,7,0,9,0
31-03 22:23:58,2.985,2.488,47.264,44.776,2.488,657383424,565567488,93474816,2733527040,4448,1944,0,696320,0,51,570,922,1.340,1.360,1.300,0,1,0,0,0,16,7,0,9,0
31-03 22:23:59,2.500,1.500,48,46,2,657784832,564801536,93642752,2733715456,4381,2160,0,962560,0,66,641,1003,1.400,1.370,1.300,0,1,0,0,0,16,7,0,9,0
31-03 22:24:00,7.960,6.468,38.806,42.786,3.980,658567168,563486720,93974528,2733883392,4838,1944,0,1302528,0,122,1019,1568,1.400,1.370,1.300,0,1,0,0,0,16,7,0,9,0
31-03 22:24:01,9.548,9.548,34.171,40.704,6.030,659173376,562421760,94298112,2733989888,8586,2160,0,1155072,0,118,843,1840,1.400,1.370,1.300,1,1,0,0,0,16,7,0,9,0
31-03 22:24:02,6.965,6.965,41.791,40.796,3.483,659767296,561369088,94658560,2734067712,5297,2160,0,2244608,0,149,822,1810,1.400,1.370,1.300,0,1,0,0,0,16,7,0,9,0
31-03 22:24:03,8.543,6.030,38.191,46.231,1.005,660365312,560476160,94920704,2734092288,4136,2160,0,1548288,0,136,746,1783,1.400,1.370,1.300,1,1,0,0,0,16,7,0,9,0
31-03 22:24:04,11.443,10.448,38.806,36.318,2.985,661008384,559685632,95137792,2734018560,4136,1944,0,1126400,0,91,757,1628,1.360,1.360,1.300,1,1,0,0,0,16,7,0,9,0
