-- Logs begin at Tue 2020-03-31 21:36:02 UTC, end at Tue 2020-03-31 23:23:59 UTC. --
Mar 31 22:23:46 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 31 22:23:46 ubuntu dstat.sh[1796]: [286B blob data]
Mar 31 22:23:46 ubuntu dstat.sh[1796]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 31 22:23:46 ubuntu dstat.sh[1796]: 31-03 22:23:46| 15   4  53  27   1| 421M  753M 87.7M 2480M|   0     0 | 161k 2775k|9.05  32.5 | 727  1297 |1.32 1.36 1.29|1.0   0  23|   0     0 |systemd              1    0.4%   0    0 |bash                 4305 2168k2015k0.2%|mysqld       173M|   0     0 |  14    3    0    6    0
Mar 31 22:23:47 ubuntu dstat.sh[1796]: 31-03 22:23:47| 19  33  36   4   7| 422M  751M 87.7M 2480M|4522B 2160B| 184k  120k|3.00  9.00 |1393  3668 |1.32 1.36 1.29|2.0   0 417|   0     0 |bash                 4305 7.5%1538k  26k|bash                 4305 1538k  26k7.5%|mysqld       173M|   0     0 |  14    3    0    6    0
Mar 31 22:23:48 ubuntu dstat.sh[1796]: 31-03 22:23:48| 24  28  37   0  12| 421M  752M 87.7M 2480M|4607B 2160B|  92k   16k|1.00  4.00 |1437  3409 |1.32 1.36 1.29|1.0   0 218|   0     0 |systemd              1     14%   0    0 |bash                 4305 1795k  14k3.0%|mysqld       173M|   0     0 |  14    3    0    6    0
Mar 31 22:23:49 ubuntu dstat.sh[1796]: 31-03 22:23:49| 30  25  36   0   8| 422M  751M 87.7M 2481M|3402B 1890B|   0    16k|   0  4.00 |1614  6745 |1.37 1.37 1.30|1.0   0 200|   0     0 |systemd              1     16%   0    0 |bash                 4305 1094k9776B2.0%|mysqld       173M|   0     0 |  14    3    0    6    0
Mar 31 22:23:50 ubuntu dstat.sh[1796]: 31-03 22:23:50| 12  25  51   0  11| 547M  626M 87.7M 2603M|4505B 2214B|   0     0 |   0     0 |1723  3612 |1.37 1.37 1.30|1.0   0 224|   0     0 |systemd              1    5.5%   0    0 |bash                 4305  486k  12k4.5%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 31 22:23:51 ubuntu dstat.sh[1796]: 31-03 22:23:51| 38  12  47   2   2| 568M  604M 87.7M 2603M|4343B 1944B| 180k    0 |13.0     0 | 881  1639 |1.37 1.37 1.30|2.0   0  91|   0     0 |keystone-manage      3194  35%5157k  81k|keystone-manage      3194 5157k  81k 35%|mysqld       173M|   0     0 |  16    5    0    9    0
Mar 31 22:23:52 ubuntu dstat.sh[1796]: 31-03 22:23:52| 25   3  45  25   1| 581M  589M 88.2M 2604M|7105B 2160B|1544k  300k| 221  2.00 | 682  1258 |1.37 1.37 1.30|  0 1.0   0|   0     0 |keystone-manage      3194  27%2999k  46k|keystone-manage      3194 2999k  46k 27%|mysqld       173M|   0     0 |  16    5    0    9    0
Mar 31 22:23:53 ubuntu dstat.sh[1796]: 31-03 22:23:53| 43   4  48   4   1| 599M  570M 88.2M 2605M|4191B 1890B| 616k    0 |47.0     0 | 607   748 |1.37 1.37 1.30|1.0   0   0|   0     0 |keystone-manage      3194  45%4992k 124k|keystone-manage      3194 4992k 124k 45%|mysqld       173M|   0     0 |  16    5    0    9    0
Mar 31 22:23:54 ubuntu dstat.sh[1796]: 31-03 22:23:54| 38   9  35  14   3| 617M  552M 88.4M 2606M|5557B 2214B| 192k  516k|16.0  2.00 | 790  1352 |1.34 1.36 1.30|  0 1.0   0|   0     0 |keystone-manage      3194  35%3435k 478k|keystone-manage      3194 3435k 478k 35%|mysqld       177M|   0     0 |  16    7    0    9    0
Mar 31 22:23:55 ubuntu dstat.sh[1796]: 31-03 22:23:55|  9   4  44  40   4| 626M  542M 88.6M 2606M|3240B 1944B|   0  1876k|   0  87.0 | 730  1299 |1.34 1.36 1.30|1.0   0   0|   0     0 |keystone-manage      3194 5.0%  38k  53k|keystone-manage      3194   38k  53k5.0%|mysqld       186M|   0     0 |  16    7    0    9    0
