"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","19 Mar 2020 00:36:51 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
19-03 00:36:51,16.870,4.626,54.522,22.575,1.407,442699776,1023647744,146501632,2307637248,0,0,166775.858,3183252.882,7.829,35.982,753.392,1322.803,1.910,1.380,1.240,2,0,24.908,0,0,14,3,0,4,0
19-03 00:36:52,16.827,31.731,33.173,0.962,17.308,440422400,1025175552,146513920,2308042752,5126,2160,245760,135168,6,12,1252,3620,1.910,1.380,1.240,1,1,371,0,0,14,3,0,4,0
19-03 00:36:53,1.478,1.970,46.798,46.305,3.448,440967168,1024552960,146513920,2308091904,5189,1944,0,258048,0,38,310,350,1.910,1.380,1.240,0,2,1,0,0,14,3,0,4,0
19-03 00:36:54,2.956,0.493,46.798,45.320,4.433,440991744,1024520192,146513920,2308100096,4546,2160,0,69632,0,15,287,388,1.910,1.380,1.240,0,2,0,0,0,14,3,0,4,0
19-03 00:36:55,6.190,12.857,16.667,42.381,21.905,441106432,1024389120,146513920,2308116480,4657,2160,0,1777664,0,132,696,1250,1.910,1.380,1.240,1,1,117,0,0,14,3,0,4,0
19-03 00:36:56,14.623,16.981,22.642,15.094,30.660,441204736,1024221184,146513920,2308128768,3654,1944,0,27062272,0,86,983,3211,2.400,1.490,1.270,3,0,97,0,0,14,3,0,4,0
19-03 00:36:57,16.346,25.962,28.846,1.923,26.923,441802752,1023471616,146518016,2308329472,5269,2160,0,8118272,0,14,1351,3412,2.400,1.490,1.270,2,0,196,0,0,14,3,0,4,0
19-03 00:36:58,17.172,14.141,64.141,0,4.545,571195392,893706240,146518016,2436317184,5753,2160,0,0,0,0,1533,4616,2.400,1.490,1.270,0,0,51,0,0,16,3,0,4,0
19-03 00:36:59,9.045,21.608,66.332,0,3.015,572702720,892198912,146518016,2436317184,5036,1944,0,0,0,0,1185,2688,2.400,1.490,1.270,2,0,242,0,0,16,5,0,4,0
19-03 00:37:00,39.698,8.040,47.739,3.015,1.508,594296832,870244352,146518016,2436636672,4033,2160,196608,0,4,0,882,1334,2.400,1.490,1.270,0,1,53,0,0,16,5,0,6,0
