"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","18 Mar 2020 23:15:00 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
18-03 23:15:00,15.807,4.422,53.500,24.487,1.784,439558144,492040192,144490496,2826874880,0,0,154460.076,2974909.322,7.245,34.545,728.471,1284.674,1.330,1.250,1.220,2,0,23.438,0,0,14,5,0,4,0
18-03 23:15:01,18.182,38.889,37.374,3.535,2.020,438919168,492023808,144494592,2827300864,6066,2160,229376,118784,3,9,1583,4000,1.330,1.250,1.220,3,0,417,0,0,14,3,0,5,0
18-03 23:15:02,26.131,33.166,40.201,0,0.503,439488512,491454464,144494592,2827403264,7883,2160,0,24576,0,6,1871,5507,1.330,1.250,1.220,3,0,287,0,0,14,3,0,4,0
18-03 23:15:03,27.041,29.592,40.816,0,2.551,570413056,360124416,144494592,2955313152,4623,1998,0,8192,0,2,1696,7394,1.330,1.250,1.220,1,0,139,0,0,16,3,0,4,0
18-03 23:15:04,2.538,5.076,75.635,16.751,0,570953728,359546880,144494592,2955386880,5125,2200,0,9256960,0,26,511,1148,1.310,1.240,1.210,3,1,46,0,0,16,5,0,4,0
18-03 23:15:05,29.703,23.762,31.188,12.871,2.475,582131712,348241920,144494592,2955497472,8202,2160,0,7090176,0,90,1451,2913,1.310,1.240,1.210,2,0,250,0,0,16,5,0,6,0
18-03 23:15:06,20.101,4.020,6.030,69.849,0,592842752,337477632,144498688,2955509760,3895,2160,0,20066304,0,21,479,950,1.310,1.240,1.210,1,2,0,0,0,16,5,0,6,0
18-03 23:15:07,2.010,1.005,13.065,83.417,0.503,593649664,336367616,144498688,2955812864,4666,2160,389120,4096,17,1,435,775,1.310,1.240,1.210,1,1,0,0,0,16,5,0,6,0
18-03 23:15:08,13.636,1.515,45.960,35.354,3.535,597745664,331706368,144498688,2956316672,5748,1890,430080,0,51,0,737,983,1.310,1.240,1.210,2,0,0,0,0,16,5,0,6,0
18-03 23:15:09,30.151,3.015,46.231,16.583,4.020,613982208,315035648,144502784,2956668928,5431,2214,266240,0,23,0,784,1122,1.280,1.240,1.210,2,0,0,0,0,16,5,0,6,0
18-03 23:15:10,26.866,3.483,46.766,20.896,1.990,627609600,300531712,144510976,2957475840,5245,2160,589824,0,42,0,596,1086,1.280,1.240,1.210,3,0,2,0,0,16,5,0,6,0
18-03 23:15:11,41.872,7.389,35.468,12.808,2.463,647761920,278892544,144637952,2958565376,4178,1944,188416,593920,14,4,611,1450,1.280,1.240,1.210,3,2,0,0,0,16,7,0,6,0
18-03 23:15:12,10.050,4.020,40.704,44.221,1.005,657440768,268705792,144732160,2958979072,6067,1944,0,1507328,0,61,469,1402,1.280,1.240,1.210,1,1,0,0,0,16,7,0,6,0
18-03 23:15:13,2.956,2.463,46.305,44.335,3.941,657809408,268210176,144769024,2959048704,7210,2052,0,487424,0,36,370,825,1.280,1.240,1.210,1,1,0,0,0,16,7,0,6,0
18-03 23:15:14,2.513,0.503,47.739,48.744,0.503,657829888,267853824,144859136,2959286272,3811,2052,0,958464,0,68,412,1023,1.340,1.250,1.220,1,1,0,0,0,16,7,0,6,0
18-03 23:15:15,1.523,1.015,50.254,47.208,0,658227200,267223040,144957440,2959421440,4733,2160,0,856064,0,58,461,988,1.340,1.250,1.220,1,1,0,0,0,16,7,0,6,0
18-03 23:15:16,2.010,2.010,44.724,50.251,1.005,658518016,266825728,145018880,2959458304,3987,2160,0,3321856,0,83,449,923,1.340,1.250,1.220,1,1,0,0,0,16,7,0,6,0
18-03 23:15:17,3,1.500,46.500,47,2,658628608,266575872,145063936,2959552512,6135,1944,0,569344,0,35,474,777,1.340,1.250,1.220,3,1,0,0,0,16,7,0,6,0
18-03 23:15:18,3.015,2.010,46.734,45.729,2.513,659107840,265809920,145162240,2959740928,4639,2160,0,966656,0,67,560,971,1.340,1.250,1.220,1,1,0,0,0,16,7,0,6,0
18-03 23:15:19,1.493,2.488,45.274,46.766,3.980,659193856,265342976,145244160,2960027648,2882,1944,0,925696,0,64,665,1195,1.390,1.260,1.220,2,0,0,0,0,16,7,0,6,0
18-03 23:15:20,6.468,5.473,37.313,48.259,2.488,659750912,264642560,145321984,2960072704,7966,2160,0,606208,0,60,626,1320,1.390,1.260,1.220,2,1,2,0,0,16,7,0,6,0
18-03 23:15:21,18.500,21.500,11,46.500,2.500,659779584,264564736,145354752,2960089088,6257,1944,0,352256,0,38,528,694,1.390,1.260,1.220,2,4,0,0,0,16,7,0,6,0
18-03 23:15:22,27.861,23.383,0,47.761,0.995,659783680,264548352,145354752,2960101376,5603,2160,0,360448,0,65,615,553,1.390,1.260,1.220,2,3,0,0,0,16,7,0,6,0
18-03 23:15:23,25,27,0,47,1,659705856,264613888,145358848,2960109568,7262,2052,0,495616,0,51,666,617,1.390,1.260,1.220,2,2,0,0,0,16,7,0,6,0
18-03 23:15:24,20.398,22.388,20.398,35.821,0.995,659689472,263692288,145379328,2961027072,5862,2202,0,3489792,0,68,722,934,1.600,1.310,1.240,1,2,0,0,0,16,7,0,6,0
18-03 23:15:25,1.515,1.010,48.485,48.485,0.505,659673088,263569408,145485824,2961059840,7023,2052,0,2310144,0,84,559,957,1.600,1.310,1.240,1,1,0,0,0,16,7,0,6,0
18-03 23:15:26,4.523,7.035,44.724,42.714,1.005,660000768,263184384,145588224,2961014784,8131,2160,0,1794048,0,75,697,1314,1.600,1.310,1.240,1,1,0,0,0,16,7,0,6,0
18-03 23:15:27,10.448,4.478,43.781,40.796,0.498,660516864,262389760,145690624,2961190912,5566,2160,0,647168,0,64,704,1262,1.600,1.310,1.240,2,1,0,0,0,16,7,0,5,0
