"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","09 Jan 2020 21:45:04 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
09-01 21:45:04,5.059,1.590,86.505,6.395,0.451,473165824,522162176,112230400,2788208640,0,0,50097.390,869636.287,2.661,10.270,329.994,409.662,1.340,1.280,1.120,2,0,6.796,0,0,14,3,0,4,0
09-01 21:45:05,18.274,40.609,31.980,8.122,1.015,473825280,520548352,112246784,2788900864,5926,2430,454656,229376,5,12,1358,3816,1.310,1.270,1.110,2,0,332,0,0,14,3,0,4,0
09-01 21:45:06,27.778,34.343,37.374,0,0.505,474152960,519880704,112246784,2789273600,4022,2430,0,20480,0,5,1533,4892,1.310,1.270,1.110,1,0,237,0,0,14,3,0,4,0
09-01 21:45:07,30.256,31.795,37.436,0,0.513,487780352,506163200,112246784,2800037888,5310,2430,0,8192,0,2,2042,5971,1.310,1.270,1.110,2,0,142,0,0,16,3,0,4,0
09-01 21:45:08,11.558,20.603,66.834,0,1.005,605675520,387874816,112246784,2917355520,5784,2592,0,0,0,0,1176,2544,1.310,1.270,1.110,1,0,193,0,0,16,5,0,4,0
09-01 21:45:09,38.191,15.578,45.729,0,0.503,620761088,372604928,112259072,2917494784,5008,2268,32768,0,1,0,1004,1916,1.310,1.270,1.110,1,0,104,0,0,16,5,0,6,0
09-01 21:45:10,21.429,2.041,41.837,34.694,0,632483840,360046592,112377856,2918211584,6162,2430,847872,34922496,95,44,728,1196,1.610,1.340,1.140,1,1,0,0,0,16,5,0,6,0
09-01 21:45:11,44.279,2.985,47.761,3.980,0.995,653918208,337465344,112418816,2919116800,4936,2700,802816,0,66,0,644,947,1.610,1.340,1.140,2,1,0,0,0,16,5,0,6,0
09-01 21:45:12,43.284,6.468,45.274,2.985,1.990,679419904,310321152,112451584,2920480768,4751,2430,516096,0,29,0,628,970,1.610,1.340,1.140,3,0,0,0,0,16,5,0,6,0
09-01 21:45:13,21.393,10.448,37.313,30.348,0.498,692785152,296308736,112599040,2920910848,5616,2430,0,2269184,0,68,1059,1841,1.610,1.340,1.140,0,1,0,0,0,16,7,0,6,0
09-01 21:45:14,2.538,2.538,47.208,47.208,0.508,693178368,295391232,112807936,2921197568,6541,2430,0,1294336,0,90,708,1175,1.610,1.340,1.140,0,1,0,0,0,16,7,0,6,0
09-01 21:45:15,3.015,2.010,47.739,47.236,0,693878784,294092800,112992256,2921607168,5706,2700,0,1150976,0,78,703,1192,1.640,1.350,1.140,0,1,2,0,0,16,7,0,6,0
