-- Logs begin at Wed 2020-04-01 22:44:20 UTC, end at Thu 2020-04-02 00:14:04 UTC. --
Apr 01 23:22:40 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 01 23:22:41 ubuntu dstat.sh[1773]: [286B blob data]
Apr 01 23:22:41 ubuntu dstat.sh[1773]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 01 23:22:41 ubuntu dstat.sh[1773]: 01-04 23:22:41| 18   5  55  20   2| 422M  727M 86.4M 2504M|   0     0 | 204k 2726k|11.6  37.7 | 818  1461 |1.26 1.31 1.17|1.0 2.0  29|   0     0 |systemd              1    0.5%   0    0 |bash                 4298 2694k2505k0.2%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 23:22:42 ubuntu dstat.sh[1773]: 01-04 23:22:42| 24  27  32  14   4| 423M  725M 86.4M 2504M|3741B 2322B| 184k   26M|3.00  39.0 |1461  4011 |1.26 1.31 1.17|1.0   0 284|   0     0 |bash                 4298 3.5%2208k  17k|bash                 4298 2208k  17k3.5%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 23:22:43 ubuntu dstat.sh[1773]: 01-04 23:22:43| 29  28  39   0   4| 422M  726M 86.4M 2504M|4722B 2202B|   0    16k|   0  4.00 |1717  3931 |1.26 1.31 1.17|1.0   0 208|   0     0 |systemd              1     18%   0    0 |bash                 4298 1534k  13k3.5%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 23:22:44 ubuntu dstat.sh[1773]: 01-04 23:22:44| 13  15  71   0   1| 547M  601M 86.4M 2626M|4031B 1944B|   0     0 |   0     0 |1567  4984 |1.26 1.31 1.17|1.0   0  52|   0     0 |systemd              1    9.5%   0    0 |bash                 4298  253k1437B  0%|mysqld       173M|   0     0 |  16    5    0    5    0
Apr 01 23:22:45 ubuntu dstat.sh[1773]: 01-04 23:22:45| 29  26  44   0   2| 558M  590M 86.4M 2626M|4409B 2160B|  68k    0 |1.00     0 |1496  3368 |1.26 1.31 1.17|1.0   0 296|   0     0 |keystone-manage      3173  17%2167k  81k|keystone-manage      3173 2167k  81k 17%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 23:22:46 ubuntu dstat.sh[1773]: 01-04 23:22:46| 25   6  45  18   6| 571M  576M 86.6M 2627M|4442B 2052B| 908k    0 | 105     0 | 899  1363 |1.24 1.30 1.17|1.0   0 2.0|   0     0 |keystone-manage      3173  30%3630k   0 |keystone-manage      3173 3630k   0  30%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 23:22:47 ubuntu dstat.sh[1773]: 01-04 23:22:47| 22   4  38  25  10| 584M  562M 86.7M 2628M|7786B 2052B| 580k  756k|68.0  4.00 | 733   927 |1.24 1.30 1.17|2.0   0   0|   0     0 |keystone-manage      3173  26%3317k  46k|keystone-manage      3173 3317k  46k 26%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 23:22:48 ubuntu dstat.sh[1773]: 01-04 23:22:48| 40   5  45   4   6| 603M  543M 86.7M 2628M|7040B 1944B| 644k    0 |46.0     0 | 708   805 |1.24 1.30 1.17|2.0   0   0|   0     0 |keystone-manage      3173  46%4954k 174k|keystone-manage      3173 4954k 174k 46%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 23:22:49 ubuntu dstat.sh[1773]: 01-04 23:22:49| 34   8  33  18   7| 617M  528M 86.7M 2629M|5235B 2160B| 144k 1020k|14.0  3.00 | 898  1388 |1.24 1.30 1.17|2.0 1.0   0|   0     0 |keystone-manage      3173  31%2515k 428k|keystone-manage      3173 2515k 428k 31%|mysqld       177M|   0     0 |  16    7    0    7    0
Apr 01 23:22:50 ubuntu dstat.sh[1773]: 01-04 23:22:50| 11   5  41  42   2| 626M  518M 86.8M 2630M|4246B 1890B|   0   928k|   0  61.0 | 637  1191 |1.24 1.30 1.17|1.0 1.0   0|   0     0 |python2              1673 6.5%  47k  51k|python2              1673   47k  51k6.5%|mysqld       186M|   0     0 |  16    7    0    7    0
Apr 01 23:22:51 ubuntu dstat.sh[1773]: 01-04 23:22:51|  2   3  48  45   2| 626M  517M 87.0M 2630M|4838B 2214B|   0   932k|   0  68.0 | 635  1073 |1.30 1.31 1.18|1.0 1.0   0|   0     0 |rcu_sched            8    1.0%   0    0 |python2              2243   14k 468B  0%|mysqld       186M|   0     0 |  16    7    0    7    0
Apr 01 23:22:52 ubuntu dstat.sh[1773]: 01-04 23:22:52|  2   2  41  55   0| 627M  517M 87.1M 2630M|4438B 1944B|   0  3228k|   0   102 | 557   858 |1.30 1.31 1.18|1.0 1.0   0|   0     0 |mysqld               1036 1.0%   0    0 |python2              2243   14k 459B  0%|mysqld       186M|   0     0 |  16    7    0    7    0
Apr 01 23:22:53 ubuntu dstat.sh[1773]: 01-04 23:22:53|  4   2  45  48   3| 627M  516M 87.2M 2630M|4597B 2160B|  96k  764k|1.00  58.0 | 673  1097 |1.30 1.31 1.18|1.0 2.0   0|   0     0 |beam.smp             2718 1.5%   0    0 |python2              2243   14k 484B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Apr 01 23:22:54 ubuntu dstat.sh[1773]: 01-04 23:22:54|  2   1  41  55   1| 627M  516M 87.4M 2630M|5595B 1986B|   0   836k|   0  56.0 | 598   969 |1.30 1.31 1.18|1.0 1.0   0|   0     0 |mysqld               1036 1.0%   0    0 |python2              2243   14k 467B0.5%|mysqld       187M|   0     0 |  16    7    0    7    0
Apr 01 23:22:55 ubuntu dstat.sh[1773]: 01-04 23:22:55|  2   2  49  46   1| 627M  515M 87.5M 2631M|6001B 2160B|   0   960k|   0  66.0 | 587  1010 |1.30 1.31 1.18|1.0 1.0   0|   0     0 |mysqld               1036 1.0%   0    0 |python2              2243   14k 468B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Apr 01 23:22:56 ubuntu dstat.sh[1773]: 01-04 23:22:56|  2   2  36  60   1| 628M  515M 87.6M 2631M|3825B 1944B|   0   544k|   0  41.0 | 516   940 |1.35 1.32 1.18|1.0 1.0 2.0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              2243   14k 461B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Apr 01 23:22:57 ubuntu dstat.sh[1773]: 01-04 23:22:57|  3   4  48  45   1| 628M  514M 87.8M 2631M|8338B 1944B|   0   704k|   0  59.0 | 649  1070 |1.35 1.32 1.18|1.0 1.0   0|   0     0 |mysqld               1036 4.0%   0    0 |python2              2243   14k 468B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Apr 01 23:22:58 ubuntu dstat.sh[1773]: 01-04 23:22:58|  7   6  41  46   1| 628M  513M 88.0M 2631M|5133B 1944B|   0  8692k|   0  93.0 | 668  1378 |1.35 1.32 1.18|1.0 1.0   0|   0     0 |mysqld               1036  11%   0    0 |python2              2243   14k 469B0.5%|mysqld       188M|   0     0 |  16    7    0    7    0
Apr 01 23:22:59 ubuntu dstat.sh[1773]: 01-04 23:22:59| 11   8  41  37   3| 629M  512M 88.2M 2631M|5128B 2106B|   0  1048k|   0   106 | 837  1687 |1.35 1.32 1.18|2.0 1.0   0|   0     0 |mysqld               1036  16%   0    0 |python2              2243   13k   0 0.5%|mysqld       188M|   0     0 |  16    7    0    7    0
Apr 01 23:23:00 ubuntu dstat.sh[1773]: 01-04 23:23:00|  7   9  39  42   2| 629M  512M 88.4M 2631M|5822B 1998B|   0   880k|   0  83.0 | 707  1216 |1.35 1.32 1.18|2.0 1.0   0|   0     0 |mysqld               1036  14%   0    0 |python2              2243   15k 939B0.5%|mysqld       188M|   0     0 |  16    7    0    7    0
Apr 01 23:23:01 ubuntu dstat.sh[1773]: 01-04 23:23:01| 13  12  32  41   2| 629M  512M 88.5M 2631M|4436B 1944B|   0   324k|   0  21.0 | 467   751 |1.57 1.37 1.20|1.0 2.0   0|   0     0 |mysqld               1036  22%   0    0 |python2              2243   14k 449B  0%|mysqld       188M|   0     0 |  16    7    0    7    0
Apr 01 23:23:02 ubuntu dstat.sh[1773]: 01-04 23:23:02|  0   2  40  58   1| 630M  510M 88.5M 2631M|5441B 2160B|   0  1228k|   0  22.0 | 311   563 |1.57 1.37 1.20|1.0 1.0   0|   0     0 |kworker/u4:4         2199 1.0%   0    0 |python2              2243   14k 454B  0%|mysqld       188M|   0     0 |  16    7    0    7    0
Apr 01 23:23:03 ubuntu dstat.sh[1773]: 01-04 23:23:03|  2   2  46  46   3| 629M  510M 88.7M 2632M|  87k 2160B|   0  7352k|   0   127 |1723  1336 |1.57 1.37 1.20|1.0 2.0   0|   0     0 |mysqld               1036 2.0%   0    0 |python2              2243   14k 472B0.5%|mysqld       189M|   0     0 |  16    7    0    7    0
Apr 01 23:23:04 ubuntu dstat.sh[1773]: 01-04 23:23:04|  4   3  38  55   1| 629M  510M 88.8M 2632M|5584B 1944B|   0  1844k|   0  79.0 | 452  1022 |1.57 1.37 1.20|1.0 1.0   0|   0     0 |mysqld               1036 3.5%   0    0 |python2              2243   14k 469B  0%|mysqld       189M|   0     0 |  16    7    0    7    0
Apr 01 23:23:05 ubuntu dstat.sh[1773]: 01-04 23:23:05|  8   5  39  45   2| 630M  510M 89.1M 2632M|6056B 2160B|   0  1064k|   0  98.0 | 579  1388 |1.57 1.37 1.20|1.0 1.0   0|   0     0 |mysqld               1036  12%   0    0 |python2              2243   14k 469B  0%|mysqld       189M|   0     0 |  16    7    0    7    0
Apr 01 23:23:06 ubuntu dstat.sh[1773]: 01-04 23:23:06|  6   5  42  42   5| 631M  508M 89.3M 2632M|5997B 1998B|   0  1520k|   0   122 | 691  1872 |1.68 1.40 1.21|1.0 1.0 2.0|   0     0 |mysqld               1036 6.5%   0    0 |python2              2243   14k 476B0.5%|mysqld       190M|   0     0 |  16    7    0    6    0
Apr 01 23:23:07 ubuntu dstat.sh[1773]: 01-04 23:23:07| 12  12  28  43   5| 632M  507M 89.4M 2632M|5822B 2106B|   0  2436k|   0  72.0 | 618  1148 |1.68 1.40 1.21|2.0 3.0   0|   0     0 |mysqld               1036  21%   0    0 |python2              2243   13k   0 0.5%|mysqld       190M|   0     0 |  16    7    0    6    0
Apr 01 23:23:08 ubuntu dstat.sh[1773]: 01-04 23:23:08|  4   8   4  78   7| 631M  508M 89.4M 2632M|4010B 2052B|   0  5860k|   0   132 | 531   668 |1.68 1.40 1.21|  0 3.0   0|   0     0 |mysqld               1036  12%   0    0 |python2              2243   15k 939B  0%|mysqld       190M|   0     0 |  16    7    0    6    0
Apr 01 23:23:09 ubuntu dstat.sh[1773]: 01-04 23:23:09|  5   4  29  56   5| 631M  508M 89.5M 2632M|5092B 2052B|   0  1656k|   0   108 | 565   947 |1.68 1.40 1.21|  0 1.0   0|   0     0 |mysqld               1036 6.5%   0    0 |python2              2243   14k 469B0.5%|mysqld       190M|   0     0 |  16    7    0    6    0
Apr 01 23:23:10 ubuntu dstat.sh[1773]: 01-04 23:23:10| 12  10  38  36   4| 632M  507M 89.6M 2632M|4271B 2202B|   0   896k|   0  66.0 | 582  1161 |1.68 1.40 1.21|1.0   0   0|   0     0 |mysqld               1036  21%   0    0 |python2              2243   14k 463B  0%|mysqld       191M|   0     0 |  16    7    0    6    0
Apr 01 23:23:11 ubuntu dstat.sh[1773]: 01-04 23:23:11|  6   7  44  40   2| 632M  507M 89.7M 2632M|4310B 1944B|   0   576k|   0  38.0 | 509  1020 |1.71 1.41 1.21|  0 2.0   0|   0     0 |mysqld               1036  10%   0    0 |python2              2243   14k 468B  0%|mysqld       191M|   0     0 |  16    7    0    6    0
Apr 01 23:23:12 ubuntu dstat.sh[1773]: 01-04 23:23:12|  5   1  47  46   2| 632M  507M 89.8M 2632M|4392B 1944B|   0   768k|   0  49.0 | 529  1202 |1.71 1.41 1.21|  0 1.0   0|   0     0 |keystone-manage      3173 2.0%5657B3427B|python2              2243   14k 456B0.5%|mysqld       191M|   0     0 |  16    7    0    6    0
Apr 01 23:23:13 ubuntu dstat.sh[1773]: 01-04 23:23:13|  2   6  45  42   4| 633M  440M 89.9M 2696M|4049B 2052B|   0  3668k|   0  24.0 | 420   799 |1.71 1.41 1.21|  0 1.0   0|   0     0 |mysqld               1036 5.5%   0    0 |python2              2243   14k 468B  0%|mysqld       192M|   0     0 |  16    7    0    6    0
Apr 01 23:23:14 ubuntu dstat.sh[1773]: 01-04 23:23:14|  3   1  20  74   1| 633M  440M 89.9M 2696M|3330B 2052B|   0    30M|   0  30.0 | 313   582 |1.71 1.41 1.21|  0 2.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              2243   14k 465B  0%|mysqld       192M|   0     0 |  16    7    0    6    0
Apr 01 23:23:15 ubuntu dstat.sh[1773]: 01-04 23:23:15|  2   1  47  49   1| 633M  440M 89.9M 2696M|3551B 2160B|   0    31M|   0  41.0 | 379   918 |1.71 1.41 1.21|1.0 3.0   0|   0     0 |kworker/u4:4         2199 0.5%   0    0 |python2              2243   14k   0 0.5%|mysqld       192M|   0     0 |  16    7    0    6    0
Apr 01 23:23:16 ubuntu dstat.sh[1773]: 01-04 23:23:16|  2   1   1  96   1| 633M  440M 89.9M 2696M|3675B 1944B|   0   696k|   0   112 | 367   628 |1.81 1.43 1.22|1.0 3.0 2.0|   0     0 |jbd2/vda1-8          291  0.5%   0    0 |python2              2243   14k 930B  0%|mysqld       192M|   0     0 |  16    7    0    6    0
Apr 01 23:23:17 ubuntu dstat.sh[1773]: 01-04 23:23:17|  2   1   0  97   1| 633M  440M 89.9M 2696M|3380B 1944B|   0   512k|   0  62.0 | 307   522 |1.81 1.43 1.22|1.0 3.0   0|   0     0 |etcd                 2864 1.0%   0    0 |python2              2243   14k 456B0.5%|mysqld       192M|   0     0 |  16    7    0    6    0
Apr 01 23:23:18 ubuntu dstat.sh[1773]: 01-04 23:23:18|  2   1  30  67   0| 633M  440M 89.9M 2696M|3361B 2254B|   0  1132k|   0  63.0 | 321   629 |1.81 1.43 1.22|  0 2.0   0|   0     0 |beam.smp             2718 0.5%   0    0 |python2              2243   14k 452B  0%|mysqld       192M|   0     0 |  16    7    0    6    0
