-- Logs begin at Wed 2020-04-01 22:20:22 UTC, end at Wed 2020-04-01 23:55:03 UTC. --
Apr 01 23:01:47 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 01 23:01:48 ubuntu dstat.sh[1818]: [286B blob data]
Apr 01 23:01:48 ubuntu dstat.sh[1818]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 01 23:01:48 ubuntu dstat.sh[1818]: 01-04 23:01:48| 17   5  55  22   2| 420M  753M 88.7M 2479M|   0     0 | 186k 3142k|10.4  36.7 | 753  1362 |1.34 1.36 1.23|1.0   0  27|   0     0 |systemd              1    0.5%   0    0 |bash                 4348 2499k2324k0.2%|mysqld       174M|   0     0 |  14    3    0    5    0
Apr 01 23:01:49 ubuntu dstat.sh[1818]: 01-04 23:01:49| 21  39  37   3   1| 420M  753M 88.7M 2479M|4252B 2160B| 184k  116k|3.00  10.0 |1491  4236 |1.34 1.36 1.23|2.0   0 436|   0     0 |bash                 4348 7.0%1834k  28k|bash                 4348 1834k  28k7.0%|mysqld       174M|   0     0 |  14    3    0    5    0
Apr 01 23:01:50 ubuntu dstat.sh[1818]: 01-04 23:01:50| 25  34  38   0   4| 421M  752M 88.7M 2479M|4463B 1944B|   0    20k|   0  5.00 |1979  6210 |1.34 1.36 1.23|2.0   0 276|   0     0 |systemd              1    9.5%   0    0 |bash                 4348 2137k  18k4.0%|mysqld       174M|   0     0 |  14    3    0    5    0
Apr 01 23:01:51 ubuntu dstat.sh[1818]: 01-04 23:01:51| 28  27  38   0   8| 546M  626M 88.7M 2601M|  13k 2160B|   0  8192B|   0  2.00 |2273  7298 |1.34 1.36 1.23|  0   0 140|   0     0 |systemd              1     20%   0    0 |bash                 4348  568k4297B1.0%|mysqld       174M|   0     0 |  16    3    0    5    0
Apr 01 23:01:52 ubuntu dstat.sh[1818]: 01-04 23:01:52|  7  11  82   0   0| 547M  626M 88.7M 2601M|5766B 2160B|   0     0 |   0     0 | 824  1828 |1.23 1.33 1.22|1.0   0 133|   0     0 |bash                 4348 1.5% 271k7055B|bash                 4348  271k7055B1.5%|mysqld       174M|   0     0 |  16    5    0    5    0
Apr 01 23:01:53 ubuntu dstat.sh[1818]: 01-04 23:01:53| 38  15  46   0   1| 565M  607M 88.7M 2601M|4913B 2160B|   0     0 |   0     0 |1053  2116 |1.23 1.33 1.22|1.0   0 162|   0     0 |keystone-manage      3217  31%4616k  81k|keystone-manage      3217 4616k  81k 31%|mysqld       174M|   0     0 |  16    5    0    7    0
Apr 01 23:01:54 ubuntu dstat.sh[1818]: 01-04 23:01:54|  5   2  35  59   0| 568M  604M 88.9M 2602M|5490B 2160B| 516k  248k|54.0  2.00 | 494   825 |1.23 1.33 1.22|  0 1.0   0|   0     0 |keystone-manage      3217 3.0% 567k   0 |keystone-manage      3217  567k   0 3.0%|mysqld       174M|   0     0 |  16    5    0    7    0
Apr 01 23:01:55 ubuntu dstat.sh[1818]: 01-04 23:01:55|  7   1  48  44   0| 569M  602M 88.9M 2602M|4509B 1944B| 460k  232k|52.0  2.00 | 624   868 |1.23 1.33 1.22|1.0   0   0|   0     0 |keystone-manage      3217 6.5% 430k   0 |keystone-manage      3217  430k   0 6.5%|mysqld       174M|   0     0 |  16    5    0    7    0
Apr 01 23:01:56 ubuntu dstat.sh[1818]: 01-04 23:01:56|  8   2  48  42   0| 574M  597M 89.2M 2602M|4976B 2160B| 712k    0 | 120     0 | 707  1031 |1.23 1.33 1.22|  0 1.0   0|   0     0 |keystone-manage      3217 7.5% 873k   0 |keystone-manage      3217  873k   0 7.5%|mysqld       174M|   0     0 |  16    5    0    7    0
Apr 01 23:01:57 ubuntu dstat.sh[1818]: 01-04 23:01:57| 40   4  47   8   2| 593M  577M 89.2M 2603M|4870B 2160B| 720k    0 |56.0     0 | 730   899 |1.21 1.33 1.22|1.0   0 2.0|   0     0 |keystone-manage      3217  42%4719k  85k|keystone-manage      3217 4719k  85k 42%|mysqld       174M|   0     0 |  16    5    0    7    0
Apr 01 23:01:58 ubuntu dstat.sh[1818]: 01-04 23:01:58| 46   8  41   4   3| 617M  552M 89.2M 2604M|4808B 1944B| 192k    0 |16.0     0 | 811  1075 |1.21 1.33 1.22|3.0   0   0|   0     0 |keystone-manage      3217  46%5379k 564k|keystone-manage      3217 5379k 564k 46%|mysqld       177M|   0     0 |  16    7    0    7    0
Apr 01 23:01:59 ubuntu dstat.sh[1818]: 01-04 23:01:59| 12   8  38  41   1| 626M  543M 89.3M 2605M|4468B 1944B|   0  1796k|   0  42.0 | 728  1293 |1.21 1.33 1.22|  0 1.0   0|   0     0 |python2              1568 9.5%  73k  80k|python2              1568   73k  80k9.5%|mysqld       186M|   0     0 |  16    7    0    7    0
Apr 01 23:02:00 ubuntu dstat.sh[1818]: 01-04 23:02:00|  3   1  49  47   1| 627M  541M 89.4M 2605M|4490B 2160B|   0  1944k|   0  65.0 | 500   917 |1.21 1.33 1.22|  0 2.0   0|   0     0 |mysqld               1087 0.5%   0    0 |python2              1921   14k 450B  0%|mysqld       186M|   0     0 |  16    7    0    7    0
Apr 01 23:02:01 ubuntu dstat.sh[1818]: 01-04 23:02:01|  3   1  49  48   1| 626M  542M 89.5M 2605M|5287B 1944B|   0  1664k|   0  54.0 | 409   815 |1.21 1.33 1.22|  0 1.0   0|   0     0 |mysqld               1087 0.5%   0    0 |python2              1921   14k 462B  0%|mysqld       186M|   0     0 |  16    7    0    7    0
Apr 01 23:02:02 ubuntu dstat.sh[1818]: 01-04 23:02:02|  2   1  50  47   1| 626M  541M 89.6M 2605M|3514B 2160B|   0   668k|   0  48.0 | 457   917 |1.28 1.34 1.23|  0 1.0   0|   0     0 |etcd                 2824 1.5%   0    0 |python2              1921   14k 457B0.5%|mysqld       186M|   0     0 |  16    7    0    7    0
Apr 01 23:02:03 ubuntu dstat.sh[1818]: 01-04 23:02:03|  2   2  49  46   2| 627M  541M 89.7M 2605M|6494B 1944B|   0   880k|   0  60.0 | 530  1013 |1.28 1.34 1.23|  0 1.0   0|   0     0 |mysqld               1087 1.5%   0    0 |python2              1921   14k 462B0.5%|mysqld       187M|   0     0 |  16    7    0    7    0
Apr 01 23:02:04 ubuntu dstat.sh[1818]: 01-04 23:02:04|  2   1  49  47   1| 627M  540M 89.9M 2605M|5790B 1944B|   0   616k|   0  44.0 | 470   943 |1.28 1.34 1.23|  0 1.0   0|   0     0 |mysqld               1087 1.0%   0    0 |python2              1921   14k 461B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Apr 01 23:02:05 ubuntu dstat.sh[1818]: 01-04 23:02:05|  2   1  50  48   0| 627M  540M 89.9M 2605M|4589B 2160B|   0   364k|   0  27.0 | 379   850 |1.28 1.34 1.23|  0 1.0   0|   0     0 |mysqld               1087 0.5%   0    0 |python2              1921   14k 451B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Apr 01 23:02:06 ubuntu dstat.sh[1818]: 01-04 23:02:06|  2   1  49  48   0| 627M  540M 90.0M 2605M|3020B 2160B|   0   356k|   0  28.0 | 393   801 |1.28 1.34 1.23|  0 1.0   0|   0     0 |python2              1921 0.5%  14k 451B|python2              1921   14k 451B0.5%|mysqld       187M|   0     0 |  16    7    0    7    0
Apr 01 23:02:07 ubuntu dstat.sh[1818]: 01-04 23:02:07|  3   1  47  49   0| 627M  539M 90.1M 2606M|4938B 1944B|   0   504k|   0  31.0 | 459   909 |1.33 1.35 1.23|  0 1.0 2.0|   0     0 |jbd2/vda1-8          286  0.5%   0    0 |python2              1921   14k 441B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Apr 01 23:02:08 ubuntu dstat.sh[1818]: 01-04 23:02:08|  3   1  49  45   2| 628M  539M 90.3M 2606M|3782B 2160B|   0  1080k|   0  84.0 | 609  1107 |1.33 1.35 1.23|  0 1.0   0|   0     0 |mysqld               1087 2.0%   0    0 |python2              1921   14k 463B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Apr 01 23:02:09 ubuntu dstat.sh[1818]: 01-04 23:02:09| 12  10  33  44   3| 628M  537M 90.6M 2606M|3344B 1944B|   0  1164k|   0   121 | 879  1688 |1.33 1.35 1.23|  0 1.0   0|   0     0 |mysqld               1087  17%   0    0 |python2              1921   14k 471B  0%|mysqld       188M|   0     0 |  16    7    0    8    0
Apr 01 23:02:10 ubuntu dstat.sh[1818]: 01-04 23:02:10|  8   7  46  37   1| 629M  537M 90.8M 2606M|4098B 2160B|   0   788k|   0  86.0 | 799  1266 |1.33 1.35 1.23|1.0 1.0   0|   0     0 |mysqld               1087  13%   0    0 |python2              1921   14k 456B1.0%|mysqld       189M|   0     0 |  16    7    0    8    0
Apr 01 23:02:11 ubuntu dstat.sh[1818]: 01-04 23:02:11|  3   5  15  78   0| 631M  534M 90.9M 2606M|4106B 1944B|   0  4848k|   0  60.0 | 423   730 |1.33 1.35 1.23|  0 2.0   0|   0     0 |mysqld               1087 2.0%   0    0 |python2              1921   14k 452B  0%|mysqld       189M|   0     0 |  16    7    0    6    0
Apr 01 23:02:12 ubuntu dstat.sh[1818]: 01-04 23:02:12|  5   6  30  59   0| 629M  536M 90.9M 2606M|4885B 1944B|   0  4964k|   0   110 | 571  1023 |1.39 1.36 1.23|  0 1.0   0|   0     0 |mysqld               1087 8.0%   0    0 |python2              1921   14k 454B  0%|mysqld       189M|   0     0 |  16    7    0    6    0
Apr 01 23:02:13 ubuntu dstat.sh[1818]: 01-04 23:02:13|  6   4  40  49   2| 629M  536M 91.1M 2606M|5631B 2160B|   0   832k|   0  73.0 | 677  1158 |1.39 1.36 1.23|  0 1.0   0|   0     0 |mysqld               1087 7.0%   0    0 |python2              1921   14k 462B  0%|mysqld       189M|   0     0 |  16    7    0    6    0
Apr 01 23:02:14 ubuntu dstat.sh[1818]: 01-04 23:02:14|  9   9  33  48   2| 630M  535M 91.3M 2606M|3366B 1944B|   0   800k|   0  73.0 | 674  1262 |1.39 1.36 1.23|  0 1.0   0|   0     0 |mysqld               1087  15%   0    0 |python2              1921   14k 458B  0%|mysqld       189M|   0     0 |  16    7    0    6    0
Apr 01 23:02:15 ubuntu dstat.sh[1818]: 01-04 23:02:15|  4   5  42  48   1| 630M  535M 91.4M 2606M|4137B 2160B|   0   776k|   0  66.0 | 635  1157 |1.39 1.36 1.23|  0 1.0   0|   0     0 |mysqld               1087 6.5%   0    0 |python2              1921   14k 462B  0%|mysqld       189M|   0     0 |  16    7    0    6    0
