"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","27 Mar 2020 19:40:16 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
27-03 19:40:16,12.994,3.812,60.776,20.725,1.692,440705024,433983488,116228096,2897514496,0,0,170301.858,2659869.707,9.774,27.537,617.486,1040.128,1.120,1.270,1.260,2,0,21.760,0,0,14,3,0,5,0
27-03 19:40:17,16.410,33.333,37.949,12.308,0,440922112,433369088,116236288,2897690624,5490,1944,0,528384,0,14,1334,3510,1.190,1.280,1.260,2,0,366,0,0,14,3,0,5,0
27-03 19:40:18,26.131,33.668,39.196,0,1.005,441245696,432992256,116236288,2897723392,4071,1944,0,20480,0,5,1266,4068,1.190,1.280,1.260,0,1,283,0,0,14,3,0,5,0
27-03 19:40:19,22.564,26.154,40,10.256,1.026,442114048,432082944,116236288,2897821696,4129,1944,0,16384,0,4,1404,4559,1.190,1.280,1.260,1,0,161,0,0,14,3,0,5,0
27-03 19:40:20,11.881,15.842,67.327,0,4.950,572878848,300814336,116236288,3025920000,3446,1728,0,0,0,0,1033,2960,1.190,1.280,1.260,1,0,152,0,0,16,5,0,5,0
27-03 19:40:21,30.348,16.915,48.756,0,3.980,584781824,288796672,116244480,3026010112,3917,1944,0,0,0,0,1004,2055,1.190,1.280,1.260,2,0,162,0,0,16,5,0,7,0
27-03 19:40:22,13.433,1.493,44.776,37.811,2.488,595398656,277561344,116252672,3026620416,3564,1728,548864,1191936,28,27,509,759,1.260,1.290,1.270,0,2,0,0,0,16,5,0,7,0
27-03 19:40:23,4.040,1.010,32.828,58.586,3.535,596058112,276828160,116252672,3026673664,5766,1944,86016,8990720,14,72,504,749,1.260,1.290,1.270,0,2,0,0,0,16,5,0,7,0
27-03 19:40:24,2.010,1.005,49.246,47.739,0,596463616,276418560,116252672,3026677760,5823,1728,61440,10690560,7,12,449,771,1.260,1.290,1.270,0,2,0,0,0,16,5,0,7,0
27-03 19:40:25,5.076,0.508,49.746,44.162,0.508,598425600,274288640,116252672,3026808832,8930,1944,73728,15642624,12,15,413,693,1.260,1.290,1.270,0,1,0,0,0,16,5,0,7,0
27-03 19:40:26,17.500,3,49,29.500,1,611356672,260800512,116391936,3027165184,6266,1944,421888,0,59,0,579,1000,1.260,1.290,1.270,1,0,2,0,0,16,5,0,7,0
27-03 19:40:27,24.623,1.005,42.714,30.653,1.005,618352640,253177856,116400128,3027730432,5874,1566,557056,290816,39,2,602,751,1.320,1.310,1.270,1,0,0,0,0,16,5,0,7,0
27-03 19:40:28,32.836,4.478,48.756,12.935,0.995,640872448,229912576,116449280,3028262912,4531,1944,151552,0,14,0,499,780,1.320,1.310,1.270,1,0,0,0,0,16,5,0,7,0
