"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","18 Mar 2020 11:31:28 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
18-03 11:31:28,18.305,5.132,55.549,19.667,1.348,445763584,721874944,146558976,2597257216,0,0,197614.517,3551436.994,9.089,39.401,823.612,1435.913,1.740,1.310,1.160,2,0,27.153,0,0,14,3,0,4,0
18-03 11:31:29,24.747,36.364,35.859,1.515,1.515,442155008,724881408,146571264,2597650432,6760,1944,184320,110592,2,8,1452,4047,1.740,1.310,1.160,1,0,428,0,0,14,3,0,4,0
18-03 11:31:30,24.623,32.161,39.196,0,4.020,443981824,723009536,146571264,2597658624,5330,2160,0,24576,0,6,1716,4404,1.740,1.310,1.160,1,0,274,0,0,14,3,0,4,0
18-03 11:31:31,30.151,30.653,38.191,0,1.005,443699200,723288064,146571264,2597765120,5400,2160,0,12288,0,3,1965,7035,1.840,1.340,1.170,1,0,177,0,0,14,3,0,4,0
18-03 11:31:32,4.545,6.061,89.394,0,0,573526016,593072128,146571264,2725715968,5071,2202,0,0,0,0,930,2725,1.840,1.340,1.170,1,0,19,0,0,16,3,0,4,0
18-03 11:31:33,25.253,25.253,48.990,0,0.505,583225344,583249920,146571264,2725822464,5811,2160,0,0,0,0,1358,3156,1.840,1.340,1.170,1,0,295,0,0,16,5,0,7,0
18-03 11:31:34,38.806,6.468,46.269,7.463,0.995,600219648,565317632,146571264,2726686720,4351,2160,811008,163840,66,2,697,882,1.840,1.340,1.170,0,1,0,0,0,16,5,0,7,0
18-03 11:31:35,32.663,3.518,48.744,14.573,0.503,617586688,547553280,146579456,2726981632,7499,1944,278528,0,26,0,519,737,1.840,1.340,1.170,1,0,0,0,0,16,5,0,7,0
18-03 11:31:36,27.228,3.465,47.525,21.287,0.495,632938496,531271680,146587648,2727796736,10336,2160,585728,0,41,0,677,893,1.770,1.330,1.170,1,0,0,0,0,16,5,0,7,0
18-03 11:31:37,34.848,10.606,36.364,17.677,0.505,650698752,512110592,146640896,2728902656,7134,2160,241664,249856,15,3,785,1445,1.770,1.330,1.170,0,3,0,0,0,16,7,0,7,0
18-03 11:31:38,9.453,5.970,41.791,42.289,0.498,660480000,502026240,146718720,2729103360,5084,2160,0,1683456,0,43,549,1137,1.770,1.330,1.170,0,1,0,0,0,16,7,0,7,0
18-03 11:31:39,3.483,1.990,46.269,47.264,0.995,660713472,501293056,146898944,2729422848,6002,1944,0,1519616,0,105,676,1220,1.770,1.330,1.170,0,1,0,0,0,16,7,0,7,0
18-03 11:31:40,2.525,1.010,49.495,46.465,0.505,661082112,500527104,146993152,2729721856,5523,2160,0,909312,0,64,545,1043,1.770,1.330,1.170,0,1,0,0,0,16,7,0,7,0
18-03 11:31:41,2.010,3.015,45.226,48.744,1.005,661659648,499363840,147136512,2730110976,5118,2160,81920,1425408,1,107,728,1368,1.870,1.360,1.180,1,0,2,0,0,16,7,0,7,0
18-03 11:31:42,2.525,2.020,23.232,71.212,1.010,661745664,498954240,147255296,2730315776,5977,2160,0,1650688,0,144,677,1056,1.870,1.360,1.180,0,3,0,0,0,16,7,0,7,0
18-03 11:31:43,2.513,0.503,38.191,56.784,2.010,661962752,497745920,147329024,2731233280,8482,1944,0,3428352,0,148,632,1137,1.870,1.360,1.180,0,2,0,0,0,16,7,0,7,0
18-03 11:31:44,1.493,2.985,39.801,52.736,2.985,662028288,497586176,147398656,2731257856,5741,2160,0,1515520,0,71,543,978,1.870,1.360,1.180,0,1,0,0,0,16,7,0,7,0
18-03 11:31:45,6.829,5.366,43.902,39.024,4.878,662745088,496599040,147550208,2731376640,6730,2160,0,1605632,0,96,673,1267,1.870,1.360,1.180,1,1,0,0,0,16,7,0,7,0
18-03 11:31:46,12.438,8.458,31.841,43.284,3.980,663412736,495706112,147685376,2731466752,5685,2052,0,978944,0,102,681,1693,1.960,1.390,1.190,1,1,0,0,0,16,7,0,7,0
18-03 11:31:47,4.523,7.035,46.231,38.191,4.020,663592960,495296512,147836928,2731540480,5847,2052,0,778240,0,76,692,1264,1.960,1.390,1.190,0,1,0,0,0,16,7,0,7,0
18-03 11:31:48,4,6,43.500,44,2.500,663916544,494821376,147931136,2731597824,5457,2160,0,3252224,0,84,533,965,1.960,1.390,1.190,0,1,0,0,0,16,7,0,7,0
18-03 11:31:49,4.500,3,43.500,47.500,1.500,664428544,494239744,148082688,2731507712,7289,2160,0,1114112,0,89,602,1318,1.960,1.390,1.190,1,0,0,0,0,16,7,0,7,0
18-03 11:31:50,8.500,10,37.500,41.500,2.500,664821760,493727744,148230144,2731479040,4317,1944,0,1179648,0,98,761,1411,1.960,1.390,1.190,1,1,0,0,0,16,7,0,7,0
18-03 11:31:51,2.538,2.538,48.223,45.685,1.015,665280512,493191168,148291584,2731495424,4680,2254,0,475136,0,42,520,995,2.530,1.510,1.230,0,1,2,0,0,16,7,0,6,0
18-03 11:31:52,2.041,0.510,44.898,51.531,1.020,665235456,493256704,148320256,2731446272,3771,1944,0,208896,0,17,379,759,2.530,1.510,1.230,2,0,0,0,0,16,7,0,6,0
18-03 11:31:53,3,1,46.500,49,0.500,665448448,492838912,148361216,2731610112,3989,2160,0,2498560,0,33,466,1033,2.530,1.510,1.230,0,1,0,0,0,16,7,0,6,0
18-03 11:31:54,7.107,9.137,41.624,42.132,0,665649152,492494848,148475904,2731634688,4494,2160,0,5156864,0,123,715,1600,2.530,1.510,1.230,0,1,0,0,0,16,7,0,6,0
18-03 11:31:55,8.081,4.545,45.960,40.909,0.505,666423296,491511808,148680704,2731606016,4578,2160,0,1589248,0,106,869,2004,2.530,1.510,1.230,1,1,0,0,0,16,7,0,6,0
18-03 11:31:56,7.921,4.950,41.584,42.079,3.465,666669056,491032576,148815872,2731700224,4475,2160,0,1261568,0,88,752,1910,2.480,1.520,1.240,0,1,0,0,0,16,7,0,6,0
18-03 11:31:57,3.553,5.584,47.716,42.132,1.015,667869184,420978688,148885504,2798952448,5269,2106,0,28131328,0,78,708,1312,2.480,1.520,1.240,0,1,0,0,0,16,7,0,6,0
18-03 11:31:58,1.508,1.005,23.618,73.367,0.503,668020736,420814848,148885504,2798960640,5772,1998,0,42000384,0,102,461,715,2.480,1.520,1.240,0,2,0,0,0,16,7,0,6,0
18-03 11:31:59,2.513,1.508,48.744,47.236,0,667820032,420696064,149016576,2799140864,5814,2160,0,1425408,0,107,586,1156,2.480,1.520,1.240,0,1,0,0,0,16,7,0,6,0
18-03 11:32:00,4.040,1.515,46.970,46.970,0.505,668368896,419827712,149123072,2799333376,6231,2160,0,1175552,0,88,680,1345,2.480,1.520,1.240,0,1,0,0,0,16,7,0,6,0
18-03 11:32:01,6.897,5.419,39.901,47.291,0.493,668577792,419237888,149282816,2799529984,5136,2160,0,1044480,0,84,646,1382,2.440,1.530,1.240,0,1,2,0,0,16,7,0,6,0
18-03 11:32:02,4.569,5.076,44.162,45.178,1.015,668934144,418557952,149450752,2799652864,6405,2160,0,1114112,0,94,794,1528,2.440,1.530,1.240,0,1,0,0,0,16,7,0,6,0
18-03 11:32:03,3.535,1.515,48.485,45.960,0.505,669184000,417951744,149585920,2799865856,5221,2160,0,1175552,0,85,669,1264,2.440,1.530,1.240,0,1,0,0,0,16,7,0,6,0
18-03 11:32:04,6.030,8.543,29.146,55.779,0.503,669454336,417435648,149712896,2799968256,5008,2160,0,1445888,0,128,831,1512,2.440,1.530,1.240,0,1,0,0,0,16,7,0,6,0
18-03 11:32:05,10.660,11.168,41.624,34.518,2.030,669835264,416829440,149901312,2800001024,5336,1944,0,1327104,0,111,829,1776,2.440,1.530,1.240,2,0,0,0,0,16,7,0,6,0
18-03 11:32:06,6.030,3.015,44.221,44.724,2.010,669925376,416641024,149999616,2799996928,5607,2160,0,729088,0,51,659,1286,2.490,1.550,1.250,0,2,0,0,0,16,7,0,6,0
18-03 11:32:07,2.010,1.508,28.643,66.332,1.508,670044160,416448512,150048768,2800021504,6391,2160,0,348160,0,30,478,803,2.490,1.550,1.250,1,0,0,0,0,16,7,0,6,0
18-03 11:32:08,9.453,7.463,42.786,38.308,1.990,670515200,415641600,150249472,2800128000,6655,1944,0,1699840,0,125,855,1736,2.490,1.550,1.250,0,1,0,0,0,16,7,0,6,0
18-03 11:32:09,8.955,7.960,41.791,39.303,1.990,670842880,415129600,150401024,2800152576,4764,2160,0,2568192,0,134,785,1476,2.490,1.550,1.250,0,1,0,0,0,16,7,0,6,0
18-03 11:32:10,6.533,5.528,42.211,42.714,3.015,670969856,414846976,150556672,2800152576,4534,2160,0,1433600,0,105,769,1688,2.490,1.550,1.250,0,1,0,0,0,16,7,0,6,0
18-03 11:32:11,9.091,6.566,45.960,37.374,1.010,671170560,414527488,150724608,2800099328,7376,2160,0,1302528,0,113,784,1641,2.450,1.560,1.260,0,1,2,0,0,16,7,0,6,0
18-03 11:32:12,4.523,2.513,46.734,44.724,1.508,671260672,414085120,150859776,2800304128,5349,1998,0,1241088,0,85,606,1188,2.450,1.560,1.260,0,1,0,0,0,16,7,0,6,0
18-03 11:32:13,11,6.500,37,45,0.500,671395840,413802496,151035904,2800267264,5841,2106,0,1265664,0,102,895,2097,2.450,1.560,1.260,3,0,0,0,0,16,7,0,6,0
18-03 11:32:14,8.955,4.975,32.338,53.234,0.498,671526912,413528064,151105536,2800324608,4659,2160,0,1527808,0,105,815,1687,2.450,1.560,1.260,1,1,0,0,0,16,7,0,6,0
18-03 11:32:15,8.374,8.374,39.409,42.365,1.478,671715328,413245440,151183360,2800336896,4209,2160,0,1200128,0,89,697,1551,2.450,1.560,1.260,1,0,0,0,0,16,7,0,6,0
18-03 11:32:16,14.646,12.121,39.394,29.293,4.545,672104448,412672000,151330816,2800369664,5998,1944,0,1622016,0,119,1127,2143,2.410,1.570,1.260,0,1,0,0,0,16,7,0,6,0
18-03 11:32:17,7.035,7.538,43.719,39.698,2.010,672346112,412262400,151482368,2800373760,4922,2160,0,1454080,0,109,873,1623,2.410,1.570,1.260,0,1,0,0,0,16,7,0,6,0
18-03 11:32:18,39.109,23.267,26.733,9.901,0.990,673263616,410685440,151564288,2800926720,5767,2160,0,864256,0,57,935,2211,2.410,1.570,1.260,2,1,0,0,0,16,7,0,6,0
18-03 11:32:19,14.356,17.822,42.574,24.752,0.495,673267712,410529792,151687168,2800943104,5362,1944,0,1007616,0,71,748,1117,2.410,1.570,1.260,0,1,0,0,0,16,7,0,6,0
18-03 11:32:20,11.168,7.614,43.147,35.533,2.538,673570816,410050560,151814144,2800988160,4699,2160,0,1503232,0,127,1203,2229,2.410,1.570,1.260,0,1,0,0,0,16,7,0,6,0
18-03 11:32:21,8.543,8.543,34.673,48.241,0,674009088,409354240,151937024,2801115136,4367,1944,0,1130496,0,89,757,1336,2.300,1.560,1.260,0,1,2,0,0,16,7,0,6,0
18-03 11:32:22,7.107,6.599,38.071,47.716,0.508,673861632,409358336,152043520,2801147904,5139,2160,0,1302528,0,102,915,1689,2.300,1.560,1.260,0,1,0,0,0,16,7,0,6,0
18-03 11:32:23,17,6,39.500,36.500,1,674295808,408735744,152145920,2801209344,6765,2160,0,1351680,0,90,1189,2346,2.300,1.560,1.260,0,1,0,0,0,16,7,0,6,0
18-03 11:32:24,10,10.500,30.500,47.500,1.500,674471936,408510464,152166400,2801233920,6150,2160,0,430080,0,35,645,996,2.300,1.560,1.260,0,1,0,0,0,16,7,0,4,0
18-03 11:32:25,3.015,1.005,32.161,62.312,1.508,674275328,408608768,152190976,2801307648,4731,2160,0,360448,0,15,380,843,2.300,1.560,1.260,0,1,0,0,0,16,7,0,4,0
18-03 11:32:26,1.500,1.500,42,54.500,0.500,674279424,408571904,152207360,2801315840,4400,2160,0,2232320,0,24,371,912,2.280,1.570,1.260,0,1,0,0,0,16,7,0,4,0
18-03 11:32:27,16.176,12.745,32.353,38.235,0.490,674639872,408059904,152330240,2801336320,4430,2160,0,5918720,0,110,955,2072,2.280,1.570,1.260,0,1,0,0,0,16,7,0,4,0
18-03 11:32:28,7.107,5.076,45.178,41.117,1.523,675041280,407347200,152506368,2801442816,4986,1944,0,1679360,0,119,939,1844,2.280,1.570,1.260,0,1,0,0,0,16,7,0,4,0
18-03 11:32:29,5,3.500,47.500,43,1,675356672,406614016,152625152,2801729536,4402,2202,0,1634304,0,107,820,1345,2.280,1.570,1.260,1,1,0,0,0,16,7,0,4,0
18-03 11:32:30,8.040,7.035,40.704,42.211,2.010,675446784,406315008,152686592,2801856512,3332,2160,0,1335296,0,86,790,1263,2.280,1.570,1.260,0,1,0,0,0,16,7,0,4,0
18-03 11:32:31,11.823,10.837,40.394,31.034,5.911,675786752,405778432,152834048,2801901568,3945,1782,0,1642496,0,112,1107,2677,2.250,1.570,1.270,0,1,2,0,0,16,7,0,4,0
18-03 11:32:32,10.732,9.268,40.488,33.171,6.341,676188160,405266432,152932352,2801909760,4582,2322,0,1482752,0,100,976,1851,2.250,1.570,1.270,0,1,0,0,0,16,7,0,4,0
18-03 11:32:33,9,9,41.500,38.500,2,676114432,405110784,153112576,2801950720,4767,1998,0,1527808,0,119,874,1552,2.250,1.570,1.270,0,1,0,0,0,16,7,0,4,0
18-03 11:32:34,10.101,10.606,42.424,34.848,2.020,676569088,404430848,153313280,2801958912,3789,2148,0,1552384,0,117,856,1393,2.250,1.570,1.270,0,1,0,0,0,16,7,0,1,0
18-03 11:32:35,5.607,6.542,33.645,42.991,11.215,676626432,404213760,153419776,2802003968,5425,2160,0,2039808,0,107,735,1267,2.250,1.570,1.270,0,2,0,0,0,16,7,0,1,0
18-03 11:32:36,11.374,12.322,19.431,27.014,29.858,676786176,403861504,153509888,2802098176,7589,1944,0,765952,0,62,809,1289,2.150,1.560,1.270,1,1,0,0,0,16,7,0,1,0
18-03 11:32:37,9.662,10.628,36.232,23.671,19.807,676831232,403705856,153604096,2802114560,5284,2106,0,1015808,0,69,853,1789,2.150,1.560,1.270,1,0,0,0,0,16,7,0,1,0
18-03 11:32:38,5.528,8.543,38.191,37.688,10.050,677130240,403390464,153657344,2802073600,5192,1998,0,925696,0,55,697,1214,2.150,1.560,1.270,3,0,0,0,0,16,7,0,1,0
18-03 11:32:39,5.314,4.831,42.995,39.130,7.729,677142528,403087360,153780224,2802221056,6634,2160,0,1146880,0,76,803,1877,2.150,1.560,1.270,2,0,0,0,0,16,7,0,1,0
18-03 11:32:40,6.373,7.843,37.745,40.196,7.843,677601280,402481152,153903104,2802237440,6044,2160,0,1617920,0,99,738,1680,2.150,1.560,1.270,1,0,0,0,0,16,7,0,1,0
18-03 11:32:41,9.804,7.843,35.784,39.706,6.863,677715968,402198528,154046464,2802257920,6117,1944,0,1384448,0,96,900,2023,2.140,1.570,1.270,0,1,2,0,0,16,7,0,1,0
18-03 11:32:42,3.483,4.975,40.796,46.766,3.980,677851136,401879040,154103808,2802380800,6199,2160,0,643072,0,47,570,1169,2.140,1.570,1.270,0,1,0,0,0,16,7,0,1,0
18-03 11:32:43,9.756,7.317,34.634,40.976,7.317,677969920,401596416,154206208,2802434048,6380,2160,0,1314816,0,102,809,1763,2.140,1.570,1.270,0,1,0,0,0,16,7,0,1,0
18-03 11:32:44,29.327,17.308,26.923,12.500,13.942,678359040,400592896,154255360,2802966528,5405,1944,0,700416,0,53,1107,2459,2.140,1.570,1.270,1,0,0,0,0,16,7,0,1,0
18-03 11:32:45,23.923,12.440,24.402,28.708,10.526,678432768,400072704,154329088,2803302400,5530,2160,0,1187840,0,91,796,2220,2.140,1.570,1.270,0,1,0,0,0,16,7,0,1,0
18-03 11:32:46,12,4,47,35,2,678449152,399814656,154398720,2803437568,6638,2160,0,1396736,0,81,791,2471,2.290,1.610,1.290,2,0,0,0,0,16,7,0,1,0
18-03 11:32:47,15.423,3.980,42.786,32.338,5.473,678572032,399421440,154492928,2803585024,6912,2160,0,1519616,0,86,879,2594,2.290,1.610,1.290,1,1,0,0,0,16,7,0,1,0
18-03 11:32:48,41.379,20.690,15.271,14.286,8.374,679112704,398004224,154562560,2804355072,6220,1944,0,716800,0,42,801,1291,2.290,1.610,1.290,2,1,0,0,0,16,7,0,1,0
18-03 11:32:49,14.646,13.636,28.788,35.354,7.576,679190528,397721600,154669056,2804445184,5316,2160,0,1228800,0,94,820,1365,2.290,1.610,1.290,2,0,0,0,0,16,7,0,1,0
18-03 11:32:50,9.548,9.045,35.176,44.221,2.010,679489536,397369344,154738688,2804424704,6159,2160,0,1495040,0,107,870,1558,2.290,1.610,1.290,0,1,0,0,0,16,7,0,1,0
18-03 11:32:51,8,7.500,38,45.500,1,679825408,396832768,154886144,2804473856,9317,2254,0,1351680,0,109,918,1583,2.270,1.620,1.290,1,1,2,0,0,16,7,0,2,0
18-03 11:32:52,7.463,4.975,42.786,42.786,1.990,680103936,396320768,155025408,2804555776,6886,2160,0,1253376,0,88,849,1807,2.270,1.620,1.290,2,1,0,0,0,16,7,0,2,0
18-03 11:32:53,11.220,10.244,33.171,33.659,11.707,680198144,396132352,155189248,2804482048,4187,1728,0,1314816,0,109,940,1758,2.270,1.620,1.290,0,1,0,0,0,16,7,0,1,0
18-03 11:32:54,9.852,8.867,33.005,41.379,6.897,680722432,395304960,155344896,2804625408,4859,1944,0,1363968,0,114,882,1458,2.270,1.620,1.290,1,1,0,0,0,16,7,0,1,0
18-03 11:32:55,11,10.500,31.500,42.500,4.500,680022016,395862016,155439104,2804654080,3493,1944,0,1007616,0,83,725,1318,2.270,1.620,1.290,1,1,0,0,0,16,7,0,1,0
18-03 11:32:56,11.594,7.246,34.300,31.884,14.976,680017920,395800576,155549696,2804604928,4802,1944,0,1146880,0,82,835,1866,2.410,1.660,1.300,0,1,0,0,0,16,7,0,1,0
18-03 11:32:57,7.805,2.439,42.439,42.439,4.878,680022016,395685888,155590656,2804654080,5598,1944,0,659456,0,44,580,1582,2.410,1.660,1.300,0,1,0,0,0,16,7,0,1,0
18-03 11:32:58,2.513,2.010,48.241,47.236,0,680038400,395497472,155639808,2804768768,4251,1944,0,585728,0,33,436,879,2.410,1.660,1.300,0,1,0,0,0,16,7,0,1,0
18-03 11:32:59,16.832,12.871,22.277,47.030,0.990,680194048,395366400,155672576,2804711424,6296,1998,0,253952,0,21,500,699,2.410,1.660,1.300,0,2,0,0,0,16,7,0,1,0
18-03 11:33:00,8.173,4.808,26.923,49.038,11.058,680382464,395018240,155758592,2804776960,3946,1890,0,905216,0,82,587,1137,2.410,1.660,1.300,1,1,2,0,0,16,7,0,1,0
18-03 11:33:01,13.592,6.311,37.379,29.612,13.107,680505344,394719232,155869184,2804822016,3368,1944,0,1503232,0,100,1053,2662,2.450,1.680,1.310,0,1,2,0,0,16,7,0,1,0
18-03 11:33:02,12.560,8.696,35.749,28.986,14.010,680828928,394190848,155955200,2804916224,4966,1944,0,1515520,0,89,1111,2507,2.450,1.680,1.310,0,1,0,0,0,16,7,0,1,0
18-03 11:33:03,8.416,5.941,38.614,40.594,6.436,680976384,393781248,156114944,2805010432,4275,1890,0,1712128,0,115,871,1573,2.450,1.680,1.310,0,1,0,0,0,16,7,0,1,0
18-03 11:33:04,11.330,9.360,35.961,33.990,9.360,681234432,393379840,156221440,2805026816,3633,1998,0,1212416,0,86,998,2133,2.450,1.680,1.310,1,0,0,0,0,16,7,0,1,0
18-03 11:33:05,39.901,9.360,41.872,1.970,6.897,615149568,459378688,156233728,2805088256,5778,1944,0,225280,0,10,839,1412,2.450,1.680,1.310,1,0,78,0,0,16,5,0,2,0
18-03 11:33:06,46.305,4.926,25.123,19.704,3.941,646062080,427950080,156303360,2805522432,5786,1944,0,7118848,0,75,779,1310,2.420,1.690,1.320,1,0,0,0,0,16,5,0,2,0
18-03 11:33:07,44.878,5.366,15.122,29.268,5.366,672403456,401129472,156364800,2805927936,4716,1944,0,6737920,0,67,581,1271,2.420,1.690,1.320,1,1,0,0,0,16,5,0,2,0
18-03 11:33:08,42.365,7.882,13.793,32.020,3.941,615378944,457478144,156418048,2806530048,4573,2160,0,2895872,0,66,804,1268,2.420,1.690,1.320,1,1,11,0,0,16,5,0,2,0
18-03 11:33:09,47.783,3.941,43.350,2.956,1.970,646320128,426524672,156422144,2806538240,4934,1728,0,221184,0,14,632,805,2.420,1.690,1.320,1,0,0,0,0,16,5,0,2,0
18-03 11:33:10,45.455,4.306,44.976,0.478,4.785,676024320,396783616,156434432,2806562816,4744,1944,0,53248,0,6,705,777,2.420,1.690,1.320,1,0,0,0,0,16,5,0,2,0
18-03 11:33:11,24.876,26.368,40.299,0.498,7.960,605433856,467193856,156438528,2806730752,4726,1944,0,1945600,0,14,1398,3547,2.380,1.690,1.320,1,0,327,0,0,16,5,0,2,0
18-03 11:33:12,22.222,34.848,41.414,0,1.515,603865088,468709376,156438528,2806956032,4511,1944,0,36864,0,9,1701,4365,2.380,1.690,1.320,3,0,348,0,0,16,5,0,2,0
18-03 11:33:13,34.848,30.303,27.778,1.010,6.061,621993984,450138112,156438528,2807562240,19624,2160,172032,0,2,0,1628,4509,2.380,1.690,1.320,3,0,171,0,0,16,5,0,2,0
18-03 11:33:14,87,11.500,0,0,1.500,663355392,407977984,156438528,2808328192,7671,1944,745472,0,10,0,784,935,2.380,1.690,1.320,2,0,28,0,0,16,7,0,2,0
18-03 11:33:15,85.279,7.107,0,0.508,7.107,719876096,351318016,156438528,2808467456,4838,2160,131072,0,1,0,701,704,2.380,1.690,1.320,2,0,0,0,0,16,7,0,2,0
18-03 11:33:16,59.204,3.980,16.915,19.900,0,745377792,325758976,156446720,2808512512,8621,2160,0,901120,0,54,716,767,2.430,1.710,1.330,0,2,0,0,0,16,7,0,2,0
18-03 11:33:17,36.683,4.523,27.638,29.648,1.508,760762368,309571584,156475392,2809065472,4914,2160,20480,233472,5,37,545,685,2.430,1.710,1.330,0,1,0,0,0,16,7,0,2,0
18-03 11:33:18,74.500,10,7.500,6,2,775417856,293306368,156553216,2810380288,5806,2160,0,192512,0,22,1576,3680,2.430,1.710,1.330,2,0,0,0,0,16,7,0,2,0
18-03 11:33:19,63.819,18.593,16.583,0.503,0.503,789635072,278441984,156585984,2810830848,4142,1944,8192,0,2,0,1557,3650,2.430,1.710,1.330,1,0,170,0,0,16,5,0,3,0
18-03 11:33:20,45.274,6.965,47.264,0,0.498,818765824,249303040,156585984,2810839040,4797,2160,0,0,0,0,637,799,2.430,1.710,1.330,1,0,0,0,0,16,5,0,3,0
18-03 11:33:21,47.264,4.975,46.766,0,0.995,846917632,221143040,156598272,2810834944,6159,1782,0,774144,0,4,640,814,2.400,1.720,1.330,1,0,2,0,0,16,5,0,3,0
18-03 11:33:22,47.761,4.478,45.274,1.990,0.498,868843520,199196672,156598272,2810892288,7792,2322,12288,270336,1,4,722,995,2.400,1.720,1.330,1,0,2,0,0,16,11,0,3,0
