-- Logs begin at Wed 2020-03-18 09:18:43 UTC, end at Wed 2020-03-18 11:01:56 UTC. --
Mar 18 10:18:12 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 18 10:18:12 ubuntu dstat.sh[1150]: [286B blob data]
Mar 18 10:18:12 ubuntu dstat.sh[1150]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 18 10:18:12 ubuntu dstat.sh[1150]: 18-03 10:18:12| 13   4  64  19   1| 419M  397M  110M 2782M|   0     0 | 153k 2630k|7.95  27.6 | 610  1033 |1.28 0.96 0.80|4.0   0  18|   0     0 |systemd              1    0.3%   0    0 |bash                 3338 1894k1797k0.1%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 18 10:18:13 ubuntu dstat.sh[1150]: 18-03 10:18:13| 15  32  41   0  11| 419M  397M  110M 2782M|4717B 1944B|   0    84k|   0  8.00 |1435  3739 |1.26 0.96 0.80|2.0   0 379|   0     0 |bash                 3338 6.5%1044k  24k|bash                 3338 1044k  24k6.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 18 10:18:14 ubuntu dstat.sh[1150]: 18-03 10:18:14| 21  28  39   0  12| 420M  397M  110M 2782M|6385B 2160B|   0    24k|   0  6.00 |1385  3565 |1.26 0.96 0.80|2.0   0 246|   0     0 |systemd              1    5.5%   0    0 |bash                 3338 1890k  15k4.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 18 10:18:15 ubuntu dstat.sh[1150]: 18-03 10:18:15| 23  29  38   0  10| 420M  397M  110M 2782M|5720B 2214B|   0    16k|   0  4.00 |1910  3960 |1.26 0.96 0.80|2.0   0 213|   0     0 |systemd              1     14%   0    0 |bash                 3338 1534k  13k3.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 18 10:18:16 ubuntu dstat.sh[1150]: 18-03 10:18:16| 14  14  64   6   3| 544M  272M  110M 2904M|6175B 1984B|   0    13M|   0  18.0 |1383  4210 |1.26 0.96 0.80|  0   0  49|   0     0 |systemd              1     11%   0    0 |bash                 3338  116k 392B  0%|mysqld       173M|   0     0 |  16    3    0    4    0
Mar 18 10:18:17 ubuntu dstat.sh[1150]: 18-03 10:18:17| 11  22  58   0   8| 545M  271M  110M 2904M|5647B 2160B|   0    20M|   0  20.0 |1247  2871 |1.26 0.96 0.80|2.0   0 264|   0     0 |bash                 3338 5.0% 500k  15k|bash                 3338  500k  15k5.0%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 18 10:18:18 ubuntu dstat.sh[1150]: 18-03 10:18:18| 43   8  48   1   1| 565M  251M  110M 2904M|5627B 2160B|   0   144k|   0  2.00 | 604  1080 |1.24 0.96 0.80|1.0   0  33|   0     0 |keystone-manage      2560  44%4885k  81k|keystone-manage      2560 4885k  81k 44%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 18 10:18:19 ubuntu dstat.sh[1150]: 18-03 10:18:19| 46   5  47   2   2| 586M  229M  111M 2905M|5620B 2160B| 228k    0 |38.0     0 | 613   827 |1.24 0.96 0.80|1.0   0   0|   0     0 |keystone-manage      2560  48%4932k  46k|keystone-manage      2560 4932k  46k 48%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 18 10:18:20 ubuntu dstat.sh[1150]: 18-03 10:18:20| 43   4  45   4   4| 610M  204M  111M 2906M|5732B 1944B| 648k    0 |48.0     0 | 707   830 |1.24 0.96 0.80|1.0   0   0|   0     0 |keystone-manage      2560  46%5970k 286k|keystone-manage      2560 5970k 286k 46%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 18 10:18:21 ubuntu dstat.sh[1150]: 18-03 10:18:21| 33  12  32  17   7| 627M  185M  111M 2906M|4894B 2160B|  16k 1876k|2.00  61.0 |1004  1761 |1.24 0.96 0.80|  0 1.0   0|   0     0 |keystone-manage      2560  24%1457k 367k|keystone-manage      2560 1457k 367k 24%|mysqld       186M|   0     0 |  16    7    0    6    0
