-- Logs begin at Wed 2020-03-18 09:16:33 UTC, end at Wed 2020-03-18 11:33:13 UTC. --
Mar 18 10:12:09 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 18 10:12:09 ubuntu dstat.sh[1046]: [286B blob data]
Mar 18 10:12:09 ubuntu dstat.sh[1046]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 18 10:12:09 ubuntu dstat.sh[1046]: 18-03 10:12:09| 13   4  64  18   1| 422M  332M  138M 2826M|   0     0 | 127k 2444k|6.06  28.8 | 627  1121 |1.26 0.99 0.89|2.0   0  20|   0     0 |systemd              1    0.3%   0    0 |bash                 4173 1982k1873k0.2%|mysqld       174M|   0     0 |  14    3    0    4    0
Mar 18 10:12:10 ubuntu dstat.sh[1046]: 18-03 10:12:10| 12  30  32   2  24| 421M  333M  138M 2826M|5320B 2160B| 228k  100k|3.00  6.00 |1175  2926 |1.26 0.99 0.89|3.0   0 320|   0     0 |bash                 4173 9.0% 429k  20k|bash                 4173  429k  20k9.0%|mysqld       174M|   0     0 |  14    3    0    4    0
Mar 18 10:12:11 ubuntu dstat.sh[1046]: 18-03 10:12:11| 13  25  36   0  26| 420M  334M  138M 2826M|4633B 1944B|   0    24k|   0  6.00 |1184  2974 |1.26 0.99 0.89|2.0   0 275|   0     0 |bash                 4173 5.5%2326k  19k|bash                 4173 2326k  19k5.5%|mysqld       174M|   0     0 |  14    3    0    4    0
Mar 18 10:12:12 ubuntu dstat.sh[1046]: 18-03 10:12:12| 23  29  40   0   8| 421M  333M  138M 2826M|4098B 2160B|   0    20k|   0  5.00 |1728  6044 |1.26 0.99 0.89|2.0   0 217|   0     0 |systemd              1     11%   0    0 |bash                 4173 1609k  13k3.0%|mysqld       174M|   0     0 |  14    3    0    4    0
Mar 18 10:12:13 ubuntu dstat.sh[1046]: 18-03 10:12:13| 24  23  45   0   8| 545M  208M  138M 2948M|4236B 2202B|   0     0 |   0     0 |1480  6267 |1.40 1.02 0.90|  0   0  81|   0     0 |systemd              1     21%   0    0 |bash                 4173  232k 656B0.5%|mysqld       174M|   0     0 |  16    3    0    4    0
Mar 18 10:12:14 ubuntu dstat.sh[1046]: 18-03 10:12:14| 11  21  56   1  11| 545M  208M  138M 2948M|6023B 1944B|   0  4100k|   0  5.00 |1325  2822 |1.40 1.02 0.90|4.0 1.0 245|   0     0 |bash                 4173 4.5% 421k  14k|bash                 4173  421k  14k4.5%|mysqld       174M|   0     0 |  16    5    0    4    0
Mar 18 10:12:15 ubuntu dstat.sh[1046]: 18-03 10:12:15|  7   9  11  67   5| 551M  202M  138M 2948M|4337B 2160B|   0    30M|   0   104 | 678  1416 |1.40 1.02 0.90|1.0   0  50|   0     0 |keystone-manage      2460 6.5%1010k  42k|keystone-manage      2460 1010k  42k6.5%|mysqld       174M|   0     0 |  16    5    0    6    0
Mar 18 10:12:16 ubuntu dstat.sh[1046]: 18-03 10:12:16| 36   4  47  10   4| 567M  186M  138M 2949M|5394B 2160B| 596k    0 |39.0     0 | 660   844 |1.40 1.02 0.90|1.0   0 1.0|   0     0 |keystone-manage      2460  39%4361k  38k|keystone-manage      2460 4361k  38k 39%|mysqld       174M|   0     0 |  16    5    0    6    0
Mar 18 10:12:17 ubuntu dstat.sh[1046]: 18-03 10:12:17| 31   4  45  13   6| 586M  166M  138M 2950M|6103B 1944B| 464k    0 |52.0     0 | 730  1003 |1.40 1.02 0.90|1.0   0   0|   0     0 |keystone-manage      2460  36%4463k  46k|keystone-manage      2460 4463k  46k 36%|mysqld       174M|   0     0 |  16    5    0    6    0
Mar 18 10:12:18 ubuntu dstat.sh[1046]: 18-03 10:12:18| 46   3  46   3   1| 606M  145M  138M 2951M|4722B 2160B| 624k    0 |44.0     0 | 680   848 |1.36 1.02 0.90|1.0   0   0|   0     0 |keystone-manage      2460  47%4891k 174k|keystone-manage      2460 4891k 174k 47%|mysqld       174M|   0     0 |  16    5    0    6    0
Mar 18 10:12:19 ubuntu dstat.sh[1046]: 18-03 10:12:19| 41  11  33  13   2| 626M  123M  138M 2952M|4305B 2160B| 136k 1312k|12.0  27.0 | 969  1783 |1.36 1.02 0.90|2.0 1.0   0|   0     0 |keystone-manage      2460  32%2550k 480k|keystone-manage      2460 2550k 480k 32%|mysqld       184M|   0     0 |  16    7    0    6    0
Mar 18 10:12:20 ubuntu dstat.sh[1046]: 18-03 10:12:20|  4   4  46  44   2| 628M  121M  138M 2952M|4347B 2160B|   0  1864k|   0   129 | 944  1424 |1.36 1.02 0.90|  0 1.0   0|   0     0 |keystone-manage      2460 3.0%   0    0 |python2              1140   14k 471B  0%|mysqld       186M|   0     0 |  16    7    0    6    0
Mar 18 10:12:21 ubuntu dstat.sh[1046]: 18-03 10:12:21|  3   3  44  45   4| 629M  120M  138M 2952M|5658B 1944B|   0  1580k|   0   120 | 882  1389 |1.36 1.02 0.90|  0 1.0   0|   0     0 |mysqld               307  2.0%   0    0 |python2              1140   14k 465B0.5%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 18 10:12:22 ubuntu dstat.sh[1046]: 18-03 10:12:22|  2   2  47  46   2| 629M  120M  138M 2953M|6042B 2202B|   0  1180k|   0  87.0 | 677  1144 |1.36 1.02 0.90|  0 1.0   0|   0     0 |mysqld               307  2.0%   0    0 |python2              1140   14k 465B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 18 10:12:23 ubuntu dstat.sh[1046]: 18-03 10:12:23|  3   3  48  44   2| 630M  118M  138M 2953M|6794B 2160B|   0  1156k|   0  91.0 | 798  1380 |1.50 1.05 0.91|2.0   0 2.0|   0     0 |mysqld               307  1.5%   0    0 |python2              1140   14k 464B0.5%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 18 10:12:24 ubuntu dstat.sh[1046]: 18-03 10:12:24|  7  12  38  36   7| 630M  118M  139M 2953M|5125B 2160B|   0   608k|   0  64.0 | 865  1576 |1.50 1.05 0.91|  0 1.0   0|   0     0 |mysqld               307   17%   0    0 |python2              1140   14k 470B  0%|mysqld       188M|   0     0 |  16    7    0    6    0
Mar 18 10:12:25 ubuntu dstat.sh[1046]: 18-03 10:12:25|  8   7  38  36  13| 631M  117M  139M 2953M|5035B 1944B|   0   616k|   0  67.0 | 723  1422 |1.50 1.05 0.91|1.0 1.0   0|   0     0 |mysqld               307   18%   0    0 |python2              1140   14k 470B  0%|mysqld       188M|   0     0 |  16    7    0    6    0
Mar 18 10:12:26 ubuntu dstat.sh[1046]: 18-03 10:12:26|  9   9  37  38   7| 631M  116M  139M 2953M|8198B 2160B|   0  1212k|   0   115 | 849  1745 |1.50 1.05 0.91|  0 1.0   0|   0     0 |mysqld               307   16%   0    0 |python2              1140   14k 464B  0%|mysqld       189M|   0     0 |  16    7    0    6    0
Mar 18 10:12:27 ubuntu dstat.sh[1046]: 18-03 10:12:27|  9   8  42  36   5| 631M  116M  139M 2953M|5710B 2160B|   0  1348k|   0   125 | 937  1670 |1.50 1.05 0.91|  0 1.0   0|   0     0 |mysqld               307   16%   0    0 |python2              1140   14k 471B0.5%|mysqld       189M|   0     0 |  16    7    0    6    0
Mar 18 10:12:28 ubuntu dstat.sh[1046]: 18-03 10:12:28|  7   8  40  36  10| 632M  115M  139M 2953M|3607B 1944B|   0  1444k|   0   131 | 691  1726 |1.54 1.07 0.92|  0 1.0   0|   0     0 |mysqld               307   14%   0    0 |python2              1140   14k 471B  0%|mysqld       190M|   0     0 |  16    7    0    6    0
Mar 18 10:12:29 ubuntu dstat.sh[1046]: 18-03 10:12:29|  9   7  38  43   2| 633M  114M  140M 2953M|7437B 2160B|   0  1820k|   0   135 | 925  2123 |1.54 1.07 0.92|1.0 1.0   0|   0     0 |mysqld               307   11%   0    0 |python2              1140   14k 465B  0%|mysqld       190M|   0     0 |  16    7    0    6    0
Mar 18 10:12:30 ubuntu dstat.sh[1046]: 18-03 10:12:30|  8   9  39  42   3| 634M  112M  140M 2953M|6784B 2160B|   0  1512k|   0  84.0 | 800  1351 |1.54 1.07 0.92|  0 2.0   0|   0     0 |mysqld               307   12%   0    0 |python2              1140   14k 447B  0%|mysqld       190M|   0     0 |  16    7    0    6    0
Mar 18 10:12:31 ubuntu dstat.sh[1046]: 18-03 10:12:31|  2   1  49  48   0| 633M  113M  140M 2953M|4554B 2160B|   0  1072k|   0  29.0 | 384   598 |1.54 1.07 0.92|  0 2.0   0|   0     0 |python2              1140 0.5%  14k 464B|python2              1140   14k 464B0.5%|mysqld       190M|   0     0 |  16    7    0    6    0
Mar 18 10:12:32 ubuntu dstat.sh[1046]: 18-03 10:12:32|  2   2  41  55   1| 633M  112M  140M 2954M|5475B 2160B|  52k 3788k|1.00  72.0 | 554   992 |1.54 1.07 0.92|  0 1.0   0|   0     0 |mysqld               307  1.0%   0    0 |python2              1140   14k 450B  0%|mysqld       190M|   0     0 |  16    7    0    6    0
Mar 18 10:12:33 ubuntu dstat.sh[1046]: 18-03 10:12:33| 10  10  34  45   0| 634M  112M  140M 2954M|5453B 2160B|   0  4632k|   0   112 | 888  1613 |1.65 1.10 0.93|  0 1.0 2.0|   0     0 |mysqld               307   16%   0    0 |python2              1140   14k 480B0.5%|mysqld       191M|   0     0 |  16    7    0    6    0
Mar 18 10:12:34 ubuntu dstat.sh[1046]: 18-03 10:12:34|  5   8  46  41   1| 636M  317M  140M 2753M|7207B 1944B|   0  1440k|   0  80.0 | 923  1783 |1.65 1.10 0.93|1.0 2.0 2.0|   0     0 |mysqld               307  4.0%   0    0 |python2              1140   14k 455B  0%|mysqld       192M|   0     0 |  16    7    0    6    0
Mar 18 10:12:35 ubuntu dstat.sh[1046]: 18-03 10:12:35|  2   8   1  88   0| 635M  802M  140M 2281M|5720B 2160B|4096B   13M|1.00   108 |1650  3149 |1.65 1.10 0.93|  0 4.0   0|   0     0 |kswapd0              40   5.5%   0    0 |python2              1140   14k 477B0.5%|mysqld       192M|   0     0 |  16    7    0    6    0
Mar 18 10:12:37 ubuntu dstat.sh[1046]: 18-03 10:12:36|  2   2   0  97   0| 635M  802M  140M 2281M|5756B 2214B|   0    23M|   0  24.0 | 390   569 |1.65 1.10 0.93|  0 8.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              1140   14k   0   0%|mysqld       192M|   0     0 |  16    7    0    6    0
Mar 18 10:12:37 ubuntu dstat.sh[1046]: 18-03 10:12:37|  2   1   0  96   2| 635M  802M  140M 2281M|5300B 2094B|   0    30M|   0  51.0 | 435   610 |1.65 1.10 0.93|  0 3.0   0|   0     0 |etcd                 2153 1.0%   0    0 |python2              1140   14k 923B  0%|mysqld       192M|   0     0 |  16    7    0    5    0
Mar 18 10:12:38 ubuntu dstat.sh[1046]: 18-03 10:12:38|  1   2  11  84   2| 635M  802M  140M 2281M|4901B 2160B|   0  1680k|   0  80.0 | 593   742 |1.84 1.15 0.94|  0 2.0   0|   0     0 |beam.smp             1760 1.5%   0    0 |python2              1140   14k 441B  0%|mysqld       192M|   0     0 |  16    7    0    5    0
Mar 18 10:12:39 ubuntu dstat.sh[1046]: 18-03 10:12:39|  2   2  33  60   1| 635M  802M  140M 2281M|5922B 2214B|   0  8088k|   0   204 | 712  1227 |1.84 1.15 0.94|1.0 1.0   0|   0     0 |mysqld               307  1.0%   0    0 |python2              1140   14k 463B  0%|mysqld       192M|   0     0 |  16    7    0    5    0
Mar 18 10:12:40 ubuntu dstat.sh[1046]: 18-03 10:12:40|  4   3  46  47   1| 635M  801M  140M 2282M|5067B 2052B|   0  2060k|   0   123 | 908  1392 |1.84 1.15 0.94|  0 1.0   0|   0     0 |mysqld               307  1.5%   0    0 |python2              1140   14k 459B0.5%|mysqld       192M|   0     0 |  16    7    0    5    0
Mar 18 10:12:41 ubuntu dstat.sh[1046]: 18-03 10:12:41|  6   6  44  41   4| 636M  801M  140M 2282M|4704B 2052B|   0  1188k|   0   102 | 814  1402 |1.84 1.15 0.94|1.0 1.0   0|   0     0 |mysqld               307  9.0%   0    0 |python2              1140   14k 465B  0%|mysqld       192M|   0     0 |  16    7    0    5    0
