-- Logs begin at Thu 2020-03-26 20:25:20 UTC, end at Thu 2020-03-26 21:54:52 UTC. --
Mar 26 21:06:01 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 26 21:06:02 ubuntu dstat.sh[1522]: [286B blob data]
Mar 26 21:06:02 ubuntu dstat.sh[1522]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 26 21:06:02 ubuntu dstat.sh[1522]: 26-03 21:06:01| 18   5  57  19   1| 419M  493M  115M 2689M|   0     0 | 213k 2924k|11.8  37.6 | 871  1516 |1.34 1.18 1.10|2.0   0  27|   0     0 |systemd              1    0.4%   0    0 |bash                 3552 2740k2562k0.2%|mysqld       174M|   0     0 |  14    3    0    6    0
Mar 26 21:06:03 ubuntu dstat.sh[1522]: 26-03 21:06:02| 20  37  40   1   3| 420M  492M  115M 2689M|5096B 2160B| 188k  128k|3.00  10.0 |1539  4197 |1.34 1.18 1.10|1.0   0 439|   0     0 |bash                 3552 7.0%1836k  28k|bash                 3552 1836k  28k7.0%|mysqld       174M|   0     0 |  14    3    0    5    0
Mar 26 21:06:04 ubuntu dstat.sh[1522]: 26-03 21:06:03| 26  34  39   0   2| 420M  492M  115M 2689M|6572B 2160B|   0    24k|   0  6.00 |1712  6042 |1.48 1.21 1.11|3.0   0 288|   0     0 |systemd              1    9.5%   0    0 |bash                 3552 2146k  18k3.5%|mysqld       174M|   0     0 |  14    3    0    5    0
Mar 26 21:06:05 ubuntu dstat.sh[1522]: 26-03 21:06:04| 27  29  41   0   3| 546M  365M  115M 2811M|3794B 2160B|   0  4096B|   0  1.00 |2498  7156 |1.48 1.21 1.11|1.0   0 141|   0     0 |systemd              1     20%   0    0 |bash                 3552  711k5641B1.0%|mysqld       174M|   0     0 |  16    5    0    5    0
Mar 26 21:06:06 ubuntu dstat.sh[1522]: 26-03 21:06:05| 30  23  30  14   2| 557M  355M  115M 2811M|3457B 1944B|   0  1628k|   0  88.0 |1417  2923 |1.48 1.21 1.11|1.0   0 263|   0     0 |keystone-manage      2921  20%2265k  81k|keystone-manage      2921 2265k  81k 20%|mysqld       174M|   0     0 |  16    5    0    7    0
Mar 26 21:06:07 ubuntu dstat.sh[1522]: 26-03 21:06:06| 37   7  47   7   2| 579M  331M  115M 2812M|9494B 2160B|1004k    0 |84.0     0 | 788   937 |1.48 1.21 1.11|2.0   0   0|   0     0 |keystone-manage      2921  43%5482k  46k|keystone-manage      2921 5482k  46k 43%|mysqld       174M|   0     0 |  16    5    0    7    0
Mar 26 21:06:08 ubuntu dstat.sh[1522]: 26-03 21:06:07| 42   4  45   8   1| 595M  314M  115M 2813M|4786B 1986B| 632k  380k|49.0  2.00 | 655   875 |1.48 1.21 1.11|1.0   0   0|   0     0 |keystone-manage      2921  43%4467k 107k|keystone-manage      2921 4467k 107k 43%|mysqld       174M|   0     0 |  16    5    0    7    0
Mar 26 21:06:09 ubuntu dstat.sh[1522]: 26-03 21:06:08| 44  11  39   5   1| 618M  290M  115M 2814M|4731B 2160B| 184k 8852k|14.0  22.0 |1050  1502 |1.44 1.21 1.11|1.0 1.0   0|   0     0 |keystone-manage      2921  42%5041k 495k|keystone-manage      2921 5041k 495k 42%|mysqld       178M|   0     0 |  16    7    0    7    0
Mar 26 21:06:10 ubuntu dstat.sh[1522]: 26-03 21:06:09| 10   7  39  41   3| 628M  279M  115M 2814M|5405B 2160B|   0  1360k|   0   101 | 879  1550 |1.44 1.21 1.11|  0 1.0   0|   0     0 |python2              1584 5.5%  39k  43k|keystone-manage      2921   38k  53k5.0%|mysqld       186M|   0     0 |  16    7    0    7    0
Mar 26 21:06:11 ubuntu dstat.sh[1522]: 26-03 21:06:10|  3   2  46  49   2| 628M  278M  115M 2815M|4837B 1944B|   0  2328k|   0   103 | 634  1195 |1.44 1.21 1.11|  0 1.0   0|   0     0 |mysqld               775  1.5%   0    0 |python2              1615   14k 465B0.5%|mysqld       186M|   0     0 |  16    7    0    7    0
Mar 26 21:06:12 ubuntu dstat.sh[1522]: 26-03 21:06:11|  5   2  46  46   2| 629M  277M  115M 2815M|4724B 2160B|   0  1864k|   0   138 | 817  1536 |1.44 1.21 1.11|  0 1.0 2.0|   0     0 |mysqld               775  1.5%   0    0 |python2              1615   14k 471B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Mar 26 21:06:13 ubuntu dstat.sh[1522]: 26-03 21:06:12|  5   5  48  42   0| 630M  276M  116M 2815M|4538B 2160B|   0  1552k|   0   127 | 716  1562 |1.44 1.21 1.11|1.0 1.0   0|   0     0 |mysqld               775  5.0%   0    0 |python2              1615   14k 461B  0%|mysqld       188M|   0     0 |  16    7    0    7    0
Mar 26 21:06:14 ubuntu dstat.sh[1522]: 26-03 21:06:13| 11   9  43  38   0| 631M  274M  116M 2816M|3987B 1944B|   0  1376k|   0   146 | 970  2069 |1.56 1.24 1.12|1.0 1.0   0|   0     0 |mysqld               775   15%   0    0 |python2              1615   14k 454B  0%|mysqld       188M|   0     0 |  16    7    0    7    0
Mar 26 21:06:15 ubuntu dstat.sh[1522]: 26-03 21:06:14|  7   9  45  39   0| 631M  274M  116M 2816M|4033B 2160B|   0  1592k|   0   147 | 879  2023 |1.56 1.24 1.12|1.0 1.0   0|   0     0 |mysqld               775   14%   0    0 |python2              1615   14k 461B0.5%|mysqld       189M|   0     0 |  16    7    0    7    0
Mar 26 21:06:16 ubuntu dstat.sh[1522]: 26-03 21:06:15| 10   7  37  45   1| 632M  273M  116M 2816M|4036B 2160B|  68k 1636k|1.00   148 | 893  1808 |1.56 1.24 1.12|  0 1.0   0|   0     0 |mysqld               775   14%   0    0 |python2              1615   14k 482B  0%|mysqld       189M|   0     0 |  16    7    0    7    0
Mar 26 21:06:17 ubuntu dstat.sh[1522]: 26-03 21:06:16|  2   1   2  96   0| 632M  273M  116M 2816M|6205B 2160B|   0  1636k|   0   182 | 732   677 |1.56 1.24 1.12|  0 3.0   0|   0     0 |beam.smp             2029 0.5%   0    0 |python2              1615   14k 453B  0%|mysqld       189M|   0     0 |  16    7    0    7    0
