-- Logs begin at Thu 2020-03-26 20:26:08 UTC, end at Thu 2020-03-26 21:45:25 UTC. --
Mar 26 21:07:04 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 26 21:07:05 ubuntu dstat.sh[2883]: [286B blob data]
Mar 26 21:07:05 ubuntu dstat.sh[2883]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 26 21:07:05 ubuntu dstat.sh[2883]: 26-03 21:07:04| 18   5  55  20   1| 423M  333M  109M 2843M|   0     0 | 271k 4000k|13.5  39.6 | 877  1531 |1.13 1.12 1.09|2.0   0  27|   0     0 |systemd              1    0.4%   0    0 |bash                 3845 2771k2579k0.2%|mysqld       173M|   0     0 |  13    3    0    5    0
Mar 26 21:07:06 ubuntu dstat.sh[2883]: 26-03 21:07:05| 20  38  39   2   2| 425M  330M  109M 2843M|3449B 2160B|   0   108k|   0  10.0 |1674  4227 |1.12 1.12 1.09|4.0   0 438|   0     0 |bash                 3845 6.5%1809k  27k|bash                 3845 1809k  27k6.5%|mysqld       173M|   0     0 |  13    3    0    5    0
Mar 26 21:07:07 ubuntu dstat.sh[2883]: 26-03 21:07:06| 23  35  39   0   3| 423M  333M  109M 2843M|3743B 1944B|   0    20k|   0  5.00 |1822  5991 |1.12 1.12 1.09|2.0   0 261|   0     0 |systemd              1     11%   0    0 |bash                 3845 2132k  18k4.0%|mysqld       173M|   0     0 |  13    3    0    5    0
Mar 26 21:07:08 ubuntu dstat.sh[2883]: 26-03 21:07:07| 30  29  27  13   1| 549M  206M  109M 2965M|4346B 2160B|   0  8200k|   0  10.0 |2346  7158 |1.12 1.12 1.09|  0 2.0 137|   0     0 |systemd              1     21%   0    0 |bash                 3845  571k4342B1.0%|mysqld       173M|   0     0 |  15    3    0    5    0
Mar 26 21:07:08 ubuntu dstat.sh[2883]: 26-03 21:07:08| 18  27  12  43   1| 554M  201M  109M 2966M|3260B 2160B|   0  1660k|   0  72.0 |1646  3337 |1.12 1.12 1.09|1.0 1.0 294|   0     0 |bash                 3845 5.0% 600k  18k|keystone-manage      4275 1048k  42k5.0%|mysqld       173M|   0     0 |  15    5    0    7    0
Mar 26 21:07:09 ubuntu dstat.sh[2883]: 26-03 21:07:09| 29   7  48  17   1| 569M  185M  109M 2966M|3794B 2160B|   0  9048k|   0  72.0 | 666   734 |1.12 1.12 1.09|  0 2.0 1.0|   0     0 |keystone-manage      4275  33%3937k  38k|keystone-manage      4275 3937k  38k 33%|mysqld       173M|   0     0 |  15    5    0    7    0
Mar 26 21:07:11 ubuntu dstat.sh[2883]: 26-03 21:07:10|  4   1  37  59   0| 571M  183M  109M 2966M|4903B 2160B| 556k   17M|31.0  47.0 | 545   874 |1.11 1.11 1.09|1.0   0   0|   0     0 |keystone-manage      4275 2.5% 394k   0 |keystone-manage      4275  394k   0 2.5%|mysqld       173M|   0     0 |  15    5    0    7    0
Mar 26 21:07:11 ubuntu dstat.sh[2883]: 26-03 21:07:11| 38   4  46  10   3| 590M  163M  109M 2967M|4327B 2052B| 632k    0 |92.0     0 | 683   901 |1.11 1.11 1.09|1.0   0   0|   0     0 |keystone-manage      4275  40%4463k  46k|keystone-manage      4275 4463k  46k 40%|mysqld       173M|   0     0 |  15    5    0    7    0
Mar 26 21:07:12 ubuntu dstat.sh[2883]: 26-03 21:07:12| 40   7  48   6   1| 613M  139M  109M 2968M|3925B 2052B| 668k    0 |50.0     0 | 682   877 |1.11 1.11 1.09|1.0   0   0|   0     0 |keystone-manage      4275  44%5902k 231k|keystone-manage      4275 5902k 231k 44%|mysqld       173M|   0     0 |  15    5    0    7    0
Mar 26 21:07:14 ubuntu dstat.sh[2883]: 26-03 21:07:13| 32   9  37  21   2| 629M  122M  109M 2969M|4021B 2160B| 100k 1224k|8.00  27.0 |1011  1644 |1.11 1.11 1.09|6.0   0   0|   0     0 |keystone-manage      4275  26%1549k 424k|keystone-manage      4275 1549k 424k 26%|mysqld       184M|   0     0 |  15    7    0    7    0
Mar 26 21:07:15 ubuntu dstat.sh[2883]: 26-03 21:07:14|  7   5  44  42   3| 632M  119M  109M 2969M|3981B 1944B|   0  1588k|   0   109 | 740  1326 |1.11 1.11 1.09|  0 1.0   0|   0     0 |python2              1573 3.5%  23k  25k|python2              1573   23k  25k3.5%|mysqld       186M|   0     0 |  15    7    0    7    0
Mar 26 21:07:15 ubuntu dstat.sh[2883]: 26-03 21:07:15|  5   4  43  45   4| 632M  117M  109M 2969M|3972B 2160B|   0  1528k|   0   112 | 907  1425 |1.10 1.11 1.09|  0 1.0 2.0|   0     0 |mysqld               2165 3.5%   0    0 |python2              2999   14k 477B  0%|mysqld       187M|   0     0 |  15    7    0    7    0
Mar 26 21:07:17 ubuntu dstat.sh[2883]: 26-03 21:07:16|  3   4  46  43   4| 633M  116M  110M 2970M|  10k 2202B|   0  1800k|   0   135 | 891  1468 |1.10 1.11 1.09|1.0   0   0|   0     0 |mysqld               2165 2.5%   0    0 |python2              2999   14k 472B0.5%|mysqld       187M|   0     0 |  15    7    0    7    0
Mar 26 21:07:18 ubuntu dstat.sh[2883]: 26-03 21:07:17| 10   8  38  36   8| 634M  115M  110M 2970M|4226B 1998B|   0  1452k|   0   138 |1008  2101 |1.10 1.11 1.09|2.0 1.0   0|   0     0 |mysqld               2165  13%   0    0 |python2              2999   14k 467B  0%|mysqld       188M|   0     0 |  15    7    0    7    0
Mar 26 21:07:19 ubuntu dstat.sh[2883]: 26-03 21:07:18|  9   7  40  36   7| 634M  114M  110M 2970M|5132B 2106B|   0   868k|   0  90.0 | 781  1572 |1.10 1.11 1.09|2.0   0   0|   0     0 |mysqld               2165  14%   0    0 |python2              2999   14k 463B  0%|mysqld       188M|   0     0 |  15    7    0    7    0
Mar 26 21:07:20 ubuntu dstat.sh[2883]: 26-03 21:07:19| 10  10  31  33  16| 635M  113M  110M 2970M|3605B 2160B|   0  1112k|   0   105 | 961  1659 |1.10 1.11 1.09|3.0   0   0|   0     0 |mysqld               2165  22%   0    0 |python2              2999   14k 473B1.0%|mysqld       189M|   0     0 |  15    7    0    7    0
Mar 26 21:07:21 ubuntu dstat.sh[2883]: 26-03 21:07:20|  7   7  42  38   5| 635M  113M  111M 2970M|4475B 2160B|   0  1672k|   0   136 |1093  1785 |1.17 1.13 1.10|  0 2.0   0|   0     0 |mysqld               2165  12%   0    0 |python2              2999   14k 472B  0%|mysqld       189M|   0     0 |  15    7    0    7    0
Mar 26 21:07:22 ubuntu dstat.sh[2883]: 26-03 21:07:21|  6   9  42  37   7| 635M  112M  111M 2970M|4392B 1944B|   0  2092k|   0   118 | 903  1600 |1.17 1.13 1.10|  0 1.0   0|   0     0 |mysqld               2165  12%   0    0 |python2              2999   14k 471B  0%|mysqld       189M|   0     0 |  15    7    0    7    0
Mar 26 21:07:22 ubuntu dstat.sh[2883]: 26-03 21:07:22|  9   6  43  37   6| 636M  111M  111M 2970M|4991B 2202B|   0  1500k|   0   114 |1029  2201 |1.17 1.13 1.10|  0 1.0   0|   0     0 |mysqld               2165  10%   0    0 |python2              2999   14k 472B  0%|mysqld       190M|   0     0 |  15    7    0    7    0
Mar 26 21:07:24 ubuntu dstat.sh[2883]: 26-03 21:07:23|  9   7  42  34   7| 637M  110M  111M 2970M|6714B 1944B|   0  1708k|   0   132 |1038  2130 |1.17 1.13 1.10|3.0   0   0|   0     0 |mysqld               2165  12%   0    0 |python2              2999   14k 466B  0%|mysqld       191M|   0     0 |  15    7    0    7    0
Mar 26 21:07:25 ubuntu dstat.sh[2883]: 26-03 21:07:24|  5  12  39  39   5| 638M  677M  112M 2419M|7854B 2808B| 100k   46M|6.00   115 |1086  2124 |1.17 1.13 1.10|  0 3.0 6.0|   0     0 |kswapd0              40   8.5%   0    0 |python2              2999   14k 497B  0%|mysqld       192M|   0     0 |  15    7    0    8    0
Mar 26 21:07:25 ubuntu dstat.sh[2883]: 26-03 21:07:25|  2   2  31  63   2| 638M  677M  112M 2419M|3438B 1296B|   0    22M|   0  72.0 | 333   446 |1.48 1.19 1.12|  0 2.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              2999   14k 470B0.5%|mysqld       192M|   0     0 |  15    7    0    8    0
Mar 26 21:07:26 ubuntu dstat.sh[2883]: 26-03 21:07:26|  1   2  35  61   1| 638M  677M  112M 2419M|7419B 2254B|   0  1216k|   0   154 | 699   644 |1.48 1.19 1.12|  0 2.0   0|   0     0 |conntrackd           166001.0%   0    0 |python2              2999   14k 470B  0%|mysqld       192M|   0     0 |  15    7    0    7    0
Mar 26 21:07:27 ubuntu dstat.sh[2883]: 26-03 21:07:27|  2   1  10  86   0| 638M  677M  112M 2419M|4598B 2160B|   0  1680k|   0   111 | 586   655 |1.48 1.19 1.12|  0 2.0   0|   0     0 |mysqld               2165 0.5%   0    0 |python2              2999   14k 452B  0%|mysqld       192M|   0     0 |  15    7    0    7    0
Mar 26 21:07:29 ubuntu dstat.sh[2883]: 26-03 21:07:28|  2   2  38  57   1| 638M  677M  112M 2419M|4080B 1944B|   0  2336k|   0  70.0 | 441   663 |1.48 1.19 1.12|  0 1.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              2999   14k 469B0.5%|mysqld       192M|   0     0 |  15    7    0    7    0
Mar 26 21:07:30 ubuntu dstat.sh[2883]: 26-03 21:07:29|  2   1  42  54   1| 638M  677M  112M 2420M|4484B 2160B|   0  4224k|   0  80.0 | 516  1157 |1.48 1.19 1.12|  0 2.0   0|   0     0 |mysqld               2165 1.0%   0    0 |python2              2999   14k 470B  0%|mysqld       192M|   0     0 |  15    7    0    7    0
Mar 26 21:07:30 ubuntu dstat.sh[2883]: 26-03 21:07:30|  3   2  45  48   2| 638M  676M  112M 2420M|5416B 2160B|   0  2136k|   0  97.0 | 711  1342 |1.44 1.19 1.12|  0 1.0   0|   0     0 |mysqld               2165 1.0%   0    0 |python2              2999   14k 470B  0%|mysqld       192M|   0     0 |  15    7    0    6    0
Mar 26 21:07:31 ubuntu dstat.sh[2883]: 26-03 21:07:31|  5   6  44  45   0| 638M  675M  112M 2420M|4080B 2160B|   0  1536k|   0   138 | 844  1879 |1.44 1.19 1.12|  0 1.0   0|   0     0 |mysqld               2165 8.5%   0    0 |python2              2999   14k 461B0.5%|mysqld       192M|   0     0 |  15    7    0    6    0
Mar 26 21:07:33 ubuntu dstat.sh[2883]: 26-03 21:07:32|  7   4  43  44   1| 639M  674M  112M 2421M|7222B 2160B|   0  1144k|   0  92.0 | 800  1582 |1.44 1.19 1.12|2.0   0   0|   0     0 |mysqld               2165 6.5%   0    0 |python2              2999   14k 460B  0%|mysqld       193M|   0     0 |  15    7    0    6    0
Mar 26 21:07:34 ubuntu dstat.sh[2883]: 26-03 21:07:33| 10   7  38  44   1| 639M  673M  113M 2421M|5054B 2160B|   0  1604k|   0   123 | 890  1785 |1.44 1.19 1.12|  0 1.0   0|   0     0 |mysqld               2165  12%   0    0 |python2              2999   14k 471B  0%|mysqld       193M|   0     0 |  15    7    0    6    0
Mar 26 21:07:34 ubuntu dstat.sh[2883]: 26-03 21:07:34| 15  14  23  46   2| 640M  673M  113M 2421M|3707B 1944B|   0  1348k|   0   113 | 925  2003 |1.44 1.19 1.12|1.0   0   0|   0     0 |mysqld               2165  25%   0    0 |python2              2999   14k 467B0.5%|mysqld       193M|   0     0 |  15    7    0    6    0
Mar 26 21:07:36 ubuntu dstat.sh[2883]: 26-03 21:07:35| 14   8  42  33   4| 640M  672M  113M 2421M|3977B 2160B|   0  1636k|   0   129 | 977  2174 |1.40 1.18 1.12|  0 1.0 2.0|   0     0 |mysqld               2165  15%   0    0 |python2              2999   14k 478B0.5%|mysqld       193M|   0     0 |  15    7    0    6    0
Mar 26 21:07:37 ubuntu dstat.sh[2883]: 26-03 21:07:36| 12  12  41  32   3| 641M  671M  113M 2421M|4460B 2160B|   0  1852k|   0   144 |1001  1927 |1.40 1.18 1.12|2.0   0   0|   0     0 |mysqld               2165  20%   0    0 |python2              2999   14k 468B  0%|mysqld       194M|   0     0 |  15    7    0    6    0
Mar 26 21:07:38 ubuntu dstat.sh[2883]: 26-03 21:07:37| 12  18  40  27   4| 641M  670M  114M 2421M|5493B 1944B|   0  1692k|   0   141 | 972  1952 |1.40 1.18 1.12|1.0 1.0   0|   0     0 |mysqld               2165  26%   0    0 |python2              2999   14k 473B  0%|mysqld       194M|   0     0 |  15    7    0    6    0
Mar 26 21:07:39 ubuntu dstat.sh[2883]: 26-03 21:07:38|  8   9  34  40   9| 641M  670M  114M 2421M|4258B 2160B|   0  1372k|   0   110 |1002  1771 |1.40 1.18 1.12|  0 1.0   0|   0     0 |mysqld               2165  13%   0    0 |python2              2999   14k 466B0.5%|mysqld       194M|   0     0 |  15    7    0    6    0
Mar 26 21:07:40 ubuntu dstat.sh[2883]: 26-03 21:07:39|  8   5  44  38   6| 641M  669M  114M 2421M|3999B 2160B|   0  1536k|   0   116 | 873  1566 |1.40 1.18 1.12|  0 1.0   0|   0     0 |mysqld               2165 8.5%   0    0 |python2              2999   14k 451B  0%|mysqld       194M|   0     0 |  15    7    0    6    0
Mar 26 21:07:41 ubuntu dstat.sh[2883]: 26-03 21:07:40| 19  11  39  29   3| 642M  669M  114M 2421M|  10k 1944B|   0  1556k|   0   108 |1198  2931 |1.45 1.20 1.12|2.0   0   0|   0     0 |mysqld               2165  18%   0    0 |keystone-manage      4275   14k8125B6.0%|mysqld       195M|   0     0 |  15    7    0    6    0
Mar 26 21:07:41 ubuntu dstat.sh[2883]: 26-03 21:07:41| 11   7  41  40   2| 642M  668M  115M 2421M|4795B 2106B|   0  1848k|   0   136 | 911  1799 |1.45 1.20 1.12|  0 1.0   0|   0     0 |mysqld               2165  15%   0    0 |python2              2999   14k 460B0.5%|mysqld       195M|   0     0 |  15    7    0    6    0
Mar 26 21:07:43 ubuntu dstat.sh[2883]: 26-03 21:07:42| 12  10  34  44   1| 642M  667M  115M 2421M|3902B 2160B|   0  1684k|   0   133 | 906  1657 |1.45 1.20 1.12|1.0 1.0   0|   0     0 |mysqld               2165  20%   0    0 |python2              2999   14k 466B  0%|mysqld       195M|   0     0 |  15    7    0    6    0
Mar 26 21:07:43 ubuntu dstat.sh[2883]: 26-03 21:07:43| 34  17  29  17   3| 643M  666M  115M 2422M|4710B 1998B|   0  1016k|   0  78.0 |1079  2030 |1.45 1.20 1.12|2.0   0   0|   0     0 |python2              1573  22% 175k 191k|python3.6            7779  238k 491k2.5%|mysqld       195M|   0     0 |  15    7    0    6    0
Mar 26 21:07:44 ubuntu dstat.sh[2883]: 26-03 21:07:44| 20  17  31  30   2| 643M  666M  115M 2422M|4604B 2160B|   0  1928k|   0   139 |1040  2298 |1.45 1.20 1.12|1.0 1.0   0|   0     0 |mysqld               2165  21%   0    0 |python2              1573   94k 103k 12%|mysqld       195M|   0     0 |  15    7    0    6    0
Mar 26 21:07:46 ubuntu dstat.sh[2883]: 26-03 21:07:45| 12  11  46  29   3| 643M  664M  116M 2422M|3624B 1944B|   0  1868k|   0   161 | 948  2423 |1.58 1.23 1.13|  0 1.0 2.0|   0     0 |mysqld               2165  17%   0    0 |python2              2999   14k 467B  0%|mysqld       196M|   0     0 |  15    7    0    6    0
Mar 26 21:07:47 ubuntu dstat.sh[2883]: 26-03 21:07:46| 11  11  46  30   2| 644M  664M  116M 2422M|6517B 2160B|   0  1900k|   0   154 |1043  2233 |1.58 1.23 1.13|3.0   0   0|   0     0 |mysqld               2165  17%   0    0 |keystone-manage      4275 9333B7415B4.5%|mysqld       196M|   0     0 |  15    7    0    6    0
Mar 26 21:07:48 ubuntu dstat.sh[2883]: 26-03 21:07:47| 18  10  37  30   5| 644M  664M  116M 2422M|5493B 2160B|   0  1648k|   0   125 |1114  2402 |1.58 1.23 1.13|1.0 1.0   0|   0     0 |mysqld               2165  15%   0    0 |python2              2999   14k 456B0.5%|mysqld       196M|   0     0 |  15    7    0    6    0
Mar 26 21:07:49 ubuntu dstat.sh[2883]: 26-03 21:07:48| 12   9  41  36   1| 644M  663M  117M 2422M|3708B 2160B|   0  2120k|   0   148 | 929  2367 |1.58 1.23 1.13|1.0 1.0   0|   0     0 |mysqld               2165  13%   0    0 |python2              2999   14k 462B  0%|mysqld       196M|   0     0 |  15    7    0    6    0
