-- Logs begin at Thu 2020-03-26 18:46:00 UTC, end at Thu 2020-03-26 20:29:18 UTC. --
Mar 26 19:35:42 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 26 19:35:43 ubuntu dstat.sh[2145]: [286B blob data]
Mar 26 19:35:43 ubuntu dstat.sh[2145]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 26 19:35:43 ubuntu dstat.sh[2145]: 26-03 19:35:43| 15   4  55  24   2| 424M  397M  111M 2778M|   0     0 | 200k 3151k|11.0  32.9 | 692  1236 |1.93 1.45 1.30|1.0   0  22|   0     0 |systemd              1    0.4%   0    0 |bash                 3494 2276k2119k0.2%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 26 19:35:44 ubuntu dstat.sh[2145]: 26-03 19:35:44| 22  38  36   4   1| 424M  396M  111M 2778M|4963B 2160B|   0   116k|   0  10.0 |1496  3993 |1.93 1.45 1.30|  0 1.0 413|   0     0 |bash                 3494 6.5%2245k  27k|bash                 3494 2245k  27k6.5%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 26 19:35:45 ubuntu dstat.sh[2145]: 26-03 19:35:45| 21  30  41   7   1| 426M  394M  111M 2778M|4547B 2052B|   0    24k|   0  6.00 |1671  5013 |1.93 1.46 1.31|2.0   0 217|   0     0 |systemd              1     11%   0    0 |bash                 3494 1600k  13k2.5%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 26 19:35:46 ubuntu dstat.sh[2145]: 26-03 19:35:46| 27  28  42   0   3| 549M  270M  111M 2900M|3983B 2052B|   0    17M|   0  23.0 |1585  5912 |1.93 1.46 1.31|  0   0 125|   0     0 |systemd              1     20%   0    0 |bash                 3494  566k4109B1.0%|mysqld       173M|   0     0 |  16    3    0    5    0
Mar 26 19:35:47 ubuntu dstat.sh[2145]: 26-03 19:35:47| 10  22  67   0   1| 549M  270M  111M 2900M|4058B 2160B|   0    16M|   0  19.0 |1170  2707 |1.93 1.46 1.31|2.0   0 250|   0     0 |bash                 3494 4.0% 427k  14k|bash                 3494  427k  14k4.0%|mysqld       173M|   0     0 |  16    5    0    5    0
Mar 26 19:35:48 ubuntu dstat.sh[2145]: 26-03 19:35:48| 41   8  47   3   1| 571M  249M  111M 2901M|7452B 2160B| 108k    0 |2.00     0 | 831  1282 |1.93 1.46 1.31|  0 1.0  45|   0     0 |keystone-manage      3545  39%5088k  81k|keystone-manage      3545 5088k  81k 39%|mysqld       174M|   0     0 |  16    5    0    7    0
Mar 26 19:35:49 ubuntu dstat.sh[2145]: 26-03 19:35:49|  6   2  50  43   1| 572M  246M  111M 2901M|6285B 2160B| 544k  288k|43.0  2.00 | 599   821 |1.93 1.46 1.31|  0 1.0   0|   0     0 |keystone-manage      3545 5.5% 379k   0 |keystone-manage      3545  379k   0 5.5%|mysqld       174M|   0     0 |  16    5    0    7    0
Mar 26 19:35:50 ubuntu dstat.sh[2145]: 26-03 19:35:50| 10   3  47  40   1| 577M  242M  111M 2901M|4828B 2160B| 352k    0 |58.0     0 | 515   846 |1.86 1.45 1.31|  0 1.0   0|   0     0 |keystone-manage      3545 9.0% 995k   0 |keystone-manage      3545  995k   0 9.0%|mysqld       174M|   0     0 |  16    5    0    7    0
Mar 26 19:35:51 ubuntu dstat.sh[2145]: 26-03 19:35:51| 12   2  48  38   1| 584M  234M  111M 2902M|5406B 1944B| 128k 1020k|13.0  42.0 | 473   671 |1.86 1.45 1.31|  0 2.0   0|   0     0 |keystone-manage      3545  11%1639k  46k|keystone-manage      3545 1639k  46k 11%|mysqld       174M|   0     0 |  16    5    0    7    0
Mar 26 19:35:52 ubuntu dstat.sh[2145]: 26-03 19:35:52| 14   1  47  37   1| 590M  228M  111M 2902M|4779B 1944B|  56k  372k|7.00  45.0 | 527   720 |1.86 1.45 1.31|3.0 1.0   0|   0     0 |keystone-manage      3545  13%1737k   0 |keystone-manage      3545 1737k   0  13%|mysqld       174M|   0     0 |  16    5    0    7    0
Mar 26 19:35:53 ubuntu dstat.sh[2145]: 26-03 19:35:53| 12   1  48  39   1| 591M  227M  111M 2902M|5362B 2160B|   0   372k|   0  39.0 | 520   679 |1.86 1.45 1.31|  0 1.0   0|   0     0 |keystone-manage      3545  10%  24k   0 |keystone-manage      3545   24k   0  10%|mysqld       174M|   0     0 |  16    5    0    7    0
Mar 26 19:35:54 ubuntu dstat.sh[2145]: 26-03 19:35:54|  2   1   8  89   1| 591M  227M  111M 2902M|5949B 2160B|   0   204k|   0  40.0 | 388   455 |1.86 1.45 1.31|  0 5.0   0|   0     0 |rcu_sched            8    1.0%   0    0 |python2              2363   14k   0 0.5%|mysqld       174M|   0     0 |  16    5    0    7    0
Mar 26 19:35:55 ubuntu dstat.sh[2145]: 26-03 19:35:55|  6   1  11  80   3| 592M  226M  111M 2902M|3609B 1944B| 152k  836k|18.0  25.0 | 424   550 |2.11 1.51 1.33|1.0 1.0   0|   0     0 |keystone-manage      3545 4.5% 345k   0 |keystone-manage      3545  345k   0 4.5%|mysqld       174M|   0     0 |  16    5    0    7    0
Mar 26 19:35:56 ubuntu dstat.sh[2145]: 26-03 19:35:56| 26   2  47  24   1| 609M  208M  111M 2903M|5174B 2160B| 444k    0 |26.0     0 | 735  1138 |2.11 1.51 1.33|  0 1.0 2.0|   0     0 |keystone-manage      3545  26%3978k 174k|keystone-manage      3545 3978k 174k 26%|mysqld       174M|   0     0 |  16    5    0    7    0
Mar 26 19:35:57 ubuntu dstat.sh[2145]: 26-03 19:35:57| 18   4  46  31   2| 617M  199M  111M 2903M|6302B 2160B|  76k    0 |7.00     0 | 514   693 |2.11 1.51 1.33|  0 1.0   0|   0     0 |keystone-manage      3545  18%2109k 345k|keystone-manage      3545 2109k 345k 18%|mysqld       174M|   0     0 |  16    5    0    7    0
Mar 26 19:35:58 ubuntu dstat.sh[2145]: 26-03 19:35:58| 19   8  34  36   3| 623M  193M  111M 2904M|3605B 1944B|  96k 3696k|7.00  43.0 | 793  1277 |2.11 1.51 1.33|  0 1.0   0|   0     0 |keystone-manage      3545  13% 957k  83k|keystone-manage      3545  957k  83k 13%|mysqld       178M|   0     0 |  16    7    0    7    0
Mar 26 19:35:59 ubuntu dstat.sh[2145]: 26-03 19:35:59|  8   3  43  45   1| 632M  183M  111M 2904M|4968B 2160B|   0   324k|   0  26.0 | 481   910 |2.11 1.51 1.33|  0 1.0   0|   0     0 |keystone-manage      3545 4.5%  38k  53k|keystone-manage      3545   38k  53k4.5%|mysqld       186M|   0     0 |  16    7    0    7    0
Mar 26 19:36:00 ubuntu dstat.sh[2145]: 26-03 19:36:00|  3   2  48  47   1| 633M  182M  111M 2904M|3674B 1944B|   0   796k|   0  51.0 | 469   848 |2.10 1.52 1.33|  0 1.0   0|   0     0 |mysqld               1421 1.5%   0    0 |python2              2363   14k 450B  0%|mysqld       186M|   0     0 |  16    7    0    7    0
Mar 26 19:36:01 ubuntu dstat.sh[2145]: 26-03 19:36:01|  3   1  45  50   1| 633M  182M  111M 2904M|3328B 2160B|   0   452k|   0  35.0 | 392   713 |2.10 1.52 1.33|  0 1.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              2363   14k 462B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Mar 26 19:36:02 ubuntu dstat.sh[2145]: 26-03 19:36:02|  3   1  45  50   2| 633M  182M  111M 2904M|4968B 1944B|   0   660k|   0  47.0 | 483   842 |2.10 1.52 1.33|  0 1.0   0|   0     0 |etcd                 3238 1.0%   0    0 |python2              2363   14k 462B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Mar 26 19:36:03 ubuntu dstat.sh[2145]: 26-03 19:36:03|  3   2  45  49   0| 633M  182M  111M 2904M|4664B 2160B|   0   372k|   0  25.0 | 366   757 |2.10 1.52 1.33|  0 1.0   0|   0     0 |mysqld               1421 1.0%   0    0 |python2              2363   14k 456B0.5%|mysqld       187M|   0     0 |  16    7    0    7    0
Mar 26 19:36:04 ubuntu dstat.sh[2145]: 26-03 19:36:04|  2   1  46  51   1| 633M  181M  111M 2904M|4339B 1944B|   0   608k|   0  47.0 | 472   854 |2.10 1.52 1.33|  0 1.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              2363   14k 462B0.5%|mysqld       187M|   0     0 |  16    7    0    7    0
Mar 26 19:36:05 ubuntu dstat.sh[2145]: 26-03 19:36:05|  3   1  49  47   0| 633M  181M  112M 2904M|5260B 2160B|   0   620k|   0  42.0 | 471   818 |2.09 1.53 1.33|  0 1.0   0|   0     0 |mysqld               1421 0.5%   0    0 |python2              2363   14k 452B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Mar 26 19:36:06 ubuntu dstat.sh[2145]: 26-03 19:36:06|  2   1  47  50   1| 634M  180M  112M 2904M|4653B 2160B|   0   676k|   0  50.0 | 493   945 |2.09 1.53 1.33|  0 1.0 2.0|   0     0 |mysqld               1421 1.0%   0    0 |python2              2363   14k 464B0.5%|mysqld       187M|   0     0 |  16    7    0    7    0
Mar 26 19:36:07 ubuntu dstat.sh[2145]: 26-03 19:36:07|  2   1  48  50   0| 634M  180M  112M 2905M|3384B 2160B|   0   876k|   0  58.0 | 466   873 |2.09 1.53 1.33|  0 1.0   0|   0     0 |beam.smp             3052 0.5%   0    0 |python2              2363   14k 448B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Mar 26 19:36:08 ubuntu dstat.sh[2145]: 26-03 19:36:08|  2   2  41  54   0| 634M  180M  112M 2905M|5789B 1944B|   0  1172k|   0  50.0 | 409   722 |2.09 1.53 1.33|  0 1.0   0|   0     0 |mysqld               1421 0.5%   0    0 |python2              2363   14k 457B  0%|mysqld       188M|   0     0 |  16    7    0    7    0
Mar 26 19:36:09 ubuntu dstat.sh[2145]: 26-03 19:36:09|  4   6  43  48   0| 634M  179M  112M 2905M|3848B 2160B|   0   492k|   0  50.0 | 470  1006 |2.09 1.53 1.33|  0 2.0   0|   0     0 |mysqld               1421 7.0%   0    0 |python2              2363   14k 458B  0%|mysqld       188M|   0     0 |  16    7    0    7    0
Mar 26 19:36:10 ubuntu dstat.sh[2145]: 26-03 19:36:10|  5   4  39  51   1| 635M  178M  112M 2905M|3080B 2160B|   0   568k|   0  52.0 | 476  1031 |2.08 1.54 1.34|  0 1.0   0|   0     0 |mysqld               1421 5.5%   0    0 |python2              2363   14k 451B0.5%|mysqld       188M|   0     0 |  16    7    0    7    0
Mar 26 19:36:11 ubuntu dstat.sh[2145]: 26-03 19:36:11| 12   8  31  49   1| 635M  178M  112M 2905M|4183B 2160B|   0   256k|   0  21.0 | 449   745 |2.08 1.54 1.34|  0 1.0   0|   0     0 |mysqld               1421  18%   0    0 |python2              2363   14k 463B  0%|mysqld       188M|   0     0 |  16    7    0    7    0
Mar 26 19:36:12 ubuntu dstat.sh[2145]: 26-03 19:36:12|  4   3  44  49   0| 635M  178M  112M 2905M|7469B 1944B|   0   464k|   0  45.0 | 490  1009 |2.08 1.54 1.34|  0 1.0   0|   0     0 |mysqld               1421 3.5%   0    0 |python2              2363   14k 453B  0%|mysqld       188M|   0     0 |  16    7    0    7    0
Mar 26 19:36:13 ubuntu dstat.sh[2145]: 26-03 19:36:13| 15  11  28  46   0| 635M  178M  112M 2905M|6494B 2160B|   0   360k|   0  31.0 | 579   855 |2.08 1.54 1.34|2.0 1.0   0|   0     0 |mysqld               1421  24%   0    0 |python2              2363   14k 460B  0%|mysqld       189M|   0     0 |  16    7    0    7    0
Mar 26 19:36:14 ubuntu dstat.sh[2145]: 26-03 19:36:14| 10   7  31  53   0| 635M  178M  112M 2905M|9120B 2160B|   0   356k|   0  31.0 | 531   850 |2.08 1.54 1.34|  0 1.0   0|   0     0 |mysqld               1421  14%   0    0 |python2              2363   14k 453B0.5%|mysqld       189M|   0     0 |  16    7    0    6    0
Mar 26 19:36:15 ubuntu dstat.sh[2145]: 26-03 19:36:15|  6   6  37  51   0| 635M  177M  112M 2905M|5224B 2160B|   0   412k|   0  45.0 | 439   946 |2.16 1.56 1.35|1.0 1.0   0|   0     0 |mysqld               1421  10%   0    0 |python2              2363   14k 458B  0%|mysqld       189M|   0     0 |  16    7    0    6    0
Mar 26 19:36:16 ubuntu dstat.sh[2145]: 26-03 19:36:16|  4   4  45  47   1| 635M  177M  113M 2905M|5200B 2160B|   0   620k|   0  50.0 | 494  1075 |2.16 1.56 1.35|1.0 1.0 2.0|   0     0 |mysqld               1421 4.5%   0    0 |python2              2363   14k 465B  0%|mysqld       189M|   0     0 |  16    7    0    6    0
Mar 26 19:36:17 ubuntu dstat.sh[2145]: 26-03 19:36:17|  4   4  41  51   0| 636M  176M  113M 2905M|  23k 2202B|   0   736k|   0  64.0 | 634  1069 |2.16 1.56 1.35|  0 2.0   0|   0     0 |mysqld               1421 5.0%   0    0 |python2              2363   14k 454B0.5%|mysqld       189M|   0     0 |  16    7    0    6    0
Mar 26 19:36:18 ubuntu dstat.sh[2145]: 26-03 19:36:18| 12  12  38  38   0| 636M  176M  113M 2905M|7103B 1944B|   0   616k|   0  50.0 | 633  1014 |2.16 1.56 1.35|  0 1.0   0|   0     0 |mysqld               1421  21%   0    0 |python2              2363   14k 455B  0%|mysqld       189M|   0     0 |  16    7    0    6    0
Mar 26 19:36:19 ubuntu dstat.sh[2145]: 26-03 19:36:19|  8   7  44  41   0| 636M  176M  113M 2905M|9066B 2160B|   0  1156k|   0  90.0 | 586  1026 |2.16 1.56 1.35|1.0 1.0   0|   0     0 |mysqld               1421  13%   0    0 |python2              2363   14k 460B  0%|mysqld       189M|   0     0 |  16    7    0    6    0
Mar 26 19:36:20 ubuntu dstat.sh[2145]: 26-03 19:36:20| 11  11  43  34   0| 636M  176M  113M 2905M|  10k 2202B|   0  1000k|   0  76.0 | 662  1122 |2.23 1.59 1.36|  0 1.0   0|   0     0 |mysqld               1421  19%   0    0 |python2              2363   14k 462B0.5%|mysqld       190M|   0     0 |  16    7    0    6    0
Mar 26 19:36:21 ubuntu dstat.sh[2145]: 26-03 19:36:21|  7   5  48  41   0| 637M  175M  113M 2905M|6695B 2160B|   0   412k|   0  40.0 | 440   821 |2.23 1.59 1.36|  0 1.0   0|   0     0 |mysqld               1421 8.5%   0    0 |python2              2363   14k 452B  0%|mysqld       190M|   0     0 |  16    7    0    6    0
Mar 26 19:36:22 ubuntu dstat.sh[2145]: 26-03 19:36:22|  3   1  46  51   0| 637M  175M  113M 2905M|6607B 2160B|   0   568k|   0  36.0 | 409   827 |2.23 1.59 1.36|  0 1.0   0|   0     0 |mysqld               1421 0.5%   0    0 |python2              2363   14k 444B  0%|mysqld       190M|   0     0 |  16    7    0    6    0
Mar 26 19:36:23 ubuntu dstat.sh[2145]: 26-03 19:36:23| 14  11  27  49   0| 637M  175M  113M 2905M|6027B 1944B|   0   660k|   0  54.0 | 568  1332 |2.23 1.59 1.36|  0 1.0   0|   0     0 |mysqld               1421  21%   0    0 |python2              2363   14k 455B  0%|mysqld       191M|   0     0 |  16    7    0    6    0
