-- Logs begin at Sun 2020-03-29 23:45:37 UTC, end at Mon 2020-03-30 01:15:55 UTC. --
Mar 30 00:27:54 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 30 00:27:54 ubuntu dstat.sh[2467]: [286B blob data]
Mar 30 00:27:54 ubuntu dstat.sh[2467]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 30 00:27:54 ubuntu dstat.sh[2467]: 30-03 00:27:54| 17   5  54  24   2| 421M  578M 85.4M 2647M|   0     0 | 257k 3679k|12.4  36.6 | 760  1348 |1.43 1.18 1.15|4.0   0  26|   0     0 |systemd              1    0.4%   0    0 |bash                 3968 2482k2297k0.2%|mysqld       173M|   0     0 |  13    3    0    5    0
Mar 30 00:27:55 ubuntu dstat.sh[2467]: 30-03 00:27:55| 22  35  36   5   2| 421M  578M 85.4M 2647M|4093B 1984B|4096B  148k|1.00  10.0 |1519  3695 |1.43 1.18 1.15|2.0   0 402|   0     0 |bash                 3968 7.0%1522k  26k|bash                 3968 1522k  26k7.0%|mysqld       173M|   0     0 |  13    3    0    5    0
Mar 30 00:27:56 ubuntu dstat.sh[2467]: 30-03 00:27:56| 26  32  39   0   4| 421M  578M 85.4M 2648M|4597B 2160B|   0    24k|   0  5.00 |1662  4790 |1.43 1.18 1.15|2.0   0 264|   0     0 |systemd              1    9.5%   0    0 |bash                 3968 1846k  16k3.5%|mysqld       173M|   0     0 |  13    3    0    5    0
Mar 30 00:27:57 ubuntu dstat.sh[2467]: 30-03 00:27:57| 28  29  37   0   6| 422M  577M 85.4M 2648M|5275B 2160B|   0    12k|   0  3.00 |1586  5418 |1.43 1.18 1.15|1.0   0 175|   0     0 |systemd              1     17%   0    0 |bash                 3968 1070k8534B2.0%|mysqld       173M|   0     0 |  13    3    0    5    0
Mar 30 00:27:58 ubuntu dstat.sh[2467]: 30-03 00:27:58|  6   7  86   0   2| 547M  451M 85.4M 2770M|4259B 1890B|   0     0 |   0     0 | 715  2262 |1.43 1.18 1.15|  0   0  19|   0     0 |systemd              1    4.0%   0    0 |bash                 3968  116k 392B  0%|mysqld       173M|   0     0 |  15    3    0    5    0
Mar 30 00:27:59 ubuntu dstat.sh[2467]: 30-03 00:27:59| 18  26  53   0   3| 551M  447M 85.4M 2770M|4137B 2214B|   0     0 |   0     0 |1508  3320 |1.48 1.19 1.15|1.0   0 295|   0     0 |bash                 3968 6.0% 600k  18k|keystone-manage      3866  897k  42k4.5%|mysqld       173M|   0     0 |  15    5    0    7    0
Mar 30 00:28:00 ubuntu dstat.sh[2467]: 30-03 00:28:00| 33   4  47  15   1| 569M  428M 85.6M 2770M|4076B 2160B| 804k  408k|91.0  4.00 | 790  1138 |1.48 1.19 1.15|1.0   0 3.0|   0     0 |keystone-manage      3866  35%4479k  38k|keystone-manage      3866 4479k  38k 35%|mysqld       173M|   0     0 |  15    5    0    7    0
Mar 30 00:28:01 ubuntu dstat.sh[2467]: 30-03 00:28:01| 36   4  49  11   1| 588M  408M 86.0M 2771M|3699B 1944B|1096k    0 | 182     0 | 865  1200 |1.48 1.19 1.15|1.0   0   0|   0     0 |keystone-manage      3866  37%4463k  46k|keystone-manage      3866 4463k  46k 37%|mysqld       173M|   0     0 |  15    5    0    7    0
Mar 30 00:28:02 ubuntu dstat.sh[2467]: 30-03 00:28:02| 43   5  48   4   1| 608M  387M 86.1M 2772M|4286B 2052B| 668k    0 |50.0     0 | 695   797 |1.48 1.19 1.15|2.0   0   0|   0     0 |keystone-manage      3866  46%5420k 347k|keystone-manage      3866 5420k 347k 46%|mysqld       173M|   0     0 |  15    5    0    7    0
Mar 30 00:28:03 ubuntu dstat.sh[2467]: 30-03 00:28:03| 27  15  29  28   1| 626M  368M 86.2M 2773M|5999B 2268B| 108k 1984k|10.0  51.0 |1248  1962 |1.48 1.19 1.15|  0 1.0   0|   0     0 |keystone-manage      3866  21%1366k 307k|keystone-manage      3866 1366k 307k 21%|mysqld       186M|   0     0 |  15    7    0    7    0
