-- Logs begin at Sun 2020-03-29 21:07:30 UTC, end at Sun 2020-03-29 22:46:52 UTC. --
Mar 29 21:52:06 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 29 21:52:07 ubuntu dstat.sh[1533]: [286B blob data]
Mar 29 21:52:07 ubuntu dstat.sh[1533]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 29 21:52:07 ubuntu dstat.sh[1533]: 29-03 21:52:07| 16   5  53  26   2| 420M  756M 88.1M 2477M|   0     0 | 171k 2947k|9.53  34.2 | 726  1369 |1.31 1.31 1.29|2.0   0  25|   0     0 |systemd              1    0.4%   0    0 |bash                 4397 2316k2157k0.2%|mysqld       174M|   0     0 |  14    3    0    5    0
Mar 29 21:52:08 ubuntu dstat.sh[1533]: 29-03 21:52:08| 23  36  32   6   4| 421M  754M 88.1M 2477M|4464B 1944B| 308k  140k|4.00  10.0 |1484  4011 |1.31 1.31 1.29|1.0   0 443|   0     0 |bash                 4397 7.0%1841k  29k|bash                 4397 1841k  29k7.0%|mysqld       174M|   0     0 |  14    3    0    5    0
Mar 29 21:52:09 ubuntu dstat.sh[1533]: 29-03 21:52:09| 25  36  37   0   1| 420M  755M 88.1M 2477M|4445B 2160B|   0    24k|   0  6.00 |1643  4564 |1.31 1.31 1.29|1.0   0 296|   0     0 |systemd              1    9.5%   0    0 |bash                 4397 2426k  19k4.0%|mysqld       174M|   0     0 |  14    3    0    5    0
Mar 29 21:52:10 ubuntu dstat.sh[1533]: 29-03 21:52:10| 26  23  50   0   2| 546M  629M 88.1M 2599M|4018B 2160B|   0   268k|   0  3.00 |1641  4605 |1.61 1.37 1.31|  0   0 100|   0     0 |systemd              1     18%   0    0 |bash                 4397  256k1633B0.5%|mysqld       174M|   0     0 |  16    3    0    5    0
Mar 29 21:52:11 ubuntu dstat.sh[1533]: 29-03 21:52:11| 23  23  50   0   4| 554M  621M 88.1M 2599M|4197B 1944B|   0     0 |   0     0 |1414  3245 |1.61 1.37 1.31|1.0   0 295|   0     0 |keystone-manage      2855  10%1681k  81k|keystone-manage      2855 1681k  81k 10%|mysqld       174M|   0     0 |  16    5    0    7    0
Mar 29 21:52:12 ubuntu dstat.sh[1533]: 29-03 21:52:12| 28   3  48  21   1| 567M  607M 88.4M 2600M|4483B 2160B| 672k    0 |90.0     0 | 630   948 |1.61 1.37 1.31|  0 1.0   0|   0     0 |keystone-manage      2855  29%3522k   0 |keystone-manage      2855 3522k   0  29%|mysqld       174M|   0     0 |  16    5    0    7    0
Mar 29 21:52:13 ubuntu dstat.sh[1533]: 29-03 21:52:13| 10   3  48  39   2| 570M  603M 88.6M 2600M|3675B 1836B| 676k  296k| 102  2.00 | 695  1113 |1.61 1.37 1.31|  0 1.0 2.0|   0     0 |keystone-manage      2855 9.0% 770k   0 |keystone-manage      2855  770k   0 9.0%|mysqld       174M|   0     0 |  16    5    0    7    0
Mar 29 21:52:14 ubuntu dstat.sh[1533]: 29-03 21:52:14| 18   3  47  32   1| 581M  592M 88.8M 2601M|4539B 2268B| 512k    0 |74.0     0 | 621   914 |1.61 1.37 1.31|1.0   0   0|   0     0 |keystone-manage      2855  18%2413k  46k|keystone-manage      2855 2413k  46k 18%|mysqld       174M|   0     0 |  16    5    0    7    0
Mar 29 21:52:15 ubuntu dstat.sh[1533]: 29-03 21:52:15| 28   3  46  20   4| 590M  582M 88.8M 2601M|4991B 1944B| 576k    0 |42.0     0 | 681   826 |1.56 1.37 1.31|2.0   0   0|   0     0 |keystone-manage      2855  29%2332k   0 |keystone-manage      2855 2332k   0  29%|mysqld       174M|   0     0 |  16    5    0    7    0
Mar 29 21:52:16 ubuntu dstat.sh[1533]: 29-03 21:52:16| 39   5  47   6   2| 611M  560M 88.8M 2602M|4559B 2160B| 204k    0 |18.0     0 | 528   866 |1.56 1.37 1.31|2.0   0   0|   0     0 |keystone-manage      2855  42%5593k 519k|keystone-manage      2855 5593k 519k 42%|mysqld       174M|   0     0 |  16    5    0    7    0
Mar 29 21:52:17 ubuntu dstat.sh[1533]: 29-03 21:52:17| 27   9  34  30   1| 625M  545M 88.9M 2603M|3923B 1944B|  12k 1792k|1.00  45.0 |1023  1882 |1.56 1.37 1.31|  0 1.0   0|   0     0 |python2              1601  15% 111k 121k|keystone-manage      2855  308k 136k 14%|mysqld       186M|   0     0 |  16    7    0    7    0
Mar 29 21:52:18 ubuntu dstat.sh[1533]: 29-03 21:52:18|  3   1  47  48   2| 625M  545M 89.1M 2603M|4148B 2160B|   0   760k|   0  58.0 | 587   974 |1.56 1.37 1.31|  0 1.0   0|   0     0 |mysqld               787  1.5%   0    0 |python2              1649   14k 461B0.5%|mysqld       186M|   0     0 |  16    7    0    7    0
Mar 29 21:52:19 ubuntu dstat.sh[1533]: 29-03 21:52:19|  2   2  48  46   2| 625M  544M 89.3M 2603M|3708B 2106B|   0  1208k|   0  82.0 | 690  1118 |1.56 1.37 1.31|  0 1.0   0|   0     0 |jbd2/vda1-8          304  1.0%   0    0 |python2              1649   14k 463B  0%|mysqld       186M|   0     0 |  16    7    0    7    0
Mar 29 21:52:20 ubuntu dstat.sh[1533]: 29-03 21:52:20|  2   1  33  62   1| 626M  544M 89.3M 2603M|7151B 1998B|   0  3376k|   0   111 | 598   732 |1.60 1.38 1.31|  0 2.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              1649   14k 463B  0%|mysqld       186M|   0     0 |  16    7    0    7    0
