-- Logs begin at Wed 2020-04-01 20:50:25 UTC, end at Wed 2020-04-01 22:18:52 UTC. --
Apr 01 21:30:34 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 01 21:30:34 ubuntu dstat.sh[1919]: [286B blob data]
Apr 01 21:30:34 ubuntu dstat.sh[1919]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 01 21:30:34 ubuntu dstat.sh[1919]: 01-04 21:30:34| 17   5  55  21   2| 421M  716M 85.4M 2513M|   0     0 | 243k 3678k|13.0  38.3 | 811  1567 |1.18 1.26 1.21|2.0   0  28|   0     0 |systemd              1    0.5%   0    0 |bash                 3471 2621k2422k0.2%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 21:30:35 ubuntu dstat.sh[1919]: 01-04 21:30:35| 21  39  38   2   1| 422M  715M 85.4M 2514M|  18k 2160B|   0   120k|   0  11.0 |1507  4194 |1.16 1.26 1.20|1.0   0 445|   0     0 |bash                 3471 7.0%2199k  29k|bash                 3471 2199k  29k7.0%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 21:30:36 ubuntu dstat.sh[1919]: 01-04 21:30:36| 24  36  39   0   1| 422M  714M 85.4M 2514M|  21k 2160B|   0    24k|   0  6.00 |1995  5005 |1.16 1.26 1.20|4.0   0 269|   0     0 |systemd              1    9.5%   0    0 |bash                 3471 2032k  17k3.5%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 21:30:37 ubuntu dstat.sh[1919]: 01-04 21:30:37| 26  21  53   0   1| 548M  589M 85.4M 2636M|  19k 2160B|   0     0 |   0     0 |1614  6134 |1.16 1.26 1.20|  0   0  78|   0     0 |systemd              1     20%   0    0 |bash                 3471  232k 656B0.5%|mysqld       173M|   0     0 |  16    3    0    5    0
Apr 01 21:30:38 ubuntu dstat.sh[1919]: 01-04 21:30:38| 25  26  38  10   2| 558M  578M 85.4M 2636M|  16k 1944B|   0  1284k|   0  2.00 |1425  3321 |1.16 1.26 1.20|1.0 1.0 300|   0     0 |keystone-manage      3318  11%2121k  81k|keystone-manage      3318 2121k  81k 11%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 21:30:39 ubuntu dstat.sh[1919]: 01-04 21:30:39| 23   3  45  29   0| 569M  567M 85.4M 2636M|  17k 2160B| 116k   32M|4.00  33.0 | 564   765 |1.16 1.26 1.20|1.0   0   0|   0     0 |keystone-manage      3318  24%2963k   0 |keystone-manage      3318 2963k   0  24%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 21:30:40 ubuntu dstat.sh[1919]: 01-04 21:30:40|  7   1  38  54   0| 570M  565M 85.5M 2636M|  19k 2160B| 572k  288k|57.0  2.00 | 528   867 |1.23 1.27 1.21|  0 1.0   0|   0     0 |keystone-manage      3318 5.0% 294k   0 |keystone-manage      3318  294k   0 5.0%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 21:30:41 ubuntu dstat.sh[1919]: 01-04 21:30:41|  8   1  48  44   0| 572M  563M 85.6M 2637M|  18k 2160B| 392k    0 |67.0     0 | 490   849 |1.23 1.27 1.21|  0 1.0   0|   0     0 |keystone-manage      3318 5.5% 595k   0 |keystone-manage      3318  595k   0 5.5%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 21:30:42 ubuntu dstat.sh[1919]: 01-04 21:30:42| 14   3  47  35   1| 582M  552M 85.8M 2637M|  17k 1944B| 480k    0 |70.0     0 | 479   834 |1.23 1.27 1.21|1.0 1.0   0|   0     0 |keystone-manage      3318  15%2157k  46k|keystone-manage      3318 2157k  46k 15%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 21:30:43 ubuntu dstat.sh[1919]: 01-04 21:30:43| 27   2  48  22   0| 591M  543M 85.8M 2638M|  17k 2160B| 436k    0 |33.0     0 | 532   710 |1.23 1.27 1.21|  0 1.0   0|   0     0 |keystone-manage      3318  27%2268k   0 |keystone-manage      3318 2268k   0  27%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 21:30:44 ubuntu dstat.sh[1919]: 01-04 21:30:44|  6   2  49  43   0| 593M  540M 85.8M 2638M|  16k 2160B| 196k   44k|16.0  7.00 | 369   599 |1.23 1.27 1.21|  0 2.0   0|   0     0 |keystone-manage      3318 4.5% 732k  34k|keystone-manage      3318  732k  34k4.5%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 21:30:46 ubuntu dstat.sh[1919]: 01-04 21:30:45|  3   1   5  92   0| 594M  540M 85.8M 2638M|  10k 2160B|  16k  116k|2.00  24.0 | 371   538 |1.45 1.32 1.22|  0 6.0   0|   0     0 |etcd                 2924 0.5%   0    0 |keystone-manage      3318   49k   0 0.5%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 21:30:46 ubuntu dstat.sh[1919]: 01-04 21:30:46|  3   1   0  95   1| 594M  539M 85.8M 2638M|  16k 1944B|8192B  780k|1.00  39.0 | 403   565 |1.45 1.32 1.22|  0 3.0   0|   0     0 |keystone-manage      3318 2.0%  60k  44k|keystone-manage      3318   60k  44k2.0%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 21:30:47 ubuntu dstat.sh[1919]: 01-04 21:30:47|  2   1   0  97   1| 594M  539M 85.8M 2638M|  16k 2160B|   0   112k|   0  12.0 | 363   621 |1.45 1.32 1.22|  0 3.0   0|   0     0 |ksoftirqd/1          16   0.5%   0    0 |python2              2082   14k 439B0.5%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 21:30:48 ubuntu dstat.sh[1919]: 01-04 21:30:48|  2   1   0  96   1| 594M  539M 85.8M 2638M|  16k 1944B|   0   500k|   0  20.0 | 408   676 |1.45 1.32 1.22|  0 3.0 2.0|   0     0 |rcu_sched            8    0.5%   0    0 |keystone-manage      3318 7665B7794B  0%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 21:30:49 ubuntu dstat.sh[1919]: 01-04 21:30:49| 16   1   8  74   0| 602M  532M 85.8M 2638M|  17k 1944B|4096B 1448k|1.00  21.0 | 466   662 |1.45 1.32 1.22|  0 2.0   0|   0     0 |keystone-manage      3318  15%2074k  58k|keystone-manage      3318 2074k  58k 15%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 21:30:50 ubuntu dstat.sh[1919]: 01-04 21:30:50| 19   4  23  54   0| 612M  521M 85.8M 2639M|  17k 2160B|  92k 2604k|8.00  54.0 | 589   781 |1.66 1.36 1.24|  0 1.0   0|   0     0 |keystone-manage      3318  21%2355k 375k|keystone-manage      3318 2355k 375k 21%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 21:30:51 ubuntu dstat.sh[1919]: 01-04 21:30:51| 20   6  31  43   1| 618M  514M 85.9M 2639M|  17k 1782B| 104k  912k|9.00  11.0 | 546  1249 |1.66 1.36 1.24|  0 1.0   0|   0     0 |python2              1554  11%  83k  91k|keystone-manage      3318  907k  83k 11%|mysqld       177M|   0     0 |  16    7    0    7    0
