-- Logs begin at Wed 2020-03-18 07:42:24 UTC, end at Wed 2020-03-18 09:06:12 UTC. --
Mar 18 08:25:15 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 18 08:25:16 ubuntu dstat.sh[335]: [286B blob data]
Mar 18 08:25:16 ubuntu dstat.sh[335]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 18 08:25:16 ubuntu dstat.sh[335]: 18-03 08:25:16| 17   5  54  22   2| 423M  951M  139M 2225M|   0     0 | 179k 3266k|8.50  36.8 | 783  1366 |1.18 1.18 1.17|1.0   0  25|   0     0 |systemd              1    0.4%   0    0 |bash                 3229 2573k2427k0.2%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 18 08:25:17 ubuntu dstat.sh[335]: 18-03 08:25:17| 16  27  40   4  13| 421M  952M  139M 2225M|8590B 2106B| 172k  136k|2.00  12.0 |1260  2971 |1.18 1.18 1.17|  0 1.0 300|   0     0 |bash                 3229 6.5%1295k  19k|bash                 3229 1295k  19k6.5%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 18 08:25:18 ubuntu dstat.sh[335]: 18-03 08:25:18|  7  14  44  28   6| 420M  953M  139M 2225M|5449B 2214B|   0   768k|   0  76.0 | 805  1512 |1.18 1.18 1.17|2.0   0 127|   0     0 |bash                 3229 3.0%1068k9846B|bash                 3229 1068k9846B3.0%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 18 08:25:19 ubuntu dstat.sh[335]: 18-03 08:25:19| 19  31  38   0  12| 421M  953M  139M 2225M|5807B 1998B|   0    16k|   0  4.00 |1601  4611 |1.32 1.22 1.18|  0   0 233|   0     0 |systemd              1    9.0%   0    0 |bash                 3229 1809k  15k3.0%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 18 08:25:20 ubuntu dstat.sh[335]: 18-03 08:25:20| 23  25  40   0  11| 546M  827M  139M 2347M|8135B 2106B|   0  4096B|   0  1.00 |1240  6789 |1.32 1.22 1.18|  0   0 100|   0     0 |systemd              1     22%   0    0 |bash                 3229  250k1398B0.5%|mysqld       173M|   0     0 |  16    3    0    5    0
Mar 18 08:25:21 ubuntu dstat.sh[335]: 18-03 08:25:21|  8  15  75   0   2| 546M  827M  139M 2347M|5717B 2160B|   0     0 |   0     0 | 920  2193 |1.32 1.22 1.18|1.0   0 173|   0     0 |bash                 3229 3.0% 328k9562B|bash                 3229  328k9562B3.0%|mysqld       173M|   0     0 |  16    5    0    5    0
Mar 18 08:25:22 ubuntu dstat.sh[335]: 18-03 08:25:22| 34  17  44   0   5| 561M  811M  139M 2347M|7264B 2160B|  80k   96k|1.00  2.00 |1049  1997 |1.32 1.22 1.18|1.0   0 122|   0     0 |keystone-manage      1770  33%3506k  81k|keystone-manage      1770 3506k  81k 33%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 18 08:25:23 ubuntu dstat.sh[335]: 18-03 08:25:23| 31   4  46  15   4| 580M  791M  139M 2348M|4629B 1944B|1004k  212k|84.0  2.00 | 774  1031 |1.32 1.22 1.18|1.0   0   0|   0     0 |keystone-manage      1770  34%4547k  46k|keystone-manage      1770 4547k  46k 34%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 18 08:25:24 ubuntu dstat.sh[335]: 18-03 08:25:24| 39   3  46   8   3| 595M  775M  139M 2349M|4086B 2160B| 632k    0 |49.0     0 | 756  1061 |1.30 1.21 1.18|2.0   0 2.0|   0     0 |keystone-manage      1770  41%4024k 107k|keystone-manage      1770 4024k 107k 41%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 18 08:25:25 ubuntu dstat.sh[335]: 18-03 08:25:25| 47   9  38   3   2| 620M  749M  139M 2350M|9698B 2160B| 184k    0 |14.0     0 | 891  1489 |1.30 1.21 1.18|1.0 1.0   0|   0     0 |keystone-manage      1770  44%5165k 494k|keystone-manage      1770 5165k 494k 44%|mysqld       177M|   0     0 |  16    7    0    7    0
