"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","18 Mar 2020 08:33:24 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
18-03 08:33:24,16.213,4.619,53.464,23.615,2.088,439480320,305319936,116191232,3025920000,0,0,200094.588,3599489.996,10.404,35.471,738.205,1243.446,1.380,1.160,1.200,2,0,24.119,0,0,13,3,0,4,0
18-03 08:33:25,14.010,25.121,2.415,52.657,5.797,440520704,304029696,116199424,3025948672,3226,1944,0,1175552,0,106,1289,2300,1.380,1.160,1.200,1,1,320,0,0,13,3,0,4,0
18-03 08:33:26,18.627,28.922,30.392,13.725,8.333,441458688,302993408,116207616,3026194432,5915,2160,0,339968,0,22,1203,3551,1.380,1.160,1.200,1,0,255,0,0,13,3,0,4,0
18-03 08:33:27,29.851,27.861,37.811,0,4.478,440934400,303484928,116207616,3026116608,7513,2160,0,16384,0,4,1814,6009,1.380,1.160,1.200,1,0,216,0,0,13,3,0,5,0
18-03 08:33:28,17.561,18.049,57.561,0,6.829,570613760,173297664,116207616,3154202624,4965,1944,0,0,0,0,1487,3924,1.380,1.160,1.200,1,0,125,0,0,15,5,0,4,0
18-03 08:33:29,24.519,21.154,41.827,0,12.500,582905856,160874496,116211712,3154313216,6206,2160,0,0,0,0,1131,2483,1.510,1.190,1.210,1,0,217,0,0,15,5,0,6,0
18-03 08:33:30,24.876,3.980,45.274,20.896,4.975,593428480,149925888,116211712,3154718720,4672,2160,389120,217088,17,1,550,830,1.510,1.190,1.210,0,1,0,0,0,15,5,0,6,0
18-03 08:33:31,4.545,1.515,48.485,45.455,0,594255872,148848640,116219904,3154944000,5406,2160,221184,720896,22,5,463,787,1.510,1.190,1.210,0,1,0,0,0,15,5,0,6,0
18-03 08:33:32,9.091,1.515,48.485,40.909,0,598560768,144179200,116219904,3155259392,5503,2160,307200,0,38,0,554,871,1.510,1.190,1.210,0,1,0,0,0,15,5,0,6,0
18-03 08:33:33,24,3,47.500,24.500,1,614133760,128176128,116350976,3155492864,4201,2106,299008,0,46,0,548,889,1.510,1.190,1.210,1,0,0,0,0,15,5,0,6,0
18-03 08:33:34,19.697,1.515,47.980,30.303,0.505,616824832,124903424,116350976,3156033536,4630,1998,536576,0,37,0,599,839,1.470,1.190,1.210,0,1,0,0,0,15,5,0,6,0
18-03 08:33:35,29.020,6.275,44.314,20,0.392,640430080,333049856,116379648,2932695040,7409,2850,159744,28672,16,5,803,1249,1.470,1.190,1.210,2,3,5,0,0,15,5,0,6,0
18-03 08:33:36,11.972,2.817,38.028,46.479,0.704,642584576,330194944,116453376,2933170176,3439,1512,12288,2301952,2,26,393,657,1.470,1.190,1.210,0,2,0,0,0,15,5,0,6,0
18-03 08:33:37,17.677,7.071,10.101,65.152,0,648445952,323948544,116457472,2933542912,6579,1944,180224,1052672,9,69,865,1470,1.470,1.190,1.210,0,2,2,0,0,15,7,0,6,0
18-03 08:33:38,1.500,1,18.500,79,0,648536064,323850240,116461568,2933547008,6060,2160,0,573440,0,69,464,624,1.470,1.190,1.210,0,3,0,0,0,15,7,0,6,0
18-03 08:33:39,2,1,0,96.500,0.500,648470528,323899392,116469760,2933555200,4779,2160,0,2351104,0,120,564,611,1.920,1.290,1.240,0,3,0,0,0,15,7,0,6,0
18-03 08:33:40,1.010,1.010,24.242,72.727,1.010,648491008,323801088,116490240,2933616640,5459,1944,0,1359872,0,84,427,914,1.920,1.290,1.240,0,1,0,0,0,15,7,0,6,0
18-03 08:33:41,9.091,3.535,43.434,41.919,2.020,657862656,314089472,116568064,2933878784,5335,2160,0,1032192,0,50,585,1347,1.920,1.290,1.240,0,1,0,0,0,15,7,0,6,0
18-03 08:33:42,3.518,2.010,47.739,45.729,1.005,658358272,313229312,116699136,2934108160,4887,2160,0,1011712,0,67,506,1188,1.920,1.290,1.240,0,1,0,0,0,15,7,0,6,0
18-03 08:33:43,2.488,2.488,48.756,45.771,0.498,658735104,312414208,116895744,2934321152,6334,1944,0,1495040,0,112,606,1409,1.920,1.290,1.240,0,1,0,0,0,15,7,0,6,0
18-03 08:33:44,2.500,1.500,49,46.500,0.500,659156992,311746560,117047296,2934415360,8969,2202,0,1064960,0,68,553,1196,1.840,1.280,1.240,0,1,0,0,0,15,7,0,6,0
18-03 08:33:45,2.525,2.020,49.495,45.455,0.505,659476480,310915072,117215232,2934751232,5505,2160,0,1306624,0,91,695,1321,1.840,1.280,1.240,0,1,0,0,0,15,7,0,6,0
18-03 08:33:46,7.035,7.538,40.201,43.216,2.010,659775488,310235136,117374976,2934931456,4332,1944,0,847872,0,75,714,1196,1.840,1.280,1.240,0,1,0,0,0,15,7,0,6,0
18-03 08:33:47,8.081,7.576,42.929,39.899,1.515,660561920,309284864,117526528,2934943744,4305,2160,0,704512,0,73,726,1583,1.840,1.280,1.240,1,1,2,0,0,15,7,0,5,0
18-03 08:33:48,10.553,8.543,41.206,38.693,1.005,660885504,308621312,117719040,2935091200,4358,2160,0,974848,0,97,857,1817,1.840,1.280,1.240,1,1,0,0,0,15,7,0,5,0
18-03 08:33:49,8.586,7.071,43.939,38.384,2.020,661569536,307601408,117944320,2935193600,3849,1944,0,1277952,0,109,865,1765,1.850,1.290,1.250,0,1,0,0,0,15,7,0,5,0
18-03 08:33:50,11.500,13.500,28,44.500,2.500,661827584,307064832,118210560,2935205888,3848,2160,0,1404928,0,124,1037,1815,1.850,1.290,1.250,0,1,0,0,0,15,7,0,5,0
18-03 08:33:51,11.940,13.433,31.343,42.786,0.498,662446080,306237440,118460416,2935164928,6830,2160,0,1261568,0,109,969,1629,1.850,1.290,1.250,0,1,0,0,0,15,7,0,5,0
18-03 08:33:52,6.701,2.062,47.423,43.299,0.515,663252992,305065984,118677504,2935312384,8694,2160,0,1675264,0,110,982,1994,1.850,1.290,1.250,1,1,0,0,0,15,7,0,5,0
