-- Logs begin at Wed 2020-03-18 06:15:39 UTC, end at Wed 2020-03-18 07:45:55 UTC. --
Mar 18 06:59:35 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 18 06:59:35 ubuntu dstat.sh[838]: [286B blob data]
Mar 18 06:59:35 ubuntu dstat.sh[838]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 18 06:59:35 ubuntu dstat.sh[838]: 18-03 06:59:35| 17   5  58  20   1| 423M  932M  137M 2239M|   0     0 | 169k 3107k|9.49  36.0 | 747  1335 |2.38 1.45 1.20|1.0   0  25|   0     0 |systemd              1    0.4%   0    0 |bash                 4080 2506k2369k0.2%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 18 06:59:36 ubuntu dstat.sh[838]: 18-03 06:59:36| 19  36  36   4   6| 423M  932M  137M 2239M|7367B 1944B| 280k  108k|4.00  10.0 |1484  3809 |2.38 1.45 1.20|1.0   0 417|   0     0 |bash                 4080 7.0%1801k  26k|bash                 4080 1801k  26k7.0%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 18 06:59:37 ubuntu dstat.sh[838]: 18-03 06:59:37| 25  31  37   0   8| 423M  932M  137M 2239M|5946B 1890B|   0    20k|   0  5.00 |1596  4022 |2.38 1.45 1.20|2.0   0 272|   0     0 |systemd              1    9.5%   0    0 |bash                 4080 2033k  17k3.5%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 18 06:59:38 ubuntu dstat.sh[838]: 18-03 06:59:38| 28  25  34   0  12| 426M  929M  137M 2239M|5549B 1836B|   0  8192B|   0  2.00 |1281  7395 |2.51 1.49 1.22|4.0   0 136|   0     0 |systemd              1     21%   0    0 |bash                 4080  670k5284B1.0%|mysqld       173M|   0     0 |  16    3    0    5    0
Mar 18 06:59:39 ubuntu dstat.sh[838]: 18-03 06:59:39| 11  24  47   5  12| 549M  806M  137M 2361M|4407B 2106B|   0    33M|   0  41.0 |1435  3450 |2.51 1.49 1.22|2.0   0 261|   0     0 |bash                 4080 6.0% 435k  14k|bash                 4080  435k  14k6.0%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 18 06:59:40 ubuntu dstat.sh[838]: 18-03 06:59:40| 39   9  47   3   1| 570M  783M  137M 2362M|5998B 1674B| 544k    0 |29.0     0 | 761  1150 |2.51 1.49 1.22|1.0   0  39|   0     0 |keystone-manage      2261  40%5341k  81k|keystone-manage      2261 5341k  81k 40%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 18 06:59:41 ubuntu dstat.sh[838]: 18-03 06:59:41| 40   3  48   8   0| 589M  764M  137M 2362M|7695B 1998B| 516k  300k|62.0  2.00 | 624   871 |2.51 1.49 1.22|1.0   0   0|   0     0 |keystone-manage      2261  41%4493k  46k|keystone-manage      2261 4493k  46k 41%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 18 06:59:42 ubuntu dstat.sh[838]: 18-03 06:59:42| 42   5  47   5   2| 609M  743M  137M 2363M|9191B 1728B| 660k    0 |48.0     0 | 667   957 |2.51 1.49 1.22|1.0   0   0|   0     0 |keystone-manage      2261  45%5366k 174k|keystone-manage      2261 5366k 174k 45%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 18 06:59:43 ubuntu dstat.sh[838]: 18-03 06:59:43| 40  17  25  15   3| 630M  720M  137M 2364M|5940B 1944B| 100k 1308k|8.00  33.0 | 842  1784 |2.39 1.48 1.21|1.0   0   0|   0     0 |keystone-manage      2261  32%2075k 480k|keystone-manage      2261 2075k 480k 32%|mysqld       186M|   0     0 |  16    7    0    7    0
Mar 18 06:59:44 ubuntu dstat.sh[838]: 18-03 06:59:44|  3   2  27  67   2| 631M  720M  137M 2364M|6030B 1944B|   0  1492k|   0   131 | 668  1062 |2.39 1.48 1.21|  0 3.0   0|   0     0 |mysqld               325791.0%   0    0 |python2              935    14k   0   0%|mysqld       186M|   0     0 |  16    7    0    7    0
Mar 18 06:59:45 ubuntu dstat.sh[838]: 18-03 06:59:45|  2   0   0  98   0| 631M  720M  137M 2364M|5823B 1944B|   0    52k|   0  12.0 | 331   556 |2.39 1.48 1.21|  0 4.0   0|   0     0 |                                        |                                        |mysqld       186M|   0     0 |  16    7    0    7    0
Mar 18 06:59:46 ubuntu dstat.sh[838]: 18-03 06:59:46|  1   2   9  86   1| 631M  719M  137M 2365M|4483B 1728B|   0  2364k|   0   158 | 616   661 |2.39 1.48 1.21|  0 1.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              935    28k1363B0.5%|mysqld       186M|   0     0 |  16    7    0    7    0
