"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","18 Mar 2020 03:09:05 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
18-03 03:09:05,19.178,5.215,58.130,16.629,0.848,439246848,1034010624,141504512,2305908736,0,0,187584.938,3587536.003,8.816,40.745,846.198,1496.452,1.090,1.090,1.040,2,0,28.152,0,0,14,3,0,4,0
18-03 03:09:06,21.106,39.196,38.191,1.005,0.503,439627776,1033048064,141508608,2306203648,3870,1944,212992,122880,4,9,1515,3931,1.160,1.100,1.050,1,0,427,0,0,14,3,0,4,0
18-03 03:09:07,24.631,33.990,37.931,0,3.448,439496704,1033089024,141508608,2306310144,4085,1944,0,745472,0,22,1637,5623,1.160,1.100,1.050,1,0,272,0,0,14,3,0,4,0
18-03 03:09:08,32.487,28.934,38.071,0,0.508,522543104,949727232,141508608,2386989056,4921,1944,0,32768,0,8,2484,7305,1.160,1.100,1.050,3,0,182,0,0,16,3,0,4,0
18-03 03:09:09,1.523,1.015,96.954,0,0.508,570335232,901734400,141508608,2434433024,3842,1944,0,0,0,0,308,608,1.160,1.100,1.050,8,0,1,0,0,16,5,0,4,0
18-03 03:09:10,23.923,25.359,43.541,0,7.177,581734400,890220544,141508608,2434547712,3245,1998,0,0,0,0,1323,3058,1.160,1.100,1.050,3,0,295,0,0,16,5,0,7,0
18-03 03:09:11,35.678,6.533,43.719,13.065,1.005,595681280,875397120,141516800,2435321856,3869,1932,757760,258048,60,2,728,970,1.150,1.100,1.040,0,1,0,0,0,16,5,0,7,0
18-03 03:09:12,40.500,3.500,46,6.500,3.500,616136704,853872640,141516800,2436313088,5818,1944,892928,0,70,0,719,896,1.150,1.100,1.040,1,0,0,0,0,16,5,0,7,0
18-03 03:09:13,27.861,2.488,47.761,19.900,1.990,634277888,835211264,141533184,2436657152,5203,1566,73728,14331904,5,116,641,753,1.150,1.100,1.040,0,2,0,0,0,16,5,0,7,0
18-03 03:09:14,31.841,10.448,32.338,18.905,6.468,646955008,821256192,141664256,2437632000,10319,2322,139264,23195648,12,39,773,1371,1.150,1.100,1.040,0,1,0,0,0,16,7,0,7,0
18-03 03:09:15,8.081,4.545,44.444,40.404,2.525,656797696,810967040,141795328,2437939200,6408,1944,0,1269760,0,88,650,1463,1.150,1.100,1.040,0,1,0,0,0,16,7,0,7,0
18-03 03:09:16,3.590,1.026,47.692,46.667,1.026,657735680,809447424,141979648,2438332416,5459,1836,0,1626112,0,117,691,1478,1.140,1.100,1.040,1,1,2,0,0,16,7,0,7,0
18-03 03:09:17,2.538,2.030,47.716,46.193,1.523,658075648,808488960,142139392,2438754304,5258,1836,0,1564672,0,116,718,1388,1.140,1.100,1.040,1,1,0,0,0,16,7,0,7,0
18-03 03:09:18,3.535,2.525,45.455,43.939,4.545,658608128,807452672,142262272,2439118848,3880,2160,81920,1470464,1,108,754,1541,1.140,1.100,1.040,0,1,0,0,0,16,7,0,7,0
18-03 03:09:19,5.025,6.030,15.075,73.367,0.503,659156992,806756352,142336000,2439188480,5314,1944,0,1040384,0,138,745,1090,1.140,1.100,1.040,0,3,0,0,0,16,7,0,7,0
18-03 03:09:20,3.030,3.030,12.121,80.808,1.010,659169280,806694912,142376960,2439196672,4562,1890,0,2170880,0,157,668,898,1.140,1.100,1.040,1,1,0,0,0,16,7,0,7,0
18-03 03:09:21,9.645,10.152,41.117,38.071,1.015,659972096,805605376,142585856,2439266304,5590,1998,0,1257472,0,129,898,1958,1.200,1.120,1.050,1,1,0,0,0,16,7,0,7,0
18-03 03:09:22,8.081,10.101,33.838,46.970,1.010,660520960,804782080,142778368,2439344128,3714,1986,0,1413120,0,125,733,1596,1.200,1.120,1.050,0,1,0,0,0,16,7,0,7,0
18-03 03:09:23,8.543,7.538,35.176,47.236,1.508,661114880,804016128,142958592,2439335936,6514,2160,0,1282048,0,115,769,1673,1.200,1.120,1.050,0,1,0,0,0,16,7,0,7,0
18-03 03:09:24,1.508,2.010,47.236,48.241,1.005,661065728,803926016,143020032,2439413760,5330,1728,0,512000,0,37,454,862,1.200,1.120,1.050,1,1,0,0,0,16,7,0,7,0
18-03 03:09:25,3.046,3.553,46.701,44.670,2.030,662814720,802066432,143085568,2439458816,3528,1944,0,1007616,0,56,425,835,1.200,1.120,1.050,0,1,0,0,0,16,7,0,7,0
18-03 03:09:26,1.508,2.010,32.161,60.804,3.518,661643264,803225600,143097856,2439458816,5049,2160,0,2510848,0,39,395,721,1.270,1.130,1.060,0,1,2,0,0,16,7,0,7,0
18-03 03:09:27,5.556,3.030,44.949,45.455,1.010,661901312,802889728,143167488,2439450624,3806,1728,0,671744,0,53,546,1283,1.270,1.130,1.060,0,2,0,0,0,16,7,0,7,0
18-03 03:09:28,7.576,6.566,42.929,41.919,1.010,662642688,801873920,143351808,2439540736,3866,2160,0,1339392,0,95,644,1347,1.270,1.130,1.060,1,1,0,0,0,16,7,0,7,0
18-03 03:09:29,14.925,15.920,35.821,29.353,3.980,662708224,801718272,143433728,2439548928,5267,1944,0,573440,0,40,639,852,1.270,1.130,1.060,1,1,0,0,0,16,7,0,7,0
18-03 03:09:30,9,11,33,44.500,2.500,662720512,801652736,143482880,2439553024,6723,1944,0,503808,0,35,618,876,1.270,1.130,1.060,0,1,0,0,0,16,7,0,7,0
