"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","20 Feb 2020 18:33:35 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
20-02 18:33:35,5.528,1.674,87.283,5.247,0.268,485228544,633425920,140754944,2642182144,0,0,51579.472,919682.467,2.335,10.702,299.954,467.331,1.430,1.310,1.090,2,0,7.539,0,0,14,3,0,4,0
20-02 18:33:36,19.307,37.624,31.683,9.406,1.980,484130816,633688064,140763136,2642747392,6411,2646,315392,155648,4,12,1251,2984,1.430,1.310,1.090,4,0,312,0,0,14,3,0,4,0
20-02 18:33:37,23.858,36.041,37.056,0,3.046,483901440,633794560,140763136,2642882560,5035,2916,0,20480,0,5,2250,6841,1.430,1.310,1.090,0,0,208,0,0,14,3,0,4,0
20-02 18:33:38,25.381,23.858,49.239,0,1.523,615403520,501895168,140763136,2770829312,4811,2916,0,0,0,0,1581,3681,1.430,1.310,1.090,0,0,81,0,0,16,3,0,4,0
20-02 18:33:39,20.500,33,43.500,0,3,623017984,494166016,140767232,2770915328,6338,2592,53248,0,1,0,1501,3257,1.430,1.310,1.090,2,0,295,0,0,16,5,0,6,0
20-02 18:33:40,31.658,3.015,6.533,58.291,0.503,637100032,479977472,140767232,2770997248,6657,2958,0,1282048,0,65,655,790,1.480,1.330,1.100,0,2,0,0,0,16,5,0,6,0
20-02 18:33:41,3.518,1.005,4.523,89.950,1.005,637583360,479285248,140771328,2771193856,6860,2592,163840,16846848,14,53,547,748,1.480,1.330,1.100,0,3,0,0,0,16,5,0,6,0
20-02 18:33:42,5.641,1.538,42.564,49.744,0.513,639729664,477061120,140771328,2771271680,6698,2916,184320,18661376,24,20,566,792,1.480,1.330,1.100,1,0,0,0,0,16,5,0,6,0
20-02 18:33:43,22.449,3.061,48.469,25.510,0.510,655020032,461217792,140771328,2771742720,5554,2916,319488,0,31,0,668,1012,1.480,1.330,1.100,1,0,2,0,0,16,5,0,6,0
20-02 18:33:44,32.487,2.538,47.716,16.244,1.015,667287552,448016384,140771328,2772606976,5891,2916,610304,0,44,0,677,885,1.480,1.330,1.100,2,0,0,0,0,16,5,0,6,0
20-02 18:33:45,38.191,7.035,44.221,10.553,0,691412992,422682624,140886016,2773463040,5961,2916,188416,0,14,0,750,1076,1.440,1.320,1.100,2,0,0,0,0,16,7,0,6,0
