-- Logs begin at Fri 2020-02-21 21:57:42 UTC, end at Fri 2020-02-21 23:40:44 UTC. --
Feb 21 22:47:48 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Feb 21 22:47:48 ubuntu dstat.sh[1070]: [286B blob data]
Feb 21 22:47:48 ubuntu dstat.sh[1070]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Feb 21 22:47:48 ubuntu dstat.sh[1070]: 21-02 22:47:48| 15   4  51  27   2| 447M  524M  110M 2631M|   0     0 | 174k 3034k|9.48  31.5 | 716  1201 |1.28 1.38 1.35|1.0   0  22|   0     0 |systemd              1    0.4%   0    0 |bash                 3248 2141k1978k0.2%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 21 22:47:49 ubuntu dstat.sh[1070]: 21-02 22:47:49| 21  33  39   2   5| 447M  523M  110M 2631M|2615B 1080B| 348k  116k|5.00  8.00 |1551  3856 |1.28 1.38 1.35|2.0   0 411|   0     0 |bash                 3248 6.5%1262k  26k|bash                 3248 1262k  26k6.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 21 22:47:50 ubuntu dstat.sh[1070]: 21-02 22:47:50| 21  30  29   8  12| 449M  521M  110M 2632M|3019B  972B|   0   312k|   0  64.0 |1527  5480 |1.28 1.38 1.35|3.0 1.0 229|   0     0 |systemd              1    9.5%   0    0 |bash                 3248 1791k  13k3.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 21 22:47:51 ubuntu dstat.sh[1070]: 21-02 22:47:51| 10  15  17  50   9| 448M  523M  110M 2632M|7561B 1026B|   0    34M|   0  92.0 | 918  1696 |1.28 1.38 1.35|1.0   0 149|   0     0 |bash                 3248 2.5%1278k  11k|bash                 3248 1278k  11k2.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 21 22:47:52 ubuntu dstat.sh[1070]: 21-02 22:47:52| 26  24  38   0  12| 573M  397M  110M 2754M|4816B 1026B|   0     0 |   0     0 |1302  7730 |1.26 1.38 1.35|  0   0  94|   0     0 |systemd              1     22%   0    0 |bash                 3248  250k1398B1.0%|mysqld       173M|   0     0 |  16    3    0    4    0
Feb 21 22:47:53 ubuntu dstat.sh[1070]: 21-02 22:47:53|  3   6  89   0   3| 573M  397M  110M 2754M|3247B 1014B|   0     0 |   0     0 | 462  1070 |1.26 1.38 1.35|1.0   0  47|   0     0 |bash                 3248 1.5% 191k3473B|bash                 3248  191k3473B1.5%|mysqld       173M|   0     0 |  16    5    0    4    0
Feb 21 22:47:54 ubuntu dstat.sh[1070]: 21-02 22:47:54| 23  22  42   1  12| 584M  387M  110M 2754M|3503B 1026B|   0   120k|   0  2.00 |1211  2625 |1.26 1.38 1.35|1.0   0 248|   0     0 |keystone-manage      2477  13%2149k  81k|keystone-manage      2477 2149k  81k 13%|mysqld       173M|   0     0 |  16    5    0    7    0
Feb 21 22:47:55 ubuntu dstat.sh[1070]: 21-02 22:47:55| 42   6  47   4   2| 604M  366M  110M 2754M|2948B 1026B| 228k    0 |38.0     0 | 435   744 |1.26 1.38 1.35|1.0   0   0|   0     0 |keystone-manage      2477  47%5052k  46k|keystone-manage      2477 5052k  46k 47%|mysqld       173M|   0     0 |  16    5    0    7    0
Feb 21 22:47:56 ubuntu dstat.sh[1070]: 21-02 22:47:56| 43   4  44   2   6| 625M  344M  110M 2755M|4489B 1014B| 572k    0 |41.0     0 | 588   862 |1.26 1.38 1.35|1.0   0 2.0|   0     0 |keystone-manage      2477  47%5211k 107k|keystone-manage      2477 5211k 107k 47%|mysqld       173M|   0     0 |  16    5    0    7    0
Feb 21 22:47:57 ubuntu dstat.sh[1070]: 21-02 22:47:57| 43   9  38   4   7| 646M  322M  110M 2756M|4423B  972B|  88k 1028k|8.00  5.00 | 898  1471 |1.24 1.37 1.35|1.0 1.0   0|   0     0 |keystone-manage      2477  43%4748k 494k|keystone-manage      2477 4748k 494k 43%|mysqld       177M|   0     0 |  16    7    0    7    0
Feb 21 22:47:58 ubuntu dstat.sh[1070]: 21-02 22:47:58| 11   5  43  38   2| 655M  312M  110M 2756M|2897B 1150B|   0   488k|   0  30.0 | 634  1083 |1.24 1.37 1.35|  0 1.0   0|   0     0 |python2              1493 6.5%  42k  46k|keystone-manage      2477   38k  53k4.5%|mysqld       186M|   0     0 |  16    7    0    7    0
Feb 21 22:47:59 ubuntu dstat.sh[1070]: 21-02 22:47:59|  2   2  38  56   2| 656M  312M  110M 2756M|2277B 1080B|   0   632k|   0  47.0 | 472   932 |1.24 1.37 1.35|  0 1.0   0|   0     0 |rcu_sched            8    1.0%   0    0 |python2              1159   14k 462B  0%|mysqld       186M|   0     0 |  16    7    0    7    0
