"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","19 Mar 2020 11:21:52 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
19-03 11:21:52,15.879,4.466,55.056,22.997,1.603,441995264,791408640,144789504,2534883328,0,0,171186.418,2881340.005,7.875,33.944,728.539,1226.735,1.230,1.150,1.160,3,0,23.618,0,0,14,3,0,4,0
19-03 11:21:53,14.778,26.601,15.764,37.438,5.419,442445824,790196224,144789504,2535317504,5951,2214,364544,9158656,5,62,1216,2990,1.230,1.150,1.160,1,3,312,0,0,14,3,0,4,0
19-03 11:21:54,11.558,21.608,25.628,37.688,3.518,442478592,790159360,144789504,2535329792,6853,1944,0,26722304,0,63,908,2009,1.230,1.150,1.160,3,0,208,0,0,14,3,0,4,0
19-03 11:21:55,25.743,32.673,37.624,0,3.960,442232832,790183936,144789504,2535485440,5422,2160,0,20480,0,5,1339,4325,1.230,1.150,1.160,4,0,257,0,0,14,3,0,4,0
19-03 11:21:56,29.442,21.827,46.701,0,2.030,572813312,659255296,144789504,2663534592,5055,2160,0,0,0,0,2144,6854,1.370,1.180,1.170,1,0,80,0,0,16,3,0,4,0
19-03 11:21:57,8.543,10.050,79.397,0,2.010,574119936,657944576,144789504,2663538688,5237,1944,0,0,0,0,880,1890,1.370,1.180,1.170,2,0,143,0,0,16,5,0,4,0
19-03 11:21:58,34.483,17.734,42.365,1.970,3.448,589258752,642740224,144797696,2663575552,7889,2160,0,122880,0,2,1065,1980,1.370,1.180,1.170,1,0,153,0,0,16,5,0,7,0
19-03 11:21:59,31,4.500,37.500,19.500,7.500,609411072,621342720,144797696,2664734720,8905,2160,1028096,8445952,84,21,838,951,1.370,1.180,1.170,4,0,0,0,0,16,5,0,7,0
19-03 11:22:00,41.667,2.941,44.608,4.412,6.373,628117504,601628672,144797696,2665607168,7067,1998,647168,0,49,0,783,1014,1.370,1.180,1.170,2,0,0,0,0,16,5,0,7,0
19-03 11:22:01,42.647,9.314,34.804,9.804,3.431,650547200,577814528,144838656,2666704896,4948,2148,188416,1249280,14,14,947,1711,1.500,1.210,1.180,1,1,0,0,0,16,7,0,7,0
19-03 11:22:02,8.122,5.076,42.640,42.132,2.030,660373504,567541760,144928768,2667040768,4257,2160,0,1069056,0,75,769,1381,1.500,1.210,1.180,2,1,0,0,0,16,7,0,7,0
19-03 11:22:03,2.525,2.020,48.485,44.949,2.020,660754432,566878208,145039360,2667208704,6476,1944,0,1282048,0,94,653,1289,1.500,1.210,1.180,1,1,0,0,0,16,7,0,7,0
