"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","21 Feb 2020 20:52:28 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
21-02 20:52:28,14.543,4.370,51.041,27.565,2.481,471048192,764338176,140046336,2529902592,0,0,153965.492,2610760.755,6.826,30.004,636.827,1115.655,1.510,1.420,1.360,2,0,21.162,0,0,14,3,0,4,0
21-02 20:52:29,22.772,33.168,29.208,11.881,2.970,473108480,761049088,140058624,2531065856,5126,972,929792,180224,10,12,1322,4091,1.510,1.420,1.360,2,0,249,0,0,14,3,0,4,0
21-02 20:52:30,14.706,24.020,38.235,13.725,9.314,471080960,762998784,140058624,2531033088,3407,1080,0,5517312,0,8,1092,2874,1.710,1.470,1.380,0,1,160,0,0,14,3,0,4,0
21-02 20:52:31,1.523,0.508,49.746,48.223,0,470974464,763097088,140058624,2531041280,3957,972,0,18874368,0,18,233,286,1.710,1.470,1.380,1,1,0,0,0,14,3,0,4,0
21-02 20:52:32,20.101,20.603,34.673,13.568,11.055,473165824,760901632,140058624,2531205120,3822,972,0,10383360,0,14,901,3876,1.710,1.470,1.380,2,0,81,0,0,14,3,0,4,0
21-02 20:52:33,17.822,32.178,43.069,0,6.931,603148288,630497280,140058624,2659098624,3528,972,0,0,0,0,1993,4903,1.710,1.470,1.380,1,0,274,0,0,16,5,0,4,0
21-02 20:52:34,39.409,11.823,43.350,3.941,1.478,624889856,608382976,140062720,2659463168,3528,1080,4096,184320,2,2,699,1147,1.710,1.470,1.380,2,0,40,0,0,16,5,0,6,0
21-02 20:52:35,7.576,2.525,28.788,59.596,1.515,627101696,605618176,140062720,2659979264,5964,1080,647168,790528,41,69,628,794,1.740,1.480,1.380,0,2,0,0,0,16,5,0,6,0
21-02 20:52:36,13.636,3.535,44.444,37.879,0.505,636051456,596160512,140066816,2660409344,5442,1080,376832,98304,41,21,572,809,1.740,1.480,1.380,1,0,0,0,0,16,5,0,6,0
