"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","01 Apr 2020 06:22:47 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
01-04 06:22:47,15.692,4.539,53.537,24.236,1.996,441090048,789712896,91787264,2599333888,0,0,176425.118,3032558.952,9.701,34.403,715.510,1334.911,1.330,1.330,1.270,3,0,24.985,0,0,14,3,0,5,0
01-04 06:22:48,18.274,39.086,39.086,1.015,2.538,440819712,789200896,91799552,2599837696,4046,1728,360448,122880,5,8,1756,4101,1.330,1.330,1.270,2,0,411,0,0,14,3,0,5,0
01-04 06:22:49,24.500,33,40,0,2.500,441421824,788406272,91799552,2600062976,4246,1944,0,20480,0,5,1427,5589,1.310,1.320,1.260,2,0,250,0,0,14,3,0,5,0
01-04 06:22:50,27.778,28.788,39.394,0,4.040,442880000,786960384,91799552,2600210432,4131,1944,0,16384,0,4,2328,7194,1.310,1.320,1.260,1,0,200,0,0,14,3,0,5,0
01-04 06:22:51,8.586,7.576,55.556,26.768,1.515,572133376,657375232,91799552,2728062976,4304,1728,0,1122304,0,65,1087,3046,1.310,1.320,1.260,0,1,22,0,0,16,3,0,5,0
01-04 06:22:52,15.578,27.136,43.719,11.558,2.010,577110016,652341248,91799552,2728103936,5008,1728,0,35164160,0,72,1552,3257,1.310,1.320,1.260,2,0,295,0,0,16,5,0,7,0
01-04 06:22:53,30.964,4.569,48.223,16.244,0,596152320,632606720,91885568,2728706048,3852,1944,692224,204800,59,2,544,884,1.310,1.320,1.260,1,0,1,0,0,16,5,0,7,0
01-04 06:22:54,24.365,2.538,48.223,24.873,0,612614144,615112704,92225536,2729394176,6462,1944,954368,0,144,0,584,1132,1.310,1.320,1.260,1,0,0,0,0,16,5,0,7,0
01-04 06:22:55,41.584,1.980,47.525,8.416,0.495,630247424,596385792,92225536,2730438656,3493,1728,663552,0,47,0,673,915,1.280,1.310,1.260,1,0,0,0,0,16,5,0,7,0
01-04 06:22:56,34.518,9.137,26.904,28.426,1.015,646410240,579170304,92246016,2731372544,6054,1944,147456,1310720,14,5,944,1486,1.280,1.310,1.260,0,1,0,0,0,16,7,0,7,0
01-04 06:22:57,2,1,15.500,81.500,0,646488064,578977792,92295168,2731438080,5918,1944,0,1495040,0,103,436,643,1.280,1.310,1.260,0,2,0,0,0,16,7,0,7,0
01-04 06:22:58,1.523,0.508,0,97.970,0,646381568,579076096,92303360,2731438080,4727,1944,0,1589248,0,133,563,566,1.280,1.310,1.260,0,2,0,0,0,16,7,0,7,0
01-04 06:22:59,8.122,4.569,35.533,51.269,0.508,656089088,568823808,92418048,2731864064,3581,1728,0,1970176,0,85,705,1216,1.280,1.310,1.260,0,1,0,0,0,16,7,0,7,0
01-04 06:23:00,3,1,47,47.500,1.500,656494592,568217600,92561408,2731921408,3377,1944,0,815104,0,60,468,936,1.340,1.330,1.270,0,1,0,0,0,16,7,0,7,0
01-04 06:23:01,4,3,46,45.500,1.500,657268736,566853632,92790784,2732244992,3576,1944,0,1265664,0,90,650,1219,1.340,1.330,1.270,0,1,2,0,0,16,7,0,7,0
01-04 06:23:02,3.015,2.010,46.231,47.236,1.508,657584128,566095872,92983296,2732482560,3822,1728,0,1146880,0,74,591,1126,1.340,1.330,1.270,1,1,0,0,0,16,7,0,8,0
01-04 06:23:03,2.538,1.523,46.701,48.223,1.015,657727488,565653504,93155328,2732609536,7421,1728,0,913408,0,62,522,964,1.340,1.330,1.270,0,1,0,0,0,16,7,0,7,0
01-04 06:23:04,1.508,1.508,30.151,65.829,1.005,657645568,565567488,93204480,2732695552,5403,1944,0,3420160,0,99,433,646,1.340,1.330,1.270,0,1,0,0,0,16,7,0,7,0
01-04 06:23:05,2.030,0,46.701,51.269,0,657801216,565309440,93270016,2732732416,4067,1944,0,348160,0,23,349,714,1.310,1.320,1.270,0,1,0,0,0,16,7,0,7,0
01-04 06:23:06,8.416,6.436,37.624,47.030,0.495,658268160,564342784,93528064,2732941312,3882,1944,0,1191936,0,100,612,1399,1.310,1.320,1.270,0,1,0,0,0,16,7,0,7,0
01-04 06:23:07,4.020,3.015,41.206,51.256,0.503,658518016,563924992,93663232,2732961792,4148,2160,0,516096,0,48,424,997,1.310,1.320,1.270,0,1,0,0,0,16,7,0,7,0
01-04 06:23:08,9.091,6.061,36.869,46.970,1.010,659001344,563253248,93773824,2733035520,3749,1944,0,417792,0,41,457,1067,1.310,1.320,1.270,1,1,0,0,0,16,7,0,7,0
01-04 06:23:09,10.152,7.614,41.117,40.609,0.508,659369984,562429952,94056448,2733195264,3319,1728,0,1142784,0,107,721,1599,1.310,1.320,1.270,0,1,0,0,0,16,7,0,7,0
01-04 06:23:10,4.523,4.020,43.216,47.739,0.503,659861504,561733632,94302208,2733150208,4256,1944,0,1208320,0,109,595,1508,1.370,1.330,1.270,0,1,0,0,0,16,7,0,7,0
01-04 06:23:11,4,5.500,43,47.500,0,660578304,560738304,94515200,2733207552,4291,1728,0,1126400,0,95,561,1445,1.370,1.330,1.270,0,1,2,0,0,16,7,0,7,0
01-04 06:23:12,6.061,8.586,46.970,36.869,1.515,661057536,559890432,94818304,2733268992,3804,1944,8192,1552384,1,123,648,1442,1.370,1.330,1.270,0,1,0,0,0,16,7,0,7,0
01-04 06:23:13,7.463,2.985,44.776,44.776,0,661417984,559353856,94982144,2733264896,3209,1728,0,1191936,0,88,537,1821,1.370,1.330,1.270,0,1,0,0,0,16,7,0,7,0
01-04 06:23:14,16.751,9.137,26.396,47.208,0.508,664051712,556490752,95154176,2733318144,4424,1890,0,5324800,0,128,608,1256,1.370,1.330,1.270,1,2,0,0,0,16,7,0,7,0
01-04 06:23:15,15.075,17.085,22.613,44.724,0.503,662011904,558460928,95199232,2733334528,5658,1782,0,6172672,0,116,626,1115,1.580,1.380,1.290,0,1,0,0,0,16,7,0,7,0
01-04 06:23:16,4.545,1.515,44.949,47.980,1.010,662081536,558178304,95297536,2733445120,4172,1944,0,1044480,0,54,562,1211,1.580,1.380,1.290,0,1,0,0,0,16,7,0,6,0
01-04 06:23:17,3.535,3.030,44.444,47.980,1.010,663433216,487768064,95334400,2800590848,3734,1728,0,40148992,0,59,364,704,1.580,1.380,1.290,0,1,0,0,0,16,7,0,6,0
01-04 06:23:18,2.030,1.523,47.208,48.223,1.015,663556096,487264256,95485952,2800807936,5090,1944,0,28434432,0,100,540,1027,1.580,1.380,1.290,0,1,0,0,0,16,7,0,6,0
01-04 06:23:19,3.030,1.515,47.980,46.970,0.505,663896064,486498304,95666176,2801045504,3391,1728,0,1208320,0,78,495,1048,1.580,1.380,1.290,0,1,0,0,0,16,7,0,6,0
01-04 06:23:20,3.553,1.015,39.594,55.330,0.508,664068096,486023168,95805440,2801197056,25533,1782,0,1101824,0,105,749,1112,1.690,1.400,1.290,0,1,0,0,0,16,7,0,6,0
01-04 06:23:21,5.102,3.571,42.857,47.449,1.020,664326144,485519360,95997952,2801246208,6327,2106,0,1011712,0,79,709,1387,1.690,1.400,1.290,1,2,2,0,0,16,7,0,6,0
01-04 06:23:22,3.046,2.030,41.117,53.299,0.508,664748032,484737024,96198656,2801377280,4903,1944,0,1290240,0,93,701,1428,1.690,1.400,1.290,0,2,0,0,0,16,7,0,6,0
01-04 06:23:23,3.535,1.010,41.414,53.535,0.505,664739840,484360192,96321536,2801623040,7363,1986,0,876544,0,61,643,1242,1.690,1.400,1.290,0,3,0,0,0,16,7,0,6,0
01-04 06:23:24,6.091,4.569,42.640,46.701,0,665137152,483745792,96497664,2801655808,7234,1986,0,1277952,0,91,682,1360,1.690,1.400,1.290,0,1,0,0,0,16,7,0,6,0
01-04 06:23:25,3.571,3.571,22.959,69.898,0,665063424,483618816,96620544,2801725440,4053,1944,0,774144,0,101,697,1501,1.720,1.410,1.300,0,4,0,0,0,16,7,0,6,0
01-04 06:23:26,6.030,5.528,34.171,53.769,0.503,665206784,483364864,96727040,2801729536,4361,1728,0,1630208,0,104,649,1242,1.720,1.410,1.300,0,1,0,0,0,16,7,0,6,0
01-04 06:23:27,5.128,1.538,46.154,46.667,0.513,665595904,482627584,96862208,2801917952,6080,1944,0,1036288,0,71,582,1268,1.720,1.410,1.300,0,1,0,0,0,16,7,0,6,0
01-04 06:23:28,4.545,3.535,44.949,46.465,0.505,665583616,482471936,97013760,2801930240,3793,1944,0,1044480,0,73,651,1166,1.720,1.410,1.300,0,1,0,0,0,16,7,0,6,0
01-04 06:23:29,8.543,8.543,41.709,40.201,1.005,666038272,481738752,97193984,2802020352,4502,1728,0,1261568,0,92,833,1397,1.720,1.410,1.300,0,1,0,0,0,16,7,0,6,0
01-04 06:23:30,9.901,7.426,37.624,43.564,1.485,666058752,481517568,97402880,2802008064,5390,1728,0,1024000,0,88,673,1243,1.820,1.440,1.310,1,1,0,0,0,16,7,0,6,0
01-04 06:23:31,7.107,4.569,22.335,64.975,1.015,666292224,481165312,97525760,2801999872,4783,1728,0,2019328,0,109,615,1212,1.820,1.440,1.310,0,1,0,0,0,16,7,0,6,0
01-04 06:23:32,8.911,5.941,36.634,48.020,0.495,666398720,480722944,97718272,2802135040,5132,1782,0,1437696,0,114,684,1562,1.820,1.440,1.310,0,1,2,0,0,16,7,0,6,0
01-04 06:23:33,3.553,1.015,47.716,46.701,1.015,666419200,480550912,97816576,2802163712,3812,1890,0,802816,0,56,512,1118,1.820,1.440,1.310,0,1,0,0,0,16,7,0,6,0
01-04 06:23:34,2.551,4.592,35.714,56.122,1.020,666759168,479973376,97964032,2802249728,3758,1944,0,1167360,0,82,584,1301,1.820,1.440,1.310,0,2,0,0,0,16,7,0,6,0
01-04 06:23:35,13.131,11.616,39.394,33.838,2.020,666890240,479817728,98123776,2802110464,3287,1620,0,1232896,0,97,889,2345,1.910,1.470,1.320,0,1,0,0,0,16,7,0,6,0
01-04 06:23:36,11.443,8.955,31.343,46.766,1.493,666902528,479469568,98291712,2802270208,3121,2052,0,974848,0,68,581,1232,1.910,1.470,1.320,2,1,0,0,0,16,7,0,6,0
01-04 06:23:37,11.940,9.950,31.343,46.269,0.498,667193344,479117312,98324480,2802294784,3130,1944,0,311296,0,16,372,678,1.910,1.470,1.320,0,2,0,0,0,16,7,0,6,0
01-04 06:23:38,10.152,8.122,43.147,37.056,1.523,667398144,478801920,98500608,2802225152,5244,1728,0,1241088,0,93,694,1530,1.910,1.470,1.320,1,0,0,0,0,16,7,0,6,0
01-04 06:23:39,5.025,3.518,45.729,45.729,0,667230208,478932992,98566144,2802196480,3476,1728,0,512000,0,38,481,930,1.910,1.470,1.320,0,2,0,0,0,16,7,0,6,0
01-04 06:23:40,5,5,40,49.500,0.500,667496448,478515200,98639872,2802270208,4076,1944,0,671744,0,45,452,882,1.920,1.480,1.320,1,1,0,0,0,16,7,0,6,0
01-04 06:23:41,7.576,10.101,45.960,36.364,0,667545600,478232576,98795520,2802343936,6228,1674,0,1220608,0,90,661,1229,1.920,1.480,1.320,1,1,0,0,0,16,7,0,6,0
01-04 06:23:42,27.778,19.192,26.768,25.253,1.010,668348416,476864512,98922496,2802769920,3729,1944,0,1032192,0,70,1009,2345,1.920,1.480,1.320,1,1,2,0,0,16,7,0,3,0
01-04 06:23:43,14,16,32,36.500,1.500,668450816,476389376,99098624,2802954240,3115,1782,0,1212416,0,88,718,1285,1.920,1.480,1.320,0,1,0,0,0,16,7,0,3,0
01-04 06:23:44,7.614,5.076,46.701,38.579,2.030,668733440,476008448,99233792,2802913280,9912,1944,0,1048576,0,82,786,1666,1.920,1.480,1.320,0,1,0,0,0,16,7,0,3,0
01-04 06:23:45,14.573,11.558,45.226,27.136,1.508,668758016,475660288,99405824,2803056640,5779,1822,0,1114112,0,92,834,1449,2.090,1.520,1.340,0,2,0,0,0,16,7,0,3,0
01-04 06:23:46,11.111,7.576,35.354,45.455,0.505,668823552,475377664,99577856,2803093504,4647,1944,0,1277952,0,96,642,1482,2.090,1.520,1.340,1,2,0,0,0,16,7,0,3,0
01-04 06:23:47,8.955,5.970,40.299,42.289,2.488,668995584,474865664,99729408,2803269632,4486,1620,0,1941504,0,89,697,1492,2.090,1.520,1.340,0,2,0,0,0,16,7,0,3,0
01-04 06:23:48,7.071,1.010,45.455,46.465,0,669093888,474550272,99864576,2803351552,4338,2052,0,1093632,0,70,729,1585,2.090,1.520,1.340,0,1,0,0,0,16,7,0,3,0
01-04 06:23:49,8.586,5.051,37.374,48.485,0.505,669302784,474103808,100032512,2803412992,4645,1944,0,1167360,0,85,607,1372,2.090,1.520,1.340,0,1,0,0,0,16,7,0,3,0
01-04 06:23:50,7,6,37,48.500,1.500,669523968,473595904,100175872,2803539968,3395,1944,0,1462272,0,89,792,1716,2.160,1.540,1.340,0,1,0,0,0,16,7,0,3,0
01-04 06:23:51,5.025,4.020,40.704,49.749,0.503,669839360,472993792,100315136,2803683328,3518,1836,0,1212416,0,78,615,1203,2.160,1.540,1.340,0,1,0,0,0,16,7,0,3,0
01-04 06:23:52,5.051,4.545,42.929,46.465,1.010,670474240,472289280,100405248,2803662848,3800,1836,0,1155072,0,81,515,976,2.160,1.540,1.340,1,1,2,0,0,16,7,0,1,0
