"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","02 Apr 2020 03:46:54 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
02-04 03:46:54,15.977,4.589,54.803,23.169,1.462,444030976,616660992,90144768,2763112448,0,0,253953.591,3525218.993,11.935,35.074,767.721,1360.636,2.250,1.490,1.330,2,0,25.262,0,0,13,3,0,5,0
02-04 03:46:55,20.603,38.693,38.191,1.005,1.508,442957824,617373696,90161152,2763304960,3559,1944,0,131072,0,11,1418,3952,2.250,1.490,1.330,3,0,418,0,0,13,3,0,5,0
02-04 03:46:56,27.551,31.633,39.286,0,1.531,443666432,616669184,90161152,2763505664,4234,1944,0,24576,0,6,1579,4817,2.250,1.490,1.330,4,0,260,0,0,13,3,0,5,0
02-04 03:46:57,25.871,31.343,36.318,3.483,2.985,574939136,484790272,90161152,2891493376,4062,1944,0,8216576,0,19,2083,5856,2.250,1.490,1.330,2,0,179,0,0,15,5,0,5,0
02-04 03:46:58,34.518,19.797,45.178,0,0.508,590221312,469463040,90165248,2891554816,5298,1944,0,0,0,0,1091,2345,2.250,1.490,1.330,2,0,192,0,0,15,5,0,7,0
02-04 03:46:59,22.959,3.061,47.959,25.510,0.510,605360128,452349952,90853376,2892840960,5579,2160,1851392,0,260,0,732,1314,2.150,1.480,1.320,2,0,0,0,0,15,5,0,7,0
02-04 03:47:00,44.500,3.500,46.500,5,0.500,626012160,430735360,90873856,2893746176,10048,1782,684032,503808,55,2,725,945,2.150,1.480,1.320,2,0,2,0,0,15,5,0,7,0
02-04 03:47:01,28.283,3.030,47.980,20.707,0,641880064,413986816,90877952,2894528512,7965,2106,94208,901120,8,30,575,734,2.150,1.480,1.320,1,2,0,0,0,15,5,0,7,0
02-04 03:47:02,1.508,1.005,47.739,49.749,0,641769472,414085120,90877952,2894540800,4167,1986,0,450560,0,76,387,591,2.150,1.480,1.320,1,2,0,0,0,15,5,0,7,0
02-04 03:47:03,19.500,7,32,41,0.500,648036352,407379968,90910720,2894934016,3514,1944,106496,2277376,9,39,721,1219,2.150,1.480,1.320,1,1,0,0,0,15,7,0,7,0
02-04 03:47:04,9.137,4.061,43.655,42.132,1.015,658112512,396996608,91049984,2895093760,3080,1728,0,958464,0,71,723,1288,2.060,1.470,1.320,1,1,0,0,0,15,7,0,7,0
02-04 03:47:05,2.985,2.985,48.259,44.279,1.493,658452480,396148736,91262976,2895360000,4974,2160,0,1245184,0,89,684,1171,2.060,1.470,1.320,1,1,0,0,0,15,7,0,7,0
02-04 03:47:06,2.475,2.970,47.030,45.545,1.980,658763776,395399168,91422720,2895638528,5179,1728,0,9297920,0,91,609,998,2.060,1.470,1.320,1,1,0,0,0,15,7,0,7,0
02-04 03:47:07,3.093,1.546,45.876,44.330,5.155,659177472,394551296,91643904,2895822848,4500,1944,0,1138688,0,86,689,1114,2.060,1.470,1.320,1,1,0,0,0,15,7,0,7,0
02-04 03:47:08,2.525,1.515,48.485,45.960,1.515,659312640,393981952,91836416,2896064512,5878,1944,0,3739648,0,112,653,1107,2.060,1.470,1.320,2,0,0,0,0,15,7,0,7,0
02-04 03:47:09,6.599,5.076,46.701,36.548,5.076,660049920,392802304,92127232,2896207872,5476,1944,0,1085440,0,106,874,1760,2.060,1.480,1.330,1,1,0,0,0,15,7,0,7,0
02-04 03:47:10,12.808,7.882,44.335,32.020,2.956,660967424,391598080,92336128,2896277504,3915,1986,0,847872,0,83,721,1667,2.060,1.480,1.330,2,0,2,0,0,15,7,0,7,0
02-04 03:47:11,9.548,8.040,47.236,32.663,2.513,661569536,390643712,92590080,2896367616,5389,1944,0,1081344,0,99,754,1756,2.060,1.480,1.330,2,0,0,0,0,15,7,0,7,0
02-04 03:47:12,11.500,10.500,48,28,2,661704704,390262784,92753920,2896445440,3025,1728,0,700416,0,59,544,1134,2.060,1.480,1.330,2,1,0,0,0,15,7,0,7,0
02-04 03:47:13,12.121,11.111,38.384,35.354,3.030,662167552,389468160,93069312,2896449536,8199,1944,0,1359872,0,120,850,1563,2.060,1.480,1.330,1,1,0,0,0,15,7,0,7,0
02-04 03:47:14,8.543,7.538,37.186,46.231,0.503,662474752,388931584,93286400,2896457728,5025,1944,0,974848,0,87,754,1451,2.050,1.490,1.330,1,1,0,0,0,15,7,0,7,0
02-04 03:47:15,7.035,4.523,44.221,41.709,2.513,662937600,388235264,93515776,2896457728,4084,1944,0,9355264,0,108,780,1757,2.050,1.490,1.330,2,0,0,0,0,15,7,0,7,0
02-04 03:47:16,10,9,43.500,35.500,2,663695360,387182592,93769728,2896498688,3892,1944,0,1691648,0,118,833,1820,2.050,1.490,1.330,3,1,0,0,0,15,7,0,7,0
02-04 03:47:17,11.500,8,42,36.500,2,663900160,386621440,93966336,2896625664,3658,1728,0,1204224,0,83,734,1917,2.050,1.490,1.330,1,1,0,0,0,15,7,0,6,0
02-04 03:47:18,2.538,4.569,24.365,67.005,1.523,665288704,316153856,94056448,2963771392,4313,1944,0,32956416,0,65,482,894,2.050,1.490,1.330,1,2,0,0,0,15,7,0,6,0
02-04 03:47:19,1.020,2.041,30.102,65.306,1.531,666697728,314646528,94060544,2963828736,3630,1728,0,42930176,0,127,382,674,2.050,1.500,1.330,1,2,0,0,0,15,7,0,6,0
02-04 03:47:20,1.500,2.500,28,67.500,0.500,665501696,315801600,94081024,2963845120,3522,1944,0,4317184,0,138,499,912,2.050,1.500,1.330,1,2,2,0,0,15,7,0,6,0
02-04 03:47:21,1.500,2.500,45.500,49.500,1,665378816,315011072,94212096,2964611072,3459,1728,0,6107136,0,92,562,1351,2.050,1.500,1.330,1,1,0,0,0,15,7,0,6,0
02-04 03:47:22,1.515,2.525,45.455,49.495,1.010,665640960,314499072,94326784,2964738048,4423,1944,0,802816,0,56,509,997,2.050,1.500,1.330,1,1,0,0,0,15,7,0,6,0
02-04 03:47:23,4.020,2.513,45.729,46.231,1.508,665870336,313675776,94523392,2965114880,5656,2038,0,1298432,0,96,681,1425,2.050,1.500,1.330,1,1,0,0,0,15,7,0,6,0
02-04 03:47:24,6.061,2.525,39.394,51.010,1.010,666279936,312909824,94715904,2965245952,4168,1890,0,9289728,0,115,726,1765,2.040,1.510,1.340,1,1,0,0,0,15,7,0,6,0
02-04 03:47:25,5.446,4.950,40.099,48.515,0.990,666591232,312528896,94851072,2965180416,4234,1998,0,1523712,0,89,653,1182,2.040,1.510,1.340,1,1,0,0,0,15,7,0,6,0
02-04 03:47:26,4.500,2.500,41.500,49,2.500,666767360,311603200,95076352,2965671936,5066,1944,0,1544192,0,126,651,1372,2.040,1.510,1.340,1,1,0,0,0,15,7,0,6,0
02-04 03:47:27,13.433,10.945,44.776,29.353,1.493,667086848,310964224,95313920,2965745664,4137,1944,0,1159168,0,95,615,1320,2.040,1.510,1.340,1,1,0,0,0,15,7,0,6,0
02-04 03:47:28,11.594,9.662,31.884,39.130,7.729,667017216,310935552,95494144,2965663744,4612,1944,0,1159168,0,99,737,1911,2.040,1.510,1.340,1,1,0,0,0,15,7,0,6,0
02-04 03:47:29,6.404,2.463,37.931,48.768,4.433,667361280,310161408,95657984,2965913600,4480,1944,0,1118208,0,80,651,1312,2.120,1.530,1.350,1,1,0,0,0,15,7,0,6,0
02-04 03:47:30,7.071,6.566,39.899,46.465,0,667639808,309731328,95825920,2965868544,4278,1944,0,1163264,0,81,646,1273,2.120,1.530,1.350,1,1,2,0,0,15,7,0,6,0
