-- Logs begin at Thu 2020-04-02 01:39:54 UTC, end at Thu 2020-04-02 03:08:59 UTC. --
Apr 02 02:19:33 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 02 02:19:34 ubuntu dstat.sh[2092]: [286B blob data]
Apr 02 02:19:34 ubuntu dstat.sh[2092]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 02 02:19:34 ubuntu dstat.sh[2092]: 02-04 02:19:34| 17   5  55  22   2| 420M  661M 85.4M 2567M|   0     0 | 243k 3613k|13.0  38.2 | 817  1592 |2.92 1.67 1.33|1.0   0  28|   0     0 |systemd              1    0.5%   0    0 |bash                 3609 2637k2436k0.2%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 02 02:19:35 ubuntu dstat.sh[2092]: 02-04 02:19:35| 24  36  35   5   1| 422M  658M 85.4M 2568M|4108B 1944B|   0   124k|   0  13.0 |1627  4855 |2.92 1.67 1.33|2.0   0 376|   0     0 |bash                 3609 5.0%2596k  24k|bash                 3609 2596k  24k5.0%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 02 02:19:36 ubuntu dstat.sh[2092]: 02-04 02:19:36| 29  31  39   0   1| 420M  660M 85.4M 2568M|3859B 1890B|   0    16k|   0  4.00 |1554  7172 |2.92 1.67 1.33|1.0   0 213|   0     0 |systemd              1     19%   0    0 |bash                 3609 1534k  13k3.0%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 02 02:19:37 ubuntu dstat.sh[2092]: 02-04 02:19:37| 15  12  59  14   0| 547M  534M 85.4M 2690M|3653B 1998B|   0  8036k|   0  21.0 |1605  4817 |2.92 1.67 1.33|  0 1.0  49|   0     0 |systemd              1    9.0%   0    0 |bash                 3609  116k 392B  0%|mysqld       173M|   0     0 |  16    3    0    5    0
Apr 02 02:19:38 ubuntu dstat.sh[2092]: 02-04 02:19:38| 21  27  32  20   1| 554M  526M 85.4M 2690M|3616B 1944B|   0  1208k|   0  81.0 |1454  3157 |2.85 1.68 1.33|2.0 1.0 295|   0     0 |keystone-manage      3489 9.0%1578k  81k|keystone-manage      3489 1578k  81k9.0%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 02 02:19:39 ubuntu dstat.sh[2092]: 02-04 02:19:39| 25   4   0  71   0| 567M  513M 85.4M 2690M|6825B 2160B|   0    60k|   0  8.00 | 557   729 |2.85 1.68 1.33|  0 2.0   0|   0     0 |keystone-manage      3489  25%3399k   0 |keystone-manage      3489 3399k   0  25%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 02 02:19:40 ubuntu dstat.sh[2092]: 02-04 02:19:40|  2   1   7  90   1| 567M  513M 85.4M 2690M|7716B 1944B| 124k 2820k|6.00  25.0 | 401   613 |2.85 1.68 1.33|  0 3.0   0|   0     0 |systemd-logind       994  0.5%   0    0 |keystone-manage      3489  111k   0 0.5%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 02 02:19:41 ubuntu dstat.sh[2092]: 02-04 02:19:41|  1   1   0  98   0| 567M  513M 85.4M 2690M|4294B 1728B|4096B 7788k|1.00  53.0 | 436   578 |2.85 1.68 1.33|  0 3.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              2395   14k 456B  0%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 02 02:19:42 ubuntu dstat.sh[2092]: 02-04 02:19:42|  2   0   1  97   0| 567M  512M 85.5M 2690M|4824B 1944B| 240k 4744k|14.0  77.0 | 546   682 |2.85 1.68 1.33|  0 2.0   0|   0     0 |keystone-manage      3489 1.0% 107k   0 |keystone-manage      3489  107k   0 1.0%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 02 02:19:43 ubuntu dstat.sh[2092]: 02-04 02:19:43| 18   2  33  48   0| 575M  503M 85.9M 2691M|4855B 1890B|1312k   21M| 207  23.0 | 656  1247 |2.70 1.66 1.33|1.0   0   0|   0     0 |keystone-manage      3489  17%1974k  46k|keystone-manage      3489 1974k  46k 17%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 02 02:19:44 ubuntu dstat.sh[2092]: 02-04 02:19:44| 45   5  46   4   1| 596M  482M 86.0M 2692M|4275B 1836B| 668k    0 |55.0     0 | 678   846 |2.70 1.66 1.33|1.0 1.0   0|   0     0 |keystone-manage      3489  47%5181k 107k|keystone-manage      3489 5181k 107k 47%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 02 02:19:45 ubuntu dstat.sh[2092]: 02-04 02:19:45| 45  10  37   8   1| 616M  460M 86.0M 2693M|4920B 1998B| 196k 9448k|17.0  36.0 | 952  1382 |2.70 1.66 1.33|  0 1.0   0|   0     0 |keystone-manage      3489  40%4234k 495k|keystone-manage      3489 4234k 495k 40%|mysqld       177M|   0     0 |  16    7    0    7    0
Apr 02 02:19:46 ubuntu dstat.sh[2092]: 02-04 02:19:46|  9   5  43  42   1| 626M  450M 86.3M 2693M|5671B 2052B|   0  1320k|   0  95.0 | 752  1455 |2.70 1.66 1.33|  0 1.0   0|   0     0 |keystone-manage      3489 5.0%  38k  53k|keystone-manage      3489   38k  53k5.0%|mysqld       186M|   0     0 |  16    7    0    7    0
Apr 02 02:19:47 ubuntu dstat.sh[2092]: 02-04 02:19:47|  4   3  46  45   2| 626M  448M 86.5M 2694M|6462B 1944B|   0  1664k|   0   124 | 730  1440 |2.70 1.66 1.33|  0 1.0 2.0|   0     0 |mysqld               1365 1.5%   0    0 |python2              2395   14k 470B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Apr 02 02:19:48 ubuntu dstat.sh[2092]: 02-04 02:19:48|  2   3  37  56   3| 627M  448M 86.8M 2694M|6874B 1944B|   0  3912k|   0   154 | 628  1260 |2.64 1.67 1.34|  0 1.0   0|   0     0 |mysqld               1365 1.5%   0    0 |python2              2395   14k 470B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Apr 02 02:19:49 ubuntu dstat.sh[2092]: 02-04 02:19:49|  2   3  48  46   2| 627M  446M 87.0M 2694M|3568B 1728B|   0  1480k|   0   113 | 641  1338 |2.64 1.67 1.34|  0 1.0   0|   0     0 |mysqld               1365 2.0%   0    0 |python2              2395   14k 464B0.5%|mysqld       187M|   0     0 |  16    7    0    7    0
