"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","12 Mar 2020 04:46:21 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
12-03 04:46:21,15.330,4.486,57.602,20.632,1.949,442122240,321441792,115326976,3007504384,0,0,189645.978,3397335.754,9.722,33.637,711.557,1206.425,1.090,1.190,1.180,3,1,22.964,0,0,13,3,0,4,0
12-03 04:46:22,27.861,33.333,35.323,1.990,1.493,443871232,319397888,115339264,3007623168,3715,1728,0,196608,0,12,1582,4711,1.090,1.180,1.170,3,0,281,0,0,13,3,0,4,0
12-03 04:46:23,31.122,28.571,37.245,0,3.061,444059648,319229952,115339264,3007791104,4408,1728,0,16384,0,4,1569,4403,1.090,1.180,1.170,1,0,241,0,0,13,3,0,4,0
12-03 04:46:24,9.184,11.735,78.571,0,0.510,574685184,188108800,115339264,3135787008,3429,1728,0,0,0,0,976,2414,1.090,1.180,1.170,2,0,72,0,0,15,5,0,4,0
12-03 04:46:25,30.151,23.116,44.724,0,2.010,586354688,176398336,115339264,3135827968,4929,1944,0,0,0,0,1219,2763,1.090,1.180,1.170,1,0,242,0,0,15,5,0,6,0
12-03 04:46:26,29,4,49,18,0,600530944,161259520,115339264,3136720896,5839,1944,815104,49152,67,1,640,807,1.090,1.180,1.170,0,1,0,0,0,15,5,0,6,0
12-03 04:46:27,34.848,3.030,47.980,13.636,0.505,617799680,143446016,115478528,3137052672,6329,1986,401408,290816,56,2,610,887,1.160,1.200,1.180,1,0,0,0,0,15,5,0,6,0
12-03 04:46:28,32.663,5.025,48.241,13.568,0.503,638509056,121610240,115494912,3138002944,4732,1782,647168,0,46,0,511,773,1.160,1.200,1.180,0,1,0,0,0,15,5,0,6,0
12-03 04:46:29,33.838,6.566,36.364,22.727,0.505,651272192,107597824,115617792,3138932736,3628,1890,139264,1085440,12,11,778,1331,1.160,1.200,1.180,1,1,0,0,0,15,7,0,6,0
12-03 04:46:30,10.101,7.576,14.141,67.677,0.505,660717568,338530304,115683328,2907258880,4086,1944,12288,4198400,3,127,637,1107,1.160,1.200,1.180,0,2,4,0,0,15,7,0,6,0
12-03 04:46:31,2,0.500,3.500,94,0,660480000,338759680,115683328,2907267072,6220,1998,0,1536000,0,74,353,512,1.160,1.200,1.180,0,2,0,0,0,15,7,0,6,0
12-03 04:46:32,1.020,1.020,1.020,96.939,0,661483520,337645568,115691520,2907361280,4816,2094,90112,1552384,3,172,492,630,1.470,1.260,1.200,0,2,2,0,0,15,7,0,6,0
12-03 04:46:33,2,1.500,27,69.500,0,660856832,338018304,115765248,2907541504,4604,1998,0,2244608,0,96,494,791,1.470,1.260,1.200,0,1,0,0,0,15,7,0,6,0
12-03 04:46:34,3.518,1.508,47.739,47.236,0,661471232,336904192,115982336,2907820032,5150,1944,0,1556480,0,109,815,1268,1.470,1.260,1.200,0,1,0,0,0,15,7,0,7,0
12-03 04:46:35,3.500,1,48.500,46.500,0.500,661549056,336535552,116097024,2907971584,6801,1944,0,827392,0,54,594,914,1.470,1.260,1.200,0,1,0,0,0,15,7,0,7,0
12-03 04:46:36,2.010,2.513,47.739,47.236,0.503,661958656,335802368,116215808,2908172288,5062,1728,0,831488,0,59,559,901,1.470,1.260,1.200,0,1,0,0,0,15,7,0,6,0
12-03 04:46:37,3.483,1.990,46.766,46.766,0.995,662081536,335360000,116342784,2908364800,5091,1944,0,987136,0,70,598,985,1.510,1.270,1.200,1,1,0,0,0,15,7,0,6,0
12-03 04:46:38,4.523,4.523,47.236,42.714,1.005,662552576,334413824,116572160,2908585984,8830,1944,0,1261568,0,108,953,1418,1.510,1.270,1.200,0,1,0,0,0,15,7,0,6,0
12-03 04:46:39,8.673,11.224,39.286,39.286,1.531,663506944,333172736,116785152,2908659712,8247,1728,0,1089536,0,108,953,1731,1.510,1.270,1.200,0,1,0,0,0,15,7,0,6,0
12-03 04:46:40,7.538,10.050,39.698,40.704,2.010,663879680,332382208,117010432,2908848128,6590,1944,0,1196032,0,105,886,1653,1.510,1.270,1.200,0,1,0,0,0,15,7,0,6,0
12-03 04:46:41,8.040,6.030,44.724,39.698,1.508,664281088,331808768,117186560,2908844032,6044,1728,0,1003520,0,96,789,1314,1.510,1.270,1.200,1,0,0,0,0,15,7,0,6,0
