-- Logs begin at Fri 2020-02-21 15:43:08 UTC, end at Fri 2020-02-21 17:47:12 UTC. --
Feb 21 16:37:59 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Feb 21 16:38:00 ubuntu dstat.sh[504]: [286B blob data]
Feb 21 16:38:00 ubuntu dstat.sh[504]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Feb 21 16:38:00 ubuntu dstat.sh[504]: 21-02 16:38:00| 13   4  54  27   2| 449M  586M  137M 2549M|   0     0 | 134k 2311k|6.17  28.1 | 637  1080 |1.60 1.47 1.35|1.0 1.0  20|   0     0 |systemd              1    0.3%   0    0 |bash                 3289 1945k1800k0.2%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 21 16:38:01 ubuntu dstat.sh[504]: 21-02 16:38:01| 15  23  16  22  24| 449M  587M  137M 2549M|6735B 1134B| 152k 2000k|3.00  58.0 |1217  2523 |1.88 1.53 1.37|1.0   0 292|   0     0 |bash                 3289 7.0%1352k  18k|bash                 3289 1352k  18k7.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 21 16:38:02 ubuntu dstat.sh[504]: 21-02 16:38:02| 21  28  38   0  13| 449M  586M  137M 2549M|5912B  918B|   0    16k|   0  4.00 |1301  4085 |1.88 1.53 1.37|3.0   0 208|   0     0 |systemd              1     13%   0    0 |bash                 3289 1781k  13k3.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 21 16:38:03 ubuntu dstat.sh[504]: 21-02 16:38:03| 26  31  39   0   5| 450M  585M  137M 2549M|3540B 1134B|   0    12k|   0  3.00 |2397  5143 |1.88 1.53 1.37|1.0   0 201|   0     0 |systemd              1     17%   0    0 |bash                 3289 1216k  10k2.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 21 16:38:04 ubuntu dstat.sh[504]: 21-02 16:38:04| 21  31  46   0   2| 580M  454M  137M 2671M|6256B  972B|   0  4096B|   0  1.00 |1870  4626 |1.88 1.53 1.37|1.0   0 315|   0     0 |keystone-manage      1935 7.0%1335k  81k|keystone-manage      1935 1335k  81k7.0%|mysqld       173M|   0     0 |  16    5    0    6    0
Feb 21 16:38:05 ubuntu dstat.sh[504]: 21-02 16:38:05| 39   5  48   8   1| 601M  433M  137M 2671M|7716B 1080B|  56k    0 |4.00     0 | 571   694 |1.88 1.53 1.37|  0 2.0   0|   0     0 |keystone-manage      1935  41%5102k   0 |keystone-manage      1935 5102k   0  41%|mysqld       173M|   0     0 |  16    5    0    6    0
Feb 21 16:38:06 ubuntu dstat.sh[504]: 21-02 16:38:06| 33   3  47  15   1| 616M  418M  137M 2671M|4013B  972B| 124k 8436k|16.0  21.0 | 527   691 |1.89 1.54 1.37|  0 1.0   0|   0     0 |keystone-manage      1935  35%3875k  46k|keystone-manage      1935 3875k  46k 35%|mysqld       173M|   0     0 |  16    5    0    5    0
Feb 21 16:38:07 ubuntu dstat.sh[504]: 21-02 16:38:07| 37   4  47  11   1| 639M  394M  137M 2673M|2885B  972B| 560k    0 |32.0     0 | 602   759 |1.89 1.54 1.37|  0 1.0   0|   0     0 |keystone-manage      1935  38%5608k 353k|keystone-manage      1935 5608k 353k 38%|mysqld       173M|   0     0 |  16    5    0    5    0
Feb 21 16:38:08 ubuntu dstat.sh[504]: 21-02 16:38:08| 22   8  30  40   1| 647M  385M  137M 2673M|3257B 1080B|  16k  992k|2.00  21.0 | 644  1149 |1.89 1.54 1.37|  0 1.0   0|   0     0 |keystone-manage      1935  15%1238k 248k|keystone-manage      1935 1238k 248k 15%|mysqld       177M|   0     0 |  16    7    0    5    0
Feb 21 16:38:09 ubuntu dstat.sh[504]: 21-02 16:38:09|  9   5  38  45   3| 656M  376M  137M 2673M|4071B  972B|   0  1092k|   0  74.0 | 596  1143 |1.89 1.54 1.37|  0 1.0   0|   0     0 |keystone-manage      1935 7.0%  38k  53k|keystone-manage      1935   38k  53k7.0%|mysqld       186M|   0     0 |  16    7    0    5    0
Feb 21 16:38:10 ubuntu dstat.sh[504]: 21-02 16:38:10|  2   1  46  50   1| 657M  375M  137M 2674M|3840B 1080B|  68k  940k|1.00  64.0 | 495  1044 |1.89 1.54 1.37|  0 1.0 2.0|   0     0 |mysqld               322421.0%   0    0 |python2              816    14k 484B0.5%|mysqld       186M|   0     0 |  16    7    0    5    0
Feb 21 16:38:11 ubuntu dstat.sh[504]: 21-02 16:38:11|  2   1  46  49   2| 657M  374M  137M 2674M|2976B  972B|   0   608k|   0  40.0 | 417   828 |1.81 1.53 1.37|  0 1.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              816    14k 462B  0%|mysqld       186M|   0     0 |  16    7    0    5    0
Feb 21 16:38:12 ubuntu dstat.sh[504]: 21-02 16:38:12|  2   1  49  47   2| 657M  374M  137M 2674M|3153B  972B|   0   852k|   0  59.0 | 487   968 |1.81 1.53 1.37|  0 1.0   0|   0     0 |etcd                 1628 1.0%   0    0 |python2              816    14k 461B0.5%|mysqld       187M|   0     0 |  16    7    0    5    0
Feb 21 16:38:13 ubuntu dstat.sh[504]: 21-02 16:38:13|  3   2  48  46   2| 658M  373M  138M 2674M|3221B  972B|   0   796k|   0  59.0 | 554   974 |1.81 1.53 1.37|  0 1.0   0|   0     0 |mysqld               322421.5%   0    0 |python2              816    14k 449B  0%|mysqld       187M|   0     0 |  16    7    0    5    0
Feb 21 16:38:14 ubuntu dstat.sh[504]: 21-02 16:38:14|  1   1  49  47   2| 658M  373M  138M 2674M|5333B  972B|   0   344k|   0  24.0 | 452   772 |1.81 1.53 1.37|  0 1.0   0|   0     0 |python2              816  0.5%  14k 461B|python2              816    14k 461B0.5%|mysqld       187M|   0     0 |  16    7    0    5    0
Feb 21 16:38:15 ubuntu dstat.sh[504]: 21-02 16:38:15|  1   2  46  51   1| 658M  373M  138M 2674M|8583B  972B|   0   460k|   0  29.0 | 565   922 |1.81 1.53 1.37|  0 1.0   0|   0     0 |kworker/0:1H         159  0.5%   0    0 |python2              816    14k 461B  0%|mysqld       187M|   0     0 |  16    7    0    5    0
Feb 21 16:38:16 ubuntu dstat.sh[504]: 21-02 16:38:16|  2   1  27  69   2| 658M  372M  138M 2674M|3955B 1080B|   0  2392k|   0  73.0 | 423   618 |1.91 1.56 1.38|  0 1.0   0|   0     0 |jbd2/vda1-8          294  0.5%   0    0 |python2              816    14k 458B  0%|mysqld       187M|   0     0 |  16    7    0    5    0
Feb 21 16:38:17 ubuntu dstat.sh[504]: 21-02 16:38:17|  2   2  45  51   1| 658M  372M  138M 2674M|3078B  972B|   0  1128k|   0  67.0 | 546   973 |1.91 1.56 1.38|  0 1.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              816    14k 463B  0%|mysqld       187M|   0     0 |  16    7    0    5    0
Feb 21 16:38:18 ubuntu dstat.sh[504]: 21-02 16:38:18|  7   8  44  40   2| 658M  372M  138M 2674M|2837B  918B|   0   672k|   0  66.0 | 541  1218 |1.91 1.56 1.38|  0 1.0   0|   0     0 |mysqld               32242 13%   0    0 |python2              816    14k 463B  0%|mysqld       188M|   0     0 |  16    7    0    5    0
Feb 21 16:38:19 ubuntu dstat.sh[504]: 21-02 16:38:19|  7   7  31  53   0| 659M  371M  138M 2674M|2908B 1134B|   0  8624k|   0  77.0 | 557  1224 |1.91 1.56 1.38|  0 1.0   0|   0     0 |mysqld               32242 12%   0    0 |python2              816    14k 458B0.5%|mysqld       188M|   0     0 |  16    7    0    5    0
Feb 21 16:38:20 ubuntu dstat.sh[504]: 21-02 16:38:20|  7   7  41  46   1| 659M  371M  138M 2675M|3480B 1026B|   0   604k|   0  62.0 | 578  1410 |1.91 1.56 1.38|1.0 1.0 2.0|   0     0 |mysqld               32242 11%   0    0 |python2              816    14k 474B  0%|mysqld       188M|   0     0 |  16    7    0    5    0
Feb 21 16:38:21 ubuntu dstat.sh[504]: 21-02 16:38:21|  6   6  41  47   1| 660M  370M  138M 2675M|3620B 1026B|   0   676k|   0  57.0 | 518  1229 |2.00 1.58 1.39|  0 1.0   0|   0     0 |mysqld               322428.0%   0    0 |python2              816    14k 459B  0%|mysqld       188M|   0     0 |  16    7    0    5    0
Feb 21 16:38:22 ubuntu dstat.sh[504]: 21-02 16:38:22|  1   1   1  97   1| 660M  370M  138M 2675M|4883B 1080B|   0  1396k|   0  80.0 | 440   577 |2.00 1.58 1.39|  0 3.0   0|   0     0 |python2              816  0.5%  14k 458B|python2              816    14k 458B0.5%|mysqld       188M|   0     0 |  16    7    0    5    0
Feb 21 16:38:23 ubuntu dstat.sh[504]: 21-02 16:38:23|  2   1  30  67   0| 660M  369M  138M 2676M|3283B 1026B|   0  2736k|   0  50.0 | 369   896 |2.00 1.58 1.39|  0 1.0   0|   0     0 |etcd                 1628 1.0%   0    0 |python2              816    14k 449B  0%|mysqld       189M|   0     0 |  16    7    0    5    0
Feb 21 16:38:24 ubuntu dstat.sh[504]: 21-02 16:38:24|  1   1  50  49   0| 660M  369M  138M 2676M|2760B 1134B|   0   792k|   0  33.0 | 306   667 |2.00 1.58 1.39|  0 1.0   0|   0     0 |python2              816  0.5%  14k 447B|python2              816    14k 447B0.5%|mysqld       189M|   0     0 |  16    7    0    5    0
Feb 21 16:38:25 ubuntu dstat.sh[504]: 21-02 16:38:25| 10  11  32  48   1| 660M  369M  138M 2676M|4861B  918B|   0  2784k|   0  58.0 | 460   987 |2.00 1.58 1.39|1.0 2.0   0|   0     0 |mysqld               32242 19%   0    0 |python2              816    14k 449B  0%|mysqld       189M|   0     0 |  16    7    0    5    0
Feb 21 16:38:26 ubuntu dstat.sh[504]: 21-02 16:38:26| 26  25   0  48   0| 660M  369M  138M 2676M|2783B 1134B|   0   464k|   0  25.0 | 504   612 |2.24 1.64 1.41|1.0 1.0   0|   0     0 |mysqld               32242 50%   0    0 |python2              816    14k 459B  0%|mysqld       189M|   0     0 |  16    7    0    5    0
Feb 21 16:38:27 ubuntu dstat.sh[504]: 21-02 16:38:27| 22  25   7  46   1| 660M  369M  138M 2676M|4489B 1026B|   0  1096k|   0  32.0 | 568   739 |2.24 1.64 1.41|  0 1.0   0|   0     0 |mysqld               32242 44%   0    0 |python2              816    14k 452B  0%|mysqld       189M|   0     0 |  16    7    0    5    0
Feb 21 16:38:28 ubuntu dstat.sh[504]: 21-02 16:38:28|  2   1  47  50   1| 660M  369M  138M 2676M|2479B 1134B|   0  1168k|   0  22.0 | 398   783 |2.24 1.64 1.41|  0 2.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              816    14k 463B  0%|mysqld       189M|   0     0 |  16    7    0    5    0
Feb 21 16:38:29 ubuntu dstat.sh[504]: 21-02 16:38:29|  5   4  49  42   2| 660M  368M  138M 2676M|3287B  972B|   0   600k|   0  49.0 | 427   930 |2.24 1.64 1.41|  0 1.0   0|   0     0 |mysqld               322427.0%   0    0 |python2              816    14k 461B0.5%|mysqld       189M|   0     0 |  16    7    0    5    0
Feb 21 16:38:30 ubuntu dstat.sh[504]: 21-02 16:38:30|  8   5  39  43   5| 660M  368M  138M 2676M|3599B 1080B|   0   840k|   0  71.0 | 636  1225 |2.24 1.64 1.41|  0 1.0 2.0|   0     0 |mysqld               32242 11%   0    0 |python2              816    14k 469B  0%|mysqld       189M|   0     0 |  16    7    0    5    0
Feb 21 16:38:31 ubuntu dstat.sh[504]: 21-02 16:38:31|  7   5  38  45   6| 661M  368M  139M 2675M|4124B  972B|   0   664k|   0  59.0 | 488  1013 |2.30 1.66 1.42|  0 1.0   0|   0     0 |mysqld               32242 11%   0    0 |python2              816    14k 462B  0%|mysqld       189M|   0     0 |  16    7    0    5    0
Feb 21 16:38:32 ubuntu dstat.sh[504]: 21-02 16:38:32| 12  10  28  47   2| 661M  367M  139M 2676M|5230B 1122B|   0   764k|   0  64.0 | 555  1075 |2.30 1.66 1.42|1.0 1.0   0|   0     0 |mysqld               32242 22%   0    0 |python2              816    14k 469B0.5%|mysqld       189M|   0     0 |  16    7    0    5    0
Feb 21 16:38:33 ubuntu dstat.sh[504]: 21-02 16:38:33|  3   2  47  45   3| 661M  367M  139M 2675M|3554B  972B|   0   148k|   0  9.00 | 308   674 |2.30 1.66 1.42|  0 4.0   0|   0     0 |mysqld               322422.5%   0    0 |python2              816    14k 461B  0%|mysqld       189M|   0     0 |  16    7    0    5    0
Feb 21 16:38:34 ubuntu dstat.sh[504]: 21-02 16:38:34|  2   1   0  98   1| 661M  367M  139M 2675M|4926B 1080B|   0     0 |   0     0 | 351   687 |2.30 1.66 1.42|  0 5.0   0|   0     0 |etcd                 1628 0.5%   0    0 |python2              816    14k 438B  0%|mysqld       189M|   0     0 |  16    7    0    5    0
Feb 21 16:38:35 ubuntu dstat.sh[504]: 21-02 16:38:35|  1   1   7  91   0| 661M  367M  139M 2675M|3124B  972B|  12k 9500k|1.00   175 | 426   802 |2.30 1.66 1.42|  0 1.0   0|   0     0 |python2              816  0.5%  14k 479B|python2              816    14k 479B0.5%|mysqld       189M|   0     0 |  16    7    0    5    0
Feb 21 16:38:36 ubuntu dstat.sh[504]: 21-02 16:38:36|  2   0  33  66   0| 661M  367M  139M 2676M|3168B  972B|   0   964k|   0  59.0 | 455   908 |2.19 1.65 1.41|  0 2.0   0|   0     0 |jbd2/vda1-8          294  0.5%   0    0 |python2              816    14k 441B  0%|mysqld       189M|   0     0 |  16    7    0    5    0
Feb 21 16:38:37 ubuntu dstat.sh[504]: 21-02 16:38:37|  2   3  46  50   1| 661M  367M  139M 2676M|3499B  918B|   0  4812k|   0  67.0 | 509  1096 |2.19 1.65 1.41|  0 1.0   0|   0     0 |beam.smp             546  1.0%   0    0 |python2              816    14k 451B0.5%|mysqld       190M|   0     0 |  16    7    0    5    0
Feb 21 16:38:38 ubuntu dstat.sh[504]: 21-02 16:38:38| 15   8  47  29   2| 661M  367M  139M 2676M|9040B 1134B|   0  1216k|   0  70.0 | 776  1720 |2.19 1.65 1.41|  0 2.0   0|   0     0 |mysqld               32242 18%   0    0 |python2              816    14k 461B  0%|mysqld       190M|   0     0 |  16    7    0    5    0
Feb 21 16:38:39 ubuntu dstat.sh[504]: 21-02 16:38:39| 10  10  43  34   3| 662M  366M  139M 2676M|5414B  972B|   0   936k|   0  71.0 | 745  1210 |2.19 1.65 1.41|  0 2.0   0|   0     0 |mysqld               32242 17%   0    0 |python2              816    14k 445B  0%|mysqld       190M|   0     0 |  16    7    0    5    0
Feb 21 16:38:40 ubuntu dstat.sh[504]: 21-02 16:38:40|  9   8  48  34   1| 662M  365M  139M 2676M|4062B  972B|   0  1068k|   0  75.0 | 705  1325 |2.19 1.65 1.41|1.0 1.0 2.0|   0     0 |mysqld               32242 15%   0    0 |python2              816    14k 475B  0%|mysqld       191M|   0     0 |  16    7    0    5    0
Feb 21 16:38:41 ubuntu dstat.sh[504]: 21-02 16:38:41| 16  15  37  25   8| 663M  365M  139M 2676M|4373B 1080B|   0  1520k|   0  69.0 | 733  1151 |2.26 1.67 1.42|  0 2.0   0|   0     0 |mysqld               32242 30%   0    0 |python2              816    14k 465B  0%|mysqld       191M|   0     0 |  16    7    0    5    0
