-- Logs begin at Wed 2020-03-11 13:23:23 UTC, end at Wed 2020-03-11 14:38:23 UTC. --
Mar 11 14:03:43 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 11 14:03:43 ubuntu dstat.sh[1765]: [286B blob data]
Mar 11 14:03:43 ubuntu dstat.sh[1765]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 11 14:03:43 ubuntu dstat.sh[1765]: 11-03 14:03:43| 18   5  56  19   1| 422M  308M  110M 2866M|   0     0 | 221k 3958k|11.7  39.9 | 869  1539 |1.02 1.05 1.06|1.0   0  27|   0     0 |systemd              1    0.4%   0    0 |bash                 3621 2746k2569k0.2%|mysqld       174M|   0     0 |  13    3    0    5    0
Mar 11 14:03:44 ubuntu dstat.sh[1765]: 11-03 14:03:44| 22  38  39   1   1| 422M  308M  110M 2867M|5466B 1944B|   0   128k|   0  9.00 |1507  4210 |1.26 1.10 1.08|2.0   0 432|   0     0 |bash                 3621 7.0%1642k  27k|bash                 3621 1642k  27k7.0%|mysqld       174M|   0     0 |  13    3    0    5    0
Mar 11 14:03:45 ubuntu dstat.sh[1765]: 11-03 14:03:45| 28  36  36   0   0| 422M  307M  110M 2867M|6576B 2160B|   0    28k|   0  7.00 |2098  4760 |1.26 1.10 1.08|1.0   0 315|   0     0 |systemd              1    8.5%   0    0 |bash                 3621 2361k  20k4.5%|mysqld       174M|   0     0 |  13    3    0    6    0
Mar 11 14:03:46 ubuntu dstat.sh[1765]: 11-03 14:03:46| 29  25  45   0   1| 547M  181M  110M 2989M|4517B 2106B|   0    33M|   0  36.0 |2069  6780 |1.26 1.10 1.08|  0   0 111|   0     0 |systemd              1     21%   0    0 |bash                 3621  539k2734B0.5%|mysqld       174M|   0     0 |  15    3    0    5    0
Mar 11 14:03:47 ubuntu dstat.sh[1765]: 11-03 14:03:47| 10  17  72   0   1| 548M  180M  110M 2989M|5834B 1998B|   0     0 |   0     0 |1055  2380 |1.26 1.10 1.08|2.0   0 215|   0     0 |bash                 3621 3.5% 385k  12k|bash                 3621  385k  12k3.5%|mysqld       174M|   0     0 |  15    5    0    5    0
Mar 11 14:03:48 ubuntu dstat.sh[1765]: 11-03 14:03:48| 40  12  48   1   0| 568M  160M  110M 2989M|4892B 2160B| 108k    0 |2.00     0 | 851  1641 |1.26 1.10 1.08|  0 1.0  80|   0     0 |keystone-manage      3161  37%5089k  81k|keystone-manage      3161 5089k  81k 37%|mysqld       174M|   0     0 |  15    5    0    8    0
Mar 11 14:03:49 ubuntu dstat.sh[1765]: 11-03 14:03:49| 34   4  48  14   1| 588M  139M  110M 2990M|5391B 1944B|1080k  280k| 121  2.00 | 706   989 |1.24 1.10 1.08|1.0   0   0|   0     0 |keystone-manage      3161  37%4738k  46k|keystone-manage      3161 4738k  46k 37%|mysqld       174M|   0     0 |  15    5    0    8    0
Mar 11 14:03:50 ubuntu dstat.sh[1765]: 11-03 14:03:50| 45   3  48   3   1| 609M  117M  110M 2991M|5242B 2160B| 668k    0 |50.0     0 | 678   909 |1.24 1.10 1.08|1.0   0   0|   0     0 |keystone-manage      3161  46%5417k 176k|keystone-manage      3161 5417k 176k 46%|mysqld       174M|   0     0 |  15    5    0    8    0
Mar 11 14:03:52 ubuntu dstat.sh[1765]: 11-03 14:03:51| 22  12  22  45   0| 628M  322M  111M 2775M|6547B 2808B| 112k 4556k|11.0   122 |1123  1977 |1.24 1.10 1.08|1.0 2.0 5.0|   0     0 |keystone-manage      3161  23%1964k 424k|keystone-manage      3161 1964k 424k 23%|mysqld       184M|   0     0 |  15    7    0    8    0
Mar 11 14:03:52 ubuntu dstat.sh[1765]: 11-03 14:03:52| 10   5   3  81   1| 628M  322M  111M 2775M|3718B 1296B|   0  1440k|   0   125 | 568   728 |1.24 1.10 1.08|  0 2.0   0|   0     0 |python2              1606 4.0%  28k  30k|keystone-manage      3161   38k  53k3.5%|mysqld       186M|   0     0 |  15    7    0    8    0
