"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","01 Apr 2020 19:15:45 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
01-04 19:15:45,16.324,4.743,54.323,23.239,1.371,442523648,693411840,88268800,2691039232,0,0,233261.343,3604612.672,12.181,36.849,766.241,1364.759,1.020,1.190,1.180,3,0,26.386,0,0,14,3,0,5,0
01-04 19:15:46,18.317,33.663,39.109,0.990,7.921,441909248,693788672,88281088,2691178496,4230,2214,0,110592,0,8,1301,3582,1.100,1.200,1.180,2,0,388,0,0,14,3,0,5,0
01-04 19:15:47,23.116,33.668,37.688,0,5.528,441061376,694525952,88281088,2691252224,5283,1998,0,20480,0,5,1234,4513,1.100,1.200,1.180,3,0,241,0,0,14,3,0,5,0
01-04 19:15:48,29.293,32.323,36.869,0,1.515,442150912,693383168,88281088,2691276800,3439,2106,0,16384,0,4,1854,5234,1.100,1.200,1.180,2,0,213,0,0,14,3,0,5,0
01-04 19:15:49,7.538,8.040,80.905,2.513,1.005,574136320,560939008,88281088,2819428352,4284,2160,0,34611200,0,35,837,2191,1.100,1.200,1.180,4,0,40,0,0,16,5,0,5,0
01-04 19:15:50,31.683,24.257,43.069,0,0.990,584130560,550887424,88281088,2819469312,3394,1944,0,0,0,0,1343,3246,1.100,1.200,1.180,2,0,274,0,0,16,5,0,7,0
01-04 19:15:51,33.333,4.040,47.475,14.141,1.010,603959296,529170432,88940544,2820698112,4108,2160,1826816,192512,254,2,861,1341,1.090,1.200,1.180,2,0,0,0,0,16,5,0,7,0
01-04 19:15:52,46.500,3.500,47.500,2,0.500,626192384,505999360,88956928,2821619712,4051,1944,684032,0,55,0,738,870,1.090,1.200,1.180,2,0,0,0,0,16,5,0,7,0
01-04 19:15:53,40.404,10.606,35.859,12.626,0.505,645525504,485335040,88989696,2822795264,3901,2160,200704,1355776,17,9,927,1372,1.090,1.200,1.180,1,1,0,0,0,16,7,0,7,0
01-04 19:15:54,7.107,4.569,15.736,71.574,1.015,655314944,475291648,89063424,2822914048,10311,1944,0,1138688,0,157,872,1202,1.090,1.200,1.180,1,3,0,0,0,16,7,0,7,0
01-04 19:15:55,1.500,1.500,9.500,87,0.500,655327232,475258880,89071616,2822926336,16349,2160,0,3608576,0,141,545,690,1.090,1.200,1.180,1,1,0,0,0,16,7,0,7,0
01-04 19:15:56,2.500,2,46.500,49,0,655773696,474562560,89149440,2823094272,4782,2160,0,872448,0,43,507,934,1.160,1.210,1.190,1,1,2,0,0,16,7,0,7,0
01-04 19:15:57,2.500,1.500,49.500,46,0.500,655925248,474120192,89300992,2823233536,4239,2040,0,778240,0,58,518,932,1.160,1.210,1.190,1,1,0,0,0,16,7,0,7,0
01-04 19:15:58,2.030,1.523,49.239,46.701,0.508,656183296,473546752,89415680,2823430144,6054,2148,0,757760,0,46,513,885,1.160,1.210,1.190,1,2,0,0,0,16,7,0,7,0
01-04 19:15:59,2.513,1.005,49.749,46.231,0.503,656543744,472825856,89636864,2823561216,3700,2160,0,1118208,0,83,634,1078,1.160,1.210,1.190,1,1,0,0,0,16,7,0,7,0
01-04 19:16:00,2.538,1.015,50.254,46.193,0,656642048,472203264,89808896,2823868416,4524,1944,0,1081344,0,71,610,1030,1.160,1.210,1.190,1,1,0,0,0,16,7,0,7,0
01-04 19:16:01,2.513,1.005,46.231,50.251,0,656859136,471814144,89915392,2823925760,4143,2160,0,3276800,0,124,588,870,1.310,1.240,1.200,1,1,0,0,0,16,7,0,7,0
01-04 19:16:02,4.523,3.015,46.734,44.724,1.005,657281024,470896640,90177536,2824134656,3797,1944,0,1228800,0,102,768,1347,1.310,1.240,1.200,1,1,0,0,0,16,7,0,7,0
01-04 19:16:03,10.714,10.714,36.735,41.327,0.510,658100224,469749760,90431488,2824200192,5252,2160,0,876544,0,93,793,1580,1.310,1.240,1.200,1,1,0,0,0,16,7,0,7,0
01-04 19:16:04,6.566,6.061,44.949,42.424,0,658333696,469336064,90517504,2824290304,10025,2160,0,335872,0,30,552,917,1.310,1.240,1.200,1,1,0,0,0,16,7,0,7,0
01-04 19:16:05,4.020,3.518,40.704,51.759,0,658313216,469336064,90558464,2824269824,4125,2160,0,188416,0,15,419,789,1.310,1.240,1.200,1,2,0,0,0,16,7,0,7,0
01-04 19:16:06,6.566,5.051,29.293,58.586,0.505,658841600,468414464,90775552,2824437760,5066,2160,0,835584,0,79,719,1509,1.290,1.240,1.190,1,1,2,0,0,16,7,0,7,0
01-04 19:16:07,9.694,8.163,48.469,33.673,0,659308544,467750912,91049984,2824351744,4065,1944,0,1310720,0,110,772,1382,1.290,1.240,1.190,1,1,0,0,0,16,7,0,7,0
01-04 19:16:08,11,9,47,32.500,0.500,659668992,466927616,91385856,2824470528,3902,2160,0,1523712,0,128,889,1628,1.290,1.240,1.190,1,1,0,0,0,16,7,0,7,0
01-04 19:16:09,10.714,10.714,48.469,30.102,0,660525056,465813504,91652096,2824450048,5002,2160,0,1236992,0,101,801,1655,1.290,1.240,1.190,2,0,0,0,0,16,7,0,7,0
01-04 19:16:10,14.573,10.050,44.724,30.653,0,660975616,464973824,91901952,2824564736,4418,2160,0,1548288,0,112,886,1777,1.290,1.240,1.190,3,0,0,0,0,16,7,0,7,0
01-04 19:16:11,9.406,3.465,36.139,50.495,0.495,661729280,463962112,92106752,2824593408,5156,2160,0,2596864,0,130,819,1847,1.340,1.250,1.200,1,2,0,0,0,16,7,0,7,0
01-04 19:16:12,2.525,2.020,18.182,76.263,1.010,661377024,464158720,92164096,2824675328,8085,1890,0,9076736,0,192,546,805,1.340,1.250,1.200,2,0,0,0,0,16,7,0,7,0
01-04 19:16:13,2.010,5.025,47.739,44.724,0.503,662560768,393875456,92233728,2891825152,5303,2214,0,67678208,0,97,573,946,1.340,1.250,1.200,1,1,0,0,0,16,7,0,6,0
01-04 19:16:14,3.518,1.508,48.744,45.729,0.503,662941696,393052160,92381184,2892111872,4005,2160,0,1310720,0,84,744,1188,1.340,1.250,1.200,1,1,0,0,0,16,7,0,6,0
01-04 19:16:15,2.525,1.515,42.929,52.525,0.505,662908928,392720384,92479488,2892349440,4390,2160,0,909312,0,54,575,952,1.340,1.250,1.200,1,2,0,0,0,16,7,0,6,0
01-04 19:16:16,4.975,4.478,38.806,50.249,1.493,663429120,391987200,92631040,2892406784,5190,1944,0,942080,0,75,685,1182,1.400,1.260,1.200,2,0,2,0,0,16,7,0,6,0
01-04 19:16:17,3.980,4.478,44.776,44.776,1.990,663597056,391356416,92782592,2892685312,3675,2052,0,1826816,0,115,813,1285,1.400,1.260,1.200,2,3,0,0,0,16,7,0,6,0
