"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","03 Mar 2020 20:57:44 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
03-03 20:57:44,15.966,4.452,53.479,24.430,1.673,474841088,600481792,144056320,2682200064,0,0,155395.737,2732988.149,7.218,33.362,755.849,1279.861,1.300,1.360,1.300,2,0,23.470,0,0,14,3,0,4,0
03-03 20:57:45,21.939,36.735,34.694,6.122,0.510,473894912,600887296,144068608,2682597376,4217,2160,282624,131072,4,11,1517,3623,1.300,1.360,1.300,1,0,390,0,0,14,3,0,4,0
03-03 20:57:46,24.490,30.612,37.245,6.633,1.020,474374144,600227840,144068608,2682769408,3812,1944,0,282624,0,17,1693,5790,1.350,1.370,1.310,0,2,233,0,0,14,3,0,4,0
03-03 20:57:47,28.500,21,16.500,33,1,537440256,537047040,144068608,2743111680,5809,2160,0,4993024,0,106,1594,7051,1.350,1.370,1.310,3,1,99,0,0,16,3,0,4,0
03-03 20:57:48,1.531,1.531,56.122,40.816,0,605880320,468324352,144068608,2810810368,6379,2160,0,25456640,0,28,461,751,1.350,1.370,1.310,0,0,2,0,0,16,3,0,4,0
03-03 20:57:49,28.500,24,43,0,4.500,616816640,457351168,144072704,2810843136,10000,2160,0,5836800,0,6,1453,3309,1.350,1.370,1.310,2,0,296,0,0,16,5,0,7,0
03-03 20:57:50,24,4.500,38,32,1.500,628187136,445353984,144080896,2811428864,5564,2160,503808,233472,24,2,591,831,1.350,1.370,1.310,0,1,0,0,0,16,5,0,6,0
03-03 20:57:51,11.168,2.030,36.041,49.746,1.015,631902208,441352192,144080896,2811678720,6178,2160,307200,8216576,42,19,588,961,1.330,1.360,1.300,0,1,0,0,0,16,5,0,6,0
03-03 20:57:52,2.513,0.503,47.739,49.246,0,632066048,441036800,144080896,2811817984,4606,1944,20480,0,5,0,372,676,1.330,1.360,1.300,0,1,0,0,0,16,5,0,6,0
03-03 20:57:53,15,3,48.500,33.500,0,642400256,430432256,144084992,2812051456,4190,2160,208896,0,14,0,465,767,1.330,1.360,1.300,0,1,0,0,0,16,5,0,6,0
03-03 20:57:54,27.638,2.010,47.739,21.608,1.005,649842688,422912000,144084992,2812092416,5362,2160,36864,45056,5,1,503,681,1.330,1.360,1.300,1,0,0,0,0,16,5,0,6,0
03-03 20:57:55,1.523,1.015,41.117,55.838,0.508,650240000,422273024,144084992,2812305408,4816,2160,81920,339968,14,2,410,734,1.330,1.360,1.300,0,1,0,0,0,16,5,0,6,0
03-03 20:57:56,17.677,2.020,48.485,31.818,0,661565440,410181632,144084992,2813038592,5118,2202,503808,0,27,0,582,796,1.300,1.350,1.300,1,0,0,0,0,16,5,0,6,0
03-03 20:57:57,38.191,8.040,41.709,11.558,0.503,682061824,388325376,144142336,2814050304,7557,1944,172032,0,13,0,750,1280,1.300,1.350,1.300,4,0,0,0,0,16,7,0,6,0
03-03 20:57:58,13.433,4.975,24.378,55.224,1.990,690900992,379179008,144224256,2814259200,6582,2160,0,1249280,0,31,585,1190,1.300,1.350,1.300,0,1,2,0,0,16,7,0,6,0
03-03 20:57:59,3.015,2.010,49.246,45.729,0,692408320,377364480,144330752,2814447616,5784,2160,0,905216,0,58,508,1010,1.300,1.350,1.300,0,1,0,0,0,16,7,0,6,0
03-03 20:58:00,2.010,2.010,47.236,47.236,1.508,692846592,376631296,144453632,2814619648,5688,2160,0,856064,0,63,595,1160,1.300,1.350,1.300,0,1,0,0,0,16,7,0,6,0
03-03 20:58:01,2.500,1.500,48,47,1,692961280,376324096,144502784,2814734336,3784,2160,0,724992,0,50,494,903,1.350,1.370,1.310,1,2,0,0,0,16,7,0,6,0
03-03 20:58:02,1.508,0.503,11.055,85.930,1.005,693014528,376225792,144510976,2814771200,4058,1944,0,4112384,0,28,327,639,1.350,1.370,1.310,0,1,0,0,0,16,7,0,6,0
03-03 20:58:03,1.523,2.030,49.239,45.178,2.030,693346304,375496704,144646144,2815033344,4404,2160,0,5332992,0,76,510,1173,1.350,1.370,1.310,0,1,0,0,0,16,7,0,6,0
03-03 20:58:04,2.513,0.503,48.744,47.236,1.005,693104640,375627776,144678912,2815111168,5868,2160,0,3092480,0,67,438,772,1.350,1.370,1.310,0,3,0,0,0,16,7,0,6,0
03-03 20:58:05,1.990,0.498,49.254,47.264,0.995,693161984,375562240,144678912,2815119360,4952,2160,0,0,0,0,279,541,1.350,1.370,1.310,0,3,0,0,0,16,7,0,6,0
03-03 20:58:06,2.513,0.503,43.719,51.759,1.508,693170176,375595008,144678912,2815078400,3348,1998,0,458752,0,50,309,600,1.650,1.430,1.330,0,3,0,0,0,16,7,0,6,0
03-03 20:58:07,1.010,0.505,0,98.485,0,693235712,375521280,144678912,2815086592,4425,2106,0,172032,0,18,320,720,1.650,1.430,1.330,0,3,0,0,0,16,7,0,6,0
03-03 20:58:08,1.010,1.515,0,97.475,0,693555200,375197696,144678912,2815090688,4561,2160,0,315392,0,36,323,594,1.650,1.430,1.330,0,3,2,0,0,16,7,0,6,0
03-03 20:58:09,1.508,0.503,1.005,96.985,0,693436416,375304192,144678912,2815102976,4826,2160,0,2383872,0,67,350,535,1.650,1.430,1.330,0,1,0,0,0,16,7,0,6,0
03-03 20:58:10,1.523,1.523,30.964,65.482,0.508,693362688,374665216,144699392,2815791104,7281,2202,0,589824,0,26,404,870,1.650,1.430,1.330,0,1,0,0,0,16,7,0,6,0
03-03 20:58:11,1.508,1.005,42.211,54.774,0.503,693317632,374669312,144728064,2815803392,4613,2160,0,634880,0,24,395,702,1.760,1.450,1.340,0,1,0,0,0,16,7,0,6,0
03-03 20:58:12,2.020,1.515,42.424,53.030,1.010,693587968,374157312,144789504,2815983616,7701,1944,0,1859584,0,63,553,839,1.760,1.450,1.340,0,1,0,0,0,16,7,0,6,0
03-03 20:58:13,1.961,1.961,32.353,59.804,3.922,693800960,373809152,144855040,2816053248,7118,2160,0,2584576,0,38,473,803,1.760,1.450,1.340,0,1,0,0,0,16,7,0,6,0
03-03 20:58:14,0.938,0.312,48.438,49.375,0.938,693829632,373776384,144863232,2816049152,11132,3456,0,6176768,0,16,566,948,1.760,1.450,1.340,1,2,0,0,0,16,7,0,5,0
03-03 20:58:15,3.896,1.299,33.766,58.442,2.597,693874688,373710848,144871424,2816061440,1894,864,0,880640,0,45,229,311,1.760,1.450,1.340,0,1,0,0,0,16,7,0,5,0
03-03 20:58:16,1.005,3.015,32.161,62.814,1.005,693866496,373403648,144920576,2816327680,5139,2160,0,1417216,0,57,509,1018,1.860,1.480,1.340,0,1,0,0,0,16,7,0,5,0
03-03 20:58:17,4.020,5.528,36.181,48.744,5.528,694427648,372662272,145022976,2816368640,4491,1944,0,774144,0,70,678,1225,1.860,1.480,1.340,2,1,0,0,0,16,7,0,5,0
03-03 20:58:18,9.901,7.921,37.129,39.604,5.446,695095296,371736576,145174528,2816475136,6124,2160,0,1085440,0,104,874,1816,1.860,1.480,1.340,0,1,2,0,0,16,7,0,5,0
03-03 20:58:19,12.935,13.433,33.831,33.831,5.970,695529472,371122176,145252352,2816561152,5821,2160,0,634880,0,61,669,1057,1.860,1.480,1.340,2,1,0,0,0,16,7,0,5,0
03-03 20:58:20,10.500,10.500,40.500,35.500,3,695697408,370896896,145293312,2816577536,4185,1944,0,548864,0,70,482,828,1.860,1.480,1.340,1,2,0,0,0,16,7,0,5,0
03-03 20:58:21,21.891,18.905,9.950,46.766,2.488,695574528,370900992,145334272,2816655360,4406,2160,0,1355776,0,118,644,684,1.950,1.500,1.350,0,1,0,0,0,16,7,0,5,0
03-03 20:58:22,13.568,14.573,28.643,42.211,1.005,695832576,370585600,145432576,2816614400,4563,2160,0,778240,0,68,605,1000,1.950,1.500,1.350,0,1,0,0,0,16,7,0,5,0
03-03 20:58:23,6.500,5,39.500,48.500,0.500,696057856,370302976,145539072,2816565248,3757,1944,0,827392,0,71,534,1198,1.950,1.500,1.350,1,1,0,0,0,16,7,0,5,0
03-03 20:58:24,6.965,5.970,39.801,44.776,2.488,696463360,369790976,145719296,2816491520,5797,2254,0,1114112,0,89,643,1367,1.950,1.500,1.350,0,1,0,0,0,16,7,0,5,0
03-03 20:58:25,7.107,7.107,36.548,47.716,1.523,696520704,369635328,145813504,2816495616,5116,2160,0,811008,0,71,608,1247,1.950,1.500,1.350,0,1,0,0,0,16,7,0,5,0
03-03 20:58:26,1.500,1,46.500,50.500,0.500,696623104,369410048,145838080,2816593920,4243,2160,0,8638464,0,50,383,804,1.870,1.500,1.350,0,1,0,0,0,16,7,0,5,0
03-03 20:58:27,8.500,7.500,46.500,37,0.500,697188352,368807936,145899520,2816569344,6162,1944,0,880640,0,62,658,1635,1.870,1.500,1.350,0,2,0,0,0,16,7,0,5,0
