-- Logs begin at Tue 2020-03-03 20:10:52 UTC, end at Tue 2020-03-03 21:50:44 UTC. --
Mar 03 20:57:43 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 03 20:57:44 ubuntu dstat.sh[1118]: [286B blob data]
Mar 03 20:57:44 ubuntu dstat.sh[1118]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 03 20:57:44 ubuntu dstat.sh[1118]: 03-03 20:57:44| 16   4  53  24   2| 453M  573M  137M 2558M|   0     0 | 152k 2669k|7.22  33.4 | 756  1280 |1.30 1.36 1.30|2.0   0  23|   0     0 |systemd              1    0.4%   0    0 |bash                 3942 2267k2094k0.2%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 03 20:57:45 ubuntu dstat.sh[1118]: 03-03 20:57:45| 23  36  34   6   1| 453M  572M  137M 2558M|4217B 2160B| 276k  128k|4.00  11.0 |1525  3619 |1.30 1.36 1.30|2.0   0 398|   0     0 |bash                 3942 6.5%2223k  26k|bash                 3942 2223k  26k6.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 03 20:57:46 ubuntu dstat.sh[1118]: 03-03 20:57:46| 25  32  38   4   1| 452M  572M  137M 2558M|4108B 2160B|   0    68k|   0  10.0 |1717  5902 |1.35 1.37 1.31|  0 2.0 243|   0     0 |systemd              1     10%   0    0 |bash                 3942 1817k  15k3.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 03 20:57:47 ubuntu dstat.sh[1118]: 03-03 20:57:47| 27  20  17  36   1| 453M  572M  137M 2559M|5809B 2160B|   0  3804k|   0   112 |1314  6304 |1.35 1.37 1.31|6.0 1.0  91|   0     0 |systemd              1     19%   0    0 |bash                 3942  349k2295B0.5%|mysqld       173M|   0     0 |  16    3    0    4    0
Mar 03 20:57:48 ubuntu dstat.sh[1118]: 03-03 20:57:48|  4   3  53  41   0| 578M  447M  137M 2681M|6095B 2160B|   0    26M|   0  29.0 | 731  1473 |1.35 1.37 1.31|  0   0  10|   0     0 |etcd                 2223 2.5%   0    0 |python2              1374   13k 469B0.5%|mysqld       173M|   0     0 |  16    3    0    4    0
Mar 03 20:57:49 ubuntu dstat.sh[1118]: 03-03 20:57:49| 27  24  46   0   4| 588M  436M  137M 2681M|  10k 2160B|   0  5700k|   0  6.00 |1454  3319 |1.35 1.37 1.31|1.0   0 296|   0     0 |keystone-manage      2531  13%2125k  81k|keystone-manage      2531 2125k  81k 13%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 03 20:57:50 ubuntu dstat.sh[1118]: 03-03 20:57:50| 26   5  38  30   2| 599M  425M  137M 2681M|5268B 1944B| 472k  228k|23.0  2.00 | 590   818 |1.35 1.37 1.31|  0 1.0   0|   0     0 |keystone-manage      2531  28%3145k   0 |keystone-manage      2531 3145k   0  28%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 03 20:57:51 ubuntu dstat.sh[1118]: 03-03 20:57:51|  9   2  36  52   1| 602M  422M  137M 2681M|5809B 2160B| 320k 8024k|43.0  19.0 | 534   858 |1.33 1.36 1.30|1.0   0   0|   0     0 |keystone-manage      2531 9.5% 784k   0 |keystone-manage      2531  784k   0 9.5%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 03 20:57:52 ubuntu dstat.sh[1118]: 03-03 20:57:52|  5   1  48  47   1| 603M  421M  137M 2682M|5271B 2160B|  16k    0 |4.00     0 | 432   786 |1.33 1.36 1.30|  0 1.0   0|   0     0 |keystone-manage      2531 1.5% 106k   0 |keystone-manage      2531  106k   0 1.5%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 03 20:57:53 ubuntu dstat.sh[1118]: 03-03 20:57:53| 15   3  48  34   0| 612M  411M  137M 2682M|4190B 2160B| 204k    0 |14.0     0 | 461   771 |1.33 1.36 1.30|  0 1.0   0|   0     0 |keystone-manage      2531  16%2052k  46k|keystone-manage      2531 2052k  46k 16%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 03 20:57:54 ubuntu dstat.sh[1118]: 03-03 20:57:54| 26   2  48  23   1| 619M  404M  137M 2682M|4993B 2160B|  40k   44k|6.00  1.00 | 502   686 |1.33 1.36 1.30|1.0   0   0|   0     0 |keystone-manage      2531  26%1781k   0 |keystone-manage      2531 1781k   0  26%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 03 20:57:55 ubuntu dstat.sh[1118]: 03-03 20:57:55|  4   2  39  55   1| 620M  403M  137M 2682M|4640B 1944B|  76k  332k|13.0  2.00 | 413   721 |1.33 1.36 1.30|  0 1.0   0|   0     0 |keystone-manage      2531 2.0% 131k   0 |keystone-manage      2531  131k   0 2.0%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 03 20:57:56 ubuntu dstat.sh[1118]: 03-03 20:57:56| 15   3  50  32   0| 629M  393M  137M 2683M|5210B 2202B| 496k    0 |28.0     0 | 575   804 |1.30 1.35 1.30|1.0   0   0|   0     0 |keystone-manage      2531  16%2443k 107k|keystone-manage      2531 2443k 107k 16%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 03 20:57:57 ubuntu dstat.sh[1118]: 03-03 20:57:57| 39   7  43  12   1| 650M  370M  137M 2684M|8010B 2160B| 168k    0 |13.0     0 | 750  1251 |1.30 1.35 1.30|2.0   0   0|   0     0 |keystone-manage      2531  37%4623k 466k|keystone-manage      2531 4623k 466k 37%|mysqld       177M|   0     0 |  16    7    0    6    0
Mar 03 20:57:58 ubuntu dstat.sh[1118]: 03-03 20:57:58| 15   5  22  55   2| 659M  362M  138M 2684M|6582B 2160B|   0  1208k|   0  29.0 | 599  1210 |1.30 1.35 1.30|  0 1.0 2.0|   0     0 |python2              1590 9.5%  74k  80k|python3.6            7881   55k 115k1.0%|mysqld       184M|   0     0 |  16    7    0    6    0
Mar 03 20:57:59 ubuntu dstat.sh[1118]: 03-03 20:57:59|  3   2  49  46   0| 660M  360M  138M 2684M|5488B 1944B|   0   796k|   0  54.0 | 499   986 |1.30 1.35 1.30|  0 1.0   0|   0     0 |keystone-manage      2531 1.5%   0    0 |python2              1374   14k 471B0.5%|mysqld       186M|   0     0 |  16    7    0    6    0
Mar 03 20:58:00 ubuntu dstat.sh[1118]: 03-03 20:58:00|  2   2  48  47   2| 661M  359M  138M 2684M|5319B 2160B|   0   844k|   0  67.0 | 596  1177 |1.30 1.35 1.30|  0 1.0   0|   0     0 |etcd                 2223 1.5%   0    0 |python2              1374   14k 453B  0%|mysqld       186M|   0     0 |  16    7    0    6    0
Mar 03 20:58:01 ubuntu dstat.sh[1118]: 03-03 20:58:01|  2   2  48  47   1| 661M  359M  138M 2684M|4153B 2160B|   0   764k|   0  50.0 | 490   895 |1.35 1.37 1.31|1.0 1.0   0|   0     0 |mysqld               370  1.0%   0    0 |python2              1374   14k 463B  0%|mysqld       186M|   0     0 |  16    7    0    6    0
Mar 03 20:58:02 ubuntu dstat.sh[1118]: 03-03 20:58:02|  3   1  13  84   1| 661M  359M  138M 2684M|4354B 2160B|   0  4048k|   0  19.0 | 337   659 |1.35 1.37 1.31|  0 2.0   0|   0     0 |conntrackd           169261.0%   0    0 |python2              1374   14k 456B0.5%|mysqld       186M|   0     0 |  16    7    0    6    0
Mar 03 20:58:03 ubuntu dstat.sh[1118]: 03-03 20:58:03|  1   2  47  47   2| 661M  358M  138M 2685M|4184B 2160B|   0  5172k|   0  84.0 | 505  1145 |1.35 1.37 1.31|1.0   0   0|   0     0 |mysqld               370  1.0%   0    0 |python2              1374   14k 463B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 03 20:58:04 ubuntu dstat.sh[1118]: 03-03 20:58:04|  2   1  48  46   2| 661M  358M  138M 2685M|5792B 1944B|   0  3060k|   0  70.0 | 446   791 |1.35 1.37 1.31|  0 2.0   0|   0     0 |mysqld               370  1.5%   0    0 |python2              1374   14k 464B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 03 20:58:05 ubuntu dstat.sh[1118]: 03-03 20:58:05|  2   0  49  48   1| 661M  358M  138M 2685M|4860B 2160B|   0     0 |   0     0 | 276   546 |1.35 1.37 1.31|  0 3.0   0|   0     0 |etcd                 2223 0.5%   0    0 |python2              1374   14k 463B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 03 20:58:06 ubuntu dstat.sh[1118]: 03-03 20:58:06|  3   1  46  49   2| 661M  358M  138M 2685M|3662B 2160B|   0   448k|   0  50.0 | 312   595 |1.65 1.43 1.33|  0 3.0   0|   0     0 |etcd                 2223 1.0%   0    0 |python2              1374   14k 438B0.5%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 03 20:58:07 ubuntu dstat.sh[1118]: 03-03 20:58:07|  1   0   0  99   0| 661M  358M  138M 2685M|4499B 2160B|   0   168k|   0  18.0 | 316   703 |1.65 1.43 1.33|  0 3.0   0|   0     0 |python2              1374 0.5%  14k 462B|python2              1374   14k 462B0.5%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 03 20:58:08 ubuntu dstat.sh[1118]: 03-03 20:58:08|  1   2   0  97   0| 661M  358M  138M 2685M|4441B 2160B|   0   304k|   0  35.0 | 330   621 |1.65 1.43 1.33|  0 3.0 2.0|   0     0 |conntrackd           169260.5%   0    0 |python2              1374   14k 441B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 03 20:58:09 ubuntu dstat.sh[1118]: 03-03 20:58:09|  2   1   1  97   0| 661M  358M  138M 2685M|4946B 2160B|   0   720k|   0  58.0 | 343   529 |1.65 1.43 1.33|  0 2.0   0|   0     0 |jbd2/vda1-8          293  0.5%   0    0 |python2              1374   14k 447B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 03 20:58:10 ubuntu dstat.sh[1118]: 03-03 20:58:10|  2   2  31  66   1| 661M  357M  138M 2685M|5605B 2202B|   0  2068k|   0  31.0 | 382   847 |1.65 1.43 1.33|  0 1.0   0|   0     0 |kworker/1:1H         292  0.5%   0    0 |python2              1374   14k 452B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 03 20:58:11 ubuntu dstat.sh[1118]: 03-03 20:58:11|  2   1  42  55   1| 661M  357M  138M 2685M|5813B 1944B|   0   688k|   0  27.0 | 411   719 |1.76 1.45 1.34|  0 1.0   0|   0     0 |kworker/1:1H         292  0.5%   0    0 |python2              1374   14k 462B0.5%|mysqld       187M|   0     0 |  16    7    0    6    0
