"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","03 Mar 2020 20:57:35 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
03-03 20:57:35,14.873,4.131,57.327,22.149,1.520,475467776,652050432,140406784,2636312576,0,0,147794.974,2695182.638,6.972,31.538,735.072,1209.215,1.590,1.410,1.330,2,0,21.892,0,0,14,3,0,5,0
03-03 20:57:36,20.896,34.328,39.303,2.985,2.488,475131904,651620352,140419072,2636824576,4669,2052,270336,1290240,4,53,1842,3923,1.590,1.410,1.330,1,0,409,0,0,14,3,0,5,0
03-03 20:57:37,32.161,28.643,38.693,0,0.503,475537408,651255808,140419072,2636906496,4788,2106,0,24576,0,6,1515,4660,1.590,1.410,1.330,1,0,285,0,0,14,3,0,5,0
03-03 20:57:38,27.041,31.122,40.306,0,1.531,606687232,519720960,140419072,2764877824,4183,2106,0,8192,0,2,2103,7301,1.590,1.410,1.330,0,0,141,0,0,16,3,0,5,0
03-03 20:57:39,12.438,17.910,69.154,0,0.498,607137792,519270400,140419072,2764877824,4630,2160,0,0,0,0,1139,2554,1.590,1.410,1.330,1,0,230,0,0,16,5,0,5,0
03-03 20:57:40,38.579,11.168,47.716,2.538,0,628826112,497307648,140423168,2765107200,4775,2160,110592,0,2,0,864,1499,1.540,1.410,1.330,0,1,67,0,0,16,5,0,7,0
03-03 20:57:41,6.468,1.493,24.876,66.667,0.498,630149120,495407104,140431360,2765660160,5386,2160,552960,1314816,42,30,584,844,1.540,1.410,1.330,0,2,0,0,0,16,5,0,7,0
03-03 20:57:42,5.584,1.015,0,92.893,0.508,632008704,493379584,140431360,2765791232,4652,2106,118784,839680,19,79,634,791,1.540,1.410,1.330,0,2,0,0,0,16,5,0,7,0
03-03 20:57:43,2.010,1.005,0,96.482,0.503,632123392,493248512,140431360,2765807616,8184,2214,20480,18321408,2,18,478,692,1.540,1.410,1.330,0,2,0,0,0,16,5,0,7,0
