"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","05 Mar 2020 14:29:36 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
05-03 14:29:36,16.046,4.539,58.228,19.922,1.266,472158208,609001472,148320256,2671169536,0,0,171441.185,2998963.524,7.784,33.870,790.983,1331.298,1.720,1.330,1.210,3,3,23.686,0,0,14,3,0,4,0
05-03 14:29:37,4.020,6.030,0,89.447,0.503,471408640,609583104,148324352,2671235072,3757,2160,0,1417216,0,100,616,715,1.720,1.330,1.210,0,6,58,0,0,14,3,0,4,0
05-03 14:29:38,4.020,6.533,43.719,45.729,0,471531520,609443840,148328448,2671247360,4762,1944,0,16187392,0,25,419,678,1.720,1.330,1.210,0,2,47,0,0,14,3,0,4,0
05-03 14:29:39,16.418,15.423,38.308,27.363,2.488,473423872,607105024,148328448,2671644672,4796,2160,286720,18698240,4,28,760,3223,1.740,1.340,1.220,1,0,120,0,0,14,3,0,4,0
05-03 14:29:40,25.871,31.343,39.801,0,2.985,480133120,600387584,148328448,2671685632,4088,2160,0,16384,0,4,2033,5336,1.740,1.340,1.220,17,0,238,0,0,14,3,0,4,0
05-03 14:29:41,18.317,25.248,53.465,0,2.970,604430336,475668480,148328448,2799607808,4283,1782,69632,0,1,0,1302,3183,1.740,1.340,1.220,1,0,193,0,0,16,5,0,4,0
05-03 14:29:42,36.816,14.925,46.269,0,1.990,619618304,460349440,148328448,2799722496,4159,2322,0,0,0,0,980,1798,1.740,1.340,1.220,2,0,124,0,0,16,5,0,6,0
05-03 14:29:43,14.070,0.503,47.739,37.186,0.503,627453952,451747840,148328448,2800463872,3350,1728,663552,0,44,0,441,729,1.740,1.340,1.220,0,1,0,0,0,16,5,0,6,0
05-03 14:29:44,8.040,2.010,48.241,41.709,0,631586816,447315968,148328448,2800713728,4191,1944,245760,323584,31,2,478,778,1.770,1.350,1.220,0,1,0,0,0,16,5,0,6,0
05-03 14:29:45,36,2.500,47.500,13.500,0.500,648863744,429666304,148336640,2801049600,3937,1890,331776,0,34,0,534,767,1.770,1.350,1.220,0,1,0,0,0,16,5,0,6,0
05-03 14:29:46,43.719,3.518,47.739,4.523,0.503,677060608,399577088,148459520,2802540544,4787,2214,622592,0,38,0,655,915,1.770,1.350,1.220,1,0,2,0,0,16,5,0,6,0
05-03 14:29:47,23.232,10.101,28.283,36.869,1.515,690831360,384835584,148623360,2803294208,3654,1944,0,2228224,0,94,1143,2036,1.770,1.350,1.220,0,1,0,0,0,16,7,0,6,0
05-03 14:29:48,3.500,3.500,45,45,3,691257344,383987712,148766720,2803544064,4089,1728,0,1462272,0,103,684,1303,1.770,1.350,1.220,0,1,0,0,0,16,7,0,6,0
05-03 14:29:49,2.525,2.525,47.980,44.444,2.525,691634176,383127552,148897792,2803892224,6133,1944,0,1232896,0,87,725,1301,1.780,1.360,1.220,0,1,0,0,0,16,7,0,6,0
05-03 14:29:50,2.525,1.515,48.990,45.960,1.010,691900416,382566400,149024768,2804031488,5391,2160,0,1007616,0,70,702,1256,1.780,1.360,1.220,0,1,0,0,0,16,7,0,6,0
05-03 14:29:51,3.535,0.505,50.505,44.444,1.010,692137984,381960192,149168128,2804252672,5229,2038,0,1032192,0,79,680,1157,1.780,1.360,1.220,1,0,0,0,0,16,7,0,6,0
05-03 14:29:52,7.071,5.556,49.495,37.879,0,692813824,381042688,149323776,2804338688,4076,2160,0,1048576,0,105,819,1627,1.780,1.360,1.220,0,1,0,0,0,16,7,0,6,0
05-03 14:29:53,8,7.500,47.500,36,1,693366784,380338176,149401600,2804412416,7707,1944,0,2957312,0,126,743,1114,1.780,1.360,1.220,0,1,0,0,0,16,7,0,6,0
05-03 14:29:54,5.556,7.071,44.444,41.414,1.515,693604352,379994112,149532672,2804387840,5648,1944,0,835584,0,71,729,1304,1.800,1.380,1.230,0,1,0,0,0,16,7,0,6,0
05-03 14:29:55,7,5.500,42.500,44.500,0.500,693751808,379613184,149585920,2804568064,8041,2160,0,569344,0,43,608,1009,1.800,1.380,1.230,0,1,0,0,0,16,7,0,6,0
05-03 14:29:56,5.641,3.590,46.667,43.590,0.513,694288384,378896384,149700608,2804633600,8923,2160,0,700416,0,57,669,1206,1.800,1.380,1.230,0,1,2,0,0,16,7,0,6,0
05-03 14:29:57,7.500,7.500,41,44,0,694427648,378687488,149815296,2804588544,5719,1944,0,794624,0,72,704,1190,1.800,1.380,1.230,1,1,0,0,0,16,7,0,6,0
05-03 14:29:58,5.076,3.553,44.162,46.701,0.508,694648832,378335232,149934080,2804600832,4880,1728,0,917504,0,55,565,1023,1.800,1.380,1.230,0,1,0,0,0,16,7,0,6,0
05-03 14:29:59,5.528,3.518,43.216,47.236,0.503,694960128,378011648,149950464,2804596736,7803,2160,0,65536,0,7,418,666,1.740,1.370,1.230,0,1,0,0,0,16,7,0,6,0
05-03 14:30:00,3.015,0.503,49.246,47.236,0,695115776,377757696,150020096,2804625408,5169,1944,0,638976,0,48,512,969,1.740,1.370,1.230,0,1,0,0,0,16,7,0,6,0
05-03 14:30:01,10.606,8.081,34.343,46.465,0.505,695357440,377503744,150081536,2804576256,5951,1944,0,385024,0,36,578,913,1.740,1.370,1.230,0,2,0,0,0,16,7,0,5,0
