"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","28 Feb 2020 01:20:13 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
28-02 01:20:13,15.105,4.384,52.841,25.261,2.410,474951680,603291648,145166336,2677231616,0,0,161573.467,2242479.557,7.351,29.897,709.150,1211.051,1.840,1.490,1.390,2,0,22.118,0,0,14,3,0,4,0
28-02 01:20:14,21.320,34.518,38.579,2.030,3.553,474869760,602873856,145174528,2677452800,6790,2052,106496,34512896,2,44,1564,3703,1.840,1.490,1.390,2,0,391,0,0,14,3,0,4,0
28-02 01:20:15,25.871,30.846,36.816,0,6.468,474943488,602677248,145174528,2677587968,5766,1944,69632,20480,1,5,1404,5406,1.840,1.490,1.390,2,0,263,0,0,14,3,0,4,0
28-02 01:20:16,28.141,30.151,39.698,0.503,1.508,474787840,602644480,145174528,2677846016,5356,1944,28672,12288,1,3,2608,5461,1.850,1.500,1.390,2,0,172,0,0,14,3,0,4,0
28-02 01:20:17,7.882,12.808,77.833,0,1.478,606720000,470335488,145174528,2805792768,4846,1782,0,0,0,0,961,2297,1.850,1.500,1.390,1,0,115,0,0,16,5,0,4,0
28-02 01:20:18,32.161,21.608,45.226,0,1.005,618237952,458752000,145178624,2805837824,5111,2106,0,0,0,0,1110,2313,1.850,1.500,1.390,1,0,198,0,0,16,5,0,7,0
28-02 01:20:19,34,4.500,47,13,1.500,640593920,435097600,145186816,2807029760,3484,1944,1081344,233472,78,2,751,909,1.850,1.500,1.390,1,0,0,0,0,16,5,0,7,0
28-02 01:20:20,45.274,3.980,47.264,2.985,0.498,660701184,414085120,145186816,2807844864,4457,1944,610304,0,44,0,656,772,1.850,1.500,1.390,1,0,0,0,0,16,5,0,7,0
28-02 01:20:21,38.693,10.050,39.196,12.060,0,683188224,390209536,145203200,2808950784,4532,1782,180224,1335296,13,19,918,1440,1.950,1.530,1.400,1,1,2,0,0,16,7,0,7,0
28-02 01:20:22,11.111,5.051,42.929,40.404,0.505,692924416,379887616,145358848,2809372672,4391,2106,0,1392640,0,99,910,1444,1.950,1.530,1.400,0,1,0,0,0,16,7,0,7,0
28-02 01:20:23,2.488,1.990,47.264,47.761,0.498,692981760,379580416,145408000,2809544704,4676,1782,0,835584,0,54,594,947,1.950,1.530,1.400,0,1,0,0,0,16,7,0,7,0
28-02 01:20:24,2.500,1,48.500,47.500,0.500,693387264,378974208,145485824,2809667584,4143,2052,0,983040,0,58,587,1028,1.950,1.530,1.400,0,1,0,0,0,16,7,0,7,0
28-02 01:20:25,2.041,1.020,50,46.939,0,693575680,378277888,145600512,2810056704,5261,1836,0,1155072,0,75,513,1126,1.950,1.530,1.400,0,1,0,0,0,16,7,0,7,0
28-02 01:20:26,3.030,1.515,46.970,46.465,2.020,694112256,377487360,145735680,2810175488,4184,2106,0,1146880,0,81,589,1170,1.950,1.530,1.400,0,1,0,0,0,16,7,0,7,0
28-02 01:20:27,4.523,2.010,44.724,47.739,1.005,694484992,376696832,145883136,2810421248,3696,1728,0,921600,0,84,512,1286,1.950,1.530,1.400,0,1,0,0,0,16,7,0,7,0
28-02 01:20:28,9.901,7.921,34.158,46.535,1.485,694980608,375967744,146022400,2810511360,5226,1944,0,745472,0,77,579,1388,1.950,1.530,1.400,0,1,0,0,0,16,7,0,7,0
28-02 01:20:29,5.500,5.500,21,66,2,696442880,374403072,146083840,2810552320,4084,1986,0,1134592,0,49,412,938,1.950,1.530,1.400,0,1,0,0,0,16,7,0,7,0
28-02 01:20:30,7.463,4.975,39.801,46.766,0.995,695328768,375365632,146161664,2810626048,4319,1944,0,2428928,0,78,460,1113,1.950,1.530,1.400,0,1,0,0,0,16,7,0,7,0
