-- Logs begin at Fri 2020-02-28 00:31:23 UTC, end at Fri 2020-02-28 02:18:22 UTC. --
Feb 28 01:20:12 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Feb 28 01:20:13 ubuntu dstat.sh[32758]: [286B blob data]
Feb 28 01:20:13 ubuntu dstat.sh[32758]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Feb 28 01:20:13 ubuntu dstat.sh[32758]: 28-02 01:20:13| 15   4  53  25   2| 452M  576M  138M 2553M|   0     0 | 158k 2190k|7.35  29.9 | 709  1211 |1.84 1.49 1.39|1.0   0  22|   0     0 |systemd              1    0.4%   0    0 |bash                 3214 2167k1998k0.2%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 28 01:20:14 ubuntu dstat.sh[32758]: 28-02 01:20:14| 21  34  39   2   4| 454M  574M  138M 2553M|6790B 2052B| 104k   33M|2.00  44.0 |1557  3699 |1.84 1.49 1.39|3.0   0 398|   0     0 |bash                 3214 7.0%1518k  26k|bash                 3214 1518k  26k7.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 28 01:20:15 ubuntu dstat.sh[32758]: 28-02 01:20:15| 26  31  37   0   6| 453M  575M  138M 2554M|5766B 1944B|  68k   20k|1.00  5.00 |1398  5389 |1.84 1.49 1.39|2.0 1.0 253|   0     0 |systemd              1     11%   0    0 |bash                 3214 1924k  16k4.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 28 01:20:16 ubuntu dstat.sh[32758]: 28-02 01:20:16| 28  30  40   1   2| 453M  574M  138M 2554M|5698B 1944B|  28k   12k|1.00  3.00 |2610  5466 |1.85 1.50 1.39|1.0   0 173|   0     0 |systemd              1     19%   0    0 |bash                 3214 1084k8254B1.5%|mysqld       173M|   0     0 |  16    3    0    4    0
Feb 28 01:20:17 ubuntu dstat.sh[32758]: 28-02 01:20:17|  7  13  78   0   1| 578M  449M  138M 2676M|4504B 1782B|   0     0 |   0     0 | 965  2300 |1.85 1.50 1.39|1.0   0 119|   0     0 |etcd                 1417 3.0%   0    0 |bash                 3214  249k5985B2.0%|mysqld       173M|   0     0 |  16    5    0    4    0
Feb 28 01:20:18 ubuntu dstat.sh[32758]: 28-02 01:20:18| 33  21  46   0   1| 590M  438M  138M 2676M|5111B 2106B|   0     0 |   0     0 |1093  2260 |1.85 1.50 1.39|1.0   0 190|   0     0 |keystone-manage      1728  27%2545k  81k|keystone-manage      1728 2545k  81k 27%|mysqld       173M|   0     0 |  16    5    0    7    0
Feb 28 01:20:19 ubuntu dstat.sh[32758]: 28-02 01:20:19| 34   4  47  13   1| 611M  414M  138M 2677M|3576B 1944B|1056k  228k|78.0  2.00 | 752   909 |1.85 1.50 1.39|1.0   0   0|   0     0 |keystone-manage      1728  36%5374k  46k|keystone-manage      1728 5374k  46k 36%|mysqld       173M|   0     0 |  16    5    0    7    0
Feb 28 01:20:20 ubuntu dstat.sh[32758]: 28-02 01:20:20| 45   4  47   3   0| 631M  394M  138M 2678M|4365B 1944B| 596k    0 |44.0     0 | 655   772 |1.85 1.50 1.39|1.0   0   0|   0     0 |keystone-manage      1728  47%5297k 107k|keystone-manage      1728 5297k 107k 47%|mysqld       173M|   0     0 |  16    5    0    7    0
Feb 28 01:20:21 ubuntu dstat.sh[32758]: 28-02 01:20:21| 38  10  39  13   0| 652M  372M  138M 2679M|4532B 1782B| 176k 1328k|13.0  21.0 | 924  1455 |1.95 1.53 1.40|1.0 1.0 2.0|   0     0 |keystone-manage      1728  33%3978k 494k|keystone-manage      1728 3978k 494k 33%|mysqld       184M|   0     0 |  16    7    0    7    0
Feb 28 01:20:22 ubuntu dstat.sh[32758]: 28-02 01:20:22| 11   5  43  40   1| 661M  362M  139M 2679M|4391B 2106B|   0  1352k|   0  99.0 | 914  1447 |1.95 1.53 1.40|1.0   0   0|   0     0 |python2              1500 5.5%  41k  45k|keystone-manage      1728   38k  53k5.0%|mysqld       186M|   0     0 |  16    7    0    7    0
Feb 28 01:20:23 ubuntu dstat.sh[32758]: 28-02 01:20:23|  2   2  47  48   0| 661M  362M  139M 2679M|4676B 1782B|   0   804k|   0  53.0 | 589   936 |1.95 1.53 1.40|  0 1.0   0|   0     0 |mysqld               320361.0%   0    0 |python2              415    14k 456B  0%|mysqld       186M|   0     0 |  16    7    0    7    0
Feb 28 01:20:24 ubuntu dstat.sh[32758]: 28-02 01:20:24|  3   1  49  47   1| 661M  361M  139M 2680M|4143B 2052B|   0   960k|   0  58.0 | 591  1040 |1.95 1.53 1.40|1.0   0   0|   0     0 |python2              415  0.5%  14k 459B|python2              415    14k 459B0.5%|mysqld       187M|   0     0 |  16    7    0    7    0
