-- Logs begin at Mon 2020-03-02 14:10:26 UTC, end at Mon 2020-03-02 15:41:41 UTC. --
Mar 02 14:54:21 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 02 14:54:21 ubuntu dstat.sh[1756]: [286B blob data]
Mar 02 14:54:21 ubuntu dstat.sh[1756]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 02 14:54:21 ubuntu dstat.sh[1756]: 02-03 14:54:21| 17   5  59  18   1| 450M  430M  112M 2722M|   0     0 | 235k 3611k|11.3  35.9 | 820  1634 |1.11 1.13 1.10|1.0   0  25|   0     0 |systemd              1    0.4%   0    0 |bash                 3557 2463k2260k0.2%|mysqld       173M|   0     0 |  13    3    0    4    0
Mar 02 14:54:22 ubuntu dstat.sh[1756]: 02-03 14:54:22| 23  37  38   1   1| 450M  429M  112M 2722M|5331B 1782B|   0    92k|   0  9.00 |1478  3840 |1.11 1.13 1.10|3.0   0 427|   0     0 |bash                 3557 7.0%1549k  27k|bash                 3557 1549k  27k7.0%|mysqld       173M|   0     0 |  13    3    0    4    0
Mar 02 14:54:23 ubuntu dstat.sh[1756]: 02-03 14:54:23| 29  34  36   0   1| 450M  429M  112M 2722M|  11k 2106B|   0    24k|   0  6.00 |1720  4814 |1.11 1.13 1.10|1.0   0 299|   0     0 |systemd              1     10%   0    0 |bash                 3557 2161k  19k4.0%|mysqld       173M|   0     0 |  13    3    0    4    0
Mar 02 14:54:24 ubuntu dstat.sh[1756]: 02-03 14:54:24| 31  28  39   0   2| 575M  303M  112M 2844M|5939B 1944B|   0  8192B|   0  2.00 |2352  8931 |1.11 1.13 1.10|  0   0 149|   0     0 |systemd              1     20%   0    0 |bash                 3557  862k5825B1.5%|mysqld       173M|   0     0 |  15    3    0    4    0
Mar 02 14:54:25 ubuntu dstat.sh[1756]: 02-03 14:54:25| 12  22  65   0   0| 575M  303M  112M 2844M|6667B 1944B|   0    48k|   0  1.00 |1166  2817 |1.10 1.13 1.09|1.0   0 256|   0     0 |bash                 3557 4.5% 497k  15k|bash                 3557  497k  15k4.5%|mysqld       173M|   0     0 |  15    5    0    6    0
Mar 02 14:54:26 ubuntu dstat.sh[1756]: 02-03 14:54:26| 40   7  47   6   0| 596M  282M  112M 2844M|5439B 1944B| 112k    0 |3.00     0 | 711  1131 |1.10 1.13 1.09|  0 1.0  39|   0     0 |keystone-manage      3144  38%5089k  81k|keystone-manage      3144 5089k  81k 38%|mysqld       173M|   0     0 |  15    5    0    6    0
Mar 02 14:54:27 ubuntu dstat.sh[1756]: 02-03 14:54:27| 37   3  47  13   1| 616M  261M  112M 2845M|4414B 1944B|1076k  244k| 120  2.00 | 664  1020 |1.10 1.13 1.09|1.0   0   0|   0     0 |keystone-manage      3144  39%4733k  46k|keystone-manage      3144 4733k  46k 39%|mysqld       173M|   0     0 |  15    5    0    6    0
Mar 02 14:54:28 ubuntu dstat.sh[1756]: 02-03 14:54:28| 46   3  48   4   1| 639M  237M  112M 2846M|5597B 1836B| 668k    0 |50.0     0 | 712   918 |1.10 1.13 1.09|1.0   0 2.0|   0     0 |keystone-manage      3144  45%5847k 228k|keystone-manage      3144 5847k 228k 45%|mysqld       173M|   0     0 |  15    5    0    6    0
Mar 02 14:54:29 ubuntu dstat.sh[1756]: 02-03 14:54:29| 34  12  33  19   2| 658M  217M  113M 2847M|6188B 2052B| 100k 1544k|8.00  43.0 | 883  1799 |1.10 1.13 1.09|  0 1.0   0|   0     0 |keystone-manage      3144  26%1562k 426k|keystone-manage      3144 1562k 426k 26%|mysqld       186M|   0     0 |  15    7    0    6    0
Mar 02 14:54:30 ubuntu dstat.sh[1756]: 02-03 14:54:30|  5   3  48  43   3| 658M  215M  113M 2848M|4220B 1728B|   0  2052k|   0   149 | 791  1657 |1.09 1.13 1.09|  0 1.0   0|   0     0 |mysqld               1022 2.0%   0    0 |python2              1849   14k 465B  0%|mysqld       186M|   0     0 |  15    7    0    6    0
