-- Logs begin at Mon 2020-03-02 10:42:41 UTC, end at Mon 2020-03-02 14:09:37 UTC. --
Mar 02 13:16:19 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 02 13:16:20 ubuntu dstat.sh[12450]: [286B blob data]
Mar 02 13:16:20 ubuntu dstat.sh[12450]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 02 13:16:20 ubuntu dstat.sh[12450]: 02-03 13:16:20|  5   2  84   8   1| 451M  592M  137M 2543M|   0     0 |  47k  862k|2.50  10.3 | 293   446 |1.46 1.32 1.22|2.0 1.0 8.4|   0     0 |systemd              1    0.1%   0    0 |bash                 16049 691k 639k0.1%|mysqld       174M|   0     0 |  14    3    0    4    0
Mar 02 13:16:24 ubuntu dstat.sh[12450]: 02-03 13:16:21| 11  28  25  26   9| 450M  593M  137M 2543M|3950B 1944B|   0   628k|   0  64.0 |1236  2597 |1.46 1.32 1.22|  0 7.0 306|   0     0 |bash                 160496.5% 499k  19k|bash                 16049 499k  19k6.5%|mysqld       174M|   0     0 |  14    3    0    4    0
Mar 02 13:16:24 ubuntu dstat.sh[12450]: 02-03 13:16:22|  2   1  50  48   0| 450M  593M  137M 2543M|6288B 2160B|   0    12k|   0  2.00 | 214   214 |1.98 1.43 1.26|  0 7.0   0|   0     0 |                                        |                                        |mysqld       174M|   0     0 |  14    3    0    4    0
Mar 02 13:16:24 ubuntu dstat.sh[12450]: 02-03 13:16:23|  5   5  45  44   1| 452M  591M  137M 2543M|7876B 2160B|   0   408k|   0  38.0 | 371   478 |1.98 1.43 1.26|1.0 1.0  30|   0     0 |beam.smp             131681.5%   0    0 |bash                 16049 311k2086B0.5%|mysqld       174M|   0     0 |  14    3    0    4    0
Mar 02 13:16:24 ubuntu dstat.sh[12450]: 02-03 13:16:24|  4   3   3  91   0| 450M  593M  137M 2543M|5699B 1944B|   0     0 |   0     0 | 337   473 |1.98 1.43 1.26|  0 2.0  20|   0     0 |rcu_sched            8    0.5%   0    0 |bash                 16049 289k 818B0.5%|mysqld       174M|   0     0 |  14    3    0    4    0
Mar 02 13:16:25 ubuntu dstat.sh[12450]: 02-03 13:16:25| 23  31  25  21   2| 452M  591M  137M 2543M|5419B 2160B| 308k   33M|4.00  46.0 |1530  4024 |1.98 1.43 1.26|1.0   0 240|   0     0 |systemd              1    5.5%   0    0 |bash                 160491797k  15k3.5%|mysqld       174M|   0     0 |  14    3    0    4    0
Mar 02 13:16:26 ubuntu dstat.sh[12450]: 02-03 13:16:26| 24  35  37   0   4| 451M  591M  137M 2543M|4729B 2160B|   0    16k|   0  4.00 |1838  5560 |1.98 1.43 1.26|3.0   0 208|   0     0 |systemd              1     14%   0    0 |bash                 160491418k  13k2.5%|mysqld       174M|   0     0 |  14    3    0    4    0
Mar 02 13:16:27 ubuntu dstat.sh[12450]: 02-03 13:16:27| 22  29  48   0   2| 576M  466M  137M 2665M|4607B 1944B|   0     0 |   0     0 |1775  6516 |2.06 1.46 1.27|4.0   0 184|   0     0 |systemd              1     13%   0    0 |bash                 16049 506k7832B3.0%|mysqld       174M|   0     0 |  16    5    0    4    0
Mar 02 13:16:28 ubuntu dstat.sh[12450]: 02-03 13:16:28| 32  21  45   0   1| 587M  455M  137M 2665M|4447B 1944B|  52k    0 |1.00     0 |1106  2179 |2.06 1.46 1.27|1.0   0 166|   0     0 |keystone-manage      13845 27%2298k  81k|keystone-manage      138452298k  81k 27%|mysqld       174M|   0     0 |  16    5    0    6    0
Mar 02 13:16:29 ubuntu dstat.sh[12450]: 02-03 13:16:29| 16   4  47  32   1| 598M  444M  137M 2666M|4238B 2160B| 556k  216k|31.0  1.00 | 549   835 |2.06 1.46 1.27|  0 1.0   0|   0     0 |keystone-manage      13845 17%3041k   0 |keystone-manage      138453041k   0  17%|mysqld       174M|   0     0 |  16    5    0    6    0
Mar 02 13:16:30 ubuntu dstat.sh[12450]: 02-03 13:16:30| 13   3  42  41   1| 603M  438M  137M 2666M|4395B 2160B| 352k  308k|48.0  2.00 | 536   839 |2.06 1.46 1.27|  0 1.0   0|   0     0 |keystone-manage      13845 12%1104k   0 |keystone-manage      138451104k   0  12%|mysqld       174M|   0     0 |  16    5    0    6    0
Mar 02 13:16:31 ubuntu dstat.sh[12450]: 02-03 13:16:31| 31   3  48  17   0| 617M  423M  137M 2666M|5054B 2160B| 152k    0 |12.0     0 | 590   744 |2.06 1.46 1.27|1.0   0   0|   0     0 |keystone-manage      13845 31%3375k  46k|keystone-manage      138453375k  46k 31%|mysqld       174M|   0     0 |  16    5    0    6    0
