-- Logs begin at Mon 2020-03-02 15:53:58 UTC, end at Mon 2020-03-02 17:45:05 UTC. --
Mar 02 16:56:24 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 02 16:56:24 ubuntu dstat.sh[12892]: [286B blob data]
Mar 02 16:56:24 ubuntu dstat.sh[12892]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 02 16:56:24 ubuntu dstat.sh[12892]: 02-03 16:56:24| 13   4  63  19   2| 453M  491M  109M 2658M|   0     0 | 142k 2443k|8.21  25.4 | 595  1045 |1.80 1.47 1.30|1.0   0  21|   0     0 |systemd              1    0.3%   0    0 |bash                 154561736k1612k0.2%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 02 16:56:25 ubuntu dstat.sh[12892]: 02-03 16:56:25| 13  35  36   3  13| 452M  491M  109M 2659M|4092B 1782B| 228k   11M|3.00  23.0 |1402  3077 |1.80 1.47 1.30|2.0   0 338|   0     0 |bash                 154567.5% 813k  21k|bash                 15456 813k  21k7.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 02 16:56:26 ubuntu dstat.sh[12892]: 02-03 16:56:26| 18  31  40   9   2| 461M  482M  109M 2659M|5741B 2106B|  52k   22M|1.00  29.0 |1559  3325 |1.80 1.47 1.30| 16   0 253|   0     0 |bash                 154564.0%2083k  16k|bash                 154562083k  16k4.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 02 16:56:27 ubuntu dstat.sh[12892]: 02-03 16:56:27| 25  32  38   0   5| 453M  490M  109M 2659M|3858B 1944B|   0    16k|   0  4.00 |1608  5384 |1.81 1.48 1.30|3.0   0 213|   0     0 |systemd              1     11%   0    0 |bash                 154561418k  13k3.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 02 16:56:28 ubuntu dstat.sh[12892]: 02-03 16:56:28| 22  16  57   0   4| 577M  366M  109M 2781M|4276B 1944B|   0     0 |   0     0 |1109  4379 |1.81 1.48 1.30|  0   0  49|   0     0 |systemd              1     19%   0    0 |bash                 15456 232k 656B  0%|mysqld       173M|   0     0 |  16    3    0    4    0
Mar 02 16:56:29 ubuntu dstat.sh[12892]: 02-03 16:56:29| 10  22  67   0   2| 579M  363M  109M 2781M|4985B 2038B|   0     0 |   0     0 |1185  2466 |1.81 1.48 1.30|5.0   0 220|   0     0 |bash                 154563.5% 370k  11k|bash                 15456 370k  11k3.5%|mysqld       173M|   0     0 |  16    5    0    4    0
Mar 02 16:56:30 ubuntu dstat.sh[12892]: 02-03 16:56:30| 40  11  40   8   1| 596M  346M  109M 2781M|4166B 1890B|   0   228k|   0  21.0 | 868  1480 |1.81 1.48 1.30|1.0 2.0  77|   0     0 |keystone-manage      14280 37%4590k  81k|keystone-manage      142804590k  81k 37%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 02 16:56:31 ubuntu dstat.sh[12892]: 02-03 16:56:31| 25   4  41  30   1| 611M  331M  109M 2781M|3289B 1998B| 228k  668k|38.0  61.0 | 599   765 |1.81 1.48 1.30|1.0   0   0|   0     0 |keystone-manage      14280 26%3540k  46k|keystone-manage      142803540k  46k 26%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 02 16:56:32 ubuntu dstat.sh[12892]: 02-03 16:56:32| 44   5  47   3   2| 635M  306M  110M 2782M|4639B 1944B| 572k    0 |41.0     0 | 657   876 |1.83 1.49 1.31|1.0   0 2.0|   0     0 |keystone-manage      14280 48%5993k 174k|keystone-manage      142805993k 174k 48%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 02 16:56:33 ubuntu dstat.sh[12892]: 02-03 16:56:33| 39   9  30  21   1| 651M  289M  110M 2783M|3334B 1944B|  88k 1032k|8.00  5.00 | 616  1399 |1.83 1.49 1.31|2.0 1.0   0|   0     0 |keystone-manage      14280 30%3038k 427k|keystone-manage      142803038k 427k 30%|mysqld       177M|   0     0 |  16    7    0    7    0
