-- Logs begin at Mon 2020-03-30 13:24:26 UTC, end at Mon 2020-03-30 15:27:32 UTC. --
Mar 30 14:11:39 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 30 14:11:39 ubuntu dstat.sh[2220]: [286B blob data]
Mar 30 14:11:39 ubuntu dstat.sh[2220]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 30 14:11:39 ubuntu dstat.sh[2220]: 30-03 14:11:39| 15   4  52  27   2| 419M  584M 84.1M 2645M|   0     0 | 232k 3331k|11.1  33.2 | 775  1369 |1.34 1.31 1.30|1.0   0  24|   0     0 |systemd              1    0.4%   0    0 |bash                 3765 2235k2068k0.2%|mysqld       173M|   0     0 |  13    3    0    5    0
Mar 30 14:11:40 ubuntu dstat.sh[2220]: 30-03 14:11:40| 16  36  39   1   7| 420M  583M 84.1M 2645M|3750B 1944B|   0   116k|   0  9.00 |1497  3820 |1.34 1.31 1.30|2.0   0 402|   0     0 |bash                 3765 7.0%1521k  26k|bash                 3765 1521k  26k7.0%|mysqld       173M|   0     0 |  13    3    0    5    0
Mar 30 14:11:41 ubuntu dstat.sh[2220]: 30-03 14:11:41| 20  25  40   9   6| 420M  583M 84.1M 2645M|3784B 2160B|   0    16k|   0  4.00 |1498  4707 |1.31 1.31 1.30|1.0   0 175|   0     0 |systemd              1    9.5%   0    0 |bash                 3765 1469k  11k3.0%|mysqld       173M|   0     0 |  13    3    0    5    0
Mar 30 14:11:42 ubuntu dstat.sh[2220]: 30-03 14:11:42| 24  32  39   5   2| 429M  574M 84.1M 2645M|4625B 2160B|   0   100k|   0  21.0 |1442  7003 |1.31 1.31 1.30| 13   0 234|   0     0 |systemd              1     10%   0    0 |bash                 3765 1412k  12k2.5%|mysqld       173M|   0     0 |  13    3    0    5    0
Mar 30 14:11:43 ubuntu dstat.sh[2220]: 30-03 14:11:43| 10  11  79   0   0| 544M  458M 84.1M 2767M|4959B 2160B|   0  1816k|   0  53.0 | 855  2087 |1.31 1.31 1.30|  0   0  24|   0     0 |systemd              1    8.0%   0    0 |bash                 3765  116k 392B  0%|mysqld       173M|   0     0 |  15    3    0    5    0
Mar 30 14:11:44 ubuntu dstat.sh[2220]: 30-03 14:11:44| 22  23  53   0   3| 551M  451M 84.1M 2767M|4558B 2160B|   0   288k|   0  24.0 |1622  3341 |1.31 1.31 1.30|1.0   0 296|   0     0 |keystone-manage      3623 6.0%1234k  81k|keystone-manage      3623 1234k  81k6.0%|mysqld       173M|   0     0 |  15    5    0    8    0
Mar 30 14:11:45 ubuntu dstat.sh[2220]: 30-03 14:11:45| 29   4  45  20   2| 566M  435M 84.2M 2768M|7189B 2160B| 388k  172k|22.0  2.00 | 682   924 |1.31 1.31 1.30|  0 1.0 2.0|   0     0 |keystone-manage      3623  31%3966k   0 |keystone-manage      3623 3966k   0  31%|mysqld       173M|   0     0 |  15    5    0    8    0
Mar 30 14:11:46 ubuntu dstat.sh[2220]: 30-03 14:11:46|  5   3  47  44   2| 567M  434M 84.2M 2768M|6735B 1944B| 288k    0 |37.0     0 | 464   920 |1.28 1.30 1.30|1.0   0   0|   0     0 |keystone-manage      3623 4.0% 175k   0 |keystone-manage      3623  175k   0 4.0%|mysqld       173M|   0     0 |  15    5    0    8    0
Mar 30 14:11:47 ubuntu dstat.sh[2220]: 30-03 14:11:47|  8   1  38  52   1| 570M  431M 84.4M 2768M|4393B 2160B| 492k  868k|79.0  12.0 | 578  1115 |1.28 1.30 1.30|  0 2.0   0|   0     0 |keystone-manage      3623 6.5% 645k   0 |keystone-manage      3623  645k   0 6.5%|mysqld       173M|   0     0 |  15    5    0    8    0
Mar 30 14:11:48 ubuntu dstat.sh[2220]: 30-03 14:11:48|  4   2  42  52   2| 571M  429M 84.5M 2769M|9540B 2106B| 280k 1600k|52.0  27.0 | 522   911 |1.28 1.30 1.30|  0 1.0   0|   0     0 |keystone-manage      3623 2.0% 244k   0 |keystone-manage      3623  244k   0 2.0%|mysqld       173M|   0     0 |  15    5    0    8    0
Mar 30 14:11:49 ubuntu dstat.sh[2220]: 30-03 14:11:49| 14   2  48  36   1| 580M  420M 84.7M 2769M|6472B 2214B| 280k    0 |45.0     0 | 460   921 |1.28 1.30 1.30|  0 1.0   0|   0     0 |keystone-manage      3623  14%1967k  46k|keystone-manage      3623 1967k  46k 14%|mysqld       173M|   0     0 |  15    5    0    8    0
