-- Logs begin at Mon 2020-03-30 11:29:51 UTC, end at Mon 2020-03-30 13:22:59 UTC. --
Mar 30 12:21:40 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 30 12:21:42 ubuntu dstat.sh[1372]: [286B blob data]
Mar 30 12:21:42 ubuntu dstat.sh[1372]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 30 12:21:42 ubuntu dstat.sh[1372]: 30-03 12:21:41| 13   4  60  21   1| 422M  728M 86.6M 2502M|   0     0 | 150k 2544k|8.47  29.6 | 654  1128 |1.75 1.48 1.30|4.0   0  21|   0     0 |systemd              1    0.4%   0    0 |bash                 4264 1992k1855k0.2%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 30 12:21:42 ubuntu dstat.sh[1372]: 30-03 12:21:42| 12  24  39  25   1| 421M  729M 86.6M 2502M|4095B 1944B| 280k  124k|4.00  10.0 | 899  2178 |1.75 1.48 1.30|  0 1.0 216|   0     0 |bash                 4264 3.0%1789k  14k|bash                 4264 1789k  14k3.0%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 30 12:21:43 ubuntu dstat.sh[1372]: 30-03 12:21:43| 23  24  43  10   1| 421M  729M 86.6M 2502M|5381B 2082B|   0    20k|   0  5.00 |1368  3406 |1.75 1.48 1.30|1.0   0 191|   0     0 |systemd              1     11%   0    0 |bash                 4264 1306k  12k2.5%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 30 12:21:44 ubuntu dstat.sh[1372]: 30-03 12:21:44| 27  29  39   0   4| 423M  727M 86.6M 2502M|9326B 2106B|   0  8192B|   0  2.00 |1876  5339 |1.93 1.52 1.31|1.0   0 145|   0     0 |systemd              1     22%   0    0 |bash                 4264  860k5723B1.0%|mysqld       173M|   0     0 |  16    3    0    5    0
Mar 30 12:21:45 ubuntu dstat.sh[1372]: 30-03 12:21:45|  8  13  78   0   2| 547M  603M 86.6M 2624M|5629B 2160B|   0     0 |   0     0 |1024  2202 |1.93 1.52 1.31|2.0   0 137|   0     0 |bash                 4264 3.0% 274k7176B|bash                 4264  274k7176B3.0%|mysqld       173M|   0     0 |  16    5    0    5    0
Mar 30 12:21:46 ubuntu dstat.sh[1372]: 30-03 12:21:46| 39  15  45   0   1| 562M  587M 86.6M 2624M|3216B 1944B|   0     0 |   0     0 | 954  2240 |1.93 1.52 1.31|1.0   0 164|   0     0 |keystone-manage      2778  30%3905k  81k|keystone-manage      2778 3905k  81k 30%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 30 12:21:47 ubuntu dstat.sh[1372]: 30-03 12:21:47| 13   2  47  38   1| 568M  581M 86.7M 2625M|4685B 2160B| 676k  268k|59.0  2.00 | 514   866 |1.93 1.52 1.31|  0 1.0   0|   0     0 |keystone-manage      2778  13%1466k   0 |keystone-manage      2778 1466k   0  13%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 30 12:21:48 ubuntu dstat.sh[1372]: 30-03 12:21:48|  5   1  48  45   0| 570M  578M 86.9M 2625M|4124B 2160B| 376k    0 |80.0     0 | 415   854 |1.93 1.52 1.31|  0 1.0   0|   0     0 |keystone-manage      2778 4.5% 484k   0 |keystone-manage      2778  484k   0 4.5%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 30 12:21:49 ubuntu dstat.sh[1372]: 30-03 12:21:49|  4   2  48  46   0| 572M  576M 87.1M 2625M|3551B 2160B| 420k    0 |72.0     0 | 435   872 |1.86 1.52 1.31|  0 1.0   0|   0     0 |keystone-manage      2778 3.0% 320k   0 |keystone-manage      2778  320k   0 3.0%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 30 12:21:50 ubuntu dstat.sh[1372]: 30-03 12:21:50|  7   2  48  44   0| 578M  570M 87.1M 2625M|3995B 2160B| 204k    0 |16.0     0 | 424   722 |1.86 1.52 1.31|1.0   0   0|   0     0 |keystone-manage      2778 7.5%1286k  46k|keystone-manage      2778 1286k  46k7.5%|mysqld       173M|   0     0 |  16    5    0    7    0
