"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","17 Dec 2019 01:48:36 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
17-12 01:48:36,18.853,5.086,61.553,14.098,0.411,474775552,646111232,110198784,2670227456,0,0,195396.098,2587102.552,10.302,38.150,884.466,1487.119,1.340,1.130,0.990,5,0,26.484,0,0,14,3,0,5,0
17-12 01:48:37,24.138,35.961,35.961,3.448,0.493,476049408,643682304,110215168,2671263744,5517,2430,819200,98304,10,9,1498,4221,1.340,1.130,0.990,3,0,405,0,0,14,3,0,4,0
17-12 01:48:38,27.320,34.536,37.629,0,0.515,476237824,643133440,110215168,2671665152,6475,2322,0,24576,0,6,2069,5558,1.340,1.130,0.990,1,0,276,0,0,14,3,0,4,0
17-12 01:48:39,30.457,32.995,36.041,0,0.508,520691712,598253568,110215168,2714738688,5164,2808,118784,8192,1,2,2420,6864,1.470,1.160,1,1,0,153,0,0,16,3,0,4,0
17-12 01:48:40,8.081,12.626,73.737,4.545,1.010,606822400,511754240,110215168,2800005120,5620,2430,0,2121728,0,22,938,1831,1.470,1.160,1,2,0,142,0,0,16,5,0,4,0
17-12 01:48:41,39.196,16.080,12.563,32.161,0,621490176,497029120,110215168,2800046080,7753,2700,0,1708032,0,150,1360,2222,1.470,1.160,1,2,0,156,0,0,16,5,0,6,0
17-12 01:48:42,16.162,2.525,36.869,43.939,0.505,632057856,485629952,110313472,2800779264,4774,2430,798720,286720,73,2,622,910,1.470,1.160,1,1,0,0,0,0,16,5,0,6,0
17-12 01:48:43,29.648,3.015,47.739,19.598,0,651272192,465788928,110379008,2801283072,8724,2700,442368,0,56,0,750,938,1.470,1.160,1,1,0,0,0,0,16,5,0,6,0
17-12 01:48:44,39.594,3.046,47.208,10.152,0,670646272,445063168,110407680,2802520064,5112,2700,946176,0,55,0,727,987,1.430,1.160,1,1,0,0,0,0,16,5,0,6,0
