"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","17 Mar 2020 21:31:52 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
17-03 21:31:52,11.273,3.236,68.728,15.566,1.197,447545344,629432320,148475904,2682982400,0,0,109606.409,2125562.470,5.160,24.229,539.895,980.610,1.550,1.130,0.720,2,0,16.547,0,0,14,3,0,4,0
17-03 21:31:53,21.569,34.314,36.765,0.980,6.373,442449920,633880576,148492288,2683228160,5083,2160,208896,106496,3,7,1451,3887,1.550,1.130,0.720,1,0,412,0,0,14,3,0,4,0
17-03 21:31:54,28.079,30.049,36.946,0,4.926,444481536,631615488,148492288,2683441152,7932,2052,0,24576,0,6,1561,4657,1.550,1.130,0.720,4,0,260,0,0,14,3,0,4,0
17-03 21:31:55,25.758,32.828,36.364,0.505,4.545,444583936,631451648,148492288,2683621376,4533,2052,0,36864,0,8,1540,5580,1.550,1.130,0.720,1,1,224,0,0,14,3,0,4,0
17-03 21:31:56,10.050,7.538,17.085,63.819,1.508,573272064,502288384,148492288,2811543552,4800,2106,0,192512,0,38,1038,2969,1.660,1.160,0.740,0,3,26,0,0,16,5,0,4,0
17-03 21:31:57,7.538,18.593,8.543,62.814,2.513,575365120,500178944,148492288,2811559936,4733,2214,77824,802816,1,75,1105,2496,1.660,1.160,0.740,4,1,207,0,0,16,5,0,4,0
17-03 21:31:58,36.634,11.386,16.337,31.683,3.960,589803520,485621760,148492288,2811674624,4452,1944,0,22032384,0,116,1086,1587,1.660,1.160,0.740,2,0,82,0,0,16,5,0,6,0
17-03 21:31:59,27.273,6.566,47.475,17.172,1.515,610332672,463941632,148496384,2812743680,5289,2160,1028096,14327808,84,15,751,927,1.660,1.160,0.740,1,0,0,0,0,16,5,0,6,0
17-03 21:32:00,43.564,5.446,46.040,2.970,1.980,632758272,440512512,148504576,2813652992,4063,2160,716800,0,50,0,702,940,1.660,1.160,0.740,1,0,2,0,0,16,5,0,6,0
17-03 21:32:01,38.693,10.050,36.181,14.573,0.503,659181568,412475392,148647936,2814820352,3112,2160,188416,1363968,14,27,900,1416,1.770,1.190,0.750,0,1,0,0,0,16,7,0,6,0
17-03 21:32:02,8.122,4.061,45.178,42.132,0.508,661565440,409636864,148770816,2815135744,5314,2160,0,1388544,0,98,720,1330,1.770,1.190,0.750,0,1,0,0,0,16,7,0,6,0
17-03 21:32:03,3.015,2.513,48.744,44.724,1.005,662110208,408584192,148897792,2815512576,3769,1944,0,2068480,0,95,714,1172,1.770,1.190,0.750,0,1,0,0,0,16,7,0,6,0
17-03 21:32:04,3.015,2.513,46.231,46.231,2.010,662253568,407879680,148996096,2815934464,5977,2160,0,1261568,0,87,776,1135,1.770,1.190,0.750,0,1,0,0,0,16,7,0,6,0
17-03 21:32:05,3,1,46,49.500,0.500,662663168,407265280,149098496,2816024576,5539,2160,0,843776,0,63,623,1047,1.770,1.190,0.750,0,1,0,0,0,16,7,0,6,0
17-03 21:32:06,4.500,4,47.500,43.500,0.500,663142400,406507520,149225472,2816172032,5599,2160,0,1302528,0,104,828,1361,1.790,1.210,0.760,0,1,0,0,0,16,7,0,6,0
17-03 21:32:07,8.955,6.468,45.771,37.313,1.493,663842816,405487616,149360640,2816356352,4819,2052,0,929792,0,98,846,1503,1.790,1.210,0.760,0,1,0,0,0,16,7,0,6,0
17-03 21:32:08,9.137,7.107,45.685,36.548,1.523,664559616,404529152,149544960,2816413696,4217,2268,0,1269760,0,120,976,1966,1.790,1.210,0.760,0,1,0,0,0,16,7,0,6,0
17-03 21:32:09,6.965,4.975,46.269,41.791,0,664690688,404119552,149712896,2816516096,5685,2040,0,1622016,0,121,925,1722,1.790,1.210,0.760,0,1,0,0,0,16,7,0,6,0
17-03 21:32:10,8.081,6.061,43.939,41.919,0,665653248,402972672,149872640,2816540672,3980,2160,0,1368064,0,113,871,1773,1.790,1.210,0.760,4,1,2,0,0,16,7,0,6,0
17-03 21:32:11,6.931,7.921,42.574,41.089,1.485,666259456,402309120,150044672,2816425984,6949,2106,0,1167360,0,93,792,1695,1.810,1.220,0.760,1,0,0,0,0,16,7,0,6,0
17-03 21:32:12,7.653,5.612,40.306,45.918,0.510,666767360,401448960,150192128,2816630784,4674,2160,0,897024,0,62,766,1430,1.810,1.220,0.760,0,1,0,0,0,16,7,0,6,0
17-03 21:32:13,12.438,12.438,24.876,48.756,1.493,666963968,401227776,150290432,2816557056,4941,2160,0,815104,0,62,814,1184,1.810,1.220,0.760,1,0,0,0,0,16,7,0,6,0
17-03 21:32:14,8.629,5.076,42.640,38.071,5.584,667246592,400568320,150441984,2816749568,4400,2160,0,4046848,0,129,1019,1889,1.810,1.220,0.760,1,0,0,0,0,16,7,0,6,0
17-03 21:32:15,2.041,4.082,37.245,55.102,1.531,668676096,330276864,150503424,2883903488,4938,2160,0,41603072,0,69,596,1047,1.810,1.220,0.760,0,2,0,0,0,16,7,0,6,0
17-03 21:32:16,3,2,38.500,55.500,1,668487680,330088448,150601728,2884161536,4930,1944,0,26968064,0,92,675,1173,1.820,1.230,0.770,0,1,0,0,0,16,7,0,6,0
17-03 21:32:17,5,2,46.500,44,2.500,668856320,329355264,150732800,2884390912,5572,2160,0,1040384,0,74,787,1335,1.820,1.230,0.770,0,1,0,0,0,16,7,0,6,0
17-03 21:32:18,3.980,3.980,43.284,42.289,6.468,669315072,328495104,150913024,2884595712,7571,2254,0,1355776,0,119,931,1839,1.820,1.230,0.770,0,1,0,0,0,16,7,0,6,0
17-03 21:32:19,5.366,4.878,43.415,42.439,3.902,669700096,327712768,151085056,2884788224,8387,1944,0,1363968,0,105,852,1510,1.820,1.230,0.770,0,1,0,0,0,16,7,0,6,0
17-03 21:32:20,3.030,1.515,37.879,57.071,0.505,670113792,327233536,151158784,2884775936,5165,2160,0,548864,0,41,624,1258,1.820,1.230,0.770,0,2,2,0,0,16,7,0,6,0
17-03 21:32:21,11.111,8.586,46.970,31.818,1.515,670273536,326664192,151355392,2884976640,6466,2160,0,1544192,0,120,681,1434,1.920,1.260,0.780,1,2,0,0,0,16,7,0,6,0
17-03 21:32:22,16.583,8.543,38.191,35.678,1.005,670650368,326057984,151531520,2885021696,4543,2160,0,1351680,0,105,853,1874,1.920,1.260,0.780,0,2,0,0,0,16,7,0,5,0
17-03 21:32:23,8.911,3.960,48.020,37.624,1.485,670973952,325378048,151695360,2885189632,4256,1944,0,1626112,0,109,698,1505,1.920,1.260,0.780,1,1,0,0,0,16,7,0,5,0
17-03 21:32:24,8.629,7.614,44.162,38.071,1.523,671420416,324833280,151818240,2885160960,5737,2160,0,2068480,0,130,775,1341,1.920,1.260,0.780,0,1,0,0,0,16,7,0,5,0
17-03 21:32:25,7,11.500,44.500,36,1,671506432,324517888,151986176,2885218304,3476,2160,0,1544192,0,119,736,1519,1.920,1.260,0.780,1,1,0,0,0,16,7,0,5,0
17-03 21:32:26,11,11,37.500,37,3.500,671858688,324014080,152158208,2885193728,5453,2160,0,1683456,0,127,947,1806,1.920,1.280,0.790,1,1,0,0,0,16,7,0,5,0
17-03 21:32:27,6.030,4.020,41.709,46.734,1.508,671985664,323526656,152281088,2885410816,4825,1944,0,1142784,0,83,799,1427,1.920,1.280,0.790,0,2,0,0,0,16,7,0,5,0
17-03 21:32:28,9.453,9.950,34.328,43.781,2.488,672096256,323211264,152416256,2885472256,5012,2160,0,1314816,0,91,856,1446,1.920,1.280,0.790,1,2,0,0,0,16,7,0,5,0
17-03 21:32:29,12,9,25,52,2,672206848,323096576,152514560,2885357568,4926,2160,0,1392640,0,135,901,1762,1.920,1.280,0.790,0,3,0,0,0,16,7,0,5,0
17-03 21:32:30,3.553,1.015,24.873,69.036,1.523,672178176,322924544,152584192,2885464064,5174,2160,0,1617920,0,121,687,1171,1.920,1.280,0.790,0,2,2,0,0,16,7,0,5,0
17-03 21:32:31,4.040,4.040,42.929,48.485,0.505,672436224,322445312,152674304,2885586944,3473,1944,0,1052672,0,61,638,1082,1.930,1.290,0.800,0,2,0,0,0,16,7,0,5,0
