-- Logs begin at Tue 2020-03-17 20:25:41 UTC, end at Tue 2020-03-17 23:29:28 UTC. --
Mar 17 21:31:51 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 17 21:31:52 ubuntu dstat.sh[926]: [286B blob data]
Mar 17 21:31:52 ubuntu dstat.sh[926]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 17 21:31:52 ubuntu dstat.sh[926]: 17-03 21:31:52| 11   3  69  16   1| 422M  605M  142M 2559M|   0     0 | 107k 2076k|5.16  24.2 | 540   981 |1.55 1.13 0.72|1.0   0  17|   0     0 |systemd              1    0.3%   0    0 |bash                 3836 1665k1574k0.1%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 17 21:31:53 ubuntu dstat.sh[926]: 17-03 21:31:53| 20  34  39   1   7| 422M  604M  142M 2559M|4999B 1944B| 204k  108k|3.00  8.00 |1437  3783 |1.55 1.13 0.72|1.0   0 400|   0     0 |bash                 3836 7.5%1254k  25k|bash                 3836 1254k  25k7.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 17 21:31:54 ubuntu dstat.sh[926]: 17-03 21:31:54| 28  31  37   0   5| 423M  604M  142M 2559M|7677B 2052B|   0    20k|   0  5.00 |1581  4686 |1.55 1.13 0.72|1.0   0 267|   0     0 |systemd              1     11%   0    0 |bash                 3836 1933k  16k4.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 17 21:31:55 ubuntu dstat.sh[926]: 17-03 21:31:55| 27  31  37   1   5| 424M  602M  142M 2559M|4715B 2268B|   0   108k|   0  22.0 |1524  5471 |1.55 1.13 0.72|1.0 1.0 209|   0     0 |systemd              1     15%   0    0 |bash                 3836 1293k  11k2.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 17 21:31:56 ubuntu dstat.sh[926]: 17-03 21:31:56|  8   8  15  69   1| 547M  479M  142M 2681M|5131B 1890B|   0   116k|   0  24.0 |1008  2974 |1.66 1.16 0.74|  0 3.0  26|   0     0 |systemd              1    4.5%   0    0 |bash                 3836  240k 592B  0%|mysqld       173M|   0     0 |  16    5    0    4    0
Mar 17 21:31:57 ubuntu dstat.sh[926]: 17-03 21:31:57|  8  21   9  59   3| 548M  478M  142M 2681M|4106B 2214B|  76k  984k|1.00  78.0 |1161  2693 |1.66 1.16 0.74|1.0 1.0 228|   0     0 |bash                 3836 4.5% 284k  13k|bash                 3836  284k  13k4.5%|mysqld       173M|   0     0 |  16    5    0    4    0
Mar 17 21:31:58 ubuntu dstat.sh[926]: 17-03 21:31:58| 38   9  18  31   4| 564M  461M  142M 2681M|4748B 2160B|   0    27M|   0   119 |1048  1397 |1.66 1.16 0.74|1.0   0  61|   0     0 |keystone-manage      2347  37%4014k  81k|keystone-manage      2347 4014k  81k 37%|mysqld       174M|   0     0 |  16    5    0    6    0
Mar 17 21:31:59 ubuntu dstat.sh[926]: 17-03 21:31:59| 27   7  47  17   2| 583M  441M  142M 2682M|5289B 2160B|1036k 7848k|88.0  9.00 | 749   929 |1.66 1.16 0.74|1.0   0   0|   0     0 |keystone-manage      2347  32%4282k  46k|keystone-manage      2347 4282k  46k 32%|mysqld       174M|   0     0 |  16    5    0    6    0
Mar 17 21:32:00 ubuntu dstat.sh[926]: 17-03 21:32:00| 44   5  46   3   2| 605M  419M  142M 2683M|3767B 1944B| 668k    0 |46.0     0 | 686   919 |1.66 1.16 0.74|1.0   0 2.0|   0     0 |keystone-manage      2347  48%5681k 144k|keystone-manage      2347 5681k 144k 48%|mysqld       174M|   0     0 |  16    5    0    6    0
Mar 17 21:32:01 ubuntu dstat.sh[926]: 17-03 21:32:01| 37  11  36  16   1| 629M  393M  142M 2684M|3112B 2160B| 184k 1348k|14.0  29.0 | 930  1492 |1.77 1.19 0.75|3.0   0   0|   0     0 |keystone-manage      2347  33%3273k 485k|keystone-manage      2347 3273k 485k 33%|mysqld       185M|   0     0 |  16    7    0    6    0
Mar 17 21:32:02 ubuntu dstat.sh[926]: 17-03 21:32:02|  8   4  46  43   1| 631M  391M  142M 2685M|5314B 2160B|   0  1396k|   0   100 | 705  1294 |1.77 1.19 0.75|  0 1.0   0|   0     0 |python2              1474 3.0%  23k  26k|python2              1474   23k  26k3.0%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 17 21:32:03 ubuntu dstat.sh[926]: 17-03 21:32:03|  3   2  49  45   1| 631M  390M  142M 2685M|4065B 2160B|   0  2036k|   0  95.0 | 710  1160 |1.77 1.19 0.75|  0 1.0   0|   0     0 |mysqld               326561.5%   0    0 |python2              1008   14k 464B0.5%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 17 21:32:04 ubuntu dstat.sh[926]: 17-03 21:32:04|  3   2  46  46   2| 632M  389M  142M 2685M|6390B 2160B|   0  1160k|   0  83.0 | 769  1114 |1.77 1.19 0.75|  0 1.0   0|   0     0 |kworker/1:1H         171  1.0%   0    0 |python2              1008   14k 464B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 17 21:32:05 ubuntu dstat.sh[926]: 17-03 21:32:05|  3   1  47  49   1| 632M  388M  142M 2686M|5310B 2160B|   0   936k|   0  68.0 | 640  1083 |1.77 1.19 0.75|  0 1.0   0|   0     0 |mysqld               326561.5%   0    0 |python2              1008   14k 451B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 17 21:32:06 ubuntu dstat.sh[926]: 17-03 21:32:06|  4   4  47  44   0| 633M  388M  142M 2686M|5119B 1944B|   0  1192k|   0   103 | 810  1336 |1.79 1.21 0.76|  0 1.0   0|   0     0 |mysqld               326564.0%   0    0 |python2              1008   14k 461B  0%|mysqld       188M|   0     0 |  16    7    0    6    0
Mar 17 21:32:07 ubuntu dstat.sh[926]: 17-03 21:32:07| 10   7  46  37   2| 633M  387M  142M 2686M|4819B 2052B|   0   924k|   0   101 | 860  1565 |1.79 1.21 0.76|1.0 1.0   0|   0     0 |mysqld               32656 13%   0    0 |python2              1008   14k 463B0.5%|mysqld       189M|   0     0 |  16    7    0    6    0
Mar 17 21:32:08 ubuntu dstat.sh[926]: 17-03 21:32:08|  8   7  46  37   2| 634M  386M  143M 2686M|4217B 2268B|   0  1468k|   0   119 | 971  1918 |1.79 1.21 0.76|  0 1.0   0|   0     0 |mysqld               32656 12%   0    0 |python2              1008   14k 465B  0%|mysqld       189M|   0     0 |  16    7    0    6    0
Mar 17 21:32:09 ubuntu dstat.sh[926]: 17-03 21:32:09|  8   6  46  40   0| 634M  385M  143M 2686M|6036B 2202B|   0  1376k|   0   123 | 950  1764 |1.79 1.21 0.76|2.0   0   0|   0     0 |mysqld               32656 11%   0    0 |python2              1008   14k 455B  0%|mysqld       189M|   0     0 |  16    7    0    6    0
Mar 17 21:32:10 ubuntu dstat.sh[926]: 17-03 21:32:10|  8   7  43  42   0| 635M  384M  143M 2686M|3851B 2160B|   0  1340k|   0   112 | 856  1755 |1.79 1.21 0.76|1.0 1.0 2.0|   0     0 |mysqld               32656 11%   0    0 |python2              1008   14k 467B0.5%|mysqld       190M|   0     0 |  16    7    0    6    0
Mar 17 21:32:11 ubuntu dstat.sh[926]: 17-03 21:32:11|  6   6  44  42   1| 635M  384M  143M 2686M|7023B 2160B|   0  1164k|   0  92.0 | 794  1868 |1.81 1.22 0.76|1.0   0   0|   0     0 |mysqld               326568.5%   0    0 |python2              1008   14k 464B0.5%|mysqld       191M|   0     0 |  16    7    0    6    0
Mar 17 21:32:12 ubuntu dstat.sh[926]: 17-03 21:32:12|  8   6  40  46   1| 636M  383M  143M 2686M|4766B 2160B|   0   784k|   0  57.0 | 746  1225 |1.81 1.22 0.76|1.0 1.0   0|   0     0 |mysqld               326569.5%   0    0 |python2              1008   14k 463B  0%|mysqld       191M|   0     0 |  16    7    0    6    0
Mar 17 21:32:13 ubuntu dstat.sh[926]: 17-03 21:32:13| 12  12  26  48   1| 636M  383M  143M 2686M|4849B 2160B|   0   880k|   0  65.0 | 831  1207 |1.81 1.22 0.76|  0 1.0   0|   0     0 |mysqld               32656 20%   0    0 |python2              1008   14k 465B  0%|mysqld       191M|   0     0 |  16    7    0    6    0
Mar 17 21:32:14 ubuntu dstat.sh[926]: 17-03 21:32:14|  8   5  42  39   6| 636M  382M  143M 2686M|4533B 1944B|   0  3904k|   0   127 | 998  1856 |1.81 1.22 0.76|  0 1.0   0|   0     0 |mysqld               326567.5%   0    0 |python2              1008   14k 466B0.5%|mysqld       191M|   0     0 |  16    7    0    6    0
Mar 17 21:32:15 ubuntu dstat.sh[926]: 17-03 21:32:15|  2   4  35  57   2| 638M  315M  144M 2750M|4569B 2160B|   0    46M|   0  73.0 | 596  1047 |1.81 1.22 0.76|  0 2.0   0|   0     0 |mysqld               326563.5%   0    0 |python2              1008   14k 465B  0%|mysqld       192M|   0     0 |  16    7    0    6    0
Mar 17 21:32:16 ubuntu dstat.sh[926]: 17-03 21:32:16|  3   2  41  53   1| 638M  315M  144M 2751M|5606B 2160B|   0    20M|   0  86.0 | 681  1179 |1.82 1.23 0.77|  0 1.0   0|   0     0 |beam.smp             1455 1.0%   0    0 |python2              1008   14k 453B  0%|mysqld       192M|   0     0 |  16    7    0    6    0
Mar 17 21:32:17 ubuntu dstat.sh[926]: 17-03 21:32:17|  5   2  47  44   2| 638M  314M  144M 2751M|5132B 2160B|   0  1112k|   0  81.0 | 812  1368 |1.82 1.23 0.77|1.0   0   0|   0     0 |mysqld               326563.0%   0    0 |python2              1008   14k 452B0.5%|mysqld       193M|   0     0 |  16    7    0    6    0
Mar 17 21:32:18 ubuntu dstat.sh[926]: 17-03 21:32:18|  4   4  43  42   6| 638M  313M  144M 2751M|7644B 2038B|   0  1276k|   0   116 | 905  1810 |1.82 1.23 0.77|1.0   0   0|   0     0 |mysqld               326565.0%   0    0 |python2              1008   14k 465B  0%|mysqld       193M|   0     0 |  16    7    0    6    0
Mar 17 21:32:19 ubuntu dstat.sh[926]: 17-03 21:32:19|  5   4  44  42   4| 639M  313M  144M 2751M|8314B 2160B|   0  1324k|   0   107 | 882  1574 |1.82 1.23 0.77|  0 1.0   0|   0     0 |mysqld               326565.5%   0    0 |python2              1008   14k 465B  0%|mysqld       193M|   0     0 |  16    7    0    6    0
Mar 17 21:32:20 ubuntu dstat.sh[926]: 17-03 21:32:20|  3   2  37  58   1| 639M  312M  144M 2751M|5578B 2160B|   0   516k|   0  36.0 | 602  1195 |1.82 1.23 0.77|  0 1.0 2.0|   0     0 |python2              1474 1.0% 364B 480B|python2              1008   14k 469B  0%|mysqld       193M|   0     0 |  16    7    0    6    0
Mar 17 21:32:21 ubuntu dstat.sh[926]: 17-03 21:32:21| 13   9  47  29   2| 639M  312M  144M 2751M|5757B 1944B|   0  1628k|   0   127 | 670  1436 |1.92 1.26 0.78|1.0 1.0   0|   0     0 |mysqld               32656 20%   0    0 |python2              1008   14k 472B  0%|mysqld       194M|   0     0 |  16    7    0    6    0
Mar 17 21:32:22 ubuntu dstat.sh[926]: 17-03 21:32:22| 15   8  38  39   1| 640M  311M  145M 2751M|4671B 2160B|   0  1372k|   0   104 | 856  1884 |1.92 1.26 0.78|  0 1.0   0|   0     0 |mysqld               32656 16%   0    0 |python2              1008   14k 466B0.5%|mysqld       194M|   0     0 |  16    7    0    5    0
Mar 17 21:32:23 ubuntu dstat.sh[926]: 17-03 21:32:23|  9   4  49  37   2| 640M  310M  145M 2752M|4424B 2160B|   0  1512k|   0   107 | 702  1514 |1.92 1.26 0.78|  0 1.0   0|   0     0 |mysqld               326567.5%   0    0 |python2              1008   14k 471B  0%|mysqld       194M|   0     0 |  16    7    0    5    0
Mar 17 21:32:24 ubuntu dstat.sh[926]: 17-03 21:32:24| 10   9  43  37   2| 640M  310M  145M 2752M|5737B 2160B|   0  2036k|   0   132 | 805  1355 |1.92 1.26 0.78|2.0   0   0|   0     0 |mysqld               32656 15%   0    0 |python2              1008   14k 465B  0%|mysqld       194M|   0     0 |  16    7    0    5    0
Mar 17 21:32:25 ubuntu dstat.sh[926]: 17-03 21:32:25|  7  12  45  36   1| 640M  310M  145M 2752M|3180B 1944B|   0  1508k|   0   121 | 727  1644 |1.92 1.26 0.78|1.0   0   0|   0     0 |mysqld               32656 16%   0    0 |python2              1008   14k 460B  0%|mysqld       194M|   0     0 |  16    7    0    5    0
Mar 17 21:32:26 ubuntu dstat.sh[926]: 17-03 21:32:26| 12  10  37  39   4| 641M  309M  145M 2752M|5950B 2160B|   0  1604k|   0   125 | 950  1697 |1.92 1.28 0.79|  0 1.0   0|   0     0 |mysqld               32656 17%   0    0 |python2              1008   14k 461B1.0%|mysqld       195M|   0     0 |  16    7    0    5    0
Mar 17 21:32:27 ubuntu dstat.sh[926]: 17-03 21:32:27|  5   4  43  47   2| 641M  309M  145M 2752M|4624B 2160B|   0  1104k|   0  77.0 | 765  1358 |1.92 1.28 0.79|  0 2.0   0|   0     0 |mysqld               326564.0%   0    0 |python2              1008   14k 464B  0%|mysqld       195M|   0     0 |  16    7    0    5    0
Mar 17 21:32:28 ubuntu dstat.sh[926]: 17-03 21:32:28| 11  10  32  44   2| 641M  308M  145M 2752M|5012B 2160B|   0  1324k|   0  96.0 | 880  1472 |1.92 1.28 0.79|1.0 1.0   0|   0     0 |mysqld               32656 20%   0    0 |python2              1008   14k 470B  0%|mysqld       195M|   0     0 |  16    7    0    5    0
Mar 17 21:32:29 ubuntu dstat.sh[926]: 17-03 21:32:29| 10   9  25  54   2| 641M  308M  145M 2752M|4630B 1944B|   0  1324k|   0   138 | 872  1728 |1.92 1.28 0.79|2.0 2.0   0|   0     0 |mysqld               32656 12%   0    0 |keystone-manage      2347   11k6053B4.5%|mysqld       195M|   0     0 |  16    7    0    5    0
