-- Logs begin at Tue 2020-03-17 20:22:19 UTC, end at Tue 2020-03-17 23:26:01 UTC. --
Mar 17 21:27:29 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 17 21:27:29 ubuntu dstat.sh[1066]: [286B blob data]
Mar 17 21:27:29 ubuntu dstat.sh[1066]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 17 21:27:29 ubuntu dstat.sh[1066]: 17-03 21:27:29| 11   3  69  15   1| 420M  331M  142M 2825M|   0     0 | 108k 2073k|5.20  24.8 | 542   976 |1.33 0.79 0.57|2.0   0  17|   0     0 |systemd              1    0.3%   0    0 |bash                 4023 1691k1598k0.1%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 17 21:27:30 ubuntu dstat.sh[1066]: 17-03 21:27:30| 20  38  37   3   3| 421M  330M  142M 2826M|5167B 2160B| 136k  112k|3.00  11.0 |1436  4048 |1.33 0.79 0.57|1.0   0 402|   0     0 |bash                 4023 6.5%2325k  27k|bash                 4023 2325k  27k6.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 17 21:27:31 ubuntu dstat.sh[1066]: 17-03 21:27:31| 26  32  36   0   6| 421M  330M  142M 2826M|4588B 1836B|   0    24k|   0  6.00 |1446  4970 |1.33 0.79 0.57|2.0   0 257|   0     0 |systemd              1     12%   0    0 |bash                 4023 1833k  16k3.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 17 21:27:32 ubuntu dstat.sh[1066]: 17-03 21:27:32| 27  25  38   0  10| 546M  204M  142M 2948M|5254B 2106B|   0     0 |   0     0 |1919  4766 |1.33 0.79 0.57|2.0   0  88|   0     0 |systemd              1     21%   0    0 |bash                 4023  374k2027B0.5%|mysqld       173M|   0     0 |  16    5    0    4    0
Mar 17 21:27:33 ubuntu dstat.sh[1066]: 17-03 21:27:33| 24  24  43   0   9| 556M  194M  142M 2948M|5029B 2106B|  80k    0 |1.00     0 |1572  3202 |1.39 0.81 0.57|1.0   0 288|   0     0 |keystone-manage      2477  12%2125k  81k|keystone-manage      2477 2125k  81k 12%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 17 21:27:34 ubuntu dstat.sh[1066]: 17-03 21:27:34| 36   5  47  10   1| 573M  176M  142M 2949M|4605B 2160B| 876k    0 |74.0     0 | 694   932 |1.39 0.81 0.57|  0 1.0   0|   0     0 |keystone-manage      2477  40%4135k   0 |keystone-manage      2477 4135k   0  40%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 17 21:27:36 ubuntu dstat.sh[1066]: 17-03 21:27:35| 12   2   6  79   1| 581M  168M  142M 2949M|3872B 1944B| 132k  796k|11.0  99.0 | 525   628 |1.39 0.81 0.57|  0 5.0   0|   0     0 |keystone-manage      2477  12%1838k  46k|keystone-manage      2477 1838k  46k 12%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 17 21:27:36 ubuntu dstat.sh[1066]: 17-03 21:27:36| 23   3  11  64   1| 588M  161M  142M 2949M|4704B 2160B|  52k   12M|6.00  39.0 | 580   688 |1.39 0.81 0.57|  0 1.0   0|   0     0 |keystone-manage      2477  22%1760k   0 |keystone-manage      2477 1760k   0  22%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 17 21:27:37 ubuntu dstat.sh[1066]: 17-03 21:27:37| 19   3  19  59   1| 598M  150M  142M 2950M|5890B 2106B| 592k   22M|43.0  24.0 | 543   746 |1.39 0.81 0.57|1.0   0   0|   0     0 |keystone-manage      2477  20%2674k 107k|keystone-manage      2477 2674k 107k 20%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 17 21:27:38 ubuntu dstat.sh[1066]: 17-03 21:27:38| 48   8  39   5   1| 619M  127M  142M 2951M|3970B 2214B| 184k  852k|14.0  6.00 | 715  1436 |1.35 0.81 0.58|2.0   0   0|   0     0 |keystone-manage      2477  40%4706k 494k|keystone-manage      2477 4706k 494k 40%|mysqld       177M|   0     0 |  16    7    0    6    0
