-- Logs begin at Wed 2020-03-18 22:18:59 UTC, end at Wed 2020-03-18 23:51:32 UTC. --
Mar 18 23:07:05 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 18 23:07:06 ubuntu dstat.sh[438]: [286B blob data]
Mar 18 23:07:06 ubuntu dstat.sh[438]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 18 23:07:06 ubuntu dstat.sh[438]: 18-03 23:07:06| 15   4  58  21   1| 422M  841M  140M 2331M|   0     0 | 160k 2438k|7.57  31.9 | 731  1236 |1.41 1.31 1.22|2.0   0  23|   0     0 |systemd              1    0.4%   0    0 |bash                 3310 2293k2163k0.2%|mysqld       174M|   0     0 |  14    3    0    4    0
Mar 18 23:07:07 ubuntu dstat.sh[438]: 18-03 23:07:07| 20  34  37   2   6| 422M  841M  140M 2331M|4873B 2160B| 168k  124k|3.00  9.00 |1519  3775 |1.41 1.31 1.22|2.0   0 415|   0     0 |bash                 3310 6.5%1809k  27k|bash                 3310 1809k  27k6.5%|mysqld       174M|   0     0 |  14    3    0    4    0
Mar 18 23:07:08 ubuntu dstat.sh[438]: 18-03 23:07:08| 24  32  38   0   6| 422M  841M  140M 2331M|4796B 2160B|   0    24k|   0  6.00 |1407  5498 |1.41 1.31 1.22|2.0   0 270|   0     0 |systemd              1    9.5%   0    0 |bash                 3310 1849k  17k3.5%|mysqld       174M|   0     0 |  14    3    0    4    0
Mar 18 23:07:09 ubuntu dstat.sh[438]: 18-03 23:07:09| 25  22  40  10   2| 423M  840M  140M 2331M|4966B 2160B|   0    33M|   0  35.0 |2188  4533 |1.37 1.31 1.22|1.0   0 131|   0     0 |systemd              1     14%   0    0 |bash                 3310  747k5433B1.0%|mysqld       174M|   0     0 |  14    3    0    4    0
Mar 18 23:07:10 ubuntu dstat.sh[438]: 18-03 23:07:10| 11  11  77   0   1| 548M  713M  140M 2453M|4605B 1944B|   0     0 |   0     0 | 903  1956 |1.37 1.31 1.22|1.0   0  47|   0     0 |systemd              1    7.0%   0    0 |bash                 3310  282k3050B1.0%|mysqld       174M|   0     0 |  16    5    0    4    0
Mar 18 23:07:11 ubuntu dstat.sh[438]: 18-03 23:07:11| 30  21  43   0   6| 558M  704M  140M 2454M|4575B 2202B|   0     0 |   0     0 |1351  3059 |1.37 1.31 1.22|1.0   0 266|   0     0 |keystone-manage      1863  18%2263k  81k|keystone-manage      1863 2263k  81k 18%|mysqld       174M|   0     0 |  16    5    0    6    0
Mar 18 23:07:12 ubuntu dstat.sh[438]: 18-03 23:07:12| 26   3  47  23   1| 569M  692M  140M 2454M|6993B 2160B| 596k  196k|39.0  2.00 | 650   901 |1.37 1.31 1.22|1.0   0   0|   0     0 |keystone-manage      1863  26%3112k   0 |keystone-manage      1863 3112k   0  26%|mysqld       174M|   0     0 |  16    5    0    6    0
Mar 18 23:07:13 ubuntu dstat.sh[438]: 18-03 23:07:13| 34   5  45  12   3| 588M  672M  140M 2455M|4574B 1944B| 464k 8024k|52.0  19.0 | 736  1036 |1.37 1.31 1.22|1.0   0 2.0|   0     0 |keystone-manage      1863  37%4463k  46k|keystone-manage      1863 4463k  46k 37%|mysqld       174M|   0     0 |  16    5    0    7    0
Mar 18 23:07:14 ubuntu dstat.sh[438]: 18-03 23:07:14| 28   4  47  19   2| 599M  661M  140M 2455M|4328B 2160B| 576k  224k|42.0  2.00 | 674   853 |1.58 1.35 1.24|1.0   0   0|   0     0 |keystone-manage      1863  30%2697k 107k|keystone-manage      1863 2697k 107k 30%|mysqld       174M|   0     0 |  16    5    0    7    0
Mar 18 23:07:15 ubuntu dstat.sh[438]: 18-03 23:07:15| 43   8  36  11   2| 620M  638M  140M 2457M|5228B 2160B| 264k  516k|15.0  2.00 |1008  1468 |1.58 1.35 1.24|2.0 1.0   0|   0     0 |keystone-manage      1863  39%4706k 494k|keystone-manage      1863 4706k 494k 39%|mysqld       178M|   0     0 |  16    7    0    6    0
Mar 18 23:07:16 ubuntu dstat.sh[438]: 18-03 23:07:16| 11   6  43  37   2| 630M  628M  141M 2457M|6557B 1944B|   0  1852k|   0   102 | 796  1598 |1.58 1.35 1.24|  0 1.0   0|   0     0 |python2              1611 6.5%  44k  48k|python2              1611   44k  48k6.5%|mysqld       186M|   0     0 |  16    7    0    6    0
Mar 18 23:07:17 ubuntu dstat.sh[438]: 18-03 23:07:17|  4   1  45  51   0| 630M  627M  141M 2457M|4656B 2160B|   0   916k|   0  65.0 | 518  1045 |1.58 1.35 1.24|  0 1.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              554    14k 453B  0%|mysqld       186M|   0     0 |  16    7    0    6    0
Mar 18 23:07:18 ubuntu dstat.sh[438]: 18-03 23:07:18|  4   0  47  48   1| 630M  627M  141M 2457M|5795B 2160B|   0  1232k|   0  92.0 | 657  1245 |1.58 1.35 1.24|  0 1.0   0|   0     0 |keystone-manage      1863 1.0%   0    0 |python2              554    14k 454B0.5%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 18 23:07:19 ubuntu dstat.sh[438]: 18-03 23:07:19|  2   1  36  60   1| 630M  627M  141M 2458M|6064B 1944B|   0   800k|   0  97.0 | 481   719 |1.58 1.35 1.24|  0 2.0   0|   0     0 |accounts-daemon      936  0.5%   0    0 |python2              554    14k 462B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 18 23:07:20 ubuntu dstat.sh[438]: 18-03 23:07:20|  1   2  48  50   0| 630M  626M  141M 2458M|7823B 2160B|   0   352k|   0  37.0 | 428   659 |1.70 1.38 1.25|  0 1.0   0|   0     0 |conntrackd           162160.5%   0    0 |python2              554    14k 452B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 18 23:07:21 ubuntu dstat.sh[438]: 18-03 23:07:21|  2   1  48  50   1| 630M  627M  141M 2458M|5747B 2160B|   0   868k|   0  74.0 | 391   634 |1.70 1.38 1.25|  0 1.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              554    14k 462B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 18 23:07:22 ubuntu dstat.sh[438]: 18-03 23:07:22|  2   1  37  59   1| 630M  626M  141M 2458M|6078B 2160B|   0  2144k|   0  29.0 | 466   954 |1.70 1.38 1.25|  0 1.0   0|   0     0 |rcu_sched            8    1.0%   0    0 |python2              554    14k 463B0.5%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 18 23:07:23 ubuntu dstat.sh[438]: 18-03 23:07:23|  3   1  48  49   1| 631M  626M  141M 2458M|4903B 2160B|   0   544k|   0  23.0 | 461   853 |1.70 1.38 1.25|  0 1.0 2.0|   0     0 |beam.smp             918  0.5%   0    0 |python2              554    14k 468B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 18 23:07:24 ubuntu dstat.sh[438]: 18-03 23:07:24|  2   1  46  51   1| 631M  625M  141M 2458M|6140B 2160B|   0  1220k|   0  51.0 | 492   901 |1.70 1.38 1.25|  0 1.0   0|   0     0 |keystone-manage      1863 0.5%   0    0 |python2              554    14k 463B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 18 23:07:25 ubuntu dstat.sh[438]: 18-03 23:07:25|  3   2  40  56   0| 631M  625M  141M 2458M|4220B 2052B|   0  3184k|   0  86.0 | 576  1002 |1.72 1.39 1.25|  0 1.0   0|   0     0 |python2              554  0.5%  14k 445B|python2              554    14k 445B0.5%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 18 23:07:26 ubuntu dstat.sh[438]: 18-03 23:07:26|  2   2  45  49   3| 631M  625M  141M 2458M|5084B 2052B|   0   564k|   0  37.0 | 525   936 |1.72 1.39 1.25|1.0 1.0   0|   0     0 |etcd                 1553 1.0%   0    0 |python2              554    14k 462B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 18 23:07:27 ubuntu dstat.sh[438]: 18-03 23:07:27|  1   2  48  49   1| 631M  624M  141M 2459M|6034B 2160B|   0   536k|   0  37.0 | 544  1024 |1.72 1.39 1.25|  0 1.0   0|   0     0 |conntrackd           162161.0%   0    0 |python2              554    14k 463B0.5%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 18 23:07:28 ubuntu dstat.sh[438]: 18-03 23:07:28|  7   6  34  53   1| 631M  624M  141M 2459M|5145B 2160B|   0   480k|   0  45.0 | 543  1093 |1.72 1.39 1.25|  0 1.0   0|   0     0 |mysqld               32174 10%   0    0 |python2              554    14k 463B  0%|mysqld       188M|   0     0 |  16    7    0    6    0
Mar 18 23:07:29 ubuntu dstat.sh[438]: 18-03 23:07:29|  7   7  37  47   1| 632M  624M  141M 2459M|3831B 2160B|   0   412k|   0  42.0 | 577  1277 |1.72 1.39 1.25|1.0 1.0   0|   0     0 |mysqld               32174 13%   0    0 |python2              554    14k 469B  0%|mysqld       188M|   0     0 |  16    7    0    6    0
Mar 18 23:07:30 ubuntu dstat.sh[438]: 18-03 23:07:30| 14  10  37  34   5| 632M  623M  141M 2459M|4721B 1944B|   0  1444k|   0  78.0 | 711  1309 |1.75 1.40 1.25|  0 3.0   0|   0     0 |mysqld               32174 21%   0    0 |python2              554    14k 466B0.5%|mysqld       188M|   0     0 |  16    7    0    6    0
Mar 18 23:07:31 ubuntu dstat.sh[438]: 18-03 23:07:31|  4   3  45  47   2| 632M  623M  141M 2459M|6909B 2160B|   0  1000k|   0  88.0 | 495   985 |1.75 1.40 1.25|  0 1.0   0|   0     0 |mysqld               321744.0%   0    0 |python2              554    14k 451B  0%|mysqld       188M|   0     0 |  16    7    0    6    0
Mar 18 23:07:32 ubuntu dstat.sh[438]: 18-03 23:07:32|  6  11  42  40   0| 633M  622M  141M 2459M|6016B 2160B|   0  1288k|   0   126 | 809  1817 |1.75 1.40 1.25|  0 1.0   0|   0     0 |mysqld               32174 14%   0    0 |python2              554    14k 466B  0%|mysqld       189M|   0     0 |  16    7    0    5    0
Mar 18 23:07:33 ubuntu dstat.sh[438]: 18-03 23:07:33| 10  11  47  32   1| 633M  621M  142M 2459M|5545B 1986B|   0  1084k|   0  92.0 | 713  1346 |1.75 1.40 1.25|  0 1.0 2.0|   0     0 |mysqld               32174 18%   0    0 |python2              554    14k 460B  0%|mysqld       189M|   0     0 |  16    7    0    5    0
Mar 18 23:07:34 ubuntu dstat.sh[438]: 18-03 23:07:34|  7   6  38  49   1| 634M  621M  142M 2459M|4920B 2160B|   0  9240k|   0   127 | 693  1381 |1.75 1.40 1.25|3.0 1.0   0|   0     0 |mysqld               32174 10%   0    0 |python2              554    14k 465B  0%|mysqld       189M|   0     0 |  16    7    0    5    0
Mar 18 23:07:35 ubuntu dstat.sh[438]: 18-03 23:07:35| 15  11  47  26   1| 634M  621M  142M 2459M|5741B 2160B|   0   708k|   0  55.0 | 610  1049 |1.77 1.41 1.26|  0 1.0   0|   0     0 |mysqld               32174 24%   0    0 |python2              554    14k 453B0.5%|mysqld       190M|   0     0 |  16    7    0    5    0
Mar 18 23:07:36 ubuntu dstat.sh[438]: 18-03 23:07:36|  5   5  42  43   5| 635M  620M  142M 2459M|4991B 2160B|   0  2364k|   0   107 | 789  1797 |1.77 1.41 1.26|  0 1.0   0|   0     0 |mysqld               321746.0%   0    0 |python2              554    14k 465B  0%|mysqld       190M|   0     0 |  16    7    0    5    0
Mar 18 23:07:37 ubuntu dstat.sh[438]: 18-03 23:07:37|  8   7  41  35   9| 635M  619M  142M 2459M|5902B 1944B|   0  1508k|   0   111 | 728  1677 |1.77 1.41 1.26|  0 1.0   0|   0     0 |mysqld               32174 15%   0    0 |python2              554    14k 465B  0%|mysqld       190M|   0     0 |  16    7    0    5    0
Mar 18 23:07:38 ubuntu dstat.sh[438]: 18-03 23:07:38|  7   8  37  36  11| 635M  619M  142M 2459M|4878B 2052B|   0   872k|   0  70.0 | 630  1268 |1.77 1.41 1.26|  0 1.0   0|   0     0 |mysqld               32174 15%   0    0 |python2              554    14k 470B0.5%|mysqld       191M|   0     0 |  16    7    0    5    0
Mar 18 23:07:39 ubuntu dstat.sh[438]: 18-03 23:07:39|  4   5  45  40   5| 636M  552M  142M 2523M|3737B 2146B|   0    12M|   0  69.0 | 586  1174 |1.77 1.41 1.26|  0 1.0   0|   0     0 |mysqld               321745.5%   0    0 |python2              554    14k 465B  0%|mysqld       192M|   0     0 |  16    7    0    5    0
Mar 18 23:07:40 ubuntu dstat.sh[438]: 18-03 23:07:40|  2   2  22  74   1| 636M  552M  142M 2523M|4970B 2160B|   0    53M|   0  60.0 |1494  3225 |1.70 1.40 1.26|  0 1.0   0|   0     0 |jbd2/vda1-8          301  0.5%   0    0 |python2              554    14k 466B0.5%|mysqld       192M|   0     0 |  16    7    0    5    0
Mar 18 23:07:41 ubuntu dstat.sh[438]: 18-03 23:07:41|  3   3  35  58   3| 636M  551M  143M 2523M|4538B 2160B|   0  1496k|   0   124 | 657  1191 |1.70 1.40 1.26|  0 1.0   0|   0     0 |mysqld               321741.5%   0    0 |python2              554    14k 465B  0%|mysqld       192M|   0     0 |  16    7    0    5    0
Mar 18 23:07:42 ubuntu dstat.sh[438]: 18-03 23:07:42|  2   2  46  47   2| 637M  551M  143M 2524M|5484B 1944B|   0  1024k|   0  68.0 | 639  1169 |1.70 1.40 1.26|  0 1.0   0|   0     0 |keystone-manage      1863 1.0%3060B1683B|python2              554    14k 464B  0%|mysqld       192M|   0     0 |  16    7    0    5    0
Mar 18 23:07:43 ubuntu dstat.sh[438]: 18-03 23:07:43|  6   5  43  44   2| 637M  550M  143M 2524M|6500B 2160B|   0   872k|   0  84.0 | 811  1424 |1.70 1.40 1.26|  0 1.0 2.0|   0     0 |mysqld               321747.0%   0    0 |python2              554    14k 471B0.5%|mysqld       193M|   0     0 |  16    7    0    5    0
Mar 18 23:07:44 ubuntu dstat.sh[438]: 18-03 23:07:44|  5   5  45  46   0| 637M  550M  143M 2524M|4729B 2160B|   0  1052k|   0  79.0 | 753  1335 |1.70 1.40 1.26|  0 1.0   0|   0     0 |mysqld               321745.0%   0    0 |python2              554    14k 454B0.5%|mysqld       193M|   0     0 |  16    7    0    5    0
Mar 18 23:07:45 ubuntu dstat.sh[438]: 18-03 23:07:45|  2   1  49  49   0| 637M  549M  143M 2524M|7806B 2160B|   0   260k|   0  17.0 | 426   709 |1.73 1.41 1.26|  0 1.0   0|   0     0 |beam.smp             918  0.5%   0    0 |python2              554    14k 452B  0%|mysqld       193M|   0     0 |  16    7    0    5    0
Mar 18 23:07:46 ubuntu dstat.sh[438]: 18-03 23:07:46|  2   2  30  66   1| 638M  549M  143M 2524M|5547B 2160B|   0  3732k|   0  58.0 | 488   906 |1.73 1.41 1.26|  0 1.0   0|   0     0 |mysqld               321741.5%   0    0 |python2              554    14k 463B  0%|mysqld       193M|   0     0 |  16    7    0    5    0
Mar 18 23:07:47 ubuntu dstat.sh[438]: 18-03 23:07:47|  4   2  45  49   0| 638M  549M  143M 2524M|6694B 2160B|   0  5000k|   0  88.0 | 777  1377 |1.73 1.41 1.26|  0 1.0   0|   0     0 |keystone-manage      1863 1.5%2553B1904B|python2              554    14k 454B0.5%|mysqld       193M|   0     0 |  16    7    0    5    0
Mar 18 23:07:48 ubuntu dstat.sh[438]: 18-03 23:07:48|  9   8  37  46   1| 638M  548M  143M 2524M|7128B 2160B|   0  1240k|   0  99.0 | 843  1415 |1.73 1.41 1.26|1.0 1.0   0|   0     0 |mysqld               32174 15%   0    0 |python2              554    14k 470B  0%|mysqld       193M|   0     0 |  16    7    0    5    0
Mar 18 23:07:49 ubuntu dstat.sh[438]: 18-03 23:07:49| 14  14  37  34   0| 638M  548M  143M 2524M|5572B 2160B|   0   988k|   0  93.0 | 933  1870 |1.73 1.41 1.26|  0 2.0   0|   0     0 |mysqld               32174 24%   0    0 |python2              554    14k 459B  0%|mysqld       193M|   0     0 |  16    7    0    5    0
