"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","18 Mar 2020 23:12:27 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
18-03 23:12:27,15.882,4.498,53.457,24.680,1.483,441708544,347406336,116785152,2981744640,0,0,193925.372,3533641.151,9.986,34.687,771.753,1551.897,1.210,1.170,1.180,1,1,23.458,0,0,13,3,0,4,0
18-03 23:12:28,17.085,35.678,38.191,0.503,8.543,442961920,346025984,116797440,2981793792,4037,2202,0,90112,0,9,1452,3449,1.210,1.170,1.180,4,0,375,0,0,13,3,0,4,0
18-03 23:12:29,25.248,32.178,37.129,0.495,4.950,441745408,347025408,116797440,2981994496,4449,2160,0,24576,0,6,1656,4538,1.210,1.170,1.180,2,0,276,0,0,13,3,0,4,0
18-03 23:12:30,31.658,27.638,36.181,0,4.523,573161472,215310336,116797440,3110031360,3414,2040,0,8192,0,2,1494,6849,1.210,1.170,1.180,0,0,168,0,0,15,3,0,4,0
18-03 23:12:31,6.796,11.650,74.757,0,6.796,573489152,214880256,116797440,3110035456,5352,2106,0,765952,0,5,908,1872,1.210,1.170,1.180,4,0,138,0,0,15,5,0,4,0
18-03 23:12:32,31.250,18.269,40.865,0,9.615,585199616,203038720,116797440,3110150144,5403,2160,0,0,0,0,1077,2131,1.190,1.160,1.180,1,0,160,0,0,15,5,0,6,0
18-03 23:12:33,31.401,5.314,42.995,14.493,5.797,606822400,180154368,116936704,3111243776,4768,1998,1159168,196608,116,2,726,1274,1.190,1.160,1.180,1,0,2,0,0,15,5,0,7,0
18-03 23:12:34,41.951,3.902,46.341,4.390,3.415,623415296,162627584,116940800,3112058880,5771,2106,651264,0,50,0,647,930,1.190,1.160,1.180,1,0,0,0,0,15,5,0,7,0
18-03 23:12:35,45.098,8.333,38.725,3.431,4.412,650063872,134389760,117039104,3113136128,4644,2160,192512,1032192,15,4,855,1310,1.190,1.160,1.180,0,2,0,0,0,15,7,0,6,0
18-03 23:12:36,11.823,10.837,29.064,35.468,12.808,660205568,123473920,117297152,3113619456,5158,2160,0,1884160,0,130,828,1561,1.190,1.160,1.180,0,5,0,0,0,15,7,0,6,0
18-03 23:12:37,2.439,2.439,0,92.195,2.927,660189184,123478016,117301248,3113627648,11001,1944,0,962560,0,143,649,730,1.340,1.190,1.190,0,5,0,0,0,15,7,0,6,0
18-03 23:12:38,3.922,2.451,28.922,60.784,3.922,660455424,122720256,117460992,3113930752,6479,2160,0,2023424,0,134,697,1197,1.340,1.190,1.190,0,1,0,0,0,15,7,0,6,0
18-03 23:12:39,3.980,2.488,45.771,44.776,2.985,660897792,121729024,117702656,3114225664,7604,2160,0,1605632,0,114,684,1413,1.340,1.190,1.190,0,1,0,0,0,15,7,0,6,0
18-03 23:12:40,5.314,5.797,46.377,41.063,1.449,661630976,120410112,117948416,3114549248,4214,1944,0,1613824,0,130,744,1648,1.340,1.190,1.190,0,1,0,0,0,15,7,0,6,0
18-03 23:12:41,11.765,8.824,38.235,31.863,9.314,662425600,119332864,118210560,3114569728,5765,2160,0,1294336,0,133,912,2022,1.340,1.190,1.190,0,1,0,0,0,15,7,0,6,0
18-03 23:12:42,8.416,8.911,42.574,35.644,4.455,662921216,118378496,118415360,3114819584,4705,2160,0,1032192,0,93,766,1629,1.390,1.210,1.190,0,1,0,0,0,15,7,0,6,0
18-03 23:12:43,17.647,14.706,40.686,21.569,5.392,663777280,117260288,118706176,3114786816,3337,1944,0,1482752,0,135,838,1788,1.390,1.210,1.190,0,1,2,0,0,15,7,0,6,0
18-03 23:12:44,7.960,6.468,43.781,34.826,6.965,664064000,116731904,118915072,3114819584,4598,2160,0,1245184,0,99,629,1450,1.390,1.210,1.190,2,2,0,0,0,15,7,0,6,0
18-03 23:12:45,14.904,12.500,38.942,21.635,12.019,664948736,115617792,119136256,3114827776,4603,1944,0,1404928,0,110,826,2157,1.390,1.210,1.190,1,0,0,0,0,15,7,0,6,0
18-03 23:12:46,9.950,7.463,33.831,39.303,9.453,665423872,114761728,119410688,3114934272,4658,2160,0,1785856,0,132,816,1854,1.390,1.210,1.190,0,1,0,0,0,15,7,0,6,0
