-- Logs begin at Wed 2020-02-19 00:44:41 UTC, end at Wed 2020-02-19 02:28:12 UTC. --
Feb 19 01:37:05 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Feb 19 01:37:06 ubuntu dstat.sh[1413]: [286B blob data]
Feb 19 01:37:06 ubuntu dstat.sh[1413]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Feb 19 01:37:06 ubuntu dstat.sh[1413]: 19-02 01:37:06| 15   4  52  27   2| 459M  701M  135M 2430M|   0     0 | 150k 2480k|6.87  30.2 | 696  1173 |1.52 1.59 1.45|2.0   0  21|   0     0 |systemd              1    0.3%   0    0 |bash                 4482 2022k1834k0.2%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 19 01:37:07 ubuntu dstat.sh[1413]: 19-02 01:37:07| 10  28  23  12  27| 459M  700M  135M 2431M|5764B 2916B| 888k  148k|9.00  8.00 |1196  2770 |1.71 1.63 1.47|1.0   0 274|   0     0 |bash                 4482 7.5%1170k  18k|bash                 4482 1170k  18k7.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 19 01:37:08 ubuntu dstat.sh[1413]: 19-02 01:37:08| 19  26  32   0  23| 460M  698M  135M 2431M|7014B 3240B|   0    20k|   0  5.00 |1075  3633 |1.71 1.63 1.47|2.0   0 207|   0     0 |systemd              1    6.5%   0    0 |bash                 4482 1570k  12k3.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 19 01:37:09 ubuntu dstat.sh[1413]: 19-02 01:37:09| 23  26  36   0  15| 460M  698M  135M 2431M|7013B 3240B|   0    16k|   0  4.00 |1606  5398 |1.71 1.63 1.47|3.0   0 208|   0     0 |systemd              1     12%   0    0 |bash                 4482 1418k  13k3.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 19 01:37:10 ubuntu dstat.sh[1413]: 19-02 01:37:10| 17  17  47   0  20| 585M  573M  135M 2553M|6202B 3024B|   0     0 |   0     0 |1286  4321 |1.71 1.63 1.47|1.0   0  54|   0     0 |systemd              1     15%   0    0 |bash                 4482  232k 656B0.5%|mysqld       173M|   0     0 |  16    3    0    4    0
Feb 19 01:37:11 ubuntu dstat.sh[1413]: 19-02 01:37:11| 15  26  37   3  19| 585M  573M  135M 2553M|  10k 3240B|   0    30M|   0  31.0 |1689  3644 |1.71 1.63 1.47|2.0   0 295|   0     0 |bash                 4482 7.0% 601k  18k|bash                 4482  601k  18k7.0%|mysqld       173M|   0     0 |  16    5    0    6    0
Feb 19 01:37:12 ubuntu dstat.sh[1413]: 19-02 01:37:12| 37   7  47   7   3| 606M  551M  135M 2554M|6960B 3132B| 400k 3000k|32.0  5.00 | 758   980 |1.66 1.62 1.46|2.0   0 1.0|   0     0 |keystone-manage      2818  43%5226k  81k|keystone-manage      2818 5226k  81k 43%|mysqld       173M|   0     0 |  16    5    0    6    0
Feb 19 01:37:13 ubuntu dstat.sh[1413]: 19-02 01:37:13| 37   3  47   9   4| 625M  532M  135M 2554M|6886B 3078B| 464k    0 |52.0     0 | 725  1016 |1.66 1.62 1.46|3.0   0   0|   0     0 |keystone-manage      2818  39%4458k  46k|keystone-manage      2818 4458k  46k 39%|mysqld       173M|   0     0 |  16    5    0    6    0
Feb 19 01:37:14 ubuntu dstat.sh[1413]: 19-02 01:37:14| 42   5  44   3   6| 648M  508M  135M 2555M|6516B 3186B| 660k    0 |48.0     0 | 784   961 |1.66 1.62 1.46|1.0   0   0|   0     0 |keystone-manage      2818  46%5849k 231k|keystone-manage      2818 5849k 231k 46%|mysqld       173M|   0     0 |  16    5    0    6    0
Feb 19 01:37:15 ubuntu dstat.sh[1413]: 19-02 01:37:15| 26  10  31  18  15| 664M  490M  135M 2556M|7304B 3240B| 100k 1264k|8.00  24.0 |1076  1554 |1.66 1.62 1.46|2.0   0   0|   0     0 |keystone-manage      2818  25%1509k 370k|keystone-manage      2818 1509k 370k 25%|mysqld       184M|   0     0 |  16    7    0    6    0
Feb 19 01:37:16 ubuntu dstat.sh[1413]: 19-02 01:37:16|  9   4  16  56  14| 667M  487M  135M 2556M|5235B 3024B|   0  1228k|   0  88.0 | 780  1113 |1.66 1.62 1.46|3.0 2.0   0|   0     0 |keystone-manage      2818 9.5%  38k  53k|keystone-manage      2818   38k  53k9.5%|mysqld       186M|   0     0 |  16    7    0    6    0
Feb 19 01:37:17 ubuntu dstat.sh[1413]: 19-02 01:37:17|  2   1  19  73   4| 667M  487M  135M 2556M|5263B 2970B|   0  1744k|   0   147 | 525   640 |1.76 1.64 1.47|  0 3.0 2.0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              1598   14k   0 0.5%|mysqld       186M|   0     0 |  16    7    0    6    0
Feb 19 01:37:19 ubuntu dstat.sh[1413]: 19-02 01:37:18|  2   1   1  91   5| 667M  487M  135M 2556M|5637B 3078B|  64k 8356k|1.00   107 | 473   676 |1.76 1.64 1.47|2.0 3.0   0|   0     0 |beam.smp             1689 1.0%   0    0 |python2              1598   14k 961B  0%|mysqld       186M|   0     0 |  16    7    0    6    0
Feb 19 01:37:19 ubuntu dstat.sh[1413]: 19-02 01:37:19|  2   1  12  79   6| 667M  487M  135M 2556M|6425B 3240B|   0  1292k|   0  88.0 | 584   802 |1.76 1.64 1.47|1.0 1.0   0|   0     0 |beam.smp             1689 1.5%   0    0 |python2              1598   14k 469B  0%|mysqld       186M|   0     0 |  16    7    0    6    0
Feb 19 01:37:21 ubuntu dstat.sh[1413]: 19-02 01:37:20|  1   1   5  89   3| 667M  486M  135M 2557M|5683B 2916B|   0   180k|   0  11.0 | 437   773 |1.76 1.64 1.47|1.0 5.0 2.0|   0     0 |mysqld               669  0.5%   0    0 |python2              1598   14k 473B0.5%|mysqld       186M|   0     0 |  16    7    0    6    0
Feb 19 01:37:21 ubuntu dstat.sh[1413]: 19-02 01:37:21|  3   1  19  74   3| 667M  486M  135M 2557M|7257B 3240B|   0   552k|   0  26.0 | 502   828 |1.76 1.64 1.47|2.0 1.0   0|   0     0 |beam.smp             1689 2.0%   0    0 |python2              1598   14k 448B0.5%|mysqld       186M|   0     0 |  16    7    0    6    0
