-- Logs begin at Tue 2020-03-31 15:20:53 UTC, end at Tue 2020-03-31 17:08:59 UTC. --
Mar 31 16:03:10 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 31 16:03:11 ubuntu dstat.sh[1661]: [286B blob data]
Mar 31 16:03:11 ubuntu dstat.sh[1661]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 31 16:03:11 ubuntu dstat.sh[1661]: 31-03 16:03:11| 16   5  54  23   2| 420M  731M 87.1M 2501M|   0     0 | 183k 2906k|10.4  35.4 | 810  1385 |1.42 1.28 1.26|2.0   0  26|   0     0 |systemd              1    0.4%   0    0 |bash                 4275 2441k2269k0.2%|mysqld       174M|   0     0 |  14    3    0    5    0
Mar 31 16:03:12 ubuntu dstat.sh[1661]: 31-03 16:03:12| 19  37  36   3   4| 421M  730M 87.1M 2502M|7069B 2160B| 280k  128k|4.00  9.00 |1404  3844 |1.42 1.28 1.26|2.0   0 403|   0     0 |bash                 4275 7.5%1524k  26k|bash                 4275 1524k  26k7.5%|mysqld       174M|   0     0 |  14    3    0    5    0
Mar 31 16:03:13 ubuntu dstat.sh[1661]: 31-03 16:03:13|  6  11  25  57   0| 420M  730M 87.1M 2502M|4131B 1944B|   0  1012k|   0  87.0 | 626  1133 |1.42 1.28 1.26|1.0 3.0  94|   0     0 |bash                 4275 1.0% 833k6379B|bash                 4275  833k6379B1.0%|mysqld       174M|   0     0 |  14    3    0    5    0
Mar 31 16:03:14 ubuntu dstat.sh[1661]: 31-03 16:03:14|  4   7   4  85   1| 421M  730M 87.1M 2502M|4770B 1944B|   0    12M|   0  33.0 | 410   752 |1.42 1.28 1.26|1.0 3.0  47|   0     0 |bash                 4275 1.0% 418k3209B|bash                 4275  418k3209B1.0%|mysqld       174M|   0     0 |  14    3    0    5    0
Mar 31 16:03:15 ubuntu dstat.sh[1661]: 31-03 16:03:15|  2   1   0  97   0| 421M  730M 87.1M 2502M|4726B 2160B|   0    12M|   0  18.0 | 257   312 |1.54 1.31 1.27|  0 3.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              1791   13k 446B0.5%|mysqld       174M|   0     0 |  14    3    0    5    0
Mar 31 16:03:16 ubuntu dstat.sh[1661]: 31-03 16:03:16| 24  25  39  11   2| 422M  729M 87.1M 2502M|4070B 1944B|   0    17M|   0  31.0 |1404  3642 |1.54 1.31 1.27|  0   0 214|   0     0 |systemd              1    9.5%   0    0 |bash                 4275 1516k  13k2.5%|mysqld       174M|   0     0 |  14    3    0    5    0
Mar 31 16:03:17 ubuntu dstat.sh[1661]: 31-03 16:03:17| 26  21  52   0   2| 545M  605M 87.1M 2624M|4896B 2160B|   0    84k|   0  2.00 |2317  6343 |1.54 1.31 1.27|  0   0  81|   0     0 |systemd              1     20%   0    0 |bash                 4275  232k 656B  0%|mysqld       174M|   0     0 |  16    3    0    5    0
Mar 31 16:03:18 ubuntu dstat.sh[1661]: 31-03 16:03:18| 18  25  55   0   2| 551M  598M 87.1M 2624M|4419B 1944B|   0     0 |   0     0 |1400  3147 |1.54 1.31 1.27|1.0   0 296|   0     0 |keystone-manage      3064 5.5%1206k  81k|keystone-manage      3064 1206k  81k5.5%|mysqld       174M|   0     0 |  16    5    0    9    0
Mar 31 16:03:19 ubuntu dstat.sh[1661]: 31-03 16:03:19| 29   4  48  18   1| 567M  583M 87.3M 2625M|3604B 2160B| 548k    0 |60.0     0 | 637   990 |1.54 1.31 1.27|1.0   0   0|   0     0 |keystone-manage      3064  30%3998k   0 |keystone-manage      3064 3998k   0  30%|mysqld       174M|   0     0 |  16    5    0    9    0
Mar 31 16:03:20 ubuntu dstat.sh[1661]: 31-03 16:03:20| 11   3  47  38   2| 570M  579M 87.5M 2625M|7703B 1944B| 628k    0 |95.0     0 | 664  1033 |1.58 1.32 1.27|  0 1.0   0|   0     0 |keystone-manage      3064  11% 733k   0 |keystone-manage      3064  733k   0  11%|mysqld       174M|   0     0 |  16    5    0    9    0
Mar 31 16:03:21 ubuntu dstat.sh[1661]: 31-03 16:03:21|  5   1  50  45   0| 571M  577M 87.5M 2625M|6030B 1890B| 224k    0 |27.0     0 | 457   813 |1.58 1.32 1.27|  0 1.0   0|   0     0 |keystone-manage      3064 3.0% 323k   0 |keystone-manage      3064  323k   0 3.0%|mysqld       174M|   0     0 |  16    5    0    9    0
Mar 31 16:03:22 ubuntu dstat.sh[1661]: 31-03 16:03:22| 31   3  48  17   0| 586M  562M 87.5M 2625M|5848B 2214B| 236k  400k|25.0  2.00 | 620   858 |1.58 1.32 1.27|1.0   0   0|   0     0 |keystone-manage      3064  32%3574k  46k|keystone-manage      3064 3574k  46k 32%|mysqld       174M|   0     0 |  16    5    0    9    0
Mar 31 16:03:23 ubuntu dstat.sh[1661]: 31-03 16:03:23| 37   3  48  12   1| 602M  545M 87.5M 2626M|5683B 2160B| 644k    0 |47.0     0 | 678   912 |1.58 1.32 1.27|  0 1.0   0|   0     0 |keystone-manage      3064  37%4689k 174k|keystone-manage      3064 4689k 174k 37%|mysqld       174M|   0     0 |  16    5    0    9    0
