"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","14 Jan 2020 05:20:05 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
14-01 05:20:05,15.294,4.286,55.879,22.864,1.677,473120768,1027985408,109858816,2307059712,0,0,232806.545,3011470.350,9.962,32.614,765.920,1252.217,1.160,1.150,1.120,3,0,21.306,0,0,14,3,0,4,0
14-01 05:20:06,19.024,31.220,34.634,3.902,11.220,471642112,1028984832,109875200,2307231744,6585,2646,0,81920,0,8,1445,3808,1.060,1.130,1.110,2,0,391,0,0,14,3,0,4,0
14-01 05:20:07,26.108,33.005,37.438,0,3.448,472076288,1028280320,109875200,2307518464,6897,2160,0,24576,0,6,1978,5657,1.060,1.130,1.110,1,0,256,0,0,14,3,0,4,0
14-01 05:20:08,26.396,31.472,39.086,0,3.046,472862720,1027387392,109875200,2307690496,5336,2646,0,12288,0,3,2326,6649,1.060,1.130,1.110,1,0,192,0,0,14,3,0,4,0
14-01 05:20:09,11.165,17.476,60.194,5.340,5.825,603291648,896581632,109875200,2435649536,6647,2214,0,204800,0,18,1476,2833,1.060,1.130,1.110,4,1,151,0,0,16,5,0,4,0
14-01 05:20:10,7.389,11.330,5.911,73.399,1.970,603262976,896577536,109875200,2435682304,4840,2700,0,303104,0,49,749,1700,1.060,1.130,1.110,0,2,126,0,0,16,7,0,4,0
14-01 05:20:11,14.213,4.569,2.030,79.188,0,613896192,885829632,109899776,2435772416,5552,2430,0,630784,0,67,644,988,1.300,1.170,1.130,1,1,38,0,0,16,5,0,6,0
14-01 05:20:12,39.801,5.473,45.771,5.970,2.985,632287232,867201024,109924352,2435985408,6088,2268,135168,34127872,11,34,708,819,1.300,1.170,1.130,1,0,0,0,0,16,5,0,6,0
14-01 05:20:13,41.872,4.926,46.305,4.433,2.463,653873152,844627968,109944832,2436849664,5802,2592,626688,0,44,0,715,1096,1.300,1.170,1.130,1,0,0,0,0,16,5,0,6,0
14-01 05:20:14,39,6,47,5.500,2.500,677175296,819994624,110071808,2437722112,4660,2268,110592,0,11,0,620,884,1.300,1.170,1.130,1,0,0,0,0,16,5,0,6,0
14-01 05:20:15,14.070,7.538,29.146,48.241,1.005,681066496,815841280,110092288,2437926912,8010,2862,0,1433600,0,6,735,1357,1.300,1.170,1.130,0,1,0,0,0,16,7,0,6,0
14-01 05:20:16,8,4.500,43.500,43,1,691093504,805511168,110145536,2438176768,5695,2160,0,700416,0,28,553,1102,1.360,1.190,1.130,0,1,2,0,0,16,7,0,6,0
