"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","19 Mar 2020 15:03:07 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
19-03 15:03:07,14.637,4.108,58.665,21.320,1.270,443138048,997068800,146976768,2331590656,0,0,157270.439,2821841.520,7.283,31.756,712.192,1258.765,1.190,1.240,1.150,2,0,21.646,0,0,14,3,0,4,0
19-03 15:03:08,18.905,39.801,38.308,1.493,1.493,442843136,997015552,146984960,2331832320,4617,1998,258048,114688,4,8,1514,3992,1.190,1.240,1.150,2,0,426,0,0,14,3,0,4,0
19-03 15:03:09,13.930,20.398,29.353,33.831,2.488,443129856,996532224,146984960,2332078080,3482,2364,0,9650176,0,109,1105,3172,1.190,1.240,1.150,5,1,188,0,0,14,3,0,4,0
19-03 15:03:10,30.151,32.663,34.171,0,3.015,443940864,995651584,146984960,2332000256,2973,1986,0,26886144,0,38,1708,4930,1.500,1.310,1.170,1,0,235,0,0,14,3,0,4,0
19-03 15:03:11,19,16.500,63,0,1.500,573505536,865771520,146984960,2460037120,4197,2160,0,0,0,0,1174,2788,1.500,1.310,1.170,0,0,51,0,0,16,3,0,4,0
19-03 15:03:12,15.657,21.212,60.101,0,3.030,574578688,864698368,146984960,2460037120,3898,2160,0,0,0,0,1316,3160,1.500,1.310,1.170,4,0,289,0,0,16,5,0,6,0
19-03 15:03:13,43.564,6.436,47.030,1.980,0.990,597352448,841662464,146989056,2460295168,3794,1944,212992,172032,11,2,587,896,1.500,1.310,1.170,0,1,8,0,0,16,5,0,6,0
19-03 15:03:14,36,3.500,48.500,10.500,1.500,617857024,820080640,146997248,2461306880,4621,2160,872448,0,80,0,608,850,1.500,1.310,1.170,1,0,0,0,0,16,5,0,6,0
19-03 15:03:15,17.910,1.493,31.841,47.264,1.493,622301184,814870528,146997248,2461925376,3921,1944,565248,372736,39,61,574,700,1.460,1.300,1.170,0,1,0,0,0,16,5,0,6,0
19-03 15:03:16,13.636,1.515,47.980,36.869,0,631033856,805826560,147005440,2462228480,4230,2160,102400,458752,4,36,459,628,1.460,1.300,1.170,1,0,0,0,0,16,5,0,6,0
19-03 15:03:17,38.916,10.345,37.931,10.837,1.970,651661312,783798272,147152896,2463252480,5807,2160,188416,1241088,14,19,894,1403,1.460,1.300,1.170,0,1,0,0,0,16,7,0,6,0
19-03 15:03:18,9.500,5.500,44.500,40,0.500,661454848,773230592,147320832,2463838208,3969,2160,0,1454080,0,105,786,1490,1.460,1.300,1.170,1,0,0,0,0,16,7,0,6,0
19-03 15:03:19,3.030,1.515,46.465,47.475,1.515,662085632,772259840,147427328,2464051200,7003,2254,0,1175552,0,82,680,1221,1.460,1.300,1.170,0,1,2,0,0,16,7,0,6,0
19-03 15:03:20,2.010,1.508,45.729,50.251,0.503,662355968,771715072,147533824,2464206848,6437,2160,0,1142784,0,66,588,1017,1.500,1.310,1.180,0,2,0,0,0,16,7,0,6,0
19-03 15:03:21,3.535,0.505,47.980,47.475,0.505,662724608,770830336,147685376,2464563200,4483,1944,0,1576960,0,118,698,1366,1.500,1.310,1.180,0,1,0,0,0,16,7,0,6,0
19-03 15:03:22,6.599,5.076,43.147,45.178,0,663404544,769753088,147853312,2464772096,3577,2160,0,1269760,0,107,691,1510,1.500,1.310,1.180,0,1,0,0,0,16,7,0,7,0
19-03 15:03:23,10.345,9.852,30.542,43.350,5.911,663842816,769056768,148021248,2464862208,4247,2160,0,1011712,0,106,726,1656,1.500,1.310,1.180,1,1,0,0,0,16,7,0,6,0
19-03 15:03:24,7.960,7.463,46.269,33.831,4.478,664473600,768122880,148189184,2464989184,3696,1944,0,1146880,0,105,675,1609,1.500,1.310,1.180,3,0,0,0,0,16,7,0,6,0
19-03 15:03:25,14.500,10.500,17,55.500,2.500,664813568,767741952,148267008,2464952320,3683,2106,0,2781184,0,95,639,1044,1.700,1.360,1.190,0,1,0,0,0,16,7,0,6,0
19-03 15:03:26,9.091,9.596,31.313,45.455,4.545,665243648,767041536,148475904,2465013760,3819,2214,0,1875968,0,136,844,1801,1.700,1.360,1.190,3,0,0,0,0,16,7,0,6,0
