"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","19 Mar 2020 13:18:12 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
19-03 13:18:12,7.248,2.352,77.564,11.879,0.958,439574528,1014628352,144093184,2321125376,0,0,69048.011,1272436.598,3.591,14.942,351.454,597.754,1.590,1.260,1.180,3,0,11.785,0,0,14,3,0,4,0
19-03 13:18:13,17.327,33.663,32.673,8.911,7.426,440418304,1013321728,144093184,2321350656,4239,2160,245760,114688,6,6,1342,3278,1.590,1.260,1.180,1,0,341,0,0,14,3,0,4,0
19-03 13:18:14,20.918,37.245,38.776,0,3.061,446427136,1007194112,144093184,2321510400,4150,2160,0,28672,0,7,1563,4492,1.590,1.260,1.180,4,0,286,0,0,14,3,0,4,0
19-03 13:18:15,28.358,32.338,38.308,0,0.995,440737792,1012658176,144093184,2321592320,4250,2052,0,16384,0,4,1778,5458,1.630,1.270,1.190,3,0,208,0,0,14,3,0,4,0
19-03 13:18:16,17.259,19.289,59.898,1.523,2.030,571445248,881528832,144093184,2449600512,5698,2052,0,20197376,0,21,1033,4603,1.630,1.270,1.190,0,0,51,0,0,16,3,0,4,0
19-03 13:18:17,10.553,22.111,65.327,0,2.010,571854848,881111040,144093184,2449608704,3444,2160,0,14307328,0,14,1283,2625,1.630,1.270,1.190,3,0,229,0,0,16,5,0,4,0
19-03 13:18:18,37.313,13.930,46.269,0.995,1.493,590929920,861835264,144097280,2449788928,3491,2160,69632,147456,1,2,957,1483,1.630,1.270,1.190,1,0,68,0,0,16,5,0,6,0
19-03 13:18:19,16.337,2.475,47.030,33.663,0.495,597770240,854159360,144097280,2450554880,5285,1944,811008,0,66,0,686,932,1.630,1.270,1.190,1,0,0,0,0,16,5,0,6,0
19-03 13:18:20,30.732,3.415,45.854,15.610,4.390,614785024,836669440,144101376,2450948096,4388,2106,274432,0,25,0,673,899,1.580,1.270,1.190,1,0,0,0,0,16,5,0,6,0
19-03 13:18:21,32.195,2.439,44.390,17.073,3.902,628346880,822222848,144109568,2451763200,3980,2214,589824,221184,42,2,669,877,1.580,1.270,1.190,1,0,0,0,0,16,5,0,6,0
19-03 13:18:22,40,11,33.500,14.500,1,648155136,800940032,144220160,2452865024,4735,1944,188416,991232,14,3,650,1391,1.580,1.270,1.190,1,1,0,0,0,16,7,0,6,0
19-03 13:18:23,7.500,5.500,45,41.500,0.500,658026496,790851584,144277504,2452996096,9906,2160,0,733184,0,46,572,1159,1.580,1.270,1.190,0,1,0,0,0,16,7,0,6,0
