"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","01 Apr 2020 13:39:31 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
01-04 13:39:31,15.437,4.521,54.225,24.184,1.633,441253888,744435712,91086848,2640330752,0,0,224269.391,3436770.004,11.802,35.002,743.480,1388.582,1.430,1.360,1.290,3,0,24.960,0,0,14,3,0,5,0
01-04 13:39:32,22.613,36.181,38.191,1.508,1.508,440803328,744738816,91103232,2640424960,4043,2052,0,151552,0,10,1458,3894,1.430,1.360,1.290,1,0,411,0,0,14,3,0,5,0
01-04 13:39:33,23.762,34.653,36.634,0,4.950,441704448,743567360,91103232,2640605184,4414,2214,0,24576,0,6,1374,3618,1.430,1.360,1.290,2,0,277,0,0,14,3,0,5,0
01-04 13:39:34,28,26.500,42.500,0,3,572903424,611975168,91103232,2768629760,7231,1944,0,4096,0,1,1545,5096,1.430,1.360,1.290,0,0,107,0,0,16,3,0,5,0
01-04 13:39:35,20.202,27.273,50.505,0,2.020,579952640,604856320,91103232,2768674816,6428,2160,0,0,0,0,1438,3422,1.320,1.330,1.290,1,0,295,0,0,16,5,0,7,0
01-04 13:39:36,32.663,4.523,49.246,13.065,0.503,597737472,585965568,91455488,2769428480,4994,2160,1060864,45056,137,1,723,1087,1.320,1.330,1.290,1,0,0,0,0,16,5,0,7,0
01-04 13:39:37,40.500,2.500,46,10.500,0.500,616869888,565841920,91799552,2770063360,5210,1944,884736,385024,136,2,651,1045,1.320,1.330,1.290,1,0,0,0,0,16,5,0,7,0
01-04 13:39:38,42.714,5.528,47.236,3.518,1.005,639795200,541368320,91807744,2771550208,9075,2160,684032,0,50,0,619,864,1.320,1.330,1.290,1,0,0,0,0,16,5,0,7,0
01-04 13:39:39,26.601,12.315,36.453,23.645,0.985,656056320,524267520,91951104,2772164608,7202,1944,106496,1806336,9,57,1091,1904,1.320,1.330,1.290,0,1,0,0,0,16,7,0,7,0
01-04 13:39:40,4,1.500,47.500,47,0,656580608,523096064,92246016,2772488192,3781,1944,0,1576960,0,114,583,1304,1.370,1.350,1.290,0,1,0,0,0,16,7,0,7,0
01-04 13:39:41,2.500,1.500,23.500,71.500,1,657059840,522305536,92364800,2772680704,4590,2160,0,1908736,0,123,638,1052,1.370,1.350,1.290,0,5,2,0,0,16,7,0,7,0
01-04 13:39:42,1.005,1.508,0,96.985,0.503,657584128,521814016,92368896,2772643840,4404,1944,0,2117632,0,159,632,651,1.370,1.350,1.290,0,2,0,0,0,16,7,0,7,0
01-04 13:39:43,3.015,1.005,31.658,63.819,0.503,657264640,521572352,92450816,2773123072,3875,2202,0,4980736,0,119,550,1046,1.370,1.350,1.290,0,2,0,0,0,16,7,0,7,0
01-04 13:39:44,2.030,2.538,46.701,47.208,1.523,657412096,520814592,92704768,2773479424,4726,1944,0,2146304,0,118,659,1300,1.370,1.350,1.290,0,1,0,0,0,16,7,0,7,0
01-04 13:39:45,3.483,1.990,46.766,46.766,0.995,657985536,519770112,92938240,2773688320,4460,2202,0,1290240,0,89,686,1199,1.420,1.360,1.290,0,1,0,0,0,16,7,0,7,0
01-04 13:39:46,9,10.500,32,46.500,2,658460672,518946816,93171712,2773794816,3226,1944,0,823296,0,87,912,1394,1.420,1.360,1.290,0,1,0,0,0,16,7,0,7,0
01-04 13:39:47,9.548,8.040,34.171,43.719,4.523,659017728,518086656,93409280,2773852160,4738,2160,0,880640,0,92,873,1333,1.420,1.360,1.290,2,0,0,0,0,16,7,0,7,0
01-04 13:39:48,6.931,8.911,42.574,36.634,4.950,659177472,517644288,93601792,2773934080,3805,2160,0,737280,0,73,812,1502,1.420,1.360,1.290,3,0,0,0,0,16,7,0,7,0
01-04 13:39:49,4.500,3,45,46.500,1,659320832,517455872,93618176,2773962752,3093,1944,0,286720,0,18,451,758,1.420,1.360,1.290,0,1,0,0,0,16,7,0,7,0
01-04 13:39:50,4.569,9.645,39.594,45.178,1.015,659607552,517070848,93671424,2774007808,5460,1944,0,270336,0,23,478,762,1.390,1.350,1.290,1,1,0,0,0,16,7,0,7,0
01-04 13:39:51,4.020,3.015,43.216,49.749,0,659824640,516820992,93732864,2773975040,8009,2160,0,393216,0,27,576,1016,1.390,1.350,1.290,0,2,2,0,0,16,7,0,7,0
01-04 13:39:52,1,2,1,96,0,659853312,516788224,93732864,2773979136,5070,2160,0,4096,0,1,379,666,1.390,1.350,1.290,0,2,0,0,0,16,7,0,8,0
01-04 13:39:53,2.020,2.020,38.889,56.061,1.010,659664896,516345856,93851648,2774478848,7127,2160,0,5689344,0,82,712,1352,1.390,1.350,1.290,0,2,0,0,0,16,7,0,8,0
01-04 13:39:54,8.543,6.533,43.216,41.206,0.503,660115456,515739648,94007296,2774474752,4654,1944,0,2105344,0,103,746,1286,1.390,1.350,1.290,1,1,0,0,0,16,7,0,7,0
