-- Logs begin at Wed 2020-04-01 12:55:06 UTC, end at Wed 2020-04-01 14:28:43 UTC. --
Apr 01 13:39:30 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 01 13:39:31 ubuntu dstat.sh[2038]: [286B blob data]
Apr 01 13:39:31 ubuntu dstat.sh[2038]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 01 13:39:31 ubuntu dstat.sh[2038]: 01-04 13:39:31| 15   5  54  24   2| 425M  706M 86.9M 2518M|   0     0 | 219k 3356k|11.8  35.0 | 743  1389 |1.43 1.36 1.29|2.0   0  25|   0     0 |systemd              1    0.4%   0    0 |bash                 3614 2362k2181k0.2%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 13:39:32 ubuntu dstat.sh[2038]: 01-04 13:39:32| 24  37  37   2   2| 420M  710M 86.9M 2518M|4339B 2106B|   0   148k|   0  10.0 |1473  3965 |1.43 1.36 1.29|2.0   0 421|   0     0 |bash                 3614 6.0%1903k  27k|bash                 3614 1903k  27k6.0%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 13:39:33 ubuntu dstat.sh[2038]: 01-04 13:39:33| 24  34  37   0   4| 422M  709M 86.9M 2518M|4118B 1944B|   0    24k|   0  6.00 |1375  3545 |1.43 1.36 1.29|2.0   0 274|   0     0 |systemd              1    9.5%   0    0 |bash                 3614 2040k  18k4.0%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 01 13:39:34 ubuntu dstat.sh[2038]: 01-04 13:39:34| 29  28  40   0   4| 546M  584M 86.9M 2640M|7415B 2214B|   0  4096B|   0  1.00 |1564  5222 |1.43 1.36 1.29|  0   0 117|   0     0 |systemd              1     22%   0    0 |bash                 3614  544k2968B1.0%|mysqld       173M|   0     0 |  16    3    0    5    0
Apr 01 13:39:35 ubuntu dstat.sh[2038]: 01-04 13:39:35| 18  27  53   0   2| 551M  578M 86.9M 2640M|6244B 1944B|   0     0 |   0     0 |1421  3399 |1.32 1.33 1.29|1.0   0 294|   0     0 |keystone-manage      3440 6.0% 977k  42k|keystone-manage      3440  977k  42k6.0%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 13:39:36 ubuntu dstat.sh[2038]: 01-04 13:39:36| 33   5  48  13   1| 569M  560M 87.2M 2641M|4934B 2160B|1028k   44k| 136  1.00 | 728  1098 |1.32 1.33 1.29|1.0   0 1.0|   0     0 |keystone-manage      3440  36%4499k  38k|keystone-manage      3440 4499k  38k 36%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 13:39:37 ubuntu dstat.sh[2038]: 01-04 13:39:37| 39   3  47  10   0| 588M  540M 87.5M 2642M|4342B 2160B| 868k  376k| 136  2.00 | 644  1060 |1.32 1.33 1.29|1.0   0   0|   0     0 |keystone-manage      3440  40%4358k  46k|keystone-manage      3440 4358k  46k 40%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 13:39:38 ubuntu dstat.sh[2038]: 01-04 13:39:38| 43   5  48   4   1| 610M  517M 87.6M 2643M|  10k 1944B| 672k    0 |51.0     0 | 626   846 |1.32 1.33 1.29|2.0   0   0|   0     0 |keystone-manage      3440  46%5689k 456k|keystone-manage      3440 5689k 456k 46%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 01 13:39:39 ubuntu dstat.sh[2038]: 01-04 13:39:39| 29  12  36  22   1| 626M  500M 87.7M 2644M|7142B 1836B| 104k 1724k|9.00  50.0 |1078  1873 |1.32 1.33 1.29|  0 1.0   0|   0     0 |keystone-manage      3440  20%1097k 199k|keystone-manage      3440 1097k 199k 20%|mysqld       186M|   0     0 |  16    7    0    7    0
Apr 01 13:39:40 ubuntu dstat.sh[2038]: 01-04 13:39:40|  4   2  48  46   0| 626M  499M 88.0M 2644M|3841B 2052B|   0  1576k|   0   120 | 601  1324 |1.37 1.35 1.29|1.0 1.0   0|   0     0 |mysqld               1309 1.5%   0    0 |python2              2218   14k 483B  0%|mysqld       186M|   0     0 |  16    7    0    7    0
