"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","03 Jan 2020 21:41:53 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
03-01 21:41:53,17.379,4.714,59.097,17.959,0.851,477773824,835584000,110358528,2487291904,0,0,176833.863,2973405.031,9.390,36.023,817.377,1397.106,1.150,1.050,1.040,2,0,24.070,0,0,14,3,0,5,0
03-01 21:41:54,16.915,41.294,37.313,0.995,3.483,472076288,839962624,110374912,2488406016,5446,2160,970752,1482752,14,32,1596,4100,1.150,1.050,1.040,1,0,403,0,0,14,3,0,5,0
03-01 21:41:55,24.500,33.500,38,0,4,472719360,838995968,110374912,2488778752,5377,2700,0,24576,0,6,1308,4633,1.150,1.050,1.040,1,0,242,0,0,14,3,0,5,0
03-01 21:41:56,24.242,34.848,37.374,0,3.535,472666112,838938624,110374912,2488909824,5253,2430,0,16384,0,4,1694,5648,1.150,1.050,1.040,0,0,216,0,0,14,3,0,5,0
03-01 21:41:57,17.436,26.154,53.333,0,3.077,603832320,707239936,110374912,2617004032,6004,2430,0,0,0,0,2365,5837,1.150,1.050,1.040,2,0,170,0,0,16,5,0,5,0
03-01 21:41:58,31.156,21.608,45.729,0,1.508,615686144,695275520,110387200,2617102336,4973,2430,0,0,0,0,1068,2486,1.050,1.030,1.040,1,0,172,0,0,16,5,0,7,0
03-01 21:41:59,35.678,3.015,47.236,13.568,0.503,636956672,672481280,110809088,2618204160,8886,2700,1433600,720896,183,10,861,1267,1.050,1.030,1.040,1,0,0,0,0,16,5,0,7,0
03-01 21:42:00,38.308,3.980,47.264,9.453,0.995,653357056,655126528,110825472,2618830848,6606,2700,663552,0,53,0,728,876,1.050,1.030,1.040,1,0,0,0,0,16,5,0,7,0
03-01 21:42:01,41.500,4.500,45,4.500,4.500,676368384,630267904,110972928,2620178432,3606,2430,417792,0,22,0,607,860,1.050,1.030,1.040,1,0,0,0,0,16,5,0,7,0
03-01 21:42:02,26,10.500,36.500,26.500,0.500,691625984,614191104,111099904,2620731392,4268,2376,86016,2252800,5,60,1072,1967,1.050,1.030,1.040,0,1,0,0,0,16,7,0,7,0
