"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","20 Feb 2020 06:47:47 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
20-02 06:47:47,12.861,3.716,50.336,31.151,1.936,486453248,467255296,151687168,2766610432,0,0,154724.490,2204377.478,9.761,25.945,652.277,1075.678,1.610,1.480,1.590,2,0,18.043,0,0,14,3,0,5,0
20-02 06:47:48,17.143,30.476,33.810,0.952,17.619,487858176,465358848,151703552,2766823424,6948,2916,204800,114688,3,6,1348,3298,1.610,1.480,1.590,2,0,356,0,0,14,3,0,5,0
20-02 06:47:49,15.196,27.451,39.706,7.353,10.294,487960576,464973824,151703552,2767200256,7628,2754,0,28672,0,7,1283,3172,1.640,1.490,1.590,4,0,258,0,0,14,3,0,5,0
20-02 06:47:50,17.910,22.388,39.303,19.403,0.995,487903232,464961536,151703552,2767114240,6082,3078,0,405504,0,15,1356,3334,1.640,1.490,1.590,0,2,147,0,0,14,3,0,5,0
20-02 06:47:51,12.500,10.500,23,53,1,489422848,463437824,151703552,2767220736,6384,2916,0,995328,0,86,1121,2462,1.640,1.490,1.590,1,1,88,0,0,14,3,0,5,0
20-02 06:47:52,20.853,22.275,24.645,19.431,12.796,618573824,333848576,151703552,2895163392,6058,2646,0,20357120,0,35,1330,4534,1.640,1.490,1.590,2,1,99,0,0,16,5,0,5,0
20-02 06:47:53,20.283,23.585,8.491,32.547,15.094,629727232,322641920,151711744,2895192064,8713,2862,0,9576448,0,13,1170,2383,1.640,1.490,1.590,2,1,248,0,0,16,5,0,7,0
20-02 06:47:54,40.394,6.404,10.837,40.394,1.970,648142848,303726592,151842816,2895470592,8042,2916,233472,13225984,38,25,676,855,1.750,1.520,1.600,1,0,0,0,0,16,5,0,7,0
20-02 06:47:55,46.305,4.433,46.798,0.985,1.478,668205056,283406336,151842816,2895605760,6233,2916,24576,0,3,0,643,674,1.750,1.520,1.600,1,0,0,0,0,16,5,0,7,0
20-02 06:47:56,43.961,9.179,39.614,1.449,5.797,694996992,255475712,151842816,2896535552,6038,2592,86016,0,7,0,786,1053,1.750,1.520,1.600,2,0,0,0,0,16,7,0,7,0
20-02 06:47:57,7.500,4.500,36,49.500,2.500,695435264,254767104,151904256,2896728064,12454,2916,0,1400832,0,23,464,744,1.750,1.520,1.600,0,2,0,0,0,16,7,0,7,0
20-02 06:47:58,10.345,4.433,42.365,40.887,1.970,705286144,244748288,151953408,2896846848,19211,2592,0,643072,0,21,631,1111,1.750,1.520,1.600,0,1,2,0,0,16,7,0,7,0
20-02 06:47:59,2.513,1.508,48.241,46.231,1.508,705134592,244641792,151986176,2897072128,18697,2916,0,393216,0,27,482,843,1.770,1.520,1.600,0,1,0,0,0,16,7,0,8,0
20-02 06:48:00,3.980,1.990,47.264,45.771,0.995,705150976,244449280,152039424,2897195008,17715,2592,0,311296,0,21,475,767,1.770,1.520,1.600,0,1,0,0,0,16,7,0,7,0
20-02 06:48:01,2.475,1.980,43.564,50.990,0.990,705150976,244453376,152076288,2897154048,17803,2916,0,192512,0,16,431,728,1.770,1.520,1.600,0,1,0,0,0,16,7,0,7,0
20-02 06:48:02,1.980,2.970,31.188,61.386,2.475,705110016,244355072,152096768,2897272832,18418,2592,0,192512,0,8,429,680,1.770,1.520,1.600,0,1,0,0,0,16,7,0,7,0
20-02 06:48:03,2.970,2.475,44.059,49.010,1.485,706408448,242638848,152178688,2897608704,19804,2916,81920,2691072,1,62,570,955,1.770,1.520,1.600,0,1,0,0,0,16,7,0,7,0
20-02 06:48:04,3.483,0.995,33.831,60.697,0.995,705691648,243150848,152244224,2897723392,18102,2862,0,2260992,0,58,442,783,1.870,1.550,1.610,0,1,0,0,0,16,7,0,7,0
20-02 06:48:05,2.439,2.439,48.293,45.366,1.463,705794048,242958336,152289280,2897764352,20348,2646,0,286720,0,18,406,650,1.870,1.550,1.610,0,1,0,0,0,16,7,0,7,0
20-02 06:48:06,3.465,2.970,48.020,44.554,0.990,705941504,242544640,152375296,2897944576,18836,2916,0,630784,0,42,482,833,1.870,1.550,1.610,0,1,0,0,0,16,7,0,7,0
20-02 06:48:07,2.488,1.990,48.756,45.274,1.493,706048000,242294784,152449024,2898014208,19978,2592,0,561152,0,43,473,817,1.870,1.550,1.610,0,1,0,0,0,16,7,0,7,0
20-02 06:48:08,2.475,3.465,46.535,45.545,1.980,706478080,241655808,152526848,2898145280,7002,2916,0,610304,0,44,546,937,1.870,1.550,1.610,0,1,2,0,0,16,7,0,7,0
20-02 06:48:09,2.970,2.970,48.515,44.554,0.990,706543616,241246208,152670208,2898341888,4808,2592,12288,880640,1,58,579,918,1.880,1.560,1.610,1,0,0,0,0,16,7,0,7,0
20-02 06:48:10,2.488,1.493,48.259,46.269,1.493,706650112,241053696,152735744,2898362368,17304,2916,0,368640,0,26,412,705,1.880,1.560,1.610,0,1,0,0,0,16,7,0,7,0
20-02 06:48:11,4.926,3.941,44.828,45.320,0.985,706949120,240365568,152891392,2898571264,17104,2634,0,897024,0,71,732,1150,1.880,1.560,1.610,0,1,0,0,0,16,7,0,7,0
20-02 06:48:12,7.882,4.433,44.335,42.365,0.985,707526656,239632384,153018368,2898599936,18170,2958,0,663552,0,65,709,1305,1.880,1.560,1.610,0,1,0,0,0,16,7,0,7,0
20-02 06:48:13,8.955,7.960,40.796,42.289,0,707944448,238964736,153157632,2898706432,18805,2916,0,622592,0,62,745,1104,1.880,1.560,1.610,1,1,0,0,0,16,7,0,7,0
20-02 06:48:14,10.837,12.315,27.586,48.768,0.493,707936256,238841856,153247744,2898747392,16946,2916,0,1114112,0,53,695,984,2.050,1.600,1.630,0,1,0,0,0,16,7,0,6,0
20-02 06:48:15,11.443,9.453,36.816,41.294,0.995,708317184,238235648,153346048,2898874368,18070,2916,0,712704,0,66,736,1280,2.050,1.600,1.630,0,1,0,0,0,16,7,0,6,0
20-02 06:48:16,10.945,9.453,45.771,32.836,0.995,708427776,238047232,153432064,2898866176,5700,2916,0,573440,0,44,557,978,2.050,1.600,1.630,1,1,0,0,0,16,7,0,6,0
20-02 06:48:17,2.985,3.980,35.323,57.214,0.498,708685824,237760512,153481216,2898845696,6065,2754,0,499712,0,30,488,852,2.050,1.600,1.630,0,1,0,0,0,16,7,0,6,0
20-02 06:48:18,9.406,8.911,33.168,48.020,0.495,708792320,237494272,153600000,2898870272,6454,2754,0,598016,0,60,752,1301,2.050,1.600,1.630,0,1,2,0,0,16,7,0,6,0
20-02 06:48:19,1.980,1.980,5.446,90.099,0.495,708878336,237395968,153604096,2898878464,7633,2916,0,290816,0,27,398,614,2.210,1.640,1.640,0,2,0,0,0,16,7,0,6,0
20-02 06:48:20,2.463,1.970,0,95.567,0,709017600,237297664,153608192,2898833408,6848,2916,0,1126400,0,88,382,529,2.210,1.640,1.640,0,6,0,0,0,16,7,0,6,0
20-02 06:48:21,1.970,2.463,0,94.581,0.985,708915200,237395968,153612288,2898833408,6316,2916,0,5435392,0,33,410,677,2.210,1.640,1.640,0,3,0,0,0,16,7,0,6,0
20-02 06:48:22,2.010,1.508,0,95.980,0.503,709017600,237264896,153612288,2898862080,6600,2986,0,2822144,0,49,368,624,2.210,1.640,1.640,0,3,0,0,0,16,7,0,6,0
20-02 06:48:23,2.463,1.970,0.493,94.089,0.985,708870144,237395968,153620480,2898870272,4825,2592,0,1576960,0,140,405,583,2.210,1.640,1.640,0,2,0,0,0,16,7,0,6,0
20-02 06:48:24,3.980,4.478,41.791,46.269,3.483,709046272,237076480,153706496,2898927616,5860,2916,0,602112,0,57,570,1008,2.110,1.630,1.640,0,1,0,0,0,16,7,0,6,0
20-02 06:48:25,16.990,14.078,17.476,49.029,2.427,709025792,237080576,153726976,2898923520,6334,2916,0,151552,0,12,565,739,2.110,1.630,1.640,1,1,0,0,0,16,7,0,6,0
20-02 06:48:26,9.500,7.500,30,48.500,4.500,709066752,236982272,153763840,2898944000,5104,2592,0,241664,0,19,555,978,2.110,1.630,1.640,0,1,0,0,0,16,7,0,6,0
20-02 06:48:27,2,0.500,34,63,0.500,708923392,237113344,153767936,2898952192,6047,2916,0,77824,0,2,376,735,2.110,1.630,1.640,0,2,0,0,0,16,7,0,6,0
