-- Logs begin at Thu 2020-02-20 05:44:49 UTC, end at Thu 2020-02-20 08:07:27 UTC. --
Feb 20 06:48:44 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Feb 20 06:48:44 ubuntu dstat.sh[1741]: [286B blob data]
Feb 20 06:48:44 ubuntu dstat.sh[1741]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Feb 20 06:48:44 ubuntu dstat.sh[1741]: 20-02 06:48:44| 12   4  51  31   2| 461M  533M  158M 2555M|   0     0 | 126k 2136k|7.08  25.4 | 605   967 |2.28 1.70 1.70|3.0   0  17|   0     0 |systemd              1    0.3%   0    0 |bash                 4602 1664k1510k0.2%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 20 06:48:45 ubuntu dstat.sh[1741]: 20-02 06:48:45| 17  36  37   4   6| 461M  532M  158M 2555M|5540B 2970B| 228k  132k|3.00  7.00 |1431  3379 |2.28 1.70 1.70|3.0   0 343|   0     0 |bash                 4602 7.5%1172k  21k|bash                 4602 1172k  21k7.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 20 06:48:46 ubuntu dstat.sh[1741]: 20-02 06:48:46| 25  29  38   0   8| 462M  531M  158M 2555M|6771B 2916B|   0    24k|   0  6.00 |1619  3573 |2.18 1.69 1.69|1.0   0 237|   0     0 |systemd              1    7.0%   0    0 |bash                 4602 1702k  15k3.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 20 06:48:47 ubuntu dstat.sh[1741]: 20-02 06:48:47| 25  32  38   0   5| 462M  531M  158M 2555M|5325B 2916B|   0    16k|   0  4.00 |1130  5530 |2.18 1.69 1.69|1.0   0 208|   0     0 |systemd              1     14%   0    0 |bash                 4602 1418k  13k3.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 20 06:48:48 ubuntu dstat.sh[1741]: 20-02 06:48:48| 20  25  47   0   8| 587M  406M  158M 2677M|6458B 2916B|   0  2468k|   0  38.0 |1958  5797 |2.18 1.69 1.69|1.0   0 148|   0     0 |systemd              1     13%   0    0 |bash                 4602  470k6158B2.0%|mysqld       173M|   0     0 |  16    5    0    4    0
Feb 20 06:48:49 ubuntu dstat.sh[1741]: 20-02 06:48:49| 26  23  43   0   8| 598M  395M  158M 2677M|6561B 2916B|   0     0 |   0     0 |1331  2392 |2.18 1.69 1.69|1.0   0 200|   0     0 |keystone-manage      3136  20%2253k  81k|keystone-manage      3136 2253k  81k 20%|mysqld       173M|   0     0 |  16    5    0    7    0
Feb 20 06:48:50 ubuntu dstat.sh[1741]: 20-02 06:48:50| 24   4  31  36   4| 608M  384M  158M 2678M|4152B 2592B| 308k  268k|18.0  2.00 | 603   848 |2.18 1.69 1.69|1.0 1.0   0|   0     0 |keystone-manage      3136  25%3030k   0 |keystone-manage      3136 3030k   0  25%|mysqld       173M|   0     0 |  16    5    0    7    0
Feb 20 06:48:51 ubuntu dstat.sh[1741]: 20-02 06:48:51|  9   2  47  38   4| 611M  381M  158M 2678M|5978B 2916B| 188k    0 |26.0     0 | 521   836 |2.16 1.69 1.70|  0 1.0   0|   0     0 |keystone-manage      3136  11% 519k   0 |keystone-manage      3136  519k   0  11%|mysqld       173M|   0     0 |  16    5    0    7    0
Feb 20 06:48:52 ubuntu dstat.sh[1741]: 20-02 06:48:52|  1   2  48  49   0| 611M  381M  158M 2678M|6537B 2958B|  36k    0 |7.00     0 | 394   799 |2.16 1.69 1.70|2.0   0 2.0|   0     0 |beam.smp             1865 1.0%   0    0 |keystone-manage      3136   96k   0 0.5%|mysqld       173M|   0     0 |  16    5    0    8    0
Feb 20 06:48:53 ubuntu dstat.sh[1741]: 20-02 06:48:53| 16   2  47  33   2| 621M  370M  158M 2678M|8528B 2592B| 276k  304k|26.0  1.00 | 526   892 |2.16 1.69 1.70|  0 1.0   0|   0     0 |keystone-manage      3136  16%2167k  46k|keystone-manage      3136 2167k  46k 16%|mysqld       173M|   0     0 |  16    5    0    7    0
