"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","18 Feb 2020 18:42:19 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
18-02 18:42:19,5.211,1.624,82.909,9.037,1.220,479289344,591933440,142827520,2687700992,0,0,52543.411,930422.904,2.328,10.754,303.071,421.768,2.060,1.520,1.370,2,1,7.282,0,0,14,3,0,4,0
18-02 18:42:20,15.640,29.858,28.910,10.900,14.692,478486528,592089088,142843904,2688028672,6131,2916,233472,26873856,3,35,1386,3030,2.060,1.520,1.370,5,0,311,0,0,14,3,0,4,0
18-02 18:42:21,21.359,26.214,35.437,0,16.990,479539200,591040512,142843904,2688040960,5425,2916,0,16384,0,4,1356,3670,2.060,1.520,1.370,1,0,185,0,0,14,3,0,4,0
18-02 18:42:22,24.155,29.952,36.232,0,9.662,478658560,591859712,142843904,2688053248,5452,2916,0,16384,0,4,1506,5958,2.060,1.520,1.370,1,0,213,0,0,14,3,0,4,0
18-02 18:42:23,14.573,16.080,65.327,0,4.020,609464320,460668928,142843904,2816090112,5516,3240,0,0,0,0,1663,4742,2.060,1.520,1.370,0,0,46,0,0,16,3,0,4,0
18-02 18:42:24,10.427,21.801,52.133,0,15.640,609804288,460173312,142843904,2816245760,6634,2916,0,0,0,0,1135,2543,1.890,1.490,1.360,1,0,235,0,0,16,5,0,4,0
18-02 18:42:25,39.109,10.891,47.525,0,2.475,625172480,444780544,142848000,2816258048,6552,2916,0,167936,0,2,895,1425,1.890,1.490,1.360,1,0,60,0,0,16,5,0,6,0
18-02 18:42:26,40.099,1.980,45.545,8.416,3.960,652263424,417230848,142856192,2816569344,6378,3240,155648,0,7,0,781,1082,1.890,1.490,1.360,1,0,2,0,0,16,5,0,6,0
18-02 18:42:27,17.588,1.508,44.724,29.648,6.533,655003648,414085120,142856192,2816937984,9487,2916,319488,0,21,0,522,728,1.890,1.490,1.360,0,1,0,0,0,16,5,0,6,0
18-02 18:42:28,24.242,4.040,44.444,22.727,4.545,671858688,396521472,142872576,2817527808,6116,3186,299008,0,21,0,714,1059,1.890,1.490,1.360,3,0,0,0,0,16,5,0,6,0
18-02 18:42:29,35.644,10.396,28.218,19.802,5.941,686239744,380977152,143003648,2818412544,5956,2970,53248,1224704,6,18,961,1489,1.820,1.480,1.360,0,1,0,0,0,16,7,0,6,0
18-02 18:42:30,10.050,4.523,43.719,38.693,3.015,696442880,370339840,143126528,2818723840,5612,2916,0,1277952,0,64,768,1319,1.820,1.480,1.360,0,1,0,0,0,16,7,0,6,0
18-02 18:42:31,2,2,48.500,46,1.500,696524800,369676288,143302656,2819096576,5833,2916,0,1363968,0,96,724,1276,1.820,1.480,1.360,0,1,0,0,0,16,7,0,6,0
