"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","18 Feb 2020 16:32:38 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
18-02 16:32:38,16.015,4.402,55.235,22.669,1.679,482570240,735326208,142041088,2544455680,0,0,166636.874,2300087.919,7.434,31.529,745.565,1285.003,1.480,1.280,1.240,2,0,22.762,0,0,14,3,0,5,0
18-02 16:32:39,21.608,39.196,32.663,5.528,1.005,483287040,733798400,142049280,2545045504,5378,3240,233472,958464,3,29,1514,3931,1.480,1.280,1.240,2,0,437,0,0,14,3,0,5,0
18-02 16:32:40,27.363,33.333,36.816,0,2.488,483139584,733863936,142049280,2545057792,7162,3186,0,24576,0,6,2315,6158,1.480,1.280,1.240,1,0,276,0,0,14,3,0,5,0
18-02 16:32:41,30.964,25.381,42.640,0,1.015,614514688,602112000,142049280,2673115136,5318,3294,0,4096,0,1,1923,7686,1.480,1.280,1.240,0,0,106,0,0,16,3,0,5,0
18-02 16:32:42,5,10,83,0,2,615133184,601489408,142049280,2673119232,7250,2916,0,0,0,0,812,1664,1.360,1.260,1.230,2,0,101,0,0,16,5,0,5,0
18-02 16:32:43,33.498,18.227,44.828,0,3.448,626180096,590295040,142053376,2673242112,4858,2916,0,0,0,0,1163,2704,1.360,1.260,1.230,2,0,198,0,0,16,5,0,7,0
18-02 16:32:44,15.347,3.960,4.950,72.772,2.970,636170240,580132864,142061568,2673405952,5644,3240,172032,6905856,8,139,669,837,1.360,1.260,1.230,0,2,0,0,0,16,5,0,7,0
18-02 16:32:45,7.071,2.020,2.020,84.343,4.545,636944384,579031040,142061568,2673713152,5502,2916,262144,14581760,27,118,572,807,1.360,1.260,1.230,0,1,0,0,0,16,5,0,7,0
18-02 16:32:46,2.525,2.020,45.960,46.970,2.525,637685760,578265088,142061568,2673737728,7694,3186,28672,16257024,2,16,397,647,1.360,1.260,1.230,0,1,0,0,0,16,5,0,7,0
18-02 16:32:47,5.970,1.990,47.264,43.781,0.995,639631360,576167936,142061568,2673852416,7681,3012,94208,0,16,0,436,691,1.330,1.250,1.230,0,1,0,0,0,16,5,0,7,0
18-02 16:32:48,4.523,1.005,47.236,46.734,0.503,641523712,574140416,142061568,2673979392,7489,2916,122880,0,12,0,440,718,1.330,1.250,1.230,0,1,0,0,0,16,5,0,7,0
18-02 16:32:49,20,3.500,40,36,0.500,656584704,558804992,142065664,2674216960,5816,3240,200704,163840,18,2,502,753,1.330,1.250,1.230,1,0,0,0,0,16,5,0,7,0
18-02 16:32:50,43,3.500,47.500,5.500,0.500,670629888,543793152,142069760,2675101696,7293,2916,593920,0,43,0,622,862,1.330,1.250,1.230,1,0,0,0,0,16,5,0,7,0
