-- Logs begin at Fri 2020-02-28 03:08:38 UTC, end at Fri 2020-02-28 04:48:09 UTC. --
Feb 28 03:58:08 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Feb 28 03:58:09 ubuntu dstat.sh[1081]: [286B blob data]
Feb 28 03:58:09 ubuntu dstat.sh[1081]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Feb 28 03:58:09 ubuntu dstat.sh[1081]: 28-02 03:58:09| 17   4  51  24   3| 452M  498M  112M 2651M|   0     0 | 170k 2886k|9.30  31.4 | 695  1167 |1.99 1.65 1.45|2.0   0  22|   0     0 |systemd              1    0.4%   0    0 |bash                 3335 2179k2023k0.2%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 28 03:58:10 ubuntu dstat.sh[1081]: 28-02 03:58:10| 19  35  33   5   8| 450M  499M  112M 2652M|4146B 1944B| 196k   96k|3.00  10.0 |1378  3692 |1.99 1.66 1.45|1.0   0 381|   0     0 |bash                 3335 7.0%1939k  25k|bash                 3335 1939k  25k7.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 28 03:58:11 ubuntu dstat.sh[1081]: 28-02 03:58:11| 24  29  35   0  12| 451M  498M  112M 2652M|3577B 1944B|   0    20k|   0  5.00 |1442  3989 |1.99 1.66 1.45|2.0   0 240|   0     0 |systemd              1     10%   0    0 |bash                 3335 1817k  15k3.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 28 03:58:12 ubuntu dstat.sh[1081]: 28-02 03:58:12| 26  24  35   0  14| 452M  497M  112M 2652M|4256B 1782B|   0  8192B|   0  2.00 |1770  4966 |1.99 1.66 1.45|1.0   0 122|   0     0 |systemd              1     21%   0    0 |bash                 3335  554k4892B1.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 28 03:58:13 ubuntu dstat.sh[1081]: 28-02 03:58:13|  6  12  76   0   7| 576M  372M  112M 2774M|4805B 1890B|   0     0 |   0     0 |1128  3007 |1.99 1.66 1.45|1.0   0  57|   0     0 |etcd                 2190 4.5%   0    0 |bash                 3335  291k3431B1.5%|mysqld       173M|   0     0 |  16    5    0    4    0
Feb 28 03:58:14 ubuntu dstat.sh[1081]: 28-02 03:58:14| 21  23  39   0  17| 585M  363M  112M 2774M|5538B 1944B|   0     0 |   0     0 |1283  2739 |1.99 1.66 1.45|1.0   0 259|   0     0 |keystone-manage      2498  12%2149k  81k|keystone-manage      2498 2149k  81k 12%|mysqld       173M|   0     0 |  16    5    0    6    0
Feb 28 03:58:15 ubuntu dstat.sh[1081]: 28-02 03:58:15| 40   4  27  24   5| 604M  344M  112M 2774M|5408B 1890B| 228k  180k|38.0  2.00 | 602   841 |2.07 1.68 1.46|1.0   0   0|   0     0 |keystone-manage      2498  42%4468k  46k|keystone-manage      2498 4468k  46k 42%|mysqld       173M|   0     0 |  16    5    0    6    0
Feb 28 03:58:16 ubuntu dstat.sh[1081]: 28-02 03:58:16| 33   4  45  13   4| 619M  328M  112M 2775M|4980B 1998B| 492k    0 |34.0     0 | 595   728 |2.07 1.68 1.46|  0 1.0   0|   0     0 |keystone-manage      2498  36%4019k   0 |keystone-manage      2498 4019k   0  36%|mysqld       173M|   0     0 |  16    5    0    6    0
Feb 28 03:58:17 ubuntu dstat.sh[1081]: 28-02 03:58:17| 17   2   6  73   2| 628M  319M  112M 2775M|5433B 1836B|  80k 1036k|7.00  76.0 | 609   703 |2.07 1.68 1.46|  0 5.0 2.0|   0     0 |keystone-manage      2498  18%1893k 107k|keystone-manage      2498 1893k 107k 18%|mysqld       173M|   0     0 |  16    5    0    6    0
Feb 28 03:58:18 ubuntu dstat.sh[1081]: 28-02 03:58:18| 28   3  21  46   1| 644M  302M  112M 2776M|5944B 2052B|  76k 1208k|7.00  58.0 | 683   767 |2.07 1.68 1.46|1.0   0   0|   0     0 |keystone-manage      2498  30%4403k 411k|keystone-manage      2498 4403k 411k 30%|mysqld       173M|   0     0 |  16    5    0    6    0
Feb 28 03:58:19 ubuntu dstat.sh[1081]: 28-02 03:58:19| 16   9  34  42   1| 649M  297M  112M 2776M|5911B 1852B|  12k  860k|1.00  21.0 | 733  1293 |2.07 1.68 1.46|  0 1.0   0|   0     0 |python2              1618  12%  83k  91k|keystone-manage      2498  228k  83k7.5%|mysqld       177M|   0     0 |  16    7    0    6    0
Feb 28 03:58:20 ubuntu dstat.sh[1081]: 28-02 03:58:20| 11   3  35  48   4| 658M  287M  112M 2776M|3032B 2106B|   0  8544k|   0  55.0 | 557  1076 |2.15 1.70 1.47|  0 1.0 2.0|   0     0 |keystone-manage      2498 6.5%  38k  53k|keystone-manage      2498   38k  53k6.5%|mysqld       186M|   0     0 |  16    7    0    6    0
Feb 28 03:58:21 ubuntu dstat.sh[1081]: 28-02 03:58:21|  2   1  48  49   1| 660M  285M  112M 2776M|5295B 1986B|  80k  924k|1.00  50.0 | 458   776 |2.15 1.70 1.47|  0 2.0   0|   0     0 |mysqld               333  0.5%   0    0 |python2              1276   14k 466B  0%|mysqld       186M|   0     0 |  16    7    0    6    0
Feb 28 03:58:22 ubuntu dstat.sh[1081]: 28-02 03:58:22|  2   1  26  72   0| 659M  286M  112M 2776M|5108B 1944B|   0  2356k|   0  52.0 | 359   689 |2.15 1.70 1.47|  0 1.0   0|   0     0 |python2              1276 0.5%  14k 453B|python2              1276   14k 453B0.5%|mysqld       186M|   0     0 |  16    7    0    6    0
Feb 28 03:58:23 ubuntu dstat.sh[1081]: 28-02 03:58:23|  2   1  49  48   1| 659M  286M  112M 2777M|6638B 1944B|   0   540k|   0  31.0 | 455   807 |2.15 1.70 1.47|  0 1.0   0|   0     0 |jbd2/vda1-8          300  0.5%   0    0 |python2              1276   14k 462B  0%|mysqld       186M|   0     0 |  16    7    0    6    0
Feb 28 03:58:24 ubuntu dstat.sh[1081]: 28-02 03:58:24|  2   1  44  52   1| 659M  286M  112M 2777M|8706B 1944B|   0   344k|   0  23.0 | 420   741 |2.15 1.70 1.47|  0 1.0   0|   0     0 |mysqld               333  0.5%   0    0 |python2              1276   14k 452B  0%|mysqld       186M|   0     0 |  16    7    0    6    0
Feb 28 03:58:25 ubuntu dstat.sh[1081]: 28-02 03:58:25|  2   2  48  45   3| 659M  285M  112M 2777M|5941B 1944B|   0   884k|   0  66.0 | 588  1011 |2.05 1.69 1.47|  0 1.0   0|   0     0 |jbd2/vda1-8          300  1.0%   0    0 |python2              1276   14k 463B1.0%|mysqld       186M|   0     0 |  16    7    0    6    0
Feb 28 03:58:26 ubuntu dstat.sh[1081]: 28-02 03:58:26|  2   2  46  44   6| 659M  285M  112M 2777M|7821B 2160B|   0   464k|   0  35.0 | 447   738 |2.05 1.69 1.47|  0 1.0   0|   0     0 |mysqld               333  2.0%   0    0 |python2              1276   14k 462B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Feb 28 03:58:27 ubuntu dstat.sh[1081]: 28-02 03:58:27|  2   1  43  55   1| 659M  285M  112M 2777M|5036B 1944B|   0   360k|   0  27.0 | 383   642 |2.05 1.69 1.47|1.0 1.0   0|   0     0 |mysqld               333  0.5%   0    0 |python2              1276   14k 462B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Feb 28 03:58:28 ubuntu dstat.sh[1081]: 28-02 03:58:28|  2   2  49  47   1| 660M  284M  113M 2777M|3848B 1944B|   0   508k|   0  34.0 | 363   697 |2.05 1.69 1.47|  0 2.0   0|   0     0 |jbd2/vda1-8          300  0.5%   0    0 |python2              1276   14k 458B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Feb 28 03:58:29 ubuntu dstat.sh[1081]: 28-02 03:58:29|  2   1  50  48   1| 660M  284M  113M 2777M|3222B 1944B|   0   420k|   0  28.0 | 315   639 |2.05 1.69 1.47|  0 1.0   0|   0     0 |                                        |python2              1276   14k 462B  0%|mysqld       187M|   0     0 |  16    7    0    5    0
