"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","28 Feb 2020 02:43:14 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
28-02 02:43:14,16.922,4.915,53.635,22.123,2.405,477544448,646942720,141492224,2638364672,0,0,167818.563,3029947.269,7.910,34.630,749.670,1321.650,1.220,1.330,1.280,3,0,24.818,0,0,14,3,0,4,0
28-02 02:43:15,18.932,26.214,14.563,30.583,9.709,473853952,649908224,141504512,2638827520,6782,2160,368640,618496,5,18,1481,3308,1.360,1.360,1.290,1,0,209,0,0,14,3,0,4,0
28-02 02:43:16,19.598,27.136,44.724,0,8.543,603516928,519659520,141504512,2766811136,4074,2160,0,0,0,0,1768,4440,1.360,1.360,1.290,3,0,137,0,0,16,5,0,4,0
28-02 02:43:17,29.412,22.549,44.118,0,3.922,615530496,507609088,141504512,2766848000,3724,1944,0,0,0,0,1075,2587,1.360,1.360,1.290,2,0,212,0,0,16,5,0,6,0
28-02 02:43:18,17,2,46.500,32.500,2,625840128,496730112,141504512,2767384576,5129,2160,458752,0,20,0,463,729,1.360,1.360,1.290,1,0,0,0,0,16,5,0,6,0
28-02 02:43:19,6.030,1.508,47.739,44.221,0.503,627003392,495300608,141504512,2767634432,5055,2160,241664,0,30,0,488,744,1.360,1.360,1.290,0,1,0,0,0,16,5,0,6,0
28-02 02:43:20,6.091,2.030,47.716,43.147,1.015,629964800,492224512,141504512,2767708160,5536,1944,65536,9498624,11,54,569,819,1.410,1.370,1.300,0,2,2,0,0,16,5,0,6,0
28-02 02:43:21,2,2,29,65.500,1.500,631095296,491003904,141508608,2767794176,7422,2160,73728,827392,5,47,598,749,1.410,1.370,1.300,0,3,0,0,0,16,5,0,6,0
28-02 02:43:22,7.960,1.990,22.388,66.667,0.995,636407808,485515264,141508608,2767966208,5406,2160,135168,12652544,11,15,495,709,1.410,1.370,1.300,2,1,0,0,0,16,5,0,6,0
28-02 02:43:23,28.934,1.523,48.223,20.812,0.508,648646656,472748032,141508608,2768392192,5728,2160,344064,13418496,24,13,679,787,1.410,1.370,1.300,0,1,0,0,0,16,5,0,6,0
28-02 02:43:24,37,5.500,47.500,9,1,672784384,447324160,141570048,2769379328,4519,2148,356352,0,27,0,758,874,1.410,1.370,1.300,1,0,0,0,0,16,5,0,6,0
28-02 02:43:25,26.131,12.563,33.166,26.633,1.508,687968256,431280128,141651968,2770030592,6128,1944,90112,1220608,6,28,852,1818,1.540,1.400,1.310,0,1,0,0,0,16,7,0,6,0
28-02 02:43:26,2.010,1.508,49.246,45.729,1.508,689524736,429518848,141688832,2770198528,11745,2214,0,446464,0,25,496,814,1.540,1.400,1.310,0,1,0,0,0,16,7,0,6,0
28-02 02:43:27,2.010,2.010,38.693,56.784,0.503,689500160,429174784,141815808,2770440192,4915,2160,0,933888,0,65,552,1007,1.540,1.400,1.310,0,1,0,0,0,16,7,0,6,0
28-02 02:43:28,2.020,1.515,44.949,50.505,1.010,689885184,428662784,141860864,2770513920,7224,2160,0,3391488,0,68,495,843,1.540,1.400,1.310,0,1,0,0,0,16,7,0,6,0
28-02 02:43:29,1.523,2.538,48.731,45.178,2.030,689897472,428343296,141963264,2770718720,4566,2160,0,638976,0,43,419,838,1.540,1.400,1.310,0,1,0,0,0,16,7,0,6,0
28-02 02:43:30,2.985,1.990,47.264,44.776,2.985,690741248,427388928,142032896,2770759680,4703,1998,0,778240,0,53,493,1011,1.660,1.430,1.310,0,1,2,0,0,16,7,0,6,0
28-02 02:43:31,2.500,1,49.500,46.500,0.500,690802688,427003904,142123008,2770964480,4537,2106,0,708608,0,53,419,921,1.660,1.430,1.310,0,1,0,0,0,16,7,0,6,0
28-02 02:43:32,2.030,1.015,47.716,47.208,2.030,690929664,426713088,142151680,2771099648,4859,2160,0,471040,0,29,456,931,1.660,1.430,1.310,0,1,0,0,0,16,7,0,6,0
